NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.16614e-29	1.11397e-26	5.83018e-24	1.40925e-21	1.07942e-19	1.35521e-18	7.83476e-18	8.76468e-16	4.3052e-14	8.38169e-14	1.56129e-13	4.65708e-13	1.90943e-13	8.0799e-14	1.26095e-12	0.0913463	0.445242	0.463412	3.41573e-11	2.64655e-12	8.80437e-14	1.53448e-15	1.59427e-17	1.07895e-19	5.07047e-22	1.73601e-24	4.49436e-27	9.06241e-30	1.45781e-32	1.90832e-35	2.06679e-38	1.87823e-41	1.44956e-44	9.60012e-48	5.50558e-51	2.75588e-54	1.21251e-57	4.71805e-61	1.63263e-64	5.04891e-68	1.42441e-71	
N2	5.72206e-32	3.33932e-29	1.68736e-26	4.59438e-24	3.52286e-22	1.95731e-20	4.17635e-18	3.1005e-15	1.11073e-12	3.13026e-11	4.63188e-10	2.38429e-08	4.67445e-07	5.59111e-06	0.000425369	0.0359506	0.318642	0.554074	0.0879472	0.00290219	4.25366e-05	7.70575e-06	1.83787e-06	6.8316e-07	1.54945e-08	5.15247e-10	9.12509e-12	2.82326e-14	3.17055e-16	3.61698e-17	4.74446e-19	4.30984e-20	6.65956e-23	2.86889e-24	2.19864e-27	4.83732e-29	1.94312e-32	1.03556e-34	3.34901e-38	1.77252e-40	3.71087e-42	
N3	5.94851e-37	1.23608e-32	1.33363e-28	7.74111e-25	4.88393e-22	1.10314e-19	9.08506e-18	3.32905e-14	4.36185e-11	8.6348e-11	1.46516e-10	1.87593e-08	5.25978e-08	1.99982e-08	2.24098e-06	0.000776826	0.0640418	0.698878	0.227893	0.00833269	7.48496e-05	4.41398e-07	5.92947e-09	1.01385e-10	4.46424e-13	1.6324e-15	4.13605e-18	3.41944e-21	3.74882e-24	1.01528e-26	8.90554e-30	2.48241e-32	1.0169e-35	1.60281e-38	3.03408e-42	2.65715e-45	2.52441e-49	1.1276e-52	6.75955e-57	2.22727e-60	5.84081e-64	
N4	1.93457e-37	2.28027e-33	1.73526e-29	7.69539e-26	5.25509e-23	1.37772e-20	3.07075e-18	3.11383e-15	7.90309e-13	2.8989e-12	1.08613e-11	3.42299e-10	1.18537e-09	7.39758e-09	2.30634e-06	0.000716042	0.0598398	0.669045	0.2581	0.0121568	0.000139406	6.18012e-07	3.1365e-09	4.00417e-10	2.06114e-11	3.83809e-13	1.33424e-14	2.31666e-17	1.2565e-19	2.07659e-22	1.76135e-25	6.89609e-27	1.07723e-29	3.60761e-31	1.88924e-34	4.01507e-36	4.95476e-40	3.83147e-42	2.75694e-46	8.49559e-49	2.0966e-52	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.92354e-34	4.96271e-31	7.67851e-28	6.77397e-25	1.79762e-22	3.76125e-20	8.05465e-18	1.68335e-15	1.19273e-13	7.68833e-13	5.95914e-12	1.70695e-10	2.46216e-09	5.785e-08	9.7333e-06	0.00145548	0.07221	0.637319	0.27137	0.0173182	0.000315352	2.3192e-06	1.31145e-08	2.53277e-09	3.16638e-10	1.47939e-11	1.40955e-12	7.76138e-15	1.12548e-16	5.24448e-19	9.12828e-22	6.99545e-23	4.20069e-25	3.84733e-26	8.84466e-29	5.39077e-30	2.76352e-33	7.06242e-35	2.04347e-38	2.11329e-40	1.77374e-43	
N6	2.29365e-43	2.19977e-42	2.17156e-41	2.01053e-40	1.73701e-39	2.09804e-27	1.0311e-37	2.25175e-22	7.50166e-15	3.03944e-20	8.40527e-20	8.95806e-13	5.50934e-18	6.10436e-33	1.57915e-32	8.45393e-14	7.02065e-07	0.999997	1.85968e-06	5.73101e-13	4.07782e-33	9.79744e-34	2.56352e-34	2.06218e-34	2.31831e-34	2.95799e-34	3.57038e-34	2.18233e-34	1.50569e-34	1.25776e-34	7.48043e-35	1.41003e-34	1.3205e-34	2.59639e-34	2.05676e-34	3.09633e-34	1.59324e-34	1.77554e-34	6.81786e-35	6.80376e-35	4.46577e-35	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
