NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	7.40023e-24	1.22614e-20	1.43551e-17	5.97545e-16	4.28128e-13	3.09874e-13	7.87453e-11	7.07753e-09	3.00884e-10	1.17671e-09	2.75112e-07	1.13073e-05	7.56869e-07	8.19588e-09	3.03298e-10	0.683971	0.27464	0.0413768	1.68317e-13	7.98795e-16	1.91525e-18	2.7619e-21	2.6514e-24	1.81084e-27	9.22027e-31	3.62357e-34	1.12888e-37	2.84736e-41	5.91452e-45	1.02602e-48	1.50388e-52	1.88082e-56	2.02385e-60	1.88713e-64	1.53423e-68	1.09338e-72	6.86237e-77	3.80893e-81	1.87657e-85	8.23439e-90	3.25959e-94	
N2	3.43482e-26	6.17806e-23	8.0885e-20	1.64198e-17	6.38191e-15	3.62767e-14	8.64766e-12	6.4791e-10	5.52291e-11	4.57885e-10	1.30053e-07	1.23848e-05	6.92857e-05	0.000119159	0.000926689	0.199736	0.537262	0.257445	0.00438253	2.70038e-05	1.51891e-05	4.51001e-06	2.74339e-07	4.37341e-08	3.93883e-11	1.7479e-13	1.43154e-16	2.98523e-20	4.05364e-23	1.34714e-26	1.40503e-28	6.49187e-31	2.05123e-32	6.19259e-35	2.48409e-37	5.33276e-39	4.4297e-43	3.29233e-46	4.13305e-49	3.79274e-53	1.77796e-55	
N3	2.20895e-35	5.86874e-31	1.06506e-26	3.97465e-24	3.96639e-20	1.10412e-19	2.3623e-16	2.58584e-13	7.37604e-14	1.90495e-12	1.30734e-08	1.25088e-05	6.11935e-06	2.47671e-07	5.60048e-07	0.000712194	0.0810886	0.901607	0.0165274	4.47274e-05	5.66319e-07	5.31633e-09	2.0901e-11	9.05098e-14	2.6807e-17	1.20997e-20	2.34731e-24	1.14313e-28	1.31736e-32	7.74316e-37	1.10382e-40	3.3223e-44	1.89366e-44	3.96301e-46	1.42599e-47	2.16545e-47	1.3989e-48	1.70317e-50	2.69747e-52	8.80298e-55	2.16103e-56	
N4	2.45281e-37	5.27806e-33	7.77446e-29	8.15139e-26	4.33327e-22	1.85303e-20	3.45382e-17	2.72707e-14	1.10989e-13	8.3755e-12	1.6935e-08	3.86255e-06	1.40589e-06	5.97265e-08	2.97623e-07	0.00026279	0.0579085	0.911825	0.0298913	0.000106163	2.05012e-07	1.18312e-09	1.65779e-11	1.43586e-12	1.40901e-14	4.47544e-17	2.50552e-19	2.57489e-23	2.04514e-26	2.03635e-30	9.54117e-35	5.04871e-38	1.33038e-39	4.7349e-41	6.58478e-42	6.67374e-41	4.01137e-41	2.25078e-42	1.92562e-43	1.00804e-44	5.59105e-46	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.59065e-35	1.61646e-31	8.47725e-28	1.00844e-24	2.09387e-21	2.1741e-19	2.2096e-16	1.16032e-13	9.49025e-13	4.88168e-11	2.58763e-08	2.11422e-06	6.6744e-07	9.04697e-08	8.4194e-07	0.000327568	0.0548102	0.898058	0.0464724	0.000327578	7.10549e-07	2.62489e-09	1.14084e-10	2.98365e-11	1.55323e-12	1.70655e-14	5.21787e-16	2.32609e-19	6.82805e-22	2.75316e-25	2.99371e-29	3.02231e-32	1.51794e-35	2.62532e-38	1.11859e-40	3.90302e-42	1.57527e-44	2.37771e-47	7.1688e-50	1.97795e-52	2.74593e-55	
N6	1.23781e-45	1.61534e-44	2.05071e-43	2.35493e-42	2.42408e-41	1.785e-43	1.78344e-39	5.15684e-23	2.30298e-33	2.69968e-39	2.90199e-19	1.35176e-11	3.87755e-17	9.31558e-34	4.3573e-33	5.5991e-15	1.99782e-07	0.999999	3.26025e-07	1.50327e-14	9.35538e-34	2.70684e-34	4.12015e-34	1.48086e-33	2.5891e-33	4.01353e-33	6.86491e-33	2.44999e-33	1.26617e-33	4.7556e-34	8.00132e-35	2.79897e-35	1.23337e-35	1.00845e-35	1.91484e-35	7.43505e-35	8.6854e-35	1.1943e-34	2.78132e-34	3.61536e-34	5.82805e-34	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	7.02614e-40	4.06269e-35	1.74038e-30	1.7709e-27	5.35921e-23	3.4692e-22	3.50219e-18	1.61759e-14	4.21969e-15	1.19303e-13	6.91751e-10	4.84524e-07	2.84897e-08	5.23538e-10	2.43102e-09	9.09764e-06	0.00969937	0.980496	0.00978323	1.18021e-05	4.64476e-09	4.35234e-12	1.63962e-14	1.39838e-16	2.50992e-19	1.88418e-22	1.91323e-25	9.9686e-30	1.50558e-33	6.48098e-38	8.95798e-43	6.42836e-47	7.77151e-47	1.91859e-48	9.30587e-50	5.89642e-49	4.48581e-48	9.50716e-50	3.63936e-51	7.74447e-53	1.73412e-54	
N8	8.37675e-37	1.15085e-32	1.20377e-28	9.38851e-26	5.64043e-22	8.08763e-21	1.80631e-17	1.81559e-14	1.01187e-14	2.09788e-13	2.46854e-10	4.5762e-08	1.69728e-08	3.18986e-09	1.83141e-08	2.5624e-05	0.0136025	0.963728	0.0225734	7.06552e-05	6.71225e-08	5.35722e-11	4.02247e-13	1.03709e-14	7.96561e-17	2.9011e-19	1.49008e-21	2.84283e-25	1.16735e-28	1.79857e-32	8.98374e-37	1.50384e-40	1.50513e-44	4.98621e-48	4.44535e-51	1.3336e-53	8.09631e-57	3.00454e-60	3.09259e-63	2.48946e-65	1.34855e-65	
N9	9.47769e-50	1.97797e-48	3.9307e-47	7.1699e-46	1.20843e-44	2.14299e-46	2.70217e-42	1.9881e-25	1.29434e-35	2.78941e-41	4.19806e-21	2.55151e-13	1.65327e-18	5.82446e-35	5.66128e-34	2.11594e-15	1.28232e-07	1	2.3708e-07	7.12506e-15	1.58184e-34	1.78429e-35	2.39468e-35	1.75406e-34	5.25601e-34	1.00949e-33	3.3746e-33	6.6687e-34	3.34377e-34	7.75812e-35	6.73784e-36	2.03984e-36	4.03839e-37	2.35853e-37	5.15442e-37	4.07899e-36	7.34145e-36	9.64042e-36	3.2229e-35	6.8502e-35	9.82081e-35	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	9.26778e-49	9.60154e-43	5.95924e-37	4.26829e-34	2.16278e-28	3.78985e-29	5.94386e-24	4.3454e-19	2.69899e-21	6.55414e-20	9.26309e-15	2.95023e-10	3.22731e-12	7.18468e-15	4.07501e-14	5.21666e-09	0.000202534	0.999416	0.000381148	1.81076e-08	2.5254e-13	2.3508e-18	1.68211e-22	4.65145e-26	3.28156e-30	8.80779e-35	2.74833e-39	2.4487e-45	2.8878e-51	4.30446e-58	5.80164e-36	1.7555e-36	3.16803e-37	1.74797e-37	3.85041e-37	3.32766e-36	6.30771e-36	8.07233e-36	2.72114e-35	6.16465e-35	8.76575e-35	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.05632e-46	6.3344e-41	2.08756e-35	4.10367e-32	7.12518e-27	3.03933e-26	1.02728e-21	1.27763e-17	2.2827e-18	1.35319e-16	4.44971e-12	1.18416e-08	1.48815e-10	6.58758e-13	8.4733e-12	2.34267e-07	0.00172242	0.993506	0.00476985	1.6471e-06	1.26777e-10	6.84717e-15	6.24229e-18	5.51147e-20	9.13222e-23	2.58463e-26	9.86307e-28	2.6254e-30	5.46267e-32	1.5029e-34	1.09239e-37	8.79171e-40	1.71139e-42	1.67861e-44	7.05466e-46	3.10252e-46	1.82742e-47	3.07634e-49	1.20318e-50	6.22e-52	1.07654e-53	
N12	8.21625e-38	1.3221e-34	1.58157e-31	5.78167e-30	5.49712e-27	4.2389e-27	5.79518e-23	4.16779e-19	2.32925e-19	3.97098e-17	1.07355e-12	2.53885e-09	2.16031e-11	1.57012e-13	6.29269e-12	1.75897e-07	0.00141403	0.993958	0.00462589	1.59347e-06	1.24346e-10	4.5778e-15	6.98148e-18	6.84991e-19	1.35546e-20	1.43643e-23	1.84661e-25	3.1243e-30	9.14149e-34	1.11796e-38	2.87316e-44	2.27781e-48	9.00451e-54	3.08985e-58	1.01253e-61	1.07639e-63	1.3248e-66	1.3176e-70	3.22894e-74	2.93664e-77	2.34326e-81	
N13	1.41616e-42	3.6064e-38	8.07762e-34	1.5872e-30	1.98943e-26	8.53721e-25	3.96053e-21	8.20457e-18	1.40791e-17	7.0854e-16	1.59561e-12	4.70804e-10	2.24117e-10	1.37733e-10	2.06881e-09	5.92618e-06	0.00661861	0.980554	0.0127996	2.17041e-05	1.08871e-08	3.61197e-12	2.80952e-14	2.30966e-15	5.07049e-17	2.75609e-19	4.50203e-21	4.53931e-25	2.33748e-28	2.07658e-32	5.42577e-37	1.04938e-40	4.74904e-45	1.36733e-48	1.67431e-51	1.596e-53	2.67249e-56	1.10252e-59	1.77641e-62	2.75559e-65	1.06558e-68	
N14	2.01579e-51	4.9983e-50	1.23442e-48	2.95382e-47	6.9095e-46	2.33406e-47	3.55318e-43	5.69454e-26	5.93723e-36	2.81792e-41	7.68389e-21	5.53689e-13	4.01685e-18	9.56849e-35	8.09577e-34	3.43577e-15	1.61969e-07	1	2.8491e-07	1.05952e-14	2.01966e-34	2.7757e-35	4.08821e-35	2.62088e-34	7.30318e-34	1.46504e-33	4.25022e-33	9.30732e-34	4.20231e-34	1.03059e-34	1.00703e-35	3.02778e-36	7.13338e-37	4.82335e-37	1.0488e-36	7.18531e-36	1.22252e-35	1.7371e-35	5.88818e-35	1.1317e-34	1.6134e-34	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	2.03831e-44	1.5721e-39	8.53266e-35	8.47073e-32	3.45296e-27	1.35591e-26	1.97891e-22	1.48593e-18	2.8706e-19	1.56581e-17	3.51116e-13	1.53688e-09	3.73765e-10	1.57437e-11	1.02188e-10	9.04215e-07	0.00264311	0.992504	0.00484931	3.00875e-06	5.53487e-10	7.19769e-14	9.23122e-17	5.42841e-19	9.33174e-22	7.02171e-25	8.18784e-28	2.9349e-32	2.55033e-36	7.43827e-41	6.73517e-46	2.15187e-50	3.28366e-55	1.55903e-59	2.52785e-63	2.57551e-66	3.16063e-67	3.94807e-67	1.50342e-66	3.85149e-66	5.18365e-66	
N16	1.59854e-55	9.29523e-54	5.15986e-52	2.67381e-50	1.27653e-48	3.92549e-50	2.08359e-45	2.41739e-28	4.67553e-38	1.66914e-43	3.95226e-23	2.98747e-15	1.69779e-20	2.08362e-36	4.72053e-35	2.57688e-16	4.54558e-08	1	8.62667e-08	9.08606e-16	1.39272e-35	6.26698e-37	8.20613e-37	1.40089e-35	8.68364e-35	1.89946e-34	1.46155e-33	1.26007e-34	6.06545e-35	6.67804e-36	2.51611e-37	7.01206e-38	6.05645e-39	3.06653e-39	7.51513e-39	1.38204e-37	4.95854e-37	5.83169e-37	2.55991e-36	1.1492e-35	1.38948e-35	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	1.58743e-55	9.23451e-54	5.12842e-52	2.6589e-50	1.27023e-48	7.83629e-50	2.07668e-45	4.83442e-28	6.60652e-38	3.34419e-43	7.92327e-23	4.22498e-15	3.39382e-20	2.0785e-36	4.71269e-35	5.16119e-16	6.43138e-08	1	1.22081e-07	1.82047e-15	1.39104e-35	6.25341e-37	8.18512e-37	1.39844e-35	8.67427e-35	1.89704e-34	1.46086e-33	1.25866e-34	6.06096e-35	6.6692e-36	2.5109e-37	6.99801e-38	6.03888e-39	3.05584e-39	7.48908e-39	1.37842e-37	4.94882e-37	5.81911e-37	2.55402e-36	1.14739e-35	1.3872e-35	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	2.93822e-44	2.37981e-39	1.34164e-34	1.82756e-31	6.44586e-27	5.57934e-26	6.00362e-22	2.73666e-18	8.49384e-19	3.01502e-17	2.20197e-13	3.68266e-10	2.11195e-10	2.24652e-11	2.27466e-10	1.53751e-06	0.00351375	0.988713	0.00776509	7.08105e-06	1.8043e-09	3.12076e-13	7.67647e-16	1.13207e-17	4.61907e-20	6.7481e-23	1.83635e-25	7.75013e-30	9.89732e-34	3.35522e-38	3.42141e-43	1.13287e-46	3.00097e-47	4.06371e-49	2.18753e-50	1.20072e-49	4.26143e-49	1.01215e-50	7.9627e-52	7.65154e-53	4.44381e-53	
N19	1.11091e-52	3.30562e-51	9.48854e-50	2.55339e-48	6.48986e-47	2.88042e-46	3.76245e-44	8.17644e-25	8.72556e-36	5.58436e-40	1.88693e-19	1.52555e-12	1.57331e-16	3.83962e-35	4.11896e-34	2.74022e-13	1.45173e-06	0.999996	2.56278e-06	8.50739e-13	1.0317e-34	1.08706e-35	1.61084e-35	1.30594e-34	4.39313e-34	9.43515e-34	3.42775e-33	5.97746e-34	2.59462e-34	5.22536e-35	4.04188e-36	1.16864e-36	2.18852e-37	1.42885e-37	3.2459e-37	2.80718e-36	5.63958e-36	7.81806e-36	2.99065e-35	6.9202e-35	9.36135e-35	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
