NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.70916e-30	2.21498e-27	1.49614e-24	2.95326e-22	4.9216e-20	5.75742e-19	1.11522e-18	1.23736e-16	9.19205e-15	2.62065e-14	4.59312e-14	2.16295e-13	1.61802e-13	2.76356e-14	9.06918e-14	3.54923e-12	4.66335e-11	1	4.7734e-11	6.31326e-12	3.30738e-13	8.62647e-15	1.29595e-16	1.2374e-18	8.05525e-21	3.76661e-23	1.31691e-25	3.55352e-28	7.59236e-31	1.31174e-33	1.86509e-36	2.21499e-39	2.22521e-42	1.91177e-45	1.41804e-48	9.15662e-52	5.18499e-55	2.59139e-58	1.1497e-61	4.55126e-65	1.63799e-68	
N2	6.35798e-33	4.4986e-30	2.87957e-27	1.02694e-24	1.13156e-22	2.45767e-21	5.93419e-20	8.58787e-18	1.34564e-15	5.56437e-14	8.34194e-13	4.26498e-11	1.43218e-09	1.89729e-08	9.71116e-07	0.00023903	0.0283826	0.770574	0.192567	0.00812938	0.000106425	6.68165e-07	3.7437e-08	3.38454e-08	9.06803e-09	1.0155e-09	1.76639e-10	4.34809e-13	3.78153e-15	1.00903e-17	4.7919e-20	8.83508e-21	1.1289e-22	1.30702e-23	1.19126e-25	6.97819e-27	3.13973e-30	2.03269e-32	5.14271e-36	3.31833e-38	2.26323e-40	
N3	4.04157e-39	1.21731e-34	1.75707e-30	1.25895e-26	1.93036e-23	2.4841e-21	1.30834e-19	6.05843e-16	1.43011e-12	7.04593e-12	6.93405e-12	9.79019e-10	6.46001e-09	2.97104e-09	6.85099e-08	5.66286e-05	0.0151584	0.576621	0.385984	0.0219232	0.00025521	1.03907e-06	5.66416e-09	1.61639e-10	1.92828e-12	1.48843e-14	8.96658e-17	7.86308e-20	9.61942e-23	9.36712e-26	6.77186e-29	2.95459e-31	2.75442e-34	7.75344e-37	4.0582e-40	6.0373e-43	7.54553e-47	4.58814e-50	3.2082e-54	1.27814e-57	2.36874e-61	
N4	3.45024e-39	5.14751e-35	4.73591e-31	2.40753e-27	2.67768e-24	4.53574e-22	6.63991e-20	8.4598e-17	3.78935e-14	2.73646e-13	7.85947e-13	2.81293e-11	2.19792e-10	1.13982e-09	1.96504e-07	0.00011	0.0198908	0.551324	0.400535	0.0277221	0.000416072	2.08589e-06	6.39811e-09	6.33845e-10	5.92824e-11	1.76445e-12	1.17789e-13	3.40526e-16	2.51357e-18	4.89408e-21	2.50614e-24	6.70514e-26	1.93876e-28	8.29639e-30	1.01052e-32	2.7694e-34	4.79494e-38	5.89841e-40	4.92601e-44	2.29374e-46	5.45221e-50	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	6.96031e-36	1.4131e-32	2.66583e-29	2.85912e-26	8.48888e-24	1.48358e-21	3.00003e-19	8.74938e-17	1.09485e-14	1.33933e-13	1.55259e-12	6.40922e-11	1.15478e-09	1.6157e-08	1.97111e-06	0.000422511	0.0341447	0.541465	0.389761	0.0334534	0.000745053	6.31248e-06	3.12869e-08	4.13555e-09	7.3163e-10	4.9008e-11	7.03654e-12	6.16523e-14	1.15267e-15	6.70252e-18	9.57534e-21	5.10303e-22	4.35348e-24	4.77363e-25	1.99105e-27	1.44871e-28	1.04053e-31	3.92266e-33	1.28661e-36	1.92316e-38	1.61984e-41	
N6	5.70954e-43	5.07741e-42	4.68268e-41	4.05221e-40	3.27468e-39	3.7378e-27	1.70625e-37	2.52711e-22	1.10113e-14	5.06903e-20	7.86776e-20	1.10924e-12	7.81944e-18	6.83085e-33	1.69636e-32	4.50268e-14	5.09345e-07	0.999997	2.23144e-06	7.98512e-13	3.66347e-33	8.16902e-34	2.1627e-34	2.01125e-34	2.33525e-34	3.00979e-34	3.58088e-34	2.21894e-34	1.56496e-34	1.2809e-34	7.48681e-35	1.41162e-34	1.32486e-34	2.58148e-34	2.07752e-34	3.10133e-34	1.64902e-34	1.87739e-34	7.0969e-35	7.00801e-35	4.20751e-35	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	5.08232e-39	1.01474e-34	1.03323e-30	4.00613e-27	1.52909e-24	6.01295e-22	1.97135e-20	6.882e-17	1.19151e-13	1.45818e-13	3.72351e-13	1.46707e-10	5.01149e-10	2.02363e-10	1.13201e-08	1.72531e-05	0.00862541	0.674016	0.308417	0.00887262	5.18867e-05	1.01554e-07	1.13081e-10	1.10503e-12	1.22022e-14	8.15325e-17	5.85704e-19	6.00973e-22	8.54439e-25	5.77697e-28	1.41986e-31	4.22362e-34	3.35787e-37	1.2767e-39	5.99487e-43	1.32237e-45	1.66931e-49	1.98079e-52	1.10851e-56	6.18123e-60	5.96638e-64	
N8	8.68631e-36	3.71986e-32	1.15798e-28	2.10869e-25	5.03131e-23	1.49616e-20	2.11554e-18	2.90271e-15	1.69586e-12	3.91699e-12	1.88904e-11	2.00848e-09	4.69571e-09	4.2519e-09	4.60039e-07	0.000206629	0.031265	0.771213	0.191383	0.00588111	5.01843e-05	1.7495e-07	4.91521e-10	1.29287e-11	2.75406e-13	4.04652e-15	5.37843e-17	1.23604e-19	3.75702e-22	6.08777e-25	5.14703e-28	4.30148e-30	9.95001e-33	8.33453e-35	1.29314e-37	5.93755e-40	2.51854e-43	6.0773e-46	1.23231e-49	1.49273e-52	5.74284e-56	
N9	1.69264e-46	1.95321e-45	2.29207e-44	2.5715e-43	2.80828e-42	6.51116e-30	3.28272e-40	1.1513e-24	7.53688e-17	7.66236e-22	2.26102e-21	5.14077e-14	8.21599e-19	9.58438e-34	4.37224e-33	2.88151e-14	4.46166e-07	0.999997	2.08397e-06	5.49625e-13	1.00596e-33	1.19248e-34	2.05282e-35	3.83788e-35	6.45137e-35	1.00955e-34	1.77412e-34	7.00029e-35	4.61125e-35	2.38134e-35	8.65726e-36	2.78833e-35	2.57427e-35	8.96187e-35	6.46536e-35	1.6463e-34	4.47265e-35	7.28592e-35	1.29648e-35	1.48393e-35	6.15239e-36	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	7.57531e-45	2.25436e-39	2.34408e-34	2.64127e-30	6.68747e-28	9.28829e-24	2.11908e-23	1.66354e-18	6.53856e-14	1.25923e-15	4.1304e-15	5.45959e-11	1.62254e-12	8.99849e-15	2.20918e-12	7.12739e-08	0.000705757	0.995737	0.0035558	1.53764e-06	1.83937e-10	8.9774e-15	3.78774e-19	1.34795e-22	3.22329e-26	5.17672e-30	7.53628e-34	1.73928e-38	5.48719e-43	9.80903e-48	9.10567e-53	6.87203e-57	1.10472e-61	5.77735e-66	4.23685e-71	9.48073e-76	1.38737e-81	1.01335e-86	4.33987e-93	8.09952e-99	2.2176e-105	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
