#Nodes with GAIN events with expectation above 0.5
Furcep: 1.9033
N56: 1.86563
N62: 1.05246
N63: 1.8998
N74: 1.02444
C3125: 1.3339
N92: 1.36417
C2208: 0.997113
Riebrev: 2.04009
Total number of gain events: 21.721
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Rhaspe: 1.7662
Rhamar: 1.70366
Rhatem: 0.824701
N33: 1.11577
N37: 1.01794
N42: 0.976667
N45: 0.769322
FGA465: 0.967194
N58: 0.746189
N60: 0.733198
FGA489: 1.01129
N69: 0.620323
N73: 0.987697
Calboe: 2.48812
N78: 1.66502
N79: 1.34196
N80: 1.50539
N85: 0.98372
N88: 1.58963
C404: 1.01467
N96: 1.00227
N106: 0.966438
Riebrev: 0.948556
N128: 1.15585
Total number of loss events: 36.5996
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 7.25344e-28
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N2: 0.5403
N33: 0.997204
N64: 0.653143
N112: 0.955131
N116: 0.966121
N118: 0.605064
Riebrev: 1.94358
N128: 0.950841
Total number of demi-dulications events: 10.5455
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.0151264	0.00978221	8.31302e-29	0.5403	0
N3	0.0589926	0.0580451	2.42298e-31	0.450261	0
N4	0.0122796	0.00883534	9.0962e-35	0.0061816	0
B3088	0.238861	0.249545	0	0.00325456	0
N5	0.0178175	0.0146619	1.10526e-33	0.00141343	0
N6	0.19311	0.206979	4.73594e-48	0.00184561	0
BGA709	8.85421e-08	1.57257e-07	0	4.51859e-10	0
BGA710	8.85421e-08	1.57257e-07	0	4.51859e-10	0
BGA309	0.193635	0.207505	0	0.00184561	0
N7	0.0273212	0.032114	5.00296e-35	0.00915749	0
N8	0.0532281	0.0511813	1.3981e-36	0.000262178	0
N9	0.0529593	0.0574777	5.56773e-54	2.08581e-05	0
B11696	5.77929e-08	1.044e-07	0	1.25525e-11	0
B11697	5.77929e-08	1.044e-07	0	1.25525e-11	0
N10	0.0433771	0.0478199	6.43886e-41	2.08345e-05	0
B11609	0.000513272	0.00058889	0	2.36446e-08	0
BGA392	0.000513272	0.00058889	0	2.36446e-08	0
N11	0.00508055	0.00651629	7.48959e-43	0.000274425	0
N12	0.000738211	0.000805837	5.69042e-47	6.36988e-06	0
N13	0.0126758	0.0111492	6.05927e-39	1.80267e-06	0
N14	0.072602	0.0750968	3.48175e-58	4.28619e-07	0
B985	7.53853e-08	1.29226e-07	0	3.96286e-13	0
B983	7.53853e-08	1.29226e-07	0	3.96286e-13	0
N15	0.0369173	0.0384797	9.41894e-43	4.20775e-07	0
N16	0.00976975	0.0107023	1.5176e-59	8.33354e-09	0
B199	2.01792e-08	3.67479e-08	0	9.52236e-15	0
BGAA3	2.01792e-08	3.67479e-08	0	9.52236e-15	0
N17	0.00976872	0.0107012	1.52453e-59	8.33353e-09	0
B11604	2.85488e-08	5.1998e-08	0	1.34938e-14	0
BGA583	2.85488e-08	5.1998e-08	0	1.34938e-14	0
N18	0.0219198	0.0212983	2.64951e-41	2.15024e-06	0
N19	0.0488576	0.050447	8.4913e-60	8.11312e-08	0
BGA89	6.69381e-07	1.14769e-06	0	1.05821e-12	0
BGA40	6.69381e-07	1.14769e-06	0	1.05821e-12	0
N20	0.0057231	0.00588786	8.12488e-44	6.73347e-08	0
N21	0.0293319	0.0307569	6.81633e-61	1.38042e-08	0
BGAA2	4.97216e-08	8.65585e-08	0	2.25238e-14	0
BGAA1	4.97216e-08	8.65585e-08	0	2.25238e-14	0
N22	0.0256153	0.0270297	4.35548e-50	1.38002e-08	0
BGA584	1.41972e-05	2.48615e-05	0	6.17732e-12	0
BGA706	1.41972e-05	2.48615e-05	0	6.17732e-12	0
N23	0.0381903	0.0359587	3.0525e-42	7.92398e-06	0
N24	0.0414623	0.0447247	5.17658e-47	6.79772e-07	0
BGA304	6.28348e-06	1.12729e-05	0	5.94193e-11	0
BGA303	6.28348e-06	1.12729e-05	0	5.94193e-11	0
N25	0.0438945	0.0471619	1.60899e-56	6.79827e-07	0
BGAB1	3.86363e-08	6.90499e-08	0	3.50689e-13	0
BGA7	3.86363e-08	6.90499e-08	0	3.50689e-13	0
N26	0.479041	0.487429	1.37317e-38	0.459753	0
PGA445	2.38483e-06	4.06947e-06	0	1.35944e-06	0
PGA363	2.38483e-06	4.06947e-06	0	1.35944e-06	0
N27	0.0115131	0.02375	4.08746e-31	1.01801e-06	0
N28	0.00673161	0.423778	6.26545e-32	9.36881e-09	0
Rhaspe	0.190516	1.7662	0	0.00120867	0
N29	0.00403694	0.0630227	5.24927e-29	1.76861e-07	0
Rhamar	0.189667	1.70366	0	0.000545088	0
Rhatem	0.302497	0.824701	0	0.00241277	0
N30	0.0118953	0.000806418	1.33845e-39	1.97084e-07	0
N31	0.0224264	0.0233328	7.82835e-39	5.85076e-05	0
N32	0.01509	0.028489	3.51191e-33	1.14608e-06	0
N33	0.192137	1.11577	3.10027e-46	0.997204	0
FGA379	1.90408e-07	1.9282e-06	0	1.39899e-07	0
F647	1.90408e-07	1.9282e-06	0	1.39899e-07	0
N34	0.0392798	0.0235715	1.49263e-30	2.08635e-06	0
N35	0.0341832	0.0321719	1.81409e-30	3.28447e-06	0
N36	0.00178134	0.03527	7.89807e-36	7.32866e-07	0
N37	0.0481657	1.01794	2.00485e-45	2.30199e-07	0
F3016	3.66669e-08	1.26688e-06	0	0	0
F3015	3.66669e-08	1.26688e-06	0	0	0
N38	0.00320307	0.00646863	9.6667e-37	9.06036e-08	0
N39	0.0143403	0.00268078	1.0183e-36	2.09573e-07	0
N40	0.00355504	0.0269526	4.3989e-44	8.41403e-08	0
N41	0.000849135	0.0149804	4.41423e-45	7.27e-10	0
N42	0.0359914	0.976667	2.96625e-45	1.67453e-08	0
F1476	4.68317e-08	2.63995e-06	0	0	0
FGA81	4.68317e-08	2.63995e-06	0	0	0
N43	0.00737249	0.00746406	3.39071e-37	4.59676e-09	0
Furcep	1.9033	0.207303	0	0.0726816	0
N44	0.00119407	0.0376533	6.03442e-36	2.68687e-08	0
Furpol	0.137089	0.0426275	0	0.000349837	0
N45	0.00438125	0.769322	2.79118e-36	9.32053e-09	0
N46	0.00271827	0.123163	1.0325e-37	8.58745e-10	0
N47	0.00649236	0.0252421	2.19356e-45	8.00682e-10	0
F2241	4.89985e-07	3.11599e-06	0	1.68143e-12	0
F12266	4.89985e-07	3.11599e-06	0	1.68143e-12	0
Furang	0.0068828	0.0256351	0	7.87912e-10	0
Fga490	0.0173994	0.156597	0	2.66269e-07	0
N48	0.00638062	0.0187284	6.2438e-48	1.1327e-09	0
N49	0.0129213	0.00470505	1.19351e-43	3.89582e-09	0
N50	0.0505447	0.00093006	2.56891e-44	1.47413e-07	0
N51	0.00242543	0.00230464	2.17986e-44	3.43937e-08	0
N52	0.00406942	0.00424261	7.61908e-39	6.53331e-09	0
FGA456	0.00807069	0.00831147	0	3.27022e-09	0
N53	0.00778334	0.00802389	1.51207e-46	3.42204e-09	0
FGA516	3.18856e-07	5.4865e-07	0	4.06341e-12	0
FGA513	3.18856e-07	5.4865e-07	0	4.06341e-12	0
N54	0.0175703	0.0179842	6.17744e-46	1.05752e-08	0
F12278	4.29696e-08	7.29568e-08	0	2.36518e-12	0
F12279	4.29696e-08	7.29568e-08	0	2.36518e-12	0
N55	0.136586	0.00440074	1.8594e-40	7.73089e-07	0
