NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.5215e-55	3.01233e-31	6.24456e-27	2.45829e-23	3.15038e-20	1.58595e-17	4.28413e-10	3.23705e-06	0.00339721	0.292839	0.669683	0.0339633	0.000113396	4.08461e-08	1.60516e-12	3.74815e-19	2.03759e-22	4.63687e-26	5.41227e-30	3.67032e-34	1.56848e-38	4.46646e-43	8.82092e-48	1.24424e-52	1.28141e-57	9.79568e-63	5.62717e-68	2.45086e-73	8.1422e-79	2.07052e-84	4.03491e-90	6.0189e-96	6.84887e-102	5.90928e-108	3.83187e-114	1.84465e-120	6.48432e-127	1.62804e-133	2.83407e-140	3.28381e-147	2.73972e-154	
N2	1.7138e-57	3.5358e-32	1.31102e-26	9.1501e-22	2.0576e-17	1.79404e-13	6.42701e-10	9.19799e-07	0.00045687	0.0509006	0.318186	0.414136	0.183911	0.0305906	0.00178736	2.96126e-05	1.14387e-07	1.42968e-10	6.67483e-14	1.4041e-17	1.53608e-21	9.66209e-26	3.75114e-30	9.46283e-35	1.61138e-39	1.90614e-44	1.60074e-49	9.70038e-55	4.29321e-60	1.39942e-65	3.37719e-71	6.04773e-77	8.03167e-83	7.8838e-89	5.82149e-95	1.60889e-100	1.01382e-104	6.50953e-109	3.4347e-113	1.45858e-117	6.1211e-122	
N3	1.06439e-67	1.12903e-41	2.04484e-35	6.7944e-30	7.09103e-25	2.80405e-20	4.48513e-16	2.87926e-12	6.83922e-09	4.88445e-06	0.000574661	0.0172572	0.158739	0.444909	0.330333	0.047504	0.000677277	7.11004e-07	1.39843e-10	9.4904e-15	2.92605e-19	4.77831e-24	4.55368e-29	2.70543e-34	1.05055e-39	2.76075e-45	5.03961e-51	6.51687e-57	6.05713e-63	4.08882e-69	2.01838e-75	7.31239e-82	1.94538e-88	3.79073e-95	5.37841e-102	5.50279e-109	4.00229e-116	2.02816e-123	6.9634e-131	1.55753e-138	3.0088e-146	
N4	1.79619e-69	2.10199e-43	4.22645e-37	1.57083e-31	1.85332e-26	8.41077e-22	1.57806e-17	1.22809e-13	3.73171e-10	3.7901e-07	8.98009e-05	0.00522658	0.0834278	0.369686	0.424999	0.111002	0.00552768	4.08323e-05	3.09154e-08	5.80051e-12	4.01246e-16	1.27195e-20	2.11491e-25	2.01974e-30	1.18133e-35	4.43547e-41	1.10729e-46	1.8873e-52	2.24042e-58	1.8797e-64	1.12611e-70	4.84827e-77	1.50432e-83	3.36167e-90	5.38711e-97	6.13915e-104	4.91024e-111	2.70412e-118	9.97908e-126	2.37517e-133	6.01304e-141	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	7.35274e-67	2.64703e-41	1.75123e-35	2.27796e-30	1.00878e-25	1.8623e-21	1.56255e-17	6.10533e-14	1.08375e-10	8.06219e-08	2.14662e-05	0.00172524	0.0396378	0.255386	0.453395	0.220417	0.0285974	0.00081695	2.79609e-06	2.54906e-09	8.97305e-13	1.49543e-16	1.33956e-20	7.025e-25	2.29167e-29	4.86172e-34	6.93439e-39	6.81873e-44	4.71036e-49	2.31772e-54	8.20154e-60	2.09949e-65	3.89768e-71	5.34269e-77	2.87964e-82	4.62274e-86	7.46424e-90	9.91715e-94	1.06941e-97	9.18802e-102	9.5831e-106	
N6	5.32891e-47	1.44336e-45	3.76693e-44	9.0812e-43	2.00236e-41	3.98981e-40	7.0779e-39	1.09715e-37	1.45088e-36	1.58647e-35	1.37659e-34	8.98474e-34	4.13979e-33	1.2815e-32	2.70552e-32	5.01567e-11	1.65811e-05	0.999983	4.23125e-08	3.68582e-16	2.11153e-32	1.29495e-32	7.35311e-33	3.90578e-33	1.9569e-33	9.31143e-34	4.23171e-34	1.84561e-34	7.75621e-35	3.15176e-35	1.2421e-35	4.7598e-36	1.77765e-36	6.48336e-37	2.31327e-37	8.08747e-38	2.77444e-38	9.35117e-39	3.10015e-39	1.01217e-39	4.75492e-40	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.64715e-75	3.24265e-49	1.12198e-42	7.42537e-37	1.62194e-31	1.42577e-26	5.46994e-22	9.3201e-18	6.81925e-14	1.95401e-10	1.85442e-07	5.09664e-05	0.00392745	0.0818523	0.424608	0.440778	0.048573	0.00020963	7.93634e-08	8.08867e-12	3.28661e-16	6.51082e-21	7.10332e-26	4.62814e-31	1.90651e-36	5.17656e-42	9.55616e-48	1.22768e-53	1.11686e-59	7.28634e-66	3.43847e-72	1.17969e-78	2.94763e-85	5.35535e-92	7.03894e-99	6.63308e-106	4.42044e-113	2.04289e-120	6.36969e-128	1.29087e-135	2.38536e-143	
N8	1.22056e-76	9.48371e-51	1.37025e-44	4.016e-39	4.16487e-34	1.8912e-29	4.1633e-25	4.66272e-21	2.69504e-17	7.93623e-14	1.14353e-10	7.49004e-08	1.98284e-05	0.00179548	0.046696	0.312518	0.501622	0.136917	0.00043103	2.84431e-07	6.79592e-11	7.5257e-15	4.45014e-19	1.53968e-23	3.32034e-28	4.67138e-33	4.43497e-38	2.9141e-43	1.35047e-48	4.47536e-54	1.07075e-59	1.86247e-65	3.31214e-71	3.68341e-75	1.17489e-78	3.15789e-82	7.06943e-86	1.30648e-89	1.96759e-93	2.3702e-97	3.0733e-101	
