#Nodes with GAIN events with expectation above 0.5
N2: 0.735081
N3: 0.935472
N26: 1.36232
Furcep: 1.96558
N56: 1.8472
N62: 1.05881
N63: 1.94728
N67: 0.545856
N74: 1.03042
C3125: 1.41161
C12265: 0.514466
N92: 1.44273
C2208: 0.993168
Total number of gain events: 25.3762
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Rhaspe: 1.94515
Rhamar: 1.86668
Rhatem: 1.04579
N33: 1.1993
N37: 1.06058
N42: 1.00366
N45: 0.758336
FGA465: 0.986659
N58: 0.749403
N60: 0.72871
FGA489: 1.05216
N73: 0.984062
Calboe: 2.46102
N78: 1.62107
N79: 1.22241
N80: 1.58649
N85: 0.992268
N88: 1.5072
C404: 1.01763
N96: 1.00863
N106: 0.956921
N127: 1.21907
Total number of loss events: 38.9515
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 3.58826e-26
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N33: 0.998389
N64: 0.776865
N112: 0.97421
N116: 0.978932
N118: 0.724309
N127: 0.996405
Total number of demi-dulications events: 6.66969
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N1:ML=16 to N27:ML=12  ProbOfChange = 0.999982  sum expectations= 0.483388
	HEURISTIC ESTIMATION:	Gains = 2.25376e-07	Losses = 4.16098	Duplications = 2.67985e-40	Demi-dupl = 5.84805e-09	Base-number = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.735081	0.00791539	3.51673e-26	1.903e-05	0
N3	0.935472	0.0547528	4.33094e-33	8.58146e-05	0
N4	0.0472422	0.012753	4.30395e-40	4.35179e-06	0
B3088	0.379435	0.344755	0	2.37859e-06	0
N5	0.0395039	0.0214308	1.31729e-36	6.16702e-07	0
N6	0.308553	0.291946	1.41281e-53	1.40873e-06	0
BGA709	1.7009e-07	2.49877e-07	0	3.99113e-12	0
BGA710	1.7009e-07	2.49877e-07	0	3.99113e-12	0
BGA309	0.308866	0.292259	0	1.40873e-06	0
N7	0.109617	0.0427006	4.84831e-42	5.38632e-06	0
N8	0.0832876	0.0752338	2.03677e-44	1.06121e-07	0
N9	0.0783494	0.0841411	1.9636e-56	1.44459e-08	0
B11696	1.05845e-07	1.77467e-07	0	6.69894e-14	0
B11697	1.05845e-07	1.77467e-07	0	6.69894e-14	0
N10	0.0654106	0.0710855	2.63564e-48	1.43977e-08	0
B11609	0.00101622	0.00113307	0	7.49812e-11	0
BGA392	0.00101622	0.00113307	0	7.49812e-11	0
N11	0.0138999	0.0102689	1.54663e-49	1.09248e-07	0
N12	0.00201333	0.00178209	2.47175e-46	1.50842e-09	0
N13	0.0186733	0.0163679	1.07942e-42	2.5499e-10	0
N14	0.108805	0.112711	1.3433e-61	1.93769e-10	0
B985	1.34061e-07	2.16309e-07	0	1.55678e-13	0
B983	1.34061e-07	2.16309e-07	0	1.55678e-13	0
N15	0.0561942	0.0586445	2.21176e-50	1.40372e-10	0
N16	0.0147639	0.0162197	2.79884e-63	5.20302e-10	0
B199	3.71665e-08	6.38056e-08	0	6.77281e-16	0
BGAA3	3.71665e-08	6.38056e-08	0	6.77281e-16	0
N17	0.0147639	0.0162197	2.81227e-63	5.20302e-10	0
B11604	5.25849e-08	9.02901e-08	0	9.57413e-16	0
