NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.7487e-59	1.38118e-55	1.01342e-51	6.31615e-48	3.27737e-44	1.39197e-40	4.75182e-37	1.27607e-33	2.62572e-30	4.00647e-27	4.34883e-24	3.18211e-21	1.46149e-18	3.82197e-16	4.95662e-14	2.58749e-12	3.83486e-11	1	5.68152e-11	8.76252e-12	5.26283e-13	1.5548e-14	2.6222e-16	2.79111e-18	2.01344e-20	1.03763e-22	3.97733e-25	1.17047e-27	2.80414e-30	
N2	5.49051e-62	2.14362e-57	8.67086e-53	2.87128e-48	7.67418e-44	1.63229e-39	2.71822e-35	3.47669e-31	3.33842e-27	2.34131e-23	1.15944e-19	3.88625e-16	8.35015e-13	1.07004e-09	7.3998e-07	0.000238334	0.0281423	0.757374	0.204701	0.0094091	0.000133995	8.019e-07	2.41789e-09	4.13983e-12	4.3794e-15	3.04708e-18	1.46305e-21	5.04379e-25	1.43586e-28	
N3	7.6505e-65	1.51981e-63	1.46655e-61	2.21506e-56	3.10123e-51	3.36089e-46	2.77222e-41	1.70531e-36	7.63105e-32	2.40894e-27	5.16143e-23	7.14349e-19	5.98267e-15	2.77317e-11	6.25998e-08	5.65305e-05	0.0146017	0.545688	0.412753	0.0265522	0.000347228	1.44998e-06	2.51712e-09	2.15205e-12	1.01844e-15	2.90364e-19	5.31613e-23	6.56834e-27	6.06909e-31	
N4	1.63311e-70	3.47615e-65	6.72177e-60	1.01988e-54	1.19934e-49	1.07752e-44	7.26876e-40	3.60485e-35	1.28087e-30	3.15834e-26	5.19231e-22	5.40696e-18	3.33442e-14	1.11153e-10	1.75986e-07	0.000108924	0.019142	0.522293	0.42485	0.0330473	0.000555363	3.05927e-06	7.07066e-09	8.05568e-12	5.06303e-15	1.90618e-18	4.57636e-22	7.36017e-26	8.92158e-30	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	6.19597e-61	2.32772e-56	8.82961e-52	2.73226e-47	6.8033e-43	1.34269e-38	2.0637e-34	2.41953e-30	2.11098e-26	1.33017e-22	5.83424e-19	1.70037e-15	3.10101e-12	3.26545e-09	1.77402e-06	0.000420419	0.0330654	0.516211	0.410348	0.0389881	0.000956801	8.85949e-06	3.85034e-08	9.0392e-11	1.26374e-13	1.13002e-16	6.82361e-20	2.90589e-23	1.00185e-26	
N6	8.74356e-43	7.55066e-42	6.77723e-41	5.70522e-40	4.48358e-39	3.27341e-38	2.20786e-37	1.36686e-36	7.70831e-36	3.92419e-35	1.78386e-34	7.14469e-34	2.47933e-33	7.2957e-33	1.76951e-32	4.80243e-14	5.23506e-07	0.999997	2.39736e-06	9.27864e-13	3.81411e-33	8.24072e-34	1.40609e-34	1.96905e-35	2.32866e-36	2.37706e-37	2.13051e-38	1.70085e-39	1.29192e-40	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
