NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.06146e-46	8.67799e-44	7.12718e-41	5.2632e-38	3.46454e-35	2.01176e-32	1.01656e-29	4.38727e-27	1.5762e-24	4.56951e-22	1.02167e-19	1.65417e-17	1.79028e-15	1.15334e-13	3.70839e-12	4.50875e-11	1.38471e-10	1	1.55542e-11	6.64351e-13	1.02545e-14	6.81981e-17	2.17682e-19	3.5559e-22	3.07356e-25	1.41687e-28	3.42256e-32	4.12206e-36	2.25445e-40	
N2	1.34415e-49	1.4759e-46	2.82776e-43	6.47463e-40	1.62366e-36	4.03686e-33	9.26827e-30	1.88004e-26	3.2654e-23	4.722e-20	5.51251e-17	5.00132e-14	3.3575e-11	1.55975e-08	4.55604e-06	0.000722888	0.0486253	0.826896	0.120939	0.00279477	1.69256e-05	3.42807e-08	2.65585e-11	8.4779e-15	1.15379e-18	6.7057e-23	5.92516e-27	3.72477e-28	1.37948e-29	
N3	3.967e-56	2.46253e-52	1.61501e-48	9.05282e-45	4.42831e-41	1.97012e-37	8.31669e-34	3.39552e-30	1.3253e-26	5.34854e-23	2.0663e-19	5.933e-16	1.18762e-12	1.52203e-09	1.1029e-06	0.000371854	0.0414828	0.747248	0.206398	0.00448135	1.65263e-05	1.54573e-08	4.57715e-12	4.86869e-16	1.98976e-20	3.19937e-25	1.99315e-30	7.89101e-36	2.79108e-39	
N4	1.14845e-56	1.1779e-52	1.36451e-48	1.40276e-44	1.26312e-40	9.85719e-37	6.58615e-33	3.70869e-29	1.72266e-25	6.45306e-22	1.87129e-18	3.97643e-15	5.81445e-12	5.36635e-09	2.76011e-06	0.000653282	0.0514816	0.712025	0.229234	0.00656957	3.3396e-05	4.31193e-08	1.73667e-11	2.46202e-15	1.31253e-19	2.6961e-24	2.17877e-29	2.90613e-32	4.44957e-34	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	5.13888e-49	1.3118e-45	4.27614e-42	1.26994e-38	3.38268e-35	7.98219e-32	1.6451e-28	2.91167e-25	4.33602e-22	5.29743e-19	5.14296e-16	3.80761e-13	2.03542e-10	7.28776e-08	1.56855e-05	0.00171883	0.0724326	0.672775	0.242754	0.0102085	9.48513e-05	2.65593e-07	2.65522e-10	1.04201e-13	1.6825e-17	1.12897e-21	3.12768e-26	6.4575e-29	2.93601e-30	
N6	2.36823e-41	1.16157e-40	6.51448e-40	3.55467e-39	1.87589e-38	9.53898e-38	4.65396e-37	4.12963e-38	2.91335e-31	1.85581e-36	1.54602e-34	5.53002e-34	1.79541e-33	5.18313e-33	1.29328e-32	1.41985e-13	8.35815e-07	0.999998	1.51237e-06	3.05788e-13	4.55688e-33	9.37304e-34	1.40181e-34	1.5606e-35	1.30954e-36	8.30722e-38	3.95719e-39	1.39751e-40	9.28274e-42	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N7	1.65429e-57	1.65941e-53	1.80336e-49	1.71526e-45	1.38276e-41	9.0692e-38	4.5887e-34	1.66277e-30	3.6616e-27	8.33252e-25	4.59026e-21	2.08725e-17	6.74644e-14	1.431e-10	1.77306e-07	0.000106903	0.0227337	0.843355	0.132363	0.00143781	2.79445e-06	1.46135e-09	2.54076e-13	1.65012e-17	4.24914e-22	4.41657e-27	1.81737e-32	9.76323e-38	8.75312e-41	
N8	2.47328e-51	3.76249e-48	7.4975e-45	1.52885e-41	3.43839e-38	8.85832e-35	2.51015e-31	7.11544e-28	1.8376e-24	4.04845e-21	7.24929e-18	1.00405e-14	1.01954e-11	7.04816e-09	2.97594e-06	0.000646258	0.0530837	0.828312	0.116052	0.00189609	7.17533e-06	8.55717e-09	3.78301e-12	6.77235e-16	5.11972e-20	1.64425e-24	2.18215e-29	2.80432e-34	4.28499e-37	
N9	8.58502e-46	8.80463e-45	9.55245e-44	1.00366e-42	1.01743e-41	9.91155e-41	9.23573e-40	2.19877e-40	2.47413e-33	3.52998e-38	3.90724e-36	2.59664e-35	1.54934e-34	8.09574e-34	3.57381e-33	9.42551e-14	7.41072e-07	0.999998	1.32333e-06	1.87043e-13	1.0607e-33	1.11891e-34	8.36779e-36	4.58534e-37	1.87381e-38	5.74447e-40	1.3155e-41	3.56013e-43	1.99096e-42	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N10	4.71372e-68	1.07259e-62	1.71521e-57	1.8127e-52	1.27614e-47	5.88735e-43	1.69348e-38	2.76576e-34	2.04098e-30	5.44708e-32	1.23411e-30	1.51287e-25	1.22741e-20	6.10045e-16	1.71448e-11	2.35766e-07	0.00118101	0.996603	0.00221519	5.08259e-07	2.60755e-11	4.01544e-16	2.12191e-21	4.07987e-27	2.8619e-33	7.01254e-40	5.4565e-47	2.18525e-54	6.28481e-60	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	9.10467e-69	1.02521e-63	1.04577e-58	8.69667e-54	5.89335e-49	3.17983e-44	1.30302e-39	3.76552e-35	6.21669e-31	2.23711e-29	2.81253e-25	7.05211e-21	1.18717e-16	1.22706e-12	6.804e-09	1.62502e-05	0.0111999	0.889983	0.0983961	0.000404816	2.18403e-07	2.62906e-11	9.26288e-16	1.1079e-20	4.85565e-26	8.00321e-32	4.95976e-38	2.51792e-42	9.25141e-43	
N12	8.43352e-57	3.75762e-54	1.67445e-51	6.4992e-49	2.07261e-46	1.75379e-44	4.8679e-43	7.84033e-39	3.01531e-34	1.12883e-29	3.65193e-25	8.50202e-21	1.33981e-16	1.31053e-12	6.97186e-09	1.62519e-05	0.011161	0.89584	0.0926314	0.000350776	1.80144e-07	2.13509e-11	7.61566e-16	9.43335e-21	4.36202e-26	7.70218e-32	1.5899e-37	3.48682e-39	4.58417e-41	
N13	6.75236e-57	3.07657e-53	1.80225e-49	1.06161e-45	6.38994e-42	3.94547e-38	2.42421e-34	1.39783e-30	7.11295e-27	3.04099e-23	1.04717e-19	2.77093e-16	5.33851e-13	6.94767e-10	5.47023e-07	0.000218704	0.0324044	0.868324	0.0980462	0.00100421	2.18909e-06	1.44327e-09	3.44177e-13	3.2681e-17	1.29379e-21	2.15323e-26	1.60451e-31	2.61389e-34	2.06546e-36	
N14	8.06272e-45	6.9512e-44	6.44304e-43	5.7953e-42	5.03915e-41	4.21996e-40	3.38845e-39	9.03114e-40	7.73388e-33	1.09289e-37	8.1526e-36	4.75304e-35	2.50162e-34	1.16068e-33	4.58675e-33	1.41779e-13	8.98261e-07	0.999998	1.51652e-06	2.58323e-13	1.23273e-33	1.44569e-34	1.21881e-35	7.60875e-37	3.57194e-38	1.26656e-39	3.37357e-41	8.80144e-43	2.59491e-42	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N15	1.05506e-57	7.90553e-54	5.84244e-50	3.42995e-46	1.54001e-42	5.0356e-39	1.12796e-35	1.63576e-32	1.56724e-29	1.54527e-26	1.37672e-22	9.69614e-19	4.96648e-15	1.71667e-11	3.5841e-08	3.78351e-05	0.0145944	0.956298	0.0289788	9.04206e-05	6.30808e-08	1.36488e-11	1.08405e-15	3.45962e-20	4.62818e-25	2.60982e-30	6.03209e-36	1.98249e-41	7.75211e-45	
N16	9.42026e-52	2.39205e-50	6.07451e-49	1.48405e-47	3.47821e-46	7.79382e-45	1.66268e-43	5.66852e-44	1.82892e-36	4.67521e-41	1.85691e-38	2.77077e-37	3.69499e-36	4.28931e-35	4.16881e-34	1.49692e-14	3.11411e-07	0.999999	5.43946e-07	2.75588e-14	1.08169e-34	4.87892e-36	1.54686e-37	3.57511e-39	6.13968e-41	7.88623e-43	7.9771e-45	1.68011e-44	5.67835e-43	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
