#Nodes with GAIN events with expectation above 0.5
Furcep: 1.91212
N56: 1.87389
N62: 1.03069
N63: 1.91807
N74: 1.0035
C3125: 1.28018
N92: 1.30767
C2208: 0.977655
Total number of gain events: 18.8414
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Rhaspe: 1.66046
Rhamar: 1.59869
Rhatem: 0.70133
N33: 1.11129
N37: 1.01659
N42: 0.986327
N45: 0.808768
FGA465: 0.985436
N58: 0.79727
N60: 0.788055
FGA489: 1.01413
N69: 0.610486
N73: 1.00769
Calboe: 2.55974
N78: 1.72933
N79: 1.34376
N80: 1.55458
N85: 1.00057
N88: 1.63253
C404: 1.01996
N96: 1.00551
N106: 0.965577
N127: 1.11741
Total number of loss events: 35.5266
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 6.56989e-31
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N2: 0.573506
N33: 0.999812
N64: 0.704131
N112: 0.964411
N116: 0.971901
N118: 0.637891
N127: 0.999523
Total number of demi-dulications events: 8.35006
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.0211541	0.0132695	5.99789e-33	0.573506	0
N3	0.0771189	0.0726922	1.29212e-34	0.419543	0
N4	0.0162445	0.00961115	3.25362e-41	0.00469327	0
B3088	0.279694	0.301573	0	0.00193399	0
N5	0.0223506	0.0168308	7.17693e-38	0.000895588	0
N6	0.227115	0.254519	3.08314e-51	0.00103818	0
BGA709	9.95674e-08	2.38388e-07	0	2.06104e-10	0
BGA710	9.95674e-08	2.38388e-07	0	2.06104e-10	0
BGA309	0.226954	0.254358	0	0.00103818	0
N7	0.0347611	0.04422	6.89903e-43	0.0064661	0
N8	0.0647434	0.0614545	2.71247e-40	0.000150853	0
N9	0.0622325	0.0713121	1.03757e-56	1.03031e-05	0
B11696	6.56563e-08	1.62929e-07	0	4.89516e-12	0
B11697	6.56563e-08	1.62929e-07	0	4.89516e-12	0
N10	0.0526302	0.0615521	3.30883e-50	1.02934e-05	0
B11609	0.000420659	0.000578499	0	9.28113e-09	0
BGA392	0.000420659	0.000578499	0	9.28113e-09	0
N11	0.00490492	0.00794135	6.74395e-49	0.000157515	0
N12	0.00106723	0.00126432	7.12151e-47	2.86454e-06	0
N13	0.0149063	0.0121649	8.00816e-44	6.39183e-07	0
N14	0.0880872	0.0933856	1.693e-62	1.28126e-07	0
B985	8.57423e-08	1.96952e-07	0	1.89499e-13	0
B983	8.57423e-08	1.96952e-07	0	1.89499e-13	0
N15	0.0454857	0.0488601	7.25205e-51	1.26129e-07	0
N16	0.0113553	0.0132793	8.78888e-65	2.3528e-09	0
B199	2.29412e-08	5.83362e-08	0	2.23445e-15	0
BGAA3	2.29412e-08	5.83362e-08	0	2.23445e-15	0
N17	0.0113541	0.0132781	8.83713e-65	2.3528e-09	0
B11604	3.24565e-08	8.25513e-08	0	3.16512e-15	0
BGA583	3.24565e-08	8.25513e-08	0	3.16512e-15	0
N18	0.0272404	0.0263677	5.38679e-46	7.44767e-07	0
N19	0.0577175	0.0611461	9.04172e-63	2.25336e-08	0
BGA89	7.62231e-07	1.76019e-06	0	4.94781e-13	0
BGA40	7.62231e-07	1.76019e-06	0	4.94781e-13	0
N20	0.00553437	0.00593737	1.07388e-50	1.92827e-08	0
N21	0.0366335	0.0396601	8.7304e-59	3.25006e-09	0
BGAA2	5.66054e-08	1.3429e-07	0	1.02766e-14	0
BGAA1	5.66054e-08	1.3429e-07	0	1.02766e-14	0
N22	0.0321342	0.0351383	1.10535e-58	3.24932e-09	0
BGA584	1.61754e-05	3.86871e-05	0	2.46767e-12	0
BGA706	1.61754e-05	3.86871e-05	0	2.46767e-12	0
N23	0.0490926	0.0452315	2.99196e-47	3.38705e-06	0
N24	0.0502576	0.0568622	1.39401e-59	2.48611e-07	0
