NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.48097e-29	1.27738e-26	6.13486e-24	1.38262e-21	1.04698e-19	1.1746e-18	7.06707e-18	7.24856e-16	3.14541e-14	6.83566e-14	1.20439e-13	3.4818e-13	1.72264e-13	8.84035e-14	1.21959e-12	0.0854765	0.43272	0.481804	4.1094e-11	3.77569e-12	1.49459e-13	3.09418e-15	3.80766e-17	3.04311e-19	1.68419e-21	6.77425e-24	2.05598e-26	4.85117e-29	9.11793e-32	1.39284e-34	1.75873e-37	1.86217e-40	1.67388e-43	1.29109e-46	8.62544e-50	5.03243e-53	2.58296e-56	1.17389e-59	4.75156e-63	1.72199e-66	5.71289e-70	
N2	9.47901e-32	4.74411e-29	2.12606e-26	5.26382e-24	4.2031e-22	2.80515e-20	7.46547e-18	5.03965e-15	1.62678e-12	5.03869e-11	7.08093e-10	3.08548e-08	6.29808e-07	7.56557e-06	0.000470494	0.034519	0.305251	0.554123	0.10157	0.00397324	6.76208e-05	1.21766e-05	3.26415e-06	1.31535e-06	3.63639e-08	1.39035e-09	2.9763e-11	1.07829e-13	1.35399e-15	1.60558e-16	2.38983e-18	2.33845e-19	4.51496e-22	2.15819e-23	2.03856e-26	5.05298e-28	2.44007e-31	1.47384e-33	5.53969e-37	3.32051e-39	7.17716e-41	
N3	2.44687e-36	4.31047e-32	4.01301e-28	2.06314e-24	1.3105e-21	2.22494e-19	1.8792e-17	5.73886e-14	6.32824e-11	1.56938e-10	2.30834e-10	2.31094e-08	7.55231e-08	3.30181e-08	2.88509e-06	0.000852909	0.0630371	0.656687	0.266793	0.0124829	0.000143127	1.0139e-06	1.53276e-08	2.96272e-10	1.56347e-12	6.78508e-15	2.0511e-17	2.08453e-20	2.6914e-23	8.10419e-26	8.24602e-29	2.55882e-31	1.27478e-34	2.24963e-37	5.26022e-41	5.20752e-44	6.09488e-48	3.12647e-51	2.29967e-55	8.74041e-59	2.56918e-62	
N4	8.48602e-37	8.38034e-33	5.49264e-29	2.12403e-25	1.37432e-22	3.05619e-20	6.62452e-18	5.71874e-15	1.26384e-12	5.20687e-12	1.78864e-11	4.78967e-10	1.84805e-09	1.21069e-08	3.11518e-06	0.000816931	0.0597117	0.627369	0.294419	0.0174259	0.000252724	1.41202e-06	7.83361e-09	8.89068e-10	5.02023e-11	1.08445e-12	4.25263e-14	9.63928e-17	6.13869e-19	1.27584e-21	1.18664e-24	4.72271e-26	8.55445e-29	3.10438e-30	1.95245e-33	4.5047e-35	7.11405e-39	6.52965e-41	5.83293e-45	2.16212e-47	6.01967e-51	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.31351e-33	1.88194e-30	2.52999e-27	1.95596e-24	4.82996e-22	9.1492e-20	1.7752e-17	3.24423e-15	2.06215e-13	1.40066e-12	1.05276e-11	2.63772e-10	3.81323e-09	8.98629e-08	1.2978e-05	0.00166446	0.072709	0.598922	0.302609	0.0235534	0.000524965	4.71907e-06	2.96555e-08	4.91606e-09	6.49064e-10	3.40663e-11	3.51184e-12	2.44066e-14	4.0424e-16	2.34345e-18	4.61448e-21	3.43981e-22	2.29947e-24	2.22863e-25	5.92048e-28	3.82892e-29	2.46919e-32	7.235e-34	2.55389e-37	3.10429e-39	2.96959e-42	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.40438e-37	8.68494e-33	6.39878e-29	2.0502e-25	4.89322e-23	1.9666e-20	9.65109e-19	1.86818e-15	1.42341e-12	9.58246e-13	2.86877e-12	5.99953e-10	1.32359e-09	7.03942e-10	1.20486e-07	9.334e-05	0.021584	0.745301	0.227166	0.00582164	3.37276e-05	7.01527e-08	1.00569e-10	1.12093e-12	9.22895e-15	4.68576e-17	2.51783e-19	2.13261e-22	2.63518e-25	1.91593e-28	6.77494e-32	2.39432e-34	1.58339e-37	4.9652e-40	1.56181e-43	2.95435e-46	3.26777e-50	3.10752e-53	1.80704e-57	8.57165e-61	9.45158e-65	
N7	4.76456e-34	1.09757e-30	1.87617e-27	1.832e-24	2.54778e-22	5.35301e-20	9.49103e-18	7.2297e-15	2.2775e-12	5.5014e-12	3.60342e-11	2.63592e-09	6.28152e-09	1.21894e-08	2.20644e-06	0.000588423	0.0517762	0.763867	0.177686	0.00602032	6.01064e-05	2.51372e-07	7.59863e-10	1.66349e-11	3.54959e-13	5.25344e-15	7.14014e-17	1.64977e-19	4.92061e-22	9.05243e-25	8.83664e-28	7.41174e-30	1.76854e-32	1.5027e-34	2.34026e-37	1.10745e-39	4.87148e-43	1.08002e-45	2.57257e-49	3.14774e-52	1.44026e-55	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	3.14059e-44	3.44254e-39	1.61934e-34	2.11634e-30	1.83675e-27	2.96907e-24	1.008e-22	1.07333e-18	3.40673e-15	1.15322e-15	4.5188e-15	2.72655e-12	7.38273e-12	2.99245e-12	2.70626e-09	1.00167e-05	0.00902417	0.793245	0.195307	0.00240879	4.93703e-06	2.93279e-09	8.26895e-13	4.29965e-15	2.74426e-17	5.73276e-20	2.48697e-22	6.53869e-26	3.58693e-29	1.53808e-31	1.5426e-32	5.77847e-33	1.66047e-34	8.86975e-35	1.11895e-36	4.526e-37	1.49169e-39	3.2122e-40	6.01367e-43	5.74529e-44	2.98347e-46	
N9	8.46167e-38	6.90405e-35	3.24964e-32	8.61138e-30	1.72454e-28	1.71767e-26	5.20184e-24	3.45229e-20	4.98284e-17	2.69225e-17	1.67513e-16	6.51518e-14	3.28988e-13	1.3033e-12	2.60433e-09	9.57933e-06	0.00882389	0.802127	0.186916	0.00212024	4.04331e-06	2.2726e-09	5.76469e-13	1.41951e-14	6.37241e-16	3.60983e-18	1.10545e-19	6.97703e-23	1.34587e-25	4.44926e-29	2.15193e-33	1.50485e-35	7.01874e-39	2.27947e-40	3.26354e-44	7.36707e-46	1.14219e-50	1.04748e-52	7.92172e-58	1.93809e-60	5.51084e-65	
N10	4.50806e-41	2.62036e-37	1.16956e-33	3.28886e-30	1.51794e-27	1.04071e-24	5.81763e-22	1.23432e-18	9.94589e-16	6.94126e-15	1.13272e-13	1.85576e-11	1.24172e-10	6.89354e-10	2.79324e-07	0.000156643	0.0282907	0.797665	0.170238	0.00362829	2.03321e-05	4.47449e-08	6.80212e-11	3.64022e-12	1.77895e-13	3.70768e-15	1.2909e-16	2.26319e-19	8.84339e-22	9.49165e-25	3.72609e-28	5.21229e-30	1.39136e-32	3.23513e-34	5.37459e-37	7.15648e-39	1.46718e-42	7.44516e-45	7.99777e-49	1.36072e-51	4.03622e-55	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	3.56926e-40	8.44301e-36	1.10053e-31	6.88964e-28	2.10136e-25	2.75578e-22	2.67779e-20	1.36626e-16	2.80977e-13	1.17765e-13	7.72391e-13	4.11952e-10	2.07945e-10	4.22624e-11	1.89496e-08	2.89107e-05	0.0136865	0.938975	0.047014	0.000294916	5.21589e-07	3.78783e-10	2.00714e-13	8.95503e-16	3.62572e-18	9.76194e-21	2.59207e-23	1.02801e-26	5.69044e-30	1.83535e-33	3.08105e-37	5.0991e-40	2.13812e-43	3.54231e-46	9.1496e-50	8.63511e-53	6.01472e-57	2.59061e-60	9.77103e-65	2.23008e-68	1.64014e-72	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	4.63514e-42	1.23128e-37	1.87438e-33	1.36033e-29	6.66224e-27	8.87013e-24	1.32441e-21	7.323e-18	1.52135e-14	1.82678e-14	1.80853e-13	6.4609e-11	1.26159e-10	9.87878e-11	5.48101e-08	5.96998e-05	0.0193338	0.855422	0.123516	0.00166339	5.47025e-06	6.729e-09	5.54575e-12	6.66802e-14	7.42854e-16	4.64499e-18	3.25902e-20	2.2039e-23	2.3801e-26	1.05569e-29	2.06284e-33	6.77967e-36	5.27565e-39	2.16592e-41	1.09493e-44	2.40971e-47	2.24627e-51	2.03844e-54	9.63426e-59	3.64335e-62	3.72042e-66	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	2.37256e-41	3.4926e-37	3.1588e-33	1.46757e-29	6.14928e-27	4.1961e-24	1.1302e-21	2.05394e-18	1.40015e-15	2.66181e-15	2.6482e-14	6.54031e-12	2.40617e-11	6.60726e-11	4.5337e-08	5.40474e-05	0.0190408	0.881745	0.0981265	0.00103038	2.70436e-06	2.69265e-09	1.78831e-12	5.77951e-14	1.53132e-15	1.27668e-17	2.62266e-19	2.03097e-22	4.53055e-25	2.57539e-28	4.65872e-32	4.8905e-34	5.23841e-37	8.72641e-39	4.07516e-42	4.47823e-44	2.98673e-48	1.24e-50	4.61381e-55	6.87579e-58	7.6847e-62	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	2.73163e-37	1.3762e-33	5.35014e-30	1.2513e-26	3.6962e-24	1.66311e-21	4.69479e-19	6.23761e-16	3.14514e-13	8.00851e-13	6.45705e-12	7.12035e-10	1.77593e-09	3.31842e-09	8.18988e-07	0.000319032	0.0402711	0.806015	0.149731	0.0036381	2.52224e-05	7.21559e-08	1.53089e-10	3.5443e-12	7.52749e-14	1.02194e-15	1.37417e-17	2.35724e-20	5.82353e-23	7.36886e-26	4.73708e-29	3.74037e-31	7.62862e-34	6.64477e-36	9.19587e-39	4.31523e-41	1.32146e-44	2.66384e-47	4.34904e-51	4.34576e-54	1.51472e-57	
BGA304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	2.04254e-37	6.89624e-33	7.09252e-29	7.58245e-25	1.54197e-22	1.09689e-19	6.32859e-17	5.33471e-13	3.14577e-10	2.12832e-09	1.10238e-06	1.87982e-05	1.43597e-05	0.000356619	0.0203524	0.312864	0.605607	0.0606889	9.7404e-05	3.32354e-08	4.16185e-12	3.70495e-16	3.35816e-19	1.32157e-21	1.32749e-24	7.74489e-28	6.28002e-31	2.03617e-35	1.62337e-39	1.22917e-43	1.21166e-47	1.19734e-50	8.08849e-51	3.72853e-51	2.68569e-53	6.33374e-54	1.31294e-55	3.73619e-56	2.04603e-57	2.87065e-56	1.6763e-55	
N16	7.16482e-31	1.52352e-27	3.90031e-24	6.21982e-21	5.89487e-18	1.27641e-15	3.5142e-13	1.75111e-10	6.64839e-08	1.15941e-05	0.000693301	0.0137469	0.100026	0.293916	0.366164	0.189469	0.0348536	0.00111639	3.41011e-06	4.03896e-09	2.47114e-12	1.60809e-15	1.82496e-17	1.04633e-18	1.54279e-20	8.49746e-23	5.83607e-25	2.03596e-28	2.75677e-31	3.47966e-33	1.49795e-33	9.7573e-33	4.85711e-33	2.55631e-32	1.86062e-33	2.61669e-33	2.45158e-35	3.24108e-36	1.49085e-38	1.30045e-39	1.30206e-40	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	4.8376e-28	5.03805e-25	6.43675e-22	5.50665e-19	2.79973e-16	7.12466e-14	1.64015e-11	4.07928e-09	7.26057e-07	6.4196e-05	0.00224476	0.029309	0.152438	0.33702	0.32557	0.133054	0.0197234	0.000573617	2.82401e-06	5.99534e-09	1.88048e-11	1.06227e-12	4.31579e-14	5.74383e-15	9.91846e-17	2.25316e-18	2.71678e-20	1.24334e-22	5.22354e-25	1.09054e-25	1.78147e-28	4.57744e-29	3.53887e-32	6.44239e-33	1.89825e-36	1.55577e-37	2.65724e-41	4.73535e-43	8.31105e-47	6.80154e-49	1.49214e-50	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	3.39005e-43	1.22543e-37	1.05248e-32	1.34795e-27	1.86904e-25	4.87568e-22	3.11834e-18	8.12327e-14	9.03952e-12	1.2676e-11	4.57946e-09	1.1933e-07	1.02181e-06	3.25482e-05	0.00666465	0.267962	0.656957	0.0681595	0.000223078	2.42934e-07	5.55463e-09	1.89958e-11	4.66121e-14	1.07333e-16	2.26155e-20	3.45211e-23	3.82663e-27	1.61201e-29	1.81468e-31	4.99463e-31	1.39551e-33	8.57996e-34	1.04004e-36	3.75941e-37	3.01191e-40	5.59823e-41	3.11966e-44	1.22004e-45	2.18906e-48	5.54694e-50	2.23694e-50	
N19	1.77294e-37	1.03201e-32	2.60378e-28	1.47607e-24	2.24658e-21	2.94874e-18	1.69926e-16	1.38622e-13	8.12266e-11	9.77476e-10	3.74427e-08	7.98012e-06	5.56481e-05	8.33734e-05	0.0057908	0.175741	0.64805	0.167046	0.00321496	1.07451e-05	2.08068e-08	1.75084e-10	1.23566e-12	8.73054e-15	8.55853e-18	8.93731e-21	3.67201e-24	1.19554e-27	5.48193e-31	1.23669e-33	3.37261e-37	4.47308e-40	3.60047e-44	2.67567e-45	1.04739e-47	3.45785e-49	1.27533e-51	2.67348e-53	6.63639e-56	1.31283e-56	3.61086e-56	
N20	6.42717e-31	2.27568e-27	6.28438e-24	4.12922e-21	2.98612e-18	1.73482e-15	6.83056e-14	4.27212e-12	1.3276e-10	8.68175e-09	9.02297e-07	5.39514e-05	0.00114985	0.0192096	0.156361	0.443116	0.341362	0.0381751	0.000569973	2.59737e-06	5.17829e-09	7.08643e-12	6.10037e-14	4.19749e-15	7.61885e-17	6.51932e-19	6.29149e-21	5.477e-24	1.43462e-26	2.74863e-29	5.55432e-32	1.35531e-33	2.28339e-36	3.59002e-38	1.56561e-41	1.42568e-43	2.25567e-47	6.8446e-50	7.09523e-54	1.09724e-56	7.87727e-60	
FGA379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N21	9.86103e-30	2.95052e-26	6.93643e-23	3.12598e-20	3.17689e-17	1.99181e-14	2.30985e-13	1.35798e-11	7.20529e-10	3.03843e-07	0.000148887	0.0216432	0.225452	0.443074	0.254963	0.0511465	0.0035099	6.15674e-05	2.4858e-07	3.94548e-10	3.16198e-13	1.7516e-16	3.88632e-19	6.81474e-21	3.59544e-23	1.21648e-25	4.48569e-28	2.20163e-31	2.66117e-34	3.25328e-37	2.83974e-40	2.40579e-42	1.72545e-45	1.01474e-47	2.556e-51	9.16471e-54	9.80846e-58	2.0403e-60	6.01467e-64	4.21151e-66	9.93101e-69	
N22	6.38982e-32	1.80003e-27	3.50223e-23	1.62211e-20	6.86074e-17	3.58454e-13	2.9301e-12	3.03112e-10	2.11898e-09	9.64119e-07	0.000614412	0.139589	0.537161	0.29807	0.0240884	0.000473745	2.63853e-06	4.05903e-09	2.10563e-12	5.09569e-16	2.46132e-19	3.16342e-22	4.05926e-25	6.95066e-28	2.12934e-31	1.28869e-34	3.46445e-38	6.6124e-40	3.88358e-40	2.87369e-38	8.08446e-38	3.01386e-38	1.78492e-39	1.00544e-39	3.80902e-40	3.8181e-39	1.61568e-40	1.22451e-41	4.93144e-44	3.0168e-45	4.81136e-46	
