#Nodes with GAIN events with expectation above 0.5
N2: 0.708185
N3: 0.94045
PGA445: 1.46304
Furcep: 1.91211
FGA331: 1.83079
FGA104: 1.07707
FGA174: 1.89076
CGA312: 0.565505
C3125: 1.35123
C3134: 1.42916
C2208: 0.991086
Riebrev: 2.12655
Total number of gain events: 27.5264
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
PGA445: 0.583444
N13: 0.794888
N14: 0.53496
Rhaspe: 2.21721
Rhamar: 2.12581
Rhatem: 1.26016
FGA379: 1.21452
F3016: 1.06175
F1476: 0.966857
N28: 0.697362
FGA465: 0.929537
N36: 0.586867
FGA489: 1.04405
Calboe: 2.62399
CGA429: 1.70445
N46: 0.578232
C985: 2.34472
CGA382: 1.3501
N49: 1.47085
C404: 1.0803
CGA45: 1.0144
C3121: 0.950992
Chanam: 0.557513
Riebrev: 0.656976
N77: 1.4577
Total number of loss events: 42.1583
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 1.39511e-24
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.990737
N37: 0.6943
N61: 0.960606
N65: 0.969131
N67: 0.640542
Riebrev: 1.92862
N77: 0.897948
Total number of demi-dulications events: 8.88554
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.708185	0.0109115	1.3118e-24	3.13648e-05	0
N3	0.94045	0.062153	1.90495e-30	0.00036611	0
N4	0.0552181	0.0156085	2.59973e-37	1.77137e-05	0
B3088	0.43023	0.399894	0	5.67588e-05	0
N5	0.0479752	0.0266996	9.13115e-37	3.57524e-06	0
BGA709	0.353552	0.344478	0	5.05937e-05	0
BGA309	0.353552	0.344478	0	5.05937e-05	0
N6	0.126133	0.0546402	7.8247e-37	2.47094e-05	0
N7	0.103046	0.0931871	1.40513e-38	7.00653e-07	0
B11696	0.0915765	0.102684	0	1.15053e-07	0
B11609	0.0915765	0.102684	0	1.15053e-07	0
N8	0.0171335	0.0132166	2.78438e-46	7.3444e-07	0
N9	0.00352795	0.00297183	2.11179e-48	1.49279e-08	0
N10	0.0273179	0.0232163	1.49555e-39	3.95298e-09	0
B985	0.125907	0.135731	0	9.09743e-08	0
B199	0.125907	0.135731	0	9.09743e-08	0
N11	0.0515011	0.0481012	5.7065e-40	4.6107e-09	0
BGA89	0.0872609	0.0963832	0	6.22772e-09	0
BGAA2	0.0872609	0.0963832	0	6.22772e-09	0
N12	0.071925	0.0683416	1.9171e-43	1.86712e-08	0
BGA304	0.075735	0.0844838	0	1.42101e-08	0
BGAB1	0.075735	0.0844838	0	1.42101e-08	0
PGA445	1.46304	0.583444	8.03784e-26	0.0113762	0
N13	0.000154071	0.794888	9.78492e-28	7.45319e-09	0
N14	0.00792079	0.53496	5.79409e-32	3.61169e-10	0
Rhaspe	0.309368	2.21721	0	0.00218502	0
N15	0.00641099	0.0865571	6.2997e-29	3.79445e-07	0
Rhamar	0.298592	2.12581	0	0.00208218	0
Rhatem	0.428306	1.26016	0	0.00282552	0
N16	0.00393405	0.119633	8.88298e-38	1.76391e-08	0
N17	0.0304267	0.297269	5.56614e-40	0.000430473	0
