NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	7.45281e-39	4.07787e-36	2.01868e-33	8.29739e-31	2.78786e-28	7.5192e-26	1.59333e-23	2.5851e-21	3.11212e-19	2.67405e-17	1.56149e-15	5.81818e-14	1.27346e-12	1.46681e-11	7.69359e-11	0.517287	0.374474	0.108239	4.09912e-12	2.55766e-13	8.812e-15	1.84017e-16	2.50621e-18	2.35756e-20	1.6028e-22	8.16702e-25	3.21285e-27	9.99998e-30	2.51367e-32	5.19248e-35	8.947e-38	1.30262e-40	1.62061e-43	1.74003e-46	1.6265e-49	1.33397e-52	9.66634e-56	6.22767e-59	3.58752e-62	1.85743e-65	9.06176e-69	
N2	3.28109e-41	8.28407e-38	2.42785e-34	6.05607e-31	1.22867e-27	1.97702e-24	2.46888e-21	2.33813e-18	1.63484e-15	8.17107e-13	2.8047e-10	6.28159e-08	8.57512e-06	0.000647924	0.023291	0.297103	0.439659	0.207574	0.0300356	0.00163995	4.0618e-05	5.22914e-07	3.86793e-09	1.7729e-11	5.33917e-14	1.1067e-16	1.63942e-19	1.79029e-22	1.47909e-25	9.45023e-29	4.75817e-32	1.91891e-35	6.28717e-39	1.69458e-42	3.79907e-46	7.15441e-50	1.14179e-53	1.5566e-57	1.82604e-61	1.86009e-65	1.97761e-69	
N3	3.04653e-48	3.67069e-44	4.02315e-40	3.49135e-36	2.35675e-32	1.21281e-28	4.64762e-25	1.29e-21	2.50872e-18	3.2832e-15	2.75066e-12	1.38502e-09	3.8622e-07	5.34915e-05	0.00317033	0.0654548	0.36306	0.453258	0.108256	0.00660983	0.000136668	1.18058e-06	4.96123e-09	1.13446e-11	1.53598e-14	1.31452e-17	7.48882e-21	2.96142e-24	8.41347e-28	1.76734e-31	2.81254e-35	3.46217e-39	3.3565e-43	2.60333e-47	1.63783e-51	8.46067e-56	3.62798e-60	1.30401e-64	3.9633e-69	1.02682e-73	2.49587e-78	
N4	6.13523e-47	5.75945e-43	5.058e-39	3.50972e-35	1.88856e-31	7.72606e-28	2.34847e-24	5.1631e-21	7.95133e-18	8.2535e-15	5.50837e-12	2.22865e-09	5.07116e-07	5.88306e-05	0.00304999	0.0590169	0.336649	0.456906	0.133316	0.0106983	0.00030151	3.60324e-06	2.10168e-08	6.65171e-11	1.23921e-13	1.44861e-16	1.11832e-19	5.94428e-23	2.25186e-26	6.25858e-30	1.30797e-33	2.09936e-37	2.63574e-41	2.63028e-45	2.11596e-49	1.38947e-53	7.53122e-58	3.40326e-62	1.29374e-66	4.17404e-71	1.29498e-75	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.61791e-41	4.631e-38	1.34414e-34	3.17086e-31	5.97846e-28	8.85875e-25	1.01173e-21	8.70481e-19	5.49176e-16	2.45926e-13	7.5125e-11	1.48991e-08	1.80112e-06	0.000122206	0.00416415	0.0611102	0.313	0.443682	0.159049	0.018042	0.000811877	1.71935e-05	1.94221e-07	1.28453e-09	5.34007e-12	1.475e-14	2.82944e-17	3.90765e-20	4.00294e-23	3.11853e-26	1.88739e-29	9.03745e-33	3.47843e-36	1.09118e-39	2.82415e-43	6.09642e-47	1.10831e-50	1.71168e-54	2.26345e-58	2.58346e-62	3.01698e-66	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.29966e-52	2.48598e-48	4.31889e-44	6.00747e-40	6.58196e-36	5.57575e-32	3.57388e-28	1.6896e-24	5.71466e-21	1.33257e-17	2.04652e-14	1.95378e-11	1.07583e-08	3.09103e-06	0.000403226	0.0195256	0.258979	0.585338	0.130185	0.00549456	7.1105e-05	3.72555e-07	9.441e-10	1.30763e-12	1.08166e-15	5.71332e-19	2.03002e-22	5.05827e-26	9.14378e-30	1.23339e-33	1.2712e-37	1.0215e-41	6.51236e-46	3.34413e-50	1.40164e-54	4.8517e-59	1.40145e-63	3.40989e-68	7.04723e-73	1.24664e-77	2.06379e-82	
N7	1.67459e-46	9.02289e-43	4.67108e-39	1.98328e-35	6.80966e-32	1.86133e-28	3.97731e-25	6.50414e-22	7.93747e-19	7.01296e-16	4.32239e-13	1.77408e-10	4.56818e-08	6.81804e-06	0.000528711	0.0181648	0.215724	0.582329	0.171108	0.0118427	0.00029229	3.27078e-06	1.93428e-08	6.71599e-11	1.47756e-13	2.18199e-16	2.26236e-19	1.70732e-22	9.65861e-26	4.19771e-29	1.43092e-32	3.89426e-36	8.59233e-40	1.55774e-43	2.34805e-47	2.97367e-51	3.19388e-55	2.93382e-59	2.32239e-63	1.59546e-67	1.07054e-71	
