NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	4.31783e-73	1.36327e-48	2.33065e-43	8.21173e-39	1.04235e-34	5.91374e-31	1.66591e-27	2.45588e-24	1.93364e-21	8.09732e-19	1.75529e-16	1.86905e-14	8.98966e-13	1.72531e-11	1.1102e-10	0.643441	0.307122	0.049437	9.2343e-13	2.69557e-14	4.27179e-16	4.09585e-18	2.57189e-20	1.12226e-22	3.56183e-25	8.52294e-28	1.58266e-30	2.33532e-33	2.7926e-36	2.75157e-39	2.26571e-42	1.57824e-45	9.39905e-49	4.83015e-52	2.1595e-55	8.46078e-59	2.92374e-62	8.96304e-66	2.45033e-69	6.00233e-73	1.45106e-76	
N2	1.22447e-75	1.78928e-50	1.69317e-44	3.27608e-39	2.26636e-34	6.96994e-30	1.0628e-25	8.51896e-22	3.6943e-18	8.73445e-15	1.11438e-11	7.45453e-09	2.48272e-06	0.000377839	0.022653	0.392532	0.44136	0.131408	0.0112947	0.000366482	5.52466e-06	4.47463e-08	2.16033e-10	6.71343e-13	1.42383e-15	2.15757e-18	2.42317e-21	2.07824e-24	1.39522e-27	7.48588e-31	3.26705e-34	1.17748e-37	3.55076e-41	9.06209e-45	1.97714e-48	3.72057e-52	6.08666e-56	8.71811e-60	1.10053e-63	1.24307e-67	1.92532e-71	
N3	5.03654e-84	3.98057e-58	1.72134e-51	1.47304e-45	4.35595e-40	5.51738e-35	3.32359e-30	1.00356e-25	1.55161e-21	1.22616e-17	4.84286e-14	9.14475e-11	7.68607e-08	2.57822e-05	0.00292379	0.0868216	0.467919	0.396124	0.0449475	0.00122658	1.16815e-05	4.92152e-08	1.07449e-10	1.35834e-13	1.07853e-16	5.721e-20	2.12748e-23	5.76442e-27	1.17435e-30	1.84633e-34	2.2899e-38	2.28253e-42	1.85813e-46	1.25268e-50	7.07937e-55	3.38998e-59	1.3886e-63	4.90704e-68	1.50738e-72	4.05466e-77	1.17671e-81	
N4	3.7402e-83	2.56966e-57	9.93289e-51	7.53463e-45	1.95789e-39	2.15977e-34	1.12277e-29	2.89934e-25	3.80049e-21	2.52669e-17	8.34746e-14	1.31569e-10	9.27178e-08	2.65072e-05	0.00266027	0.0753248	0.437136	0.418039	0.0642671	0.00251174	3.45159e-05	2.07688e-07	6.37309e-10	1.11308e-12	1.20084e-15	8.52162e-19	4.1795e-22	1.47425e-25	3.86373e-29	7.73024e-33	1.20791e-36	1.50305e-40	1.5145e-44	1.25381e-48	8.63722e-53	5.0068e-57	2.46659e-61	1.04189e-65	3.80359e-70	1.21196e-74	4.45755e-79	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.84702e-76	2.91713e-51	2.83945e-45	5.60885e-40	3.93796e-35	1.22253e-30	1.87158e-26	1.49741e-22	6.44059e-19	1.5e-15	1.87184e-12	1.21679e-09	3.92433e-07	5.8207e-05	0.00353685	0.0736309	0.398936	0.426646	0.0912025	0.0058373	0.000149607	1.86413e-06	1.29035e-08	5.459e-11	1.51531e-13	2.91393e-16	4.05153e-19	4.21553e-22	3.37603e-25	2.13034e-28	1.08033e-31	4.47756e-35	1.53886e-38	4.44128e-42	1.08833e-45	2.28661e-49	4.15486e-53	6.57969e-57	9.1446e-61	1.12664e-64	1.8255e-68	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.76701e-88	4.32472e-62	2.7216e-55	3.43261e-49	1.51761e-43	2.92108e-38	2.72426e-33	1.3013e-28	3.26405e-24	4.31152e-20	2.95052e-16	1.0088e-12	1.62227e-09	1.11758e-06	0.000285686	0.021605	0.33446	0.587852	0.0547805	0.00100913	6.16542e-06	1.64899e-08	2.29257e-11	1.86042e-14	9.5744e-18	3.32475e-21	8.17285e-25	1.47732e-28	2.02513e-32	2.15955e-36	1.83004e-40	1.25486e-44	7.07125e-49	3.3189e-53	1.31272e-57	4.42082e-62	1.27921e-66	3.20638e-71	7.01245e-76	1.34745e-80	2.76508e-85	
N7	1.81922e-81	5.26162e-56	8.81634e-50	3.03087e-44	3.74802e-39	2.07668e-34	5.7583e-30	8.48423e-26	6.84845e-22	3.0593e-18	7.51185e-15	9.9043e-12	6.72201e-09	2.19628e-06	0.000311578	0.0163184	0.241083	0.62163	0.115744	0.00483745	7.36809e-05	5.29313e-07	2.09963e-09	5.11004e-12	8.22514e-15	9.25954e-18	7.61216e-21	4.72904e-24	2.2827e-27	8.76004e-31	2.72463e-34	6.98175e-38	1.49481e-41	2.70696e-45	4.19077e-49	5.59915e-53	6.51037e-57	6.63739e-61	5.9734e-65	4.77742e-69	4.44402e-73	
