NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	8.62762e-30	1.0143e-26	3.33809e-24	2.09385e-21	1.36201e-19	1.28137e-20	9.10762e-19	2.68752e-16	1.96808e-14	3.14e-14	2.99899e-15	9.35617e-17	1.64654e-17	3.81304e-16	4.74843e-14	2.55564e-12	3.87499e-11	1	6.17457e-11	1.06752e-11	7.2272e-13	2.40714e-14	4.57288e-16	5.47843e-18	4.44668e-20	2.57924e-22	1.11387e-24	3.6995e-27	9.70033e-30	2.05174e-32	3.56426e-35	5.16356e-38	6.32019e-41	6.61023e-44	5.96601e-47	4.68693e-50	3.22963e-53	1.96533e-56	1.06262e-59	5.1329e-63	2.2603e-66	
N2	1.09441e-31	5.99951e-29	2.32069e-26	5.99086e-24	3.49001e-22	1.56847e-21	1.8087e-19	4.00812e-17	9.3308e-15	5.37933e-13	4.74885e-12	1.67414e-11	4.60617e-11	1.8973e-09	8.90257e-07	0.00025636	0.0280943	0.731187	0.22802	0.0122371	0.00020305	1.41225e-06	4.94047e-09	1.1454e-11	1.37987e-13	1.62326e-13	7.25842e-15	4.98054e-15	1.45515e-16	5.64641e-17	1.15953e-18	2.59987e-19	3.94203e-21	5.015e-22	5.37759e-24	3.45136e-25	1.93339e-28	1.47015e-30	4.34239e-34	2.89568e-36	1.70198e-38	
N3	3.50199e-37	8.70156e-33	5.03691e-29	7.12427e-25	1.03527e-21	5.14372e-22	8.20512e-19	5.03201e-15	1.04311e-11	8.11614e-11	2.08216e-11	1.69613e-12	1.33467e-13	3.78806e-11	7.35243e-08	5.86784e-05	0.0135876	0.47736	0.470003	0.038362	0.000626192	3.22498e-06	6.85103e-09	8.49281e-12	1.75429e-14	5.96851e-16	2.89045e-18	6.00068e-20	1.7066e-22	1.83914e-24	3.32132e-27	1.95017e-29	2.24541e-32	7.24292e-35	4.61311e-38	7.82063e-41	1.26821e-44	9.20103e-48	8.09594e-52	3.8109e-55	6.89725e-59	
N4	8.05347e-37	8.91549e-33	4.12995e-29	2.49874e-25	1.84486e-22	1.26902e-21	1.21606e-18	1.54249e-15	4.80391e-13	1.94292e-12	4.95083e-13	1.93216e-13	3.9231e-13	1.65394e-10	2.07957e-07	0.000113444	0.0179427	0.46219	0.473161	0.0456465	0.00094039	6.2984e-06	1.75906e-08	2.42293e-11	1.95387e-14	4.40555e-16	7.24836e-18	1.97017e-18	2.04028e-20	2.94919e-21	1.89177e-23	1.532e-24	5.55001e-27	2.66713e-28	3.95662e-31	1.20855e-32	3.08116e-36	4.77464e-38	5.29138e-42	3.20158e-44	7.9913e-48	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.53031e-33	2.44028e-30	3.22852e-27	3.10246e-24	4.59273e-22	1.88954e-20	5.83884e-18	1.36158e-15	9.32534e-14	6.22715e-13	2.9473e-12	9.65033e-12	3.95999e-11	4.8137e-09	2.05702e-06	0.000436224	0.0313183	0.465985	0.449328	0.051412	0.00150142	1.64158e-05	8.37921e-08	2.30338e-10	3.86786e-13	1.19743e-14	4.38937e-16	2.48033e-16	6.27556e-18	2.04611e-18	3.51459e-20	6.82784e-21	7.29892e-23	8.78734e-24	4.34745e-26	3.43581e-27	3.53433e-30	1.59259e-31	6.78577e-35	1.27317e-36	1.15631e-39	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.67739e-37	1.09306e-32	4.26767e-29	3.58361e-25	1.0428e-22	8.4955e-23	1.73187e-19	4.8224e-16	5.9303e-13	1.263e-12	3.47127e-13	4.25642e-14	6.60633e-15	4.70299e-12	1.46615e-08	1.95284e-05	0.00805236	0.541729	0.430502	0.0195261	0.000170403	4.76083e-07	5.61423e-10	3.34009e-13	1.25673e-16	7.98831e-19	2.94378e-21	7.54002e-23	1.7834e-25	2.4841e-27	3.91926e-30	3.06783e-32	3.19558e-35	1.41511e-37	8.16275e-41	2.06529e-43	3.5477e-47	5.00369e-50	3.72971e-54	2.57694e-57	2.77262e-61	
N7	1.0416e-33	3.03093e-30	4.97407e-27	1.00717e-23	9.76685e-22	1.42797e-20	2.16744e-17	2.8593e-14	1.3371e-11	3.54964e-11	2.38706e-11	7.96627e-12	3.88512e-12	9.33011e-10	7.59615e-07	0.000278766	0.0333565	0.696754	0.257903	0.0115643	0.000141623	6.881e-07	1.63552e-09	2.20891e-12	2.30869e-15	4.99138e-17	4.35573e-19	2.17274e-20	1.30004e-22	3.79631e-24	1.6266e-26	2.8426e-28	8.84673e-31	9.14803e-33	1.84484e-35	1.05778e-37	7.21077e-41	2.36914e-43	6.9222e-47	1.118e-49	4.62899e-53	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	7.31206e-44	9.07833e-39	1.1171e-34	7.52375e-30	1.31781e-26	5.12834e-27	4.58644e-23	7.73202e-19	3.37557e-15	2.56575e-15	1.79935e-16	1.29756e-17	2.89498e-18	2.71603e-14	4.25472e-10	2.49251e-06	0.00367492	0.584293	0.401401	0.0105901	3.90845e-05	3.74186e-08	1.30432e-11	2.0418e-15	1.67739e-19	1.54843e-22	2.38202e-25	5.99771e-27	5.51887e-30	9.16092e-32	2.7753e-32	4.36338e-32	1.90793e-33	1.13091e-33	2.19908e-35	9.64523e-36	4.32836e-38	1.20721e-38	2.45727e-41	3.20817e-42	1.57447e-44	
N9	5.11169e-37	5.19703e-34	1.57475e-31	9.79059e-29	2.4021e-27	6.6634e-28	5.48477e-24	5.28781e-20	9.73984e-17	6.74436e-17	6.99326e-18	3.05415e-18	7.39268e-18	5.61455e-14	7.17637e-10	3.46211e-06	0.0042827	0.596062	0.389816	0.00980056	3.55195e-05	3.45806e-08	1.26276e-11	2.12e-15	1.87689e-19	1.98201e-22	9.52909e-25	2.38943e-25	7.33747e-28	9.69511e-29	1.78537e-31	1.33622e-32	1.26516e-35	5.83448e-37	1.8131e-40	5.67381e-42	1.6482e-46	2.72823e-48	2.85123e-53	1.38593e-55	4.85172e-60	
N10	3.99511e-39	1.83532e-35	5.56606e-32	1.85522e-28	4.70008e-26	2.43413e-24	5.82655e-21	1.23623e-17	9.22897e-15	9.66981e-14	2.45262e-13	3.05329e-13	5.33455e-13	1.87132e-10	2.25764e-07	0.000123599	0.0217051	0.641208	0.324627	0.0122233	0.000112656	3.92745e-07	6.5204e-10	5.95801e-13	3.55917e-16	9.82399e-18	1.33994e-19	2.57124e-20	2.38753e-22	2.65623e-23	1.76813e-25	1.16061e-26	5.64693e-29	2.15678e-30	6.63062e-33	1.42715e-34	6.73185e-38	7.82323e-40	1.38099e-43	4.98948e-46	1.63518e-49	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
