NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.60676e-30	2.83602e-27	1.6694e-24	3.56866e-22	4.58555e-20	5.0425e-19	1.48151e-18	1.65634e-16	1.001e-14	2.70121e-14	4.64667e-14	1.81387e-13	1.244e-13	3.05648e-14	1.87118e-13	6.00601e-12	5.73684e-11	1	4.2192e-11	5.27566e-12	2.69628e-13	6.97369e-15	1.0488e-16	1.00854e-18	6.63882e-21	3.14793e-23	1.11842e-25	3.07176e-28	6.68909e-31	1.17925e-33	1.71278e-36	2.08011e-39	2.13936e-42	1.884e-45	1.43432e-48	9.52046e-52	5.5509e-55	2.86193e-58	1.3126e-61	5.38418e-65	2.01632e-68	
N2	1.26782e-32	7.54849e-30	4.1292e-27	1.26099e-24	1.19414e-22	2.89091e-21	9.00482e-20	1.14602e-17	1.49295e-15	5.7077e-14	8.94251e-13	4.52089e-11	1.47661e-09	2.2503e-08	1.52493e-06	0.000333004	0.0329834	0.764488	0.193329	0.0087383	0.000125266	8.39277e-07	3.55311e-08	3.146e-08	8.50138e-09	9.68734e-10	1.70092e-10	4.71219e-13	4.23036e-15	1.21528e-17	5.35957e-20	9.71027e-21	1.27245e-22	1.48931e-23	1.39388e-25	8.25117e-27	4.19549e-30	2.79033e-32	7.88728e-36	5.0599e-38	3.13169e-40	
N3	9.2173e-39	2.29659e-34	2.88484e-30	1.92231e-26	2.3286e-23	3.10478e-21	2.17729e-19	8.85242e-16	1.61409e-12	7.44203e-12	8.52509e-12	1.05733e-09	6.47634e-09	3.33585e-09	1.42158e-07	9.33428e-05	0.019137	0.571161	0.385605	0.0236965	0.000305519	1.36252e-06	6.52011e-09	1.68496e-10	2.03759e-12	1.60765e-14	9.89401e-17	9.61533e-20	1.22658e-22	1.25804e-25	9.0678e-29	3.86437e-31	3.69809e-34	1.04896e-36	5.6619e-40	8.52253e-43	1.18859e-46	7.38938e-50	5.76313e-54	2.34849e-57	4.34582e-61	
N4	8.62498e-39	1.06248e-34	8.42206e-31	3.82313e-27	3.49744e-24	6.28474e-22	1.11357e-19	1.219e-16	4.2732e-14	2.92878e-13	9.34366e-13	3.12904e-11	2.51716e-10	1.7703e-09	4.00561e-07	0.000177252	0.0247298	0.546261	0.398573	0.0297619	0.00049389	2.75804e-06	8.66874e-09	6.88182e-10	6.26617e-11	1.86788e-12	1.22444e-13	3.88667e-16	2.9429e-18	6.41377e-21	3.579e-24	8.93555e-26	2.54977e-28	1.08961e-29	1.30619e-32	3.59012e-34	6.94582e-38	8.60019e-40	8.12047e-44	3.86023e-46	9.70326e-50	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.78238e-35	3.02705e-32	4.882e-29	4.52157e-26	1.24413e-23	2.26731e-21	4.72118e-19	1.18959e-16	1.27612e-14	1.62682e-13	2.0604e-12	8.03116e-11	1.43585e-09	2.56298e-08	3.49413e-06	0.000618673	0.0404439	0.534718	0.387415	0.0359095	0.000883085	8.33453e-06	4.40739e-08	4.62687e-09	7.93658e-10	5.29688e-11	7.45391e-12	7.00203e-14	1.33655e-15	8.60501e-18	1.35297e-20	6.82582e-22	5.74348e-24	6.25241e-25	2.55635e-27	1.8601e-28	1.46618e-31	5.50357e-33	2.02967e-36	3.07207e-38	2.78448e-41	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.08893e-38	1.80276e-34	1.58633e-30	5.79187e-27	1.96316e-24	7.27716e-22	3.17729e-20	9.56064e-17	1.36411e-13	1.79474e-13	5.28321e-13	1.70906e-10	5.90415e-10	2.85647e-10	2.44798e-08	2.89079e-05	0.0109871	0.662629	0.316121	0.0101658	6.76131e-05	1.51132e-07	1.81989e-10	1.50826e-12	1.66474e-14	1.13576e-16	8.28805e-19	9.13403e-22	1.34978e-24	1.00957e-27	2.73136e-31	7.91698e-34	6.43427e-37	2.45514e-39	1.16842e-42	2.61498e-45	3.59475e-49	4.29191e-52	2.70711e-56	1.5461e-59	1.62478e-63	
N7	3.93044e-35	1.25654e-31	3.10176e-28	4.6189e-25	9.87252e-23	2.63953e-20	4.81031e-18	4.95669e-15	2.0869e-12	5.51996e-12	2.97631e-11	2.38534e-09	6.12588e-09	8.16969e-09	1.07616e-06	0.000355413	0.0395453	0.742387	0.209824	0.00780472	8.20444e-05	3.53429e-07	1.09194e-09	2.6101e-11	6.1691e-13	1.02213e-14	1.53133e-16	4.20064e-19	1.45908e-21	2.84897e-24	2.77802e-27	2.42685e-29	6.3461e-32	5.91202e-34	1.0422e-36	5.37086e-39	2.75493e-42	7.41519e-45	1.86304e-48	2.56707e-51	1.14958e-54	
