NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	9.62017e-24	1.8901e-20	2.63093e-17	9.85775e-16	8.61854e-13	5.80304e-13	1.16042e-10	1.53808e-08	9.79319e-10	1.34422e-09	4.03877e-07	2.55803e-05	3.01784e-06	5.08321e-08	1.12823e-09	8.07523e-10	4.59201e-10	0.999971	2.16118e-12	1.56375e-14	5.56157e-17	1.16804e-19	1.61201e-22	1.56772e-25	1.12857e-28	6.23761e-32	2.72254e-35	9.59708e-39	2.7826e-42	6.73783e-46	1.38023e-49	2.41865e-53	3.66104e-57	4.82806e-61	5.58972e-65	5.72015e-69	5.20513e-73	4.23378e-77	3.09178e-81	2.03432e-85	1.22092e-89	
N2	5.05049e-26	9.72722e-23	1.42883e-19	2.83098e-17	1.19538e-14	6.91313e-14	1.44001e-11	1.37537e-09	1.53002e-10	6.59379e-10	1.85251e-07	1.02273e-05	1.24355e-06	3.09625e-08	8.3463e-08	3.55221e-05	0.0138673	0.945541	0.0402821	0.000261464	5.26671e-07	1.2921e-09	9.3495e-11	3.97241e-11	4.52331e-12	1.37985e-13	1.12021e-14	4.38043e-18	9.25985e-21	3.10545e-24	3.11477e-28	3.00051e-31	8.88096e-35	2.59679e-37	1.62644e-39	7.57746e-41	6.28963e-43	1.34581e-45	1.20085e-47	8.98615e-50	1.35256e-52	
N3	4.92709e-35	1.41915e-30	2.83479e-26	8.87896e-24	9.80047e-20	2.52529e-19	3.30215e-16	2.78743e-13	4.48628e-14	2.01348e-13	5.9778e-10	1.83174e-07	2.78383e-08	1.86796e-09	1.68247e-09	5.04803e-06	0.00656325	0.94311	0.0501187	0.000202902	1.88205e-07	1.44668e-10	7.33231e-13	8.35792e-15	2.72612e-17	4.54971e-20	8.78014e-23	8.77473e-27	1.82842e-30	1.38652e-34	3.22497e-39	2.29178e-43	7.02541e-46	1.30332e-47	6.19705e-49	1.38104e-48	9.61978e-49	2.54183e-50	1.16812e-51	2.9783e-53	6.05911e-55	
N4	5.52531e-37	1.20731e-32	1.79927e-28	1.49225e-25	7.26547e-22	2.21598e-20	2.38073e-17	1.05954e-14	6.82746e-15	1.55309e-13	2.51447e-10	5.00977e-08	8.10411e-09	1.87561e-09	8.80698e-09	1.11411e-05	0.00956134	0.926428	0.0636334	0.000365802	4.70689e-07	2.96043e-10	3.30021e-12	5.7144e-13	2.278e-14	1.58386e-16	4.4968e-18	8.49716e-22	1.12253e-24	1.65556e-28	5.59162e-33	2.05504e-36	5.48668e-40	1.00676e-41	1.75807e-42	2.28642e-41	6.07983e-41	4.3385e-42	7.17924e-43	1.69924e-43	1.06395e-44	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.57467e-35	1.35603e-31	5.92014e-28	4.77663e-25	7.18395e-22	3.8669e-20	1.66074e-17	4.453e-15	2.38633e-14	6.39505e-13	3.09546e-10	2.60901e-08	1.05104e-08	1.9921e-08	1.41215e-07	5.8815e-05	0.0188902	0.901937	0.0783247	0.000786578	2.14844e-06	3.10068e-09	7.61419e-11	3.02996e-11	3.04495e-12	6.41202e-14	5.05033e-15	3.59399e-18	1.56661e-20	8.81947e-24	1.1812e-27	1.51506e-30	3.09307e-34	2.41468e-37	1.42808e-39	7.08927e-41	5.60835e-43	1.13821e-45	6.90038e-48	5.15931e-50	9.73009e-53	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	9.47702e-40	4.38837e-35	1.41404e-30	7.52261e-28	1.44674e-23	4.3556e-23	1.76542e-19	5.50105e-16	1.37491e-16	1.51201e-15	8.44372e-12	6.62485e-09	1.32587e-09	1.21389e-10	2.35485e-10	1.32287e-06	0.00314898	0.976091	0.0207172	4.12948e-05	2.04924e-08	5.52361e-12	1.37896e-14	2.06336e-16	8.62044e-19	1.4606e-21	4.03291e-24	3.66195e-28	9.30145e-32	5.82924e-36	9.80348e-41	6.7084e-45	2.19799e-46	2.39751e-48	1.4108e-49	9.496e-49	1.89071e-47	5.37584e-49	4.15855e-50	2.18237e-51	6.12562e-53	
N7	6.68139e-38	7.95187e-34	7.43124e-30	4.55758e-27	2.54642e-23	3.32263e-22	5.68665e-19	6.38708e-16	5.79217e-16	1.06279e-14	3.15511e-11	2.44025e-08	3.43811e-08	8.92503e-09	1.95954e-08	2.25375e-05	0.0126082	0.955744	0.0314878	0.000137384	1.80643e-07	2.24453e-10	2.6944e-12	9.45788e-14	1.01535e-15	5.54723e-18	3.84565e-20	1.02614e-23	6.46606e-27	1.40018e-30	9.62449e-35	2.32559e-38	3.39003e-42	1.74636e-45	2.25371e-48	9.14246e-51	7.77845e-54	4.3672e-57	5.90085e-60	4.21238e-63	1.68105e-66	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.27357e-47	6.38911e-42	1.78642e-36	2.27123e-33	3.68538e-28	1.24202e-27	2.67178e-23	3.27541e-19	6.30346e-20	1.37334e-18	5.15136e-14	1.84907e-10	1.3805e-11	4.8149e-13	1.78567e-12	6.31593e-08	0.000777146	0.988735	0.0104813	6.12587e-06	7.10335e-10	3.28767e-14	1.79735e-17	2.34656e-19	6.69585e-22	3.09538e-25	4.32121e-27	1.56606e-29	4.24489e-31	1.49974e-33	1.25088e-36	1.2431e-38	1.71797e-41	6.87319e-44	3.33989e-45	1.69943e-45	1.40558e-46	2.78735e-48	1.68725e-49	1.50059e-50	3.20749e-52	
N9	5.03738e-38	9.47678e-35	1.332e-31	4.32034e-30	4.93022e-27	1.66167e-27	1.75917e-24	1.00674e-20	5.8287e-21	4.30794e-19	1.33155e-14	4.01235e-11	2.24146e-12	1.7798e-13	2.26655e-12	7.00672e-08	0.000806381	0.989592	0.00959607	5.27881e-06	6.00599e-10	2.56902e-14	2.31641e-17	3.02584e-18	8.66884e-20	1.47852e-22	3.16044e-24	9.93034e-29	4.25281e-32	7.84631e-37	2.70163e-42	3.14785e-46	1.43863e-51	2.39486e-56	1.03134e-59	1.4144e-61	2.51383e-64	3.33319e-68	1.33264e-71	2.03294e-74	2.25616e-78	
N10	2.71575e-43	2.77802e-39	3.72536e-35	5.18346e-32	6.77826e-28	2.39234e-26	9.21068e-23	2.21435e-19	4.68903e-19	1.60451e-17	7.98222e-14	1.20995e-10	4.59201e-10	3.28507e-10	1.80738e-09	4.58001e-06	0.00578881	0.9769	0.017269	3.79907e-05	2.41077e-08	1.1225e-11	1.34425e-13	1.30548e-14	3.42018e-16	2.46255e-18	4.71905e-20	6.21955e-24	4.66571e-27	5.28348e-31	1.71358e-35	4.33733e-39	2.5798e-43	1.11928e-46	1.78274e-49	1.99496e-51	3.97587e-54	2.17824e-57	4.63224e-60	8.44043e-63	3.39362e-66	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	9.30112e-45	9.0265e-40	6.27251e-35	6.09638e-32	3.50285e-27	1.50733e-26	2.46375e-22	2.77481e-18	7.83222e-19	2.37777e-17	6.09153e-13	2.98848e-09	8.49661e-10	4.11206e-11	8.4916e-11	7.44496e-07	0.00239354	0.991619	0.00598176	4.54135e-06	1.02051e-09	2.14082e-13	4.71894e-16	3.26547e-18	6.671e-21	6.43488e-24	8.7463e-27	3.85141e-31	4.48223e-35	1.60979e-39	1.76852e-44	7.37704e-49	1.68698e-53	1.43225e-57	3.04751e-61	2.14676e-64	2.97489e-68	2.44727e-72	4.89385e-76	5.42561e-80	3.01102e-84	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	1.32408e-45	1.08775e-40	6.46503e-36	7.35285e-33	3.04474e-28	2.64489e-27	2.96066e-23	2.38573e-19	1.74864e-19	6.84708e-18	1.4296e-13	5.65309e-10	5.09802e-10	6.47224e-11	1.9032e-10	1.21631e-06	0.00310943	0.98598	0.0108962	1.33874e-05	4.48587e-09	1.23618e-12	5.15999e-15	9.28614e-17	4.66342e-19	9.11502e-22	2.98492e-24	1.6434e-28	3.04489e-32	1.34288e-36	1.74582e-41	1.69112e-45	2.58827e-46	5.13555e-48	3.12869e-49	1.47771e-48	6.34604e-48	1.79673e-49	1.56879e-50	8.93725e-52	2.00023e-53	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	1.64705e-45	4.53256e-41	2.24352e-36	4.67223e-33	1.55803e-28	4.41873e-27	4.41163e-23	2.79973e-19	4.48609e-19	1.88023e-17	1.4494e-13	1.66375e-10	9.62945e-11	2.70413e-11	1.69699e-10	1.09764e-06	0.00297295	0.987374	0.00964191	1.02552e-05	2.96184e-09	5.3347e-13	2.63123e-15	1.7485e-16	2.86596e-18	8.36555e-21	1.07596e-22	6.8605e-27	3.63294e-30	2.00137e-34	2.76814e-39	4.42287e-43	1.05727e-47	1.69704e-51	1.39627e-54	1.11189e-56	1.38669e-59	3.63164e-63	2.98362e-66	3.46288e-69	7.46134e-73	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
