NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	3.07794e-33	1.2397e-27	1.04954e-25	1.10415e-21	2.34118e-19	5.24759e-21	3.98953e-19	2.87669e-16	3.39341e-14	5.13933e-14	5.21977e-15	1.77532e-16	7.26191e-17	2.72225e-15	2.34624e-13	7.26183e-12	5.71716e-11	1	5.41635e-11	1.10428e-11	1.07152e-12	5.88867e-14	2.06661e-15	5.03987e-17	9.08246e-19	1.26673e-20	1.41699e-22	1.30769e-24	1.01855e-26	6.82172e-29	3.98989e-31	2.06462e-33	9.55736e-36	3.9955e-38	1.5209e-40	5.30915e-43	1.71024e-45	5.1119e-48	1.42468e-50	3.71867e-53	9.60528e-56	
N2	8.72309e-37	4.16222e-31	4.9304e-28	2.87927e-24	4.4842e-22	2.64003e-22	4.83778e-20	3.1616e-17	6.66813e-15	3.75932e-13	3.93739e-12	1.47367e-11	5.43194e-11	6.25987e-09	2.83349e-06	0.000588318	0.0416454	0.688495	0.247474	0.0210982	0.000684543	1.09522e-05	1.01442e-07	6.12768e-10	4.16138e-12	2.88121e-12	4.5075e-13	4.53204e-13	5.25375e-14	3.21796e-14	2.91905e-15	1.1123e-15	7.97513e-17	1.84108e-17	8.80776e-19	1.05537e-19	5.5831e-22	1.02398e-23	3.2359e-26	4.98467e-28	7.80168e-30	
N3	2.95626e-43	7.38124e-36	2.01473e-32	1.20632e-26	1.13126e-22	1.77792e-23	3.97366e-20	1.20382e-15	5.58618e-12	6.71177e-11	2.38515e-11	2.05821e-12	3.05402e-13	2.58634e-10	3.81374e-07	0.000187783	0.0229926	0.422451	0.47994	0.0716158	0.00277082	4.07719e-05	2.88236e-07	1.16653e-09	3.76887e-12	8.41244e-14	1.61093e-15	6.85565e-17	8.83061e-19	2.14415e-20	1.83903e-22	2.66182e-24	1.48635e-26	1.28912e-28	4.22818e-31	2.09778e-33	3.15291e-36	8.23061e-39	8.06099e-42	1.53962e-44	1.98003e-47	
N4	4.45551e-43	4.86272e-36	2.71502e-32	6.25961e-27	1.46698e-23	3.56042e-23	1.06898e-19	6.1335e-16	3.3582e-13	1.75579e-12	5.39822e-13	2.23521e-13	1.00103e-12	1.03834e-09	1.02816e-06	0.000344248	0.029155	0.410511	0.474693	0.0813712	0.00385159	7.17343e-05	6.53771e-07	3.37354e-09	1.09995e-11	5.11164e-14	1.78584e-15	7.67979e-16	3.60161e-17	9.29475e-18	2.92822e-19	4.5946e-20	8.76079e-22	8.76301e-23	7.86573e-25	5.21606e-26	1.46682e-28	5.31544e-30	8.4198e-33	1.46781e-34	4.05757e-37	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	4.31613e-40	6.61605e-34	2.8098e-30	9.20649e-26	4.01777e-23	5.04277e-22	5.92246e-19	6.04698e-16	8.63413e-14	6.13866e-13	2.84608e-12	8.32152e-12	6.61634e-11	2.0887e-08	7.58875e-06	0.00107195	0.0457426	0.414823	0.44575	0.0870244	0.0054286	0.000149461	2.20878e-06	1.99251e-08	1.20262e-10	8.53044e-13	4.53736e-14	3.41563e-14	3.26443e-15	1.58555e-15	1.09992e-16	3.42579e-17	1.55962e-18	3.21436e-19	7.64312e-21	1.07485e-21	9.22085e-24	7.75523e-25	3.70802e-27	1.60207e-28	1.34318e-30	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	4.84602e-43	8.45083e-36	1.7284e-32	7.05435e-27	1.39258e-23	2.2189e-24	7.71366e-21	1.149e-16	3.83915e-13	1.37231e-12	3.9598e-13	4.37877e-14	1.6039e-14	3.32064e-11	7.90292e-08	6.53923e-05	0.01419	0.470265	0.471275	0.0432505	0.00094574	7.72493e-06	3.03754e-08	6.7529e-11	9.57352e-14	1.99031e-16	1.69215e-18	7.33353e-20	7.48047e-22	1.97564e-23	1.41386e-25	2.27388e-27	1.09237e-29	1.07918e-31	3.08111e-34	1.8661e-36	2.57025e-39	9.27489e-42	7.68633e-45	1.70713e-47	1.70098e-50	
N7	6.77858e-40	1.95076e-33	3.11084e-30	2.74969e-25	7.57172e-23	1.60504e-22	1.02012e-18	6.88007e-15	8.52516e-12	2.2216e-11	1.23775e-11	3.287e-12	4.99742e-12	3.89596e-09	2.69708e-06	0.00069334	0.0506744	0.624426	0.299113	0.0244241	0.000657412	8.13013e-06	5.60019e-08	2.43528e-10	7.43474e-13	4.18617e-15	8.35442e-17	6.62946e-18	1.52371e-19	7.96322e-21	1.39271e-22	4.7531e-24	6.10583e-26	1.34706e-27	1.13664e-29	1.55475e-31	7.02683e-34	5.96561e-36	1.63736e-38	8.91588e-41	2.86661e-43	
