NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	8.322e-31	1.18912e-27	8.64725e-25	1.43806e-22	3.62044e-20	2.89325e-19	4.99707e-19	2.77854e-17	1.45687e-10	4.68042e-09	2.40369e-08	3.28554e-07	8.84108e-07	6.18001e-08	2.78146e-08	2.03692e-05	0.0165066	0.439275	0.50638	0.0374451	0.000371087	8.18062e-07	5.54749e-10	1.43814e-13	7.02493e-19	5.33569e-21	2.99022e-23	1.27929e-25	4.29434e-28	1.15676e-30	2.54774e-33	4.66123e-36	7.18062e-39	9.4235e-42	1.06432e-44	1.0438e-47	8.95946e-51	6.7781e-54	4.548e-57	2.72188e-60	1.48105e-63	
N2	8.58771e-32	1.65248e-28	3.15765e-25	3.72083e-22	1.98655e-19	1.05209e-17	1.14181e-15	3.04911e-13	6.04142e-11	1.665e-09	5.5068e-09	1.96885e-08	4.93613e-08	1.7076e-07	2.06922e-06	0.000202073	0.0173537	0.345292	0.544615	0.0890016	0.00347989	5.07332e-05	1.281e-06	9.09255e-07	2.23538e-07	2.33204e-08	3.51775e-09	3.87157e-11	1.01858e-12	7.39178e-15	3.22192e-17	4.54598e-18	7.28316e-20	7.83083e-21	4.62779e-23	3.14676e-24	3.64868e-27	1.22458e-28	6.54805e-32	8.20574e-34	1.44337e-36	
N3	4.92513e-36	8.21885e-32	6.2464e-28	2.35334e-24	3.82494e-21	7.08159e-20	1.63561e-18	2.62664e-15	4.41802e-12	5.38616e-11	3.05519e-11	1.29005e-09	1.85357e-08	1.34509e-08	3.06556e-08	1.67547e-05	0.00497717	0.25772	0.629941	0.104301	0.00301797	2.61674e-05	1.61196e-07	4.29996e-09	7.09726e-11	8.19172e-13	7.28753e-15	1.56644e-17	3.84319e-20	6.55794e-23	5.86803e-26	2.81001e-28	3.69558e-31	1.34995e-33	1.0103e-36	2.11416e-39	6.13633e-43	7.40084e-46	1.01557e-49	7.12918e-53	1.4889e-56	
N4	6.58628e-38	7.28294e-34	5.29561e-30	2.19636e-26	3.05526e-23	2.67777e-21	2.80145e-19	2.79926e-16	1.32524e-13	1.33305e-12	2.62224e-12	5.30701e-11	4.42889e-10	1.49067e-09	7.06036e-08	3.53932e-05	0.00733381	0.273336	0.610389	0.105474	0.0033985	3.32278e-05	1.48866e-07	3.89566e-09	4.36376e-10	2.03537e-11	1.99299e-12	1.80797e-14	2.12917e-16	9.9894e-19	7.27528e-22	9.64286e-24	3.41341e-26	1.79327e-27	3.71751e-30	1.32178e-31	6.26076e-35	1.38389e-36	2.07422e-40	2.0399e-42	6.90531e-46	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	6.52015e-35	1.16505e-31	2.0643e-28	2.08293e-25	6.1708e-23	7.65578e-21	1.14165e-18	2.88525e-16	3.31478e-14	3.7633e-13	2.93487e-12	7.68649e-11	1.35309e-09	1.45877e-08	8.89959e-07	0.000174709	0.0155979	0.313478	0.564823	0.10176	0.00410724	5.80289e-05	3.87923e-07	1.49448e-08	3.1237e-09	3.04244e-10	5.94664e-11	1.37978e-12	3.78021e-14	4.64262e-16	9.14006e-19	2.59127e-20	2.46822e-22	3.11908e-23	2.0807e-25	1.86252e-26	3.35668e-29	1.98834e-30	1.10065e-33	3.07916e-35	3.58702e-38	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.65821e-38	1.04489e-33	9.61125e-30	3.33896e-26	2.56194e-23	3.06249e-21	6.59558e-20	1.6181e-16	2.38168e-13	7.02822e-13	7.03513e-13	1.41051e-10	1.08102e-09	5.69967e-10	4.82896e-09	6.52619e-06	0.00362313	0.357541	0.591929	0.0462928	0.000605564	2.3519e-06	4.08081e-09	2.44715e-11	3.71535e-13	3.97929e-15	4.36217e-17	1.00648e-19	2.40444e-22	3.21789e-25	1.11709e-28	2.7898e-31	2.9342e-34	1.45835e-36	1.09767e-39	3.34894e-42	9.4929e-46	1.77679e-48	1.83363e-52	1.83607e-55	2.54038e-59	
N7	1.0435e-34	3.55783e-31	9.18326e-28	1.37772e-24	3.37632e-22	6.66046e-20	6.85883e-18	7.68191e-15	4.02663e-12	1.28248e-11	4.69561e-11	3.32416e-09	1.01381e-08	9.41307e-09	4.01496e-07	0.000157344	0.0231711	0.625456	0.332003	0.0189315	0.00027862	1.5921e-06	5.67283e-09	1.26053e-10	3.76329e-12	8.44555e-14	1.69767e-15	8.9244e-18	4.68065e-20	1.30234e-22	1.42207e-25	1.18325e-27	3.90988e-30	4.50322e-32	1.08868e-34	7.32351e-37	7.42077e-40	3.05215e-42	1.09323e-45	2.2748e-48	1.15092e-51	
