NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.96479e-28	5.29838e-25	6.52301e-22	1.28724e-20	1.26515e-17	3.8023e-18	9.5133e-11	1.31326e-06	6.34178e-10	3.55541e-09	0.000362045	0.99836	0.00127654	4.69327e-08	1.48876e-11	6.43018e-12	1.03163e-12	2.22863e-14	1.17912e-19	3.06494e-22	4.07548e-25	3.29967e-28	1.79703e-31	7.02255e-35	2.06051e-38	4.69397e-42	8.51835e-46	1.25674e-49	1.54219e-53	3.05928e-57	2.03584e-59	2.86218e-61	3.84857e-63	7.67217e-65	2.85048e-66	4.70076e-68	4.27761e-70	3.29822e-72	2.3593e-74	1.58648e-76	1.01131e-78	
N2	4.20054e-28	3.62665e-24	2.38189e-20	1.63289e-17	4.40937e-14	1.27314e-12	7.27968e-10	1.85219e-07	1.06898e-07	3.20491e-06	0.00303645	0.462042	0.0059748	9.35741e-06	1.7922e-07	4.4058e-05	0.00396192	0.517045	0.00763337	0.000248667	6.43418e-07	4.78794e-10	4.81556e-12	5.56094e-13	5.52121e-15	6.56954e-17	4.56165e-18	6.32965e-22	8.61156e-25	1.58631e-27	1.36551e-31	1.44512e-34	1.4476e-38	5.65816e-42	1.02137e-44	1.91651e-46	1.25644e-49	1.15631e-52	4.36827e-55	2.57393e-57	1.94191e-60	
N3	2.30904e-33	1.22198e-28	4.37584e-24	1.49361e-21	4.51208e-17	1.19206e-16	6.93204e-13	2.8312e-09	4.96216e-10	4.17379e-09	2.18457e-05	0.0102964	7.03203e-05	2.91803e-08	1.25714e-09	2.87713e-06	0.00361304	0.973473	0.0124848	3.71315e-05	2.47455e-08	5.17101e-12	4.61749e-15	1.7251e-17	1.87778e-20	1.41233e-23	1.76376e-26	5.93212e-31	5.21639e-35	3.42147e-39	4.7126e-44	1.32062e-46	1.91392e-47	9.16715e-50	1.85192e-51	1.67065e-51	6.31639e-52	8.80955e-54	3.01549e-55	6.84335e-57	8.34666e-59	
N4	3.67543e-34	1.33653e-29	3.38277e-25	3.48522e-22	4.28169e-18	1.20896e-16	2.48762e-13	2.16111e-10	1.32543e-10	4.19413e-09	1.20911e-05	0.0036988	3.76648e-05	2.75831e-08	1.64799e-09	4.32993e-06	0.00601821	0.971335	0.0188505	4.31235e-05	2.4518e-08	6.17706e-12	2.48267e-14	2.38262e-15	5.4098e-17	1.77677e-19	3.34329e-21	1.88261e-25	9.60617e-29	6.39121e-33	9.64054e-38	1.48971e-40	6.87572e-42	8.10764e-44	8.27155e-45	7.22891e-44	1.80417e-43	7.85265e-45	9.98004e-46	2.4688e-46	9.57347e-48	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.08391e-31	8.48664e-28	5.05129e-24	3.99596e-21	1.01398e-17	4.25554e-16	3.02358e-13	1.46103e-10	5.93512e-10	1.8986e-08	1.65931e-05	0.00210881	3.74472e-05	7.43501e-08	2.4982e-08	2.39004e-05	0.0127893	0.955975	0.0289334	0.000114968	1.31803e-07	8.64668e-11	1.32036e-12	3.77721e-13	2.68464e-14	2.97866e-16	1.70453e-17	4.02455e-21	7.61022e-24	1.68462e-27	9.52037e-32	5.8216e-35	5.35297e-39	2.69377e-42	8.31848e-45	2.96018e-46	1.64413e-48	1.64359e-51	5.39028e-54	2.88798e-56	2.52089e-59	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.16861e-36	2.26112e-31	1.06421e-26	4.77316e-24	1.69116e-19	3.58246e-19	2.78531e-15	1.67961e-11	2.70247e-12	3.86843e-11	3.46383e-07	0.000329796	8.53031e-07	2.0149e-10	4.75459e-11	4.86499e-07	0.0019238	0.992397	0.00534417	3.57742e-06	6.83424e-10	7.49821e-14	9.15439e-17	8.57286e-19	2.19814e-21	1.85448e-24	3.3602e-27	9.48292e-32	9.17788e-36	2.28467e-40	1.58113e-45	7.4933e-49	1.37561e-48	1.11593e-50	4.62764e-52	1.52031e-51	2.86743e-50	5.3609e-52	3.29173e-53	1.63901e-54	2.85524e-56	
N7	6.134e-34	9.49599e-30	1.09185e-25	5.03481e-23	4.39804e-19	3.56964e-18	8.60951e-15	1.38956e-11	6.43531e-12	7.65418e-11	1.33701e-07	2.79159e-05	2.36934e-07	1.19336e-09	3.72653e-09	8.60784e-06	0.00800121	0.97812	0.0138159	2.55685e-05	1.42687e-08	7.06131e-12	4.24289e-14	1.04731e-15	7.50647e-18	2.2387e-20	1.08944e-22	1.22258e-26	3.48986e-30	3.23036e-34	9.4708e-39	1.11606e-42	6.85685e-47	1.73527e-50	1.17107e-53	3.33575e-56	1.85303e-59	4.98185e-63	3.92868e-66	1.89248e-69	3.78433e-73	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	2.84085e-43	1.75848e-37	6.03912e-32	5.85089e-29	1.48018e-23	3.16129e-23	1.04606e-18	1.74829e-14	1.56464e-15	4.66573e-14	2.52418e-09	1.12968e-05	9.47765e-09	4.54089e-13	3.82046e-13	2.50913e-08	0.000502371	0.997163	0.00232298	3.88583e-07	1.44308e-11	2.58257e-16	1.03166e-19	8.6034e-22	1.51916e-24	6.45439e-28	1.41413e-28	2.31554e-31	3.68802e-33	6.29245e-36	2.85394e-39	1.73e-41	1.43668e-44	7.14976e-47	2.60651e-48	1.32755e-48	1.07441e-49	1.45006e-51	6.45468e-53	5.66276e-54	7.44233e-56	
N9	1.22474e-36	1.93684e-33	2.22005e-30	4.09618e-29	3.00029e-25	4.46225e-24	1.02717e-19	9.76606e-16	2.43947e-16	2.28355e-14	9.38331e-10	3.47958e-06	3.14331e-09	2.06094e-13	7.36697e-13	3.70436e-08	0.000599605	0.996926	0.00247067	4.68322e-07	2.01921e-11	3.9392e-16	4.57129e-19	4.70785e-20	1.03968e-21	9.69678e-25	1.60181e-26	1.27661e-31	2.4488e-35	1.48017e-40	1.98377e-46	9.96827e-51	1.8973e-56	4.4182e-61	1.04328e-64	1.06022e-66	1.37044e-69	8.94384e-74	1.83363e-77	1.9922e-80	9.73913e-85	
N10	6.62782e-39	1.78408e-34	3.61531e-30	4.47027e-27	6.05114e-23	1.9416e-21	7.52388e-18	1.92814e-14	3.64699e-14	1.09076e-12	2.85581e-09	9.29709e-07	5.21887e-09	1.11976e-10	1.05186e-09	3.52953e-06	0.00513098	0.985552	0.0093015	1.14418e-05	4.18959e-09	1.19744e-12	1.09042e-14	1.05432e-15	2.68292e-17	1.42245e-19	2.72849e-21	2.01603e-25	9.11418e-29	6.01549e-33	1.16392e-37	2.05029e-41	7.82594e-46	2.71387e-49	3.14619e-52	3.5195e-54	6.79754e-57	2.53054e-60	4.13049e-63	7.37817e-66	2.0532e-69	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.61991e-38	1.34175e-33	2.78787e-29	2.27901e-26	3.3259e-22	4.48215e-21	1.68269e-17	4.13099e-14	2.9708e-14	5.36612e-13	1.39504e-09	4.30642e-07	3.11151e-09	1.99361e-10	1.13856e-09	3.92851e-06	0.00544934	0.98507	0.00946414	1.17898e-05	4.39429e-09	1.39981e-12	8.64925e-15	3.28951e-16	3.44864e-18	1.1349e-20	8.48062e-23	6.39546e-27	1.77509e-30	1.14595e-34	2.25562e-39	2.59156e-43	1.06476e-47	2.65267e-51	1.90368e-54	8.34989e-57	6.68197e-60	1.72054e-63	1.62795e-66	1.16299e-69	2.18495e-73	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
