NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	9.26276e-34	1.41016e-27	9.4975e-26	1.36865e-21	1.81949e-20	3.69935e-21	1.92786e-18	1.26273e-11	4.32305e-09	7.66634e-10	1.95296e-12	4.90824e-14	3.44363e-12	6.92984e-08	0.000256207	0.0731776	0.628615	0.289649	0.00827429	2.78029e-05	1.91337e-08	3.85686e-12	2.91125e-18	1.66452e-20	6.68064e-23	1.96938e-25	4.41726e-28	7.75432e-31	1.09018e-33	1.25115e-36	1.19112e-39	9.5364e-43	6.49702e-46	3.80532e-49	1.93334e-52	8.58821e-56	3.35906e-59	1.16405e-62	3.59421e-66	9.93839e-70	2.58988e-73	
N2	4.53404e-35	9.02606e-29	1.68577e-25	3.46447e-21	1.11166e-18	6.69846e-18	3.37561e-15	2.41504e-12	1.96767e-10	1.23501e-10	3.20573e-10	6.47605e-10	5.17598e-09	1.72865e-06	0.000452843	0.0370458	0.4316	0.460707	0.0676322	0.00252482	3.54623e-05	2.36253e-07	8.74825e-10	1.4832e-11	5.64033e-13	3.34264e-13	8.68994e-15	2.60966e-15	4.38828e-17	6.80415e-18	6.66091e-20	5.36146e-21	1.37217e-23	4.94055e-25	5.72406e-28	4.80443e-30	3.74453e-33	1.21425e-35	6.16385e-39	1.54747e-41	1.52174e-43	
N3	2.08518e-39	4.31347e-32	2.42397e-29	6.1168e-24	2.66812e-21	4.76748e-22	2.71042e-18	5.21976e-14	1.34004e-10	1.75001e-10	1.99965e-11	9.18999e-13	1.96507e-12	4.37502e-09	4.82956e-06	0.00158587	0.10429	0.705237	0.182384	0.0064383	5.96426e-05	2.08113e-07	3.41592e-10	4.01477e-13	6.59849e-16	1.10084e-17	2.8354e-20	2.88549e-22	4.37766e-25	2.23013e-27	2.01194e-30	5.24494e-33	2.5147e-36	3.29993e-39	8.05029e-43	4.47615e-46	6.70486e-50	1.93891e-53	1.90427e-57	3.7408e-61	7.28101e-65	
N4	6.43139e-41	1.07296e-33	2.70202e-30	4.44731e-25	2.90473e-22	7.43113e-22	2.29827e-18	1.05321e-14	3.49193e-12	3.99036e-12	4.81549e-13	1.72897e-13	3.65344e-12	5.65447e-09	5.28734e-06	0.00154179	0.096599	0.67797	0.21387	0.00988986	0.00012297	5.77082e-07	1.26154e-09	1.487e-12	1.11177e-15	2.32843e-17	2.19288e-19	3.4624e-20	1.93238e-22	1.60636e-23	4.94505e-26	2.3198e-27	3.27406e-30	9.10313e-32	4.58904e-35	6.62816e-37	1.38942e-40	5.00492e-43	7.33206e-47	1.01285e-49	2.84593e-53	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.28364e-38	5.00708e-32	1.10597e-28	2.49167e-24	6.6414e-22	7.04026e-21	5.07094e-18	4.20959e-15	4.08602e-13	1.0519e-12	3.10243e-12	8.66516e-12	1.15292e-10	5.20508e-08	1.98716e-05	0.00280375	0.107166	0.640342	0.234014	0.0153339	0.000317939	2.82696e-06	1.29627e-08	3.46757e-11	6.01771e-14	1.03371e-15	2.32145e-17	8.85526e-18	1.38201e-19	2.98184e-20	2.94561e-22	3.74067e-23	1.98782e-25	1.54605e-26	3.22649e-29	1.42269e-30	1.17845e-33	1.46402e-35	8.55129e-39	4.05573e-41	4.5332e-44	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	7.23111e-41	1.91669e-33	1.56067e-30	4.27536e-25	9.41119e-23	2.15739e-23	1.15998e-19	1.05171e-15	1.78592e-12	8.92205e-13	1.40639e-13	1.15609e-14	2.51058e-14	1.05465e-10	2.4323e-07	0.000189755	0.0356957	0.80962	0.151446	0.00303186	1.55738e-05	3.05866e-08	2.87883e-11	1.50702e-14	5.06618e-18	1.00621e-20	2.01086e-23	3.10105e-25	4.29547e-28	3.55326e-30	3.20602e-33	1.44566e-35	7.86553e-39	1.94325e-41	5.1088e-45	6.46227e-48	8.59816e-52	4.1274e-55	3.54731e-59	8.20567e-63	9.97372e-67	
N7	1.41997e-38	5.78855e-32	3.84864e-29	1.86774e-24	2.55082e-22	3.85454e-22	1.13901e-18	6.12025e-15	6.42241e-12	1.30226e-11	7.0903e-12	1.94719e-12	3.92601e-12	3.70652e-09	2.83929e-06	0.000818093	0.0657054	0.780879	0.147945	0.00460339	4.60459e-05	2.03592e-07	4.78317e-10	6.74827e-13	6.36638e-16	1.85421e-18	8.68042e-21	3.13748e-22	1.22319e-24	2.59433e-26	7.22405e-29	8.95741e-31	1.79888e-33	1.27858e-35	1.66177e-38	6.28124e-41	3.4557e-44	4.21579e-47	1.45168e-50	9.84038e-54	4.75037e-57	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.49766e-48	8.92917e-40	1.48842e-36	3.3518e-30	2.7723e-27	4.02535e-28	1.30149e-23	8.47048e-19	6.23075e-15	7.60348e-16	3.38634e-17	1.84079e-18	1.84827e-17	5.12229e-13	6.32318e-09	2.3158e-05	0.0163844	0.857841	0.124624	0.00112522	1.94409e-06	1.07054e-09	2.49204e-13	2.92444e-17	1.96167e-21	6.40932e-25	4.74069e-28	6.73426e-30	3.23992e-33	5.11125e-33	2.73383e-33	2.53352e-33	6.42192e-35	3.12525e-35	3.40949e-37	1.08227e-37	4.96723e-40	5.31607e-41	1.8605e-43	7.72515e-45	5.07222e-47	
