NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.00951e-69	1.98769e-45	2.21773e-40	5.06936e-36	4.14503e-32	1.5019e-28	2.67388e-25	2.45903e-22	1.18802e-19	2.9874e-17	4.59371e-10	1.6277e-06	0.00103697	0.0866476	0.620374	0.279995	0.0118832	6.11467e-05	5.10646e-08	9.45896e-12	3.92773e-18	1.66012e-20	4.37236e-23	7.5405e-26	8.84125e-29	7.25399e-32	4.25846e-35	1.81964e-38	5.73368e-42	1.34518e-45	2.36546e-49	3.13029e-53	3.12202e-57	2.34445e-61	1.32084e-65	5.54735e-70	1.72015e-74	3.88509e-79	6.27403e-84	7.06462e-89	5.94799e-94	
N2	5.2752e-68	2.89875e-43	1.15996e-37	9.47553e-33	2.76189e-28	3.56358e-24	2.26134e-20	7.4398e-17	1.29541e-13	1.1886e-10	5.58527e-08	1.26763e-05	0.00125113	0.0441458	0.360338	0.441629	0.138919	0.0132474	0.000450983	6.59484e-06	4.76347e-08	1.88099e-10	4.37687e-13	6.35115e-16	6.00268e-19	3.82239e-22	1.68392e-25	5.23967e-29	1.17022e-32	1.89901e-36	2.25915e-40	1.982e-44	1.28641e-48	6.17986e-53	2.19232e-57	5.71309e-62	1.08423e-66	1.47963e-71	1.42649e-76	9.51292e-82	7.53602e-87	
N3	1.3121e-77	4.23232e-52	8.12984e-46	3.10861e-40	4.12466e-35	2.34887e-30	6.35589e-26	8.58089e-22	5.8744e-18	2.02153e-14	3.38651e-11	2.60585e-08	8.40727e-06	0.000992072	0.0351884	0.296385	0.514946	0.145687	0.0067126	8.02846e-05	3.43382e-07	6.45876e-10	6.13329e-13	3.23754e-16	1.01854e-19	2.01153e-23	2.59415e-27	2.25196e-31	1.3471e-35	5.65341e-40	1.68713e-44	3.61495e-49	5.59602e-54	6.27762e-59	5.10261e-64	2.99493e-69	1.26042e-74	3.76073e-80	7.82494e-86	1.10927e-91	1.31481e-97	
N4	1.28623e-77	3.85615e-52	7.13119e-46	2.61418e-40	3.31257e-35	1.79553e-30	4.613e-26	5.90614e-22	3.83779e-18	1.25863e-14	2.02745e-11	1.52505e-08	4.94699e-06	0.000614153	0.0244842	0.247439	0.51935	0.193665	0.0141616	0.000279985	1.94746e-06	5.75939e-09	8.28912e-12	6.40437e-15	2.85728e-18	7.7796e-22	1.3489e-25	1.53957e-29	1.1869e-33	6.30539e-38	2.34369e-42	6.16335e-47	1.15538e-51	1.5503e-56	1.49023e-61	1.02354e-66	4.99145e-72	1.70995e-77	4.04982e-83	6.48669e-89	9.59649e-95	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	6.88482e-72	4.99501e-47	2.5091e-41	2.59652e-36	9.69114e-32	1.62193e-27	1.35624e-23	5.99706e-20	1.4397e-16	1.88472e-13	1.32579e-10	4.84119e-08	8.6535e-06	0.000690713	0.0213745	0.207396	0.491881	0.247608	0.0298732	0.00114918	1.77319e-05	1.29167e-07	4.98534e-10	1.10829e-12	1.50975e-15	1.32059e-18	7.68819e-22	3.06277e-25	8.52994e-29	1.68825e-32	2.40373e-36	2.4833e-40	1.87151e-44	1.03125e-48	4.1515e-53	1.21615e-57	2.57298e-62	3.88559e-67	4.1182e-72	2.99507e-77	2.39118e-82	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.306e-82	6.5805e-57	1.96866e-50	1.19438e-44	2.5682e-39	2.42818e-34	1.12186e-29	2.67205e-25	3.35468e-21	2.21797e-17	7.55675e-14	1.26959e-10	9.78889e-08	3.10093e-05	0.00340889	0.100693	0.556877	0.324218	0.014627	0.000144208	4.80414e-07	6.88178e-10	4.92984e-13	1.95595e-16	4.62191e-20	6.86205e-24	6.66453e-28	4.3667e-32	1.97644e-36	6.29222e-41	1.42814e-45	2.3332e-50	2.7607e-55	2.37269e-60	1.48084e-65	6.68776e-71	2.16989e-76	5.00053e-82	8.04978e-88	8.84254e-94	8.04171e-100	
N7	2.02377e-77	2.78403e-52	2.43846e-46	4.45943e-41	2.9857e-36	9.11581e-32	1.41747e-27	1.1916e-23	5.58118e-20	1.47017e-16	2.16069e-13	1.72766e-10	7.18405e-08	1.4464e-05	0.00126274	0.0402048	0.352313	0.535958	0.0682425	0.00198398	2.04429e-05	9.46416e-08	2.2774e-10	3.13907e-13	2.65379e-16	1.44655e-19	5.27779e-23	1.32607e-26	2.34472e-30	2.96584e-34	2.71637e-38	1.8167e-42	8.91802e-47	3.22001e-51	8.54348e-56	1.65884e-60	2.33897e-65	2.36677e-70	1.68969e-75	8.31234e-81	3.76878e-86	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	6.45667e-83	2.77044e-67	6.12899e-60	2.65281e-53	3.92472e-47	2.45985e-41	7.24527e-36	1.055e-30	7.73253e-26	2.83301e-21	5.03391e-17	4.10135e-13	1.40138e-09	1.75186e-06	0.00064962	0.0515259	0.536421	0.39805	0.0132917	6.02884e-05	6.91053e-08	2.81353e-11	5.00405e-15	4.45458e-19	2.18138e-23	6.2901e-28	1.12314e-32	1.28954e-37	9.7951e-43	5.02799e-48	1.77153e-53	4.33078e-59	7.39805e-65	1.8301e-68	5.14783e-69	7.18367e-70	4.86984e-71	1.54954e-72	2.1867e-74	1.25546e-76	2.94585e-79	
N9	2.07973e-93	7.12051e-67	1.33002e-59	4.8896e-53	6.18779e-47	3.34506e-41	8.58206e-36	1.10131e-30	7.21403e-26	2.40229e-21	3.96004e-17	3.06918e-13	1.0288e-09	1.30992e-06	0.000516475	0.0452402	0.520411	0.418036	0.0157112	8.33034e-05	1.13871e-07	5.59729e-11	1.21211e-14	1.32176e-18	7.96372e-23	2.83437e-27	6.26042e-32	8.90434e-37	8.3854e-42	5.33805e-47	2.33206e-52	7.06492e-58	1.49352e-63	2.20873e-69	4.02819e-75	2.71183e-77	1.97182e-79	6.26616e-82	7.87062e-85	3.37919e-88	4.63056e-92	
N10	3.92565e-80	8.58513e-55	1.182e-48	3.39107e-43	3.55432e-38	1.6951e-33	4.10704e-29	5.36449e-25	3.89059e-21	1.58003e-17	3.55959e-14	4.32807e-11	2.70437e-08	8.02776e-06	0.000999353	0.042428	0.42221	0.484447	0.0488214	0.00107732	8.14809e-06	2.70408e-08	4.5849e-11	4.3954e-14	2.55824e-17	9.52137e-21	2.3557e-24	3.99008e-28	4.73169e-32	3.99562e-36	2.43284e-40	1.07745e-44	3.48959e-49	8.28348e-54	1.43994e-58	1.82554e-63	1.67505e-68	1.09925e-73	5.07228e-79	1.60727e-84	4.64244e-90	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	2.4614e-80	5.32742e-55	7.17664e-49	2.01993e-43	2.08284e-38	9.80114e-34	2.35061e-29	3.04988e-25	2.20603e-21	8.97706e-18	2.03791e-14	2.51446e-11	1.60908e-08	4.95482e-06	0.000652435	0.0303096	0.354524	0.553644	0.0595118	0.00134218	1.02912e-05	3.46271e-08	5.96663e-11	5.82978e-14	3.46823e-17	1.32305e-20	3.36378e-24	5.86912e-28	7.18607e-32	6.27917e-36	3.96471e-40	1.82472e-44	6.15448e-49	1.52467e-53	2.77202e-58	3.68379e-63	3.55118e-68	2.45421e-73	1.19549e-78	4.00881e-84	1.19511e-89	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	2.72008e-80	5.73283e-55	7.52287e-49	2.06384e-43	2.07577e-38	9.53523e-34	2.23446e-29	2.83592e-25	2.00918e-21	8.02135e-18	1.7902e-14	2.17742e-11	1.3787e-08	4.22363e-06	0.000558136	0.0264337	0.326049	0.583006	0.0625371	0.00140132	1.07214e-05	3.61524e-08	6.26546e-11	6.17526e-14	3.71488e-17	1.43591e-20	3.7055e-24	6.5721e-28	8.19025e-32	7.2925e-36	4.69668e-40	2.20685e-44	7.6053e-49	1.9265e-53	3.58378e-58	4.87595e-63	4.815e-68	3.4105e-73	1.70349e-78	5.85981e-84	1.78799e-89	
BGA304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
