NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.87646e-53	6.31197e-50	1.89221e-46	4.66812e-43	9.32045e-40	1.48092e-36	1.85474e-33	1.8418e-30	1.47893e-27	1.06145e-24	6.42328e-22	2.61375e-19	6.56873e-17	9.19038e-15	6.17514e-13	0.0531351	0.372943	0.573922	7.08822e-11	9.30782e-12	5.13905e-13	1.45309e-14	2.40143e-16	2.54242e-18	1.84261e-20	9.60789e-23	3.74553e-25	1.12542e-27	2.78427e-30	
N2	1.30055e-53	1.58099e-49	2.01859e-45	2.11049e-41	1.84983e-37	1.4073e-33	9.41452e-30	5.33971e-26	2.39309e-22	7.91976e-19	1.81841e-15	2.71135e-12	2.44286e-09	1.2016e-06	0.00027541	0.0219013	0.247385	0.584916	0.138479	0.00692606	0.000116041	8.4797e-07	3.18732e-09	6.88989e-12	9.27922e-15	8.40788e-18	6.322e-20	2.0278e-20	4.38795e-21	
N3	1.83597e-60	9.11765e-56	3.75864e-51	1.09506e-46	2.177e-42	2.84265e-38	2.37142e-34	1.27564e-30	3.98044e-27	6.59756e-24	5.89655e-20	3.61054e-16	1.28111e-12	2.37743e-09	1.99415e-06	0.000607592	0.0477899	0.57185	0.35502	0.0243542	0.000374078	1.91722e-06	4.1805e-09	4.55051e-12	2.76516e-15	1.01806e-18	2.4194e-22	4.27135e-26	3.36518e-29	
N4	6.23427e-64	5.55502e-59	4.4631e-54	2.71433e-49	1.21873e-44	3.94964e-40	9.09566e-36	1.47894e-31	1.71722e-27	1.76031e-23	1.42671e-19	7.23949e-16	2.13317e-12	3.31464e-09	2.37181e-06	0.000639262	0.0471497	0.547655	0.372708	0.0312231	0.00061851	4.1868e-06	1.2159e-08	1.76377e-11	1.42331e-14	6.91905e-18	2.16288e-21	2.33258e-24	2.20109e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.51387e-56	2.61814e-52	5.11133e-48	8.59336e-44	1.2015e-39	1.35549e-35	1.20038e-31	8.12375e-28	4.08458e-24	1.47782e-20	3.70266e-17	6.12461e-14	6.29032e-11	3.69604e-08	1.10842e-05	0.00143351	0.0610885	0.530984	0.36705	0.0383029	0.00111751	1.27444e-05	6.95072e-08	2.07065e-10	3.69975e-13	4.24851e-16	3.3131e-19	4.68916e-22	7.3757e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.40445e-63	9.27696e-59	5.29642e-54	2.30773e-49	7.74605e-45	2.0093e-40	3.90183e-36	5.17246e-32	3.71336e-28	4.05821e-26	2.61467e-22	2.81201e-18	1.83382e-14	6.64526e-11	1.18358e-07	8.591e-05	0.0185328	0.631484	0.336393	0.0133906	0.00011322	3.21651e-07	3.96467e-10	2.49042e-13	8.89363e-17	1.95298e-20	2.79698e-24	2.88293e-28	1.61268e-31	
N7	1.18638e-56	1.18574e-52	1.10439e-48	7.7389e-45	4.14725e-41	1.84929e-37	8.31242e-34	4.55054e-30	2.8508e-26	1.64099e-22	7.18812e-19	2.1185e-15	3.95248e-12	4.30888e-09	2.44999e-06	0.000610854	0.0496751	0.713131	0.226306	0.0101424	0.000130906	6.87111e-07	1.78905e-09	2.62626e-12	2.37592e-15	1.41406e-18	5.82148e-22	1.76993e-25	1.30067e-28	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	2.2962e-75	2.09297e-69	1.35792e-63	5.84424e-58	1.68707e-52	3.3466e-47	4.72081e-42	4.70015e-37	2.53529e-32	3.8943e-30	9.97688e-27	6.45296e-22	2.40234e-17	4.63874e-13	4.02043e-09	1.24274e-05	0.00913504	0.669828	0.313815	0.00718438	2.54271e-05	2.45195e-08	8.85557e-12	1.46146e-15	1.25954e-19	6.22776e-24	1.89485e-28	9.23277e-33	5.48778e-35	
N9	2.99183e-61	6.44715e-58	1.1978e-54	1.72205e-51	1.73984e-48	5.44133e-46	3.36531e-44	1.02896e-40	5.38164e-36	3.1703e-31	2.75503e-26	1.48924e-21	4.63006e-17	7.53134e-13	5.56763e-09	1.49532e-05	0.00982964	0.676935	0.306389	0.00680684	2.40968e-05	2.40111e-08	9.20957e-12	1.65022e-15	1.57217e-19	8.72101e-24	3.19079e-28	3.41659e-30	3.59262e-31	
N10	2.16528e-61	3.79557e-57	6.70697e-53	1.02164e-48	1.47932e-44	2.24242e-40	3.57046e-36	5.37477e-32	6.72378e-28	6.37892e-24	4.29324e-20	1.93251e-16	5.47826e-13	9.02087e-10	7.69061e-07	0.000284601	0.0338016	0.685975	0.269728	0.0101108	9.84043e-05	3.71787e-07	6.78535e-10	6.86165e-13	4.22317e-16	1.69354e-19	4.7114e-23	6.56703e-26	3.77258e-27	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	1.41495e-59	2.14853e-55	3.00042e-51	3.15998e-47	2.55895e-43	1.74201e-39	1.20905e-35	1.02014e-31	9.69985e-28	8.36501e-24	5.45816e-20	2.39277e-16	6.62712e-13	1.06926e-09	8.95286e-07	0.000325658	0.0378523	0.731224	0.222934	0.0075934	6.98644e-05	2.54654e-07	4.54309e-10	4.53381e-13	2.77439e-16	1.11308e-19	3.08634e-23	8.59145e-27	6.73705e-29	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	9.63306e-59	1.41863e-54	1.88629e-50	1.84601e-46	1.31625e-42	7.06221e-39	3.29263e-35	1.76901e-31	1.25825e-27	9.78325e-24	6.24443e-20	2.6827e-16	7.28899e-13	1.15531e-09	9.51981e-07	0.000341553	0.0392678	0.751757	0.201954	0.00661854	5.99995e-05	2.17857e-07	3.89689e-10	3.91603e-13	2.42027e-16	9.82741e-20	2.75863e-23	6.17176e-27	1.19979e-29	
BGA304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N13	3.99849e-57	1.925e-51	6.37361e-46	1.33087e-40	1.69231e-35	1.2368e-30	4.75295e-26	8.03531e-22	1.26219e-18	2.89312e-16	1.35146e-12	2.10442e-09	1.11101e-06	0.000205379	0.0126562	0.215489	0.635257	0.136015	0.000375379	1.89916e-07	3.3005e-11	2.6129e-15	1.10238e-19	2.731e-24	4.24044e-29	4.34943e-34	5.25441e-39	5.09512e-42	3.88628e-44	
N14	6.55837e-37	9.20759e-33	1.30081e-28	1.24902e-24	7.69896e-21	2.87372e-17	6.03228e-14	6.47306e-11	3.14108e-08	5.94371e-06	0.00038369	0.00849538	0.0711284	0.246526	0.371201	0.239844	0.0589242	0.00347623	1.48831e-05	2.4084e-08	1.97747e-11	9.46917e-15	2.87843e-18	5.88854e-22	8.46814e-26	8.96547e-30	2.30114e-33	7.51233e-34	8.67907e-34	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	9.38573e-27	3.84879e-25	1.96256e-23	3.34658e-21	5.40589e-18	6.61457e-15	4.8459e-12	1.97112e-09	4.04401e-07	3.72119e-05	0.00136984	0.0196227	0.115967	0.299881	0.348521	0.177623	0.0351631	0.00180261	1.18958e-05	3.27737e-08	4.91921e-11	4.56624e-14	2.8274e-17	1.22836e-20	3.88302e-24	1.79762e-27	1.54507e-29	9.70067e-30	3.25833e-30	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	1.22882e-66	2.75216e-61	1.10901e-56	8.15047e-51	5.25213e-45	1.91155e-39	3.79371e-34	2.87791e-29	1.37847e-25	6.13222e-21	2.42262e-16	3.60068e-12	1.64824e-08	1.9032e-05	0.00450556	0.168197	0.669104	0.157222	0.000952162	7.11475e-07	1.33249e-10	9.0254e-15	2.73016e-19	4.30385e-24	7.48289e-29	7.46281e-31	7.47112e-35	3.71214e-36	5.82521e-37	
N17	1.01132e-60	3.90924e-55	1.10151e-49	2.08845e-44	2.61388e-39	2.08731e-34	1.00776e-29	2.6691e-25	2.45068e-21	4.03307e-19	2.94441e-15	1.73459e-11	3.60356e-08	2.12389e-05	0.00332599	0.117057	0.61554	0.256013	0.00800223	4.06913e-05	5.80538e-08	3.18713e-11	8.19529e-15	1.12593e-18	9.0711e-23	4.60339e-27	2.42196e-31	5.20733e-34	1.5636e-36	
N18	2.30469e-48	7.58203e-44	2.34175e-39	5.58665e-35	1.00548e-30	1.32787e-26	1.24307e-22	7.89052e-19	3.19998e-15	7.61951e-12	9.3375e-09	4.62323e-06	0.000490934	0.0137203	0.128738	0.412395	0.380825	0.0624666	0.0013513	8.41484e-06	2.19145e-08	2.90908e-11	2.22586e-14	1.06775e-17	3.41399e-21	7.62352e-25	1.29716e-28	4.199e-31	1.6348e-32	
FGA379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
