NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	5.65777e-54	2.50755e-50	9.96083e-47	3.31493e-43	9.11611e-40	2.039e-36	3.63987e-33	5.06812e-30	5.35078e-27	4.13429e-24	2.23429e-21	7.96079e-19	1.72767e-16	2.0477e-14	1.13464e-12	0.0775269	0.41398	0.508493	5.06165e-11	5.50372e-12	2.57087e-13	6.24267e-15	8.95429e-17	8.29221e-19	5.2879e-21	2.4373e-23	8.42999e-26	2.25406e-28	4.97813e-31	
N2	2.07462e-54	4.2022e-50	8.70083e-46	1.46291e-41	1.96637e-37	2.07999e-33	1.69968e-29	1.04957e-25	4.76895e-22	1.54305e-18	3.41185e-15	4.88739e-12	4.22091e-09	1.98303e-06	0.000431149	0.0319229	0.288216	0.557592	0.116468	0.00528688	8.16127e-05	5.54273e-07	1.94693e-09	3.94777e-12	5.00082e-15	4.19914e-18	2.44732e-21	1.02967e-24	3.70905e-28	
N3	3.50586e-61	5.93155e-60	1.53632e-55	1.33508e-50	9.02922e-46	4.67553e-41	1.81845e-36	5.1899e-32	1.05642e-27	1.48044e-23	1.36595e-19	7.83314e-16	2.58602e-12	4.4236e-09	3.37014e-06	0.000909964	0.0609823	0.610754	0.309027	0.0180799	0.000242862	1.10572e-06	2.1647e-09	2.13188e-12	1.17889e-15	3.96758e-19	8.63969e-23	1.27706e-26	1.44411e-30	
N4	1.38592e-64	1.45317e-59	1.38214e-54	1.03017e-49	5.93504e-45	2.60165e-40	8.51463e-36	2.03348e-31	3.4463e-27	4.00445e-23	3.0552e-19	1.44821e-15	3.96656e-12	5.69035e-09	3.72289e-06	0.000904247	0.0587871	0.584851	0.331023	0.0240077	0.00042043	2.54747e-06	6.67756e-09	8.7954e-12	6.47384e-15	2.8806e-18	8.2287e-22	1.58328e-25	2.35975e-29	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	2.35477e-56	5.02067e-52	1.07327e-47	1.86782e-43	2.60886e-39	2.87939e-35	2.46607e-31	1.60428e-27	7.72761e-24	2.67227e-20	6.38624e-17	1.00535e-13	9.79857e-11	5.44221e-08	1.53412e-05	0.0018491	0.0723804	0.561716	0.332374	0.0308406	0.000816536	8.54789e-06	4.31051e-08	1.19322e-10	1.98825e-13	2.13504e-16	1.55692e-19	8.04471e-23	3.48384e-26	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	4.85716e-69	6.27854e-65	1.13567e-59	1.60364e-54	1.7508e-49	1.46003e-44	9.15949e-40	4.24154e-35	1.41604e-30	3.30907e-26	5.21408e-22	5.27898e-18	3.22207e-14	1.08659e-10	1.78685e-07	0.000118368	0.0228841	0.677748	0.289351	0.0098255	7.30131e-05	1.85468e-07	2.06688e-10	1.18284e-13	3.86977e-17	7.81741e-21	1.0329e-24	9.33199e-29	6.43402e-33	
N7	2.14617e-60	7.74565e-56	2.64722e-51	7.43623e-47	1.69433e-42	3.08447e-38	4.40862e-34	4.84665e-30	3.99929e-26	2.40491e-22	1.01623e-18	2.88225e-15	5.16956e-12	5.41065e-09	2.94805e-06	0.000702299	0.0542754	0.730831	0.205676	0.00841123	0.000100457	4.9165e-07	1.19926e-09	1.65462e-12	1.4102e-15	7.92111e-19	3.08116e-22	8.63219e-26	1.97994e-29	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	5.66556e-62	2.00223e-58	6.35104e-55	1.70601e-51	3.68584e-48	3.13938e-45	7.09873e-43	5.95213e-41	1.36563e-36	2.12102e-31	2.1139e-26	1.28483e-21	4.44506e-17	7.93212e-13	6.30172e-09	1.76331e-05	0.0114899	0.716376	0.267033	0.00506793	1.53377e-05	1.29013e-08	4.11939e-12	6.06794e-16	4.70037e-20	2.09963e-24	5.78384e-29	1.03307e-33	1.30596e-38	
N9	3.44562e-65	1.69352e-61	7.63839e-58	2.96419e-54	9.03306e-51	8.99813e-48	1.95664e-45	2.6855e-41	5.13482e-36	6.58688e-31	5.44538e-26	2.76236e-21	8.03658e-17	1.21809e-12	8.33612e-09	2.05118e-05	0.0121303	0.721857	0.261131	0.00484644	1.48127e-05	1.29971e-08	4.44589e-12	7.1671e-16	6.18122e-20	3.11768e-24	9.81225e-29	2.02326e-33	1.08222e-37	
N10	1.40156e-63	8.22919e-59	4.52029e-54	2.02618e-49	7.31743e-45	2.09836e-40	4.69718e-36	8.04402e-32	1.02875e-27	9.54121e-24	6.18856e-20	2.68098e-16	7.30594e-13	1.15474e-09	9.42965e-07	0.000333225	0.0375981	0.716277	0.237682	0.00803703	7.19535e-05	2.52511e-07	4.30572e-10	4.08397e-13	2.36415e-16	8.93512e-20	2.3203e-23	4.30998e-27	6.478e-31	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	2.8347e-63	1.55415e-58	7.95338e-54	3.3445e-49	1.14047e-44	3.10633e-40	6.64046e-36	1.09139e-31	1.34566e-27	1.20826e-23	7.61662e-20	3.21853e-16	8.5847e-13	1.33237e-09	1.07138e-06	0.000373345	0.0413841	0.753244	0.198779	0.00616593	5.25111e-05	1.78586e-07	2.98705e-10	2.80389e-13	1.61769e-16	6.12996e-20	1.60463e-23	3.0196e-27	4.5947e-31	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	3.84352e-63	2.08727e-58	1.05361e-53	4.36089e-49	1.46112e-44	3.90483e-40	8.18199e-36	1.31722e-31	1.59034e-27	1.39834e-23	8.63531e-20	3.57738e-16	9.36499e-13	1.42865e-09	1.13132e-06	0.000389131	0.0426907	0.770164	0.181285	0.00542454	4.55874e-05	1.54616e-07	2.59519e-10	2.4547e-13	1.43115e-16	5.4911e-20	1.45732e-23	2.78238e-27	4.29551e-31	
BGA304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
