NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.74779e-26	3.31613e-22	3.11408e-18	3.21232e-17	1.89615e-13	4.91717e-14	2.80086e-11	5.03362e-09	1.59234e-10	4.34842e-10	2.15082e-07	1.19234e-05	9.72266e-07	1.23825e-08	3.10453e-10	0.657608	0.291524	0.0508555	4.13864e-13	4.43402e-15	2.64432e-17	1.03915e-19	2.9681e-22	6.56447e-25	1.17444e-27	1.75433e-30	2.24043e-33	2.49162e-36	2.53756e-39	
N2	1.15545e-30	1.28622e-25	2.92657e-21	3.44041e-19	1.94434e-15	2.4482e-15	1.94111e-12	4.65639e-10	1.91995e-11	1.33443e-10	8.65724e-08	1.07494e-05	8.34032e-05	0.000195994	0.00114794	0.196778	0.525988	0.266446	0.00902411	0.000125896	0.000114009	6.98825e-05	1.25016e-05	3.71227e-06	1.25149e-08	1.55846e-10	5.3266e-13	2.52061e-15	4.95067e-16	
N3	2.3263e-41	5.87468e-35	3.69697e-29	9.69978e-27	1.74242e-21	4.73416e-21	2.7753e-17	6.85435e-14	2.06224e-14	3.12222e-13	6.14902e-09	9.17623e-06	9.36737e-06	5.52313e-07	7.0308e-07	0.000792205	0.0849484	0.870525	0.0433019	0.000398719	1.33032e-05	3.50271e-07	4.49244e-09	4.76393e-11	6.06535e-14	1.0128e-16	9.26059e-20	5.06591e-23	1.80888e-25	
N4	5.5905e-44	1.15979e-37	6.39031e-32	8.55045e-29	8.053e-24	2.55098e-22	1.86117e-18	4.66669e-15	1.8888e-14	1.27e-12	7.4139e-09	2.8703e-06	1.80977e-06	1.02638e-07	3.9701e-07	0.00031637	0.062523	0.869739	0.0666868	0.000723696	6.07253e-06	7.44463e-08	1.62239e-09	2.71103e-10	8.40367e-12	1.05764e-13	2.13713e-15	1.51946e-18	8.62968e-21	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	5.06715e-39	2.74679e-36	2.18966e-31	4.90039e-28	1.90013e-23	1.65066e-21	7.7022e-18	1.65893e-14	1.43057e-13	8.68308e-12	1.19845e-08	1.6572e-06	7.77689e-07	1.33485e-07	1.20033e-06	0.000429114	0.0615459	0.847007	0.089453	0.00155099	1.04991e-05	7.17292e-08	4.71605e-09	2.15914e-09	2.63553e-10	9.75363e-12	7.80495e-13	1.95418e-15	3.22826e-17	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	8.49565e-47	4.82918e-40	8.00632e-34	6.91172e-31	5.0261e-25	3.24436e-24	1.14489e-19	2.16391e-15	1.00175e-15	2.04786e-14	3.352e-10	3.93067e-07	5.68223e-08	1.2772e-09	3.87037e-09	1.33921e-05	0.0120284	0.95548	0.0323425	0.000134576	2.17443e-07	4.49673e-10	3.68684e-12	6.99974e-14	3.83373e-16	1.13132e-18	3.68712e-21	1.30796e-24	1.50759e-27	
N7	1.38266e-43	1.88973e-37	7.36778e-32	6.25349e-29	8.69032e-24	9.2542e-23	9.55475e-19	3.81644e-15	2.39545e-15	5.39263e-14	1.60099e-10	4.87993e-08	2.93329e-08	6.90752e-09	4.26049e-08	5.1362e-05	0.0201716	0.931367	0.0480155	0.000392783	1.12604e-06	2.5369e-09	4.90494e-11	2.67927e-12	5.7236e-14	7.30731e-16	9.29113e-18	1.15571e-20	3.66863e-23	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	7.91752e-52	3.32577e-46	5.01385e-39	8.87149e-36	4.31507e-29	2.89502e-28	3.05618e-23	1.33795e-18	6.40472e-19	2.39492e-17	2.33585e-12	8.72285e-09	4.04081e-10	2.43936e-12	2.1102e-11	5.13159e-07	0.00280146	0.973298	0.0238613	3.88165e-05	1.49132e-08	2.97128e-12	4.93763e-15	1.11364e-16	6.44078e-19	8.50398e-22	2.7988e-24	8.5859e-28	3.76283e-29	
N9	3.2208e-40	5.28366e-36	4.49917e-32	3.91992e-31	2.68466e-27	4.54927e-28	2.00392e-24	4.45525e-20	5.65491e-20	8.93747e-18	6.06288e-13	1.90319e-09	5.59093e-11	7.42365e-13	2.50655e-11	5.23256e-07	0.0026795	0.97314	0.0241387	4.16005e-05	1.68996e-08	2.84836e-12	5.06241e-15	1.22713e-15	7.65076e-17	4.0206e-19	1.66417e-20	2.59919e-24	4.7907e-27	
N10	5.75359e-46	3.72886e-41	2.86694e-36	2.94263e-33	5.75423e-28	2.4694e-26	3.99254e-22	2.49555e-18	6.44284e-18	3.52753e-16	1.45562e-12	5.43999e-10	7.20316e-10	7.46369e-10	1.13241e-08	2.02193e-05	0.0127264	0.947548	0.0394644	0.000240881	4.89505e-07	5.78714e-10	1.11452e-11	2.33097e-12	1.66284e-13	4.51134e-15	2.1822e-16	1.97945e-19	9.16933e-22	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	1.04163e-47	1.82723e-41	1.10612e-35	1.51821e-32	3.2826e-27	5.55094e-26	8.72266e-22	5.30655e-18	5.3616e-18	2.06715e-16	1.33716e-12	1.49441e-09	3.04424e-09	1.19901e-09	1.17025e-08	2.19542e-05	0.0134313	0.949385	0.0369435	0.00021751	4.36129e-07	5.68539e-10	8.98373e-12	7.67944e-13	2.42538e-14	3.85684e-16	7.51649e-18	6.62769e-21	1.97234e-23	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
