#Nodes with GAIN events with expectation above 0.5
N2: 0.734248
N3: 0.907692
PGA445: 1.34884
Rhatem: 0.550244
Furcep: 1.98026
FGA331: 1.84241
FGA104: 1.09198
FGA174: 1.96976
CGA312: 0.509404
C601: 1.01595
C3125: 1.38098
C3134: 1.4058
C2208: 0.979654
Total number of gain events: 26.3702
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Rhaspe: 2.16385
Rhamar: 2.09069
Rhatem: 1.2775
FGA379: 1.19441
F3016: 1.09411
F1476: 1.01825
N30: 0.72058
FGA465: 0.998858
FGA99: 0.74631
FGA15: 0.718712
FGA489: 1.08069
N44: 0.572618
CGA763: 0.992717
Calboe: 2.47871
CGA429: 1.67048
N51: 1.18322
C985: 1.66243
CGA310: 0.516344
CGA494: 1.00262
N56: 1.53658
C404: 1.0212
CGA45: 1.01324
C3121: 0.95862
Chanam: 0.542097
N85: 1.24182
Total number of loss events: 41.2211
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 3.89731e-23
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.989395
N40: 0.788173
N70: 0.973792
N74: 0.978186
N76: 0.74331
N85: 0.985687
Total number of demi-dulications events: 6.62752
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N1:ML=16 to N15:ML=12  ProbOfChange = 0.999988  sum expectations= 0.439512
	HEURISTIC ESTIMATION:	Gains = 1.99116e-07	Losses = 4.11922	Duplications = 6.23919e-44	Demi-dupl = 3.35058e-09	Base-number = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.734248	0.00590943	1.69017e-24	9.45121e-06	0
N3	0.907692	0.0566964	3.03285e-30	0.00114229	0
N4	0.0438596	0.011058	2.19258e-37	6.88088e-06	0
B3088	0.341571	0.317529	0	3.6674e-05	0
N5	0.0365851	0.0201132	6.42247e-37	9.13759e-07	0
BGA709	0.279914	0.272339	0	3.49029e-05	0
BGA309	0.279914	0.272339	0	3.49029e-05	0
N6	0.0958904	0.0393834	6.863e-40	8.39415e-06	0
N7	0.0765378	0.0690707	2.41533e-38	1.57526e-07	0
B11696	0.0718263	0.0787484	0	1.6981e-07	0
B11609	0.0718263	0.0787484	0	1.6981e-07	0
N8	0.011383	0.00895423	2.6023e-46	1.62377e-07	0
N9	0.00190279	0.00178467	9.67717e-50	2.15406e-09	0
N10	0.0178893	0.0157514	6.17505e-41	3.51494e-10	0
B985	0.0956589	0.0997984	0	2.14432e-08	0
N11	0.0484844	0.0511481	4.28047e-46	2.23465e-10	0
B199	0.0143943	0.0158699	0	8.9918e-10	0
B11604	0.0143943	0.0158699	0	8.9918e-10	0
N12	0.0306994	0.0297783	9.71975e-43	3.89545e-10	0
BGA89	0.064733	0.0676556	0	7.29853e-09	0
N13	0.00791041	0.00818942	1.04491e-46	2.06077e-10	0
BGAA2	0.0384831	0.0411266	0	5.09007e-11	0
BGA584	0.0384831	0.0411266	0	5.09007e-11	0
N14	0.0508534	0.0475756	4.83161e-45	2.44444e-09	0
BGA304	0.0568217	0.0619824	0	4.00759e-09	0
BGAB1	0.0568217	0.0619824	0	4.00759e-09	0
PGA445	1.34884	0.473169	0	0.00654189	0
N15	1.99116e-07	4.11922	6.23919e-44	3.35058e-09	0
N16	0.0122008	0.454993	5.19451e-31	1.66295e-09	0
Rhaspe	0.372755	2.16385	2.52937e-28	0.000497727	0
N17	0.00840569	0.0803726	8.80123e-28	4.34812e-07	0
Rhamar	0.370533	2.09069	1.7436e-23	0.000777888	0
