NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	4.6552e-83	1.07436e-58	7.86952e-53	1.19673e-47	6.62134e-43	1.65819e-38	2.09439e-34	1.41103e-30	5.1954e-27	1.04591e-23	1.12666e-20	6.20286e-18	1.61685e-15	1.7733e-13	6.85623e-12	0.237283	0.49732	0.265397	1.13103e-11	5.86051e-13	1.42469e-14	1.91879e-16	1.6002e-18	8.93423e-21	3.53577e-23	1.03574e-25	2.32277e-28	4.09725e-31	6.29913e-34	
N2	1.28646e-84	1.43524e-59	5.81504e-53	4.75309e-47	1.37476e-41	1.75299e-36	1.10064e-31	3.61136e-27	6.3782e-23	6.11379e-19	3.14871e-15	8.46283e-12	1.12586e-08	6.78632e-06	0.00158942	0.105029	0.439773	0.400556	0.0512893	0.0017335	2.26521e-05	1.43316e-07	5.07295e-10	1.10973e-12	1.61233e-15	1.64252e-18	1.22411e-21	6.96808e-25	4.14961e-28	
N3	6.68587e-78	1.54682e-66	1.34231e-62	6.00125e-56	9.30115e-50	6.14967e-44	1.93521e-38	3.07051e-33	2.52296e-28	1.07804e-23	2.35779e-19	2.54364e-15	1.27061e-11	2.65815e-08	1.98624e-05	0.00408139	0.149507	0.689752	0.151549	0.00504426	4.6392e-05	1.65574e-07	2.82725e-10	2.65468e-13	1.51184e-16	5.61221e-20	1.4344e-23	2.63579e-27	4.23972e-31	
N4	4.51825e-95	2.99311e-69	6.32543e-62	2.58819e-55	3.59663e-49	2.11366e-43	5.86019e-38	8.11995e-33	5.77585e-28	2.11875e-23	3.94917e-19	3.61203e-15	1.5284e-11	2.73055e-08	1.79013e-05	0.00345472	0.137075	0.667901	0.183306	0.00814316	0.000102154	4.98091e-07	1.15435e-09	1.45674e-12	1.10276e-15	5.37999e-19	1.78689e-22	4.23054e-26	9.08274e-30	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.2498e-86	1.49982e-61	6.36452e-55	5.4661e-49	1.66615e-43	2.24543e-38	1.49431e-33	5.21288e-29	9.82383e-25	1.0095e-20	5.61168e-17	1.64569e-13	2.43454e-10	1.69273e-07	4.96079e-05	0.00516112	0.143097	0.630618	0.207379	0.013407	0.000286189	2.68531e-06	1.3215e-08	3.83916e-11	7.1613e-14	9.12898e-17	8.34362e-20	5.70235e-23	3.96704e-26	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	2.52474e-86	2.84e-74	1.00854e-66	7.08736e-60	1.70079e-53	1.74179e-47	8.52427e-42	2.12064e-36	2.76778e-31	1.91448e-26	6.9618e-22	1.29617e-17	1.17758e-13	4.83218e-10	7.93114e-07	0.000427767	0.0539134	0.81169	0.1314	0.0025551	1.33805e-05	2.75413e-08	2.76672e-11	1.55781e-14	5.40597e-18	1.23815e-21	1.9699e-25	2.26582e-29	2.25893e-33	
N7	4.57443e-91	9.47747e-66	6.55875e-59	9.27033e-53	4.69663e-47	1.06347e-41	1.20342e-36	7.23484e-32	2.38566e-27	4.36511e-23	4.40931e-19	2.40681e-15	6.82036e-12	9.40556e-09	5.70237e-06	0.00128913	0.0812012	0.769373	0.143466	0.00461579	4.89368e-05	2.33039e-07	5.96733e-10	9.23476e-13	9.37064e-16	6.61931e-19	3.40714e-22	1.32565e-25	4.89183e-29	
