NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	3.69931e-55	1.40814e-51	4.73283e-48	1.29987e-44	2.88781e-41	5.09913e-38	6.96025e-35	7.08626e-32	5.13884e-29	3.3453e-26	2.67302e-23	1.49741e-20	5.25856e-18	1.04914e-15	1.03431e-13	4.08214e-12	4.57335e-11	1	5.35521e-11	8.43907e-12	5.35287e-13	1.69536e-14	3.08874e-16	3.56641e-18	2.79748e-20	1.56983e-22	6.55757e-25	2.1041e-27	5.52174e-30	
N2	2.20682e-58	3.64221e-54	6.28201e-50	8.61131e-46	9.41812e-42	8.49684e-38	6.73362e-34	4.89608e-30	3.12904e-26	1.60629e-22	6.07398e-19	1.56135e-15	2.57971e-12	2.55242e-09	1.37187e-06	0.000347304	0.0329074	0.741502	0.213807	0.011245	0.000188058	1.33791e-06	4.82756e-09	9.93042e-12	1.26523e-14	1.06736e-17	3.74011e-20	1.11127e-20	2.51729e-21	
N3	4.01408e-63	2.73115e-58	1.5462e-53	6.21145e-49	1.70398e-44	3.0408e-40	3.3313e-36	2.11102e-32	6.46856e-29	3.9615e-26	4.36587e-22	4.39849e-18	2.67819e-14	9.0046e-11	1.47151e-07	9.62137e-05	0.0181435	0.518541	0.429743	0.0329473	0.000526624	2.711e-06	5.81863e-09	6.15532e-12	3.60381e-15	1.27055e-18	2.87755e-22	4.76801e-26	3.54503e-29	
N4	2.62622e-66	2.96988e-61	3.11623e-56	2.49896e-51	1.47912e-46	6.23024e-42	1.79645e-37	3.37574e-33	3.74199e-29	3.7532e-25	4.39792e-21	3.30846e-17	1.47197e-13	3.53666e-10	4.03765e-07	0.000180983	0.0234026	0.497203	0.438121	0.0402644	0.0008215	5.55352e-06	1.58256e-08	2.22766e-11	1.73126e-14	8.0616e-18	2.40805e-21	3.40048e-24	3.48233e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.94216e-58	3.37813e-54	7.26021e-50	1.42385e-45	2.43046e-41	3.45086e-37	3.9172e-33	3.43496e-29	2.25349e-25	1.06999e-21	3.53852e-18	7.7767e-15	1.06992e-11	8.50949e-09	3.5016e-06	0.000632769	0.0385984	0.492192	0.420459	0.0467263	0.00137261	1.53476e-05	8.08574e-08	2.3054e-10	3.91794e-13	4.26036e-16	3.13882e-19	5.6273e-22	1.03287e-22	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	4.65049e-65	3.818e-60	2.65121e-55	1.35173e-50	5.04778e-46	1.4001e-41	2.93876e-37	4.50753e-33	4.09983e-29	3.67817e-27	1.35938e-23	2.06549e-19	1.93577e-15	1.02639e-11	2.73839e-08	3.07114e-05	0.0106507	0.603839	0.370278	0.0150762	0.000124871	3.40605e-07	3.98691e-10	2.36231e-13	7.92166e-17	1.62815e-20	2.17732e-24	2.1371e-28	1.58257e-31	
N7	1.62404e-57	1.99791e-53	2.27467e-49	1.89989e-45	1.14517e-41	5.0705e-38	1.85783e-34	7.48033e-31	4.0925e-27	2.63011e-23	1.44579e-19	5.36362e-16	1.26075e-12	1.73301e-09	1.24312e-06	0.000390902	0.0399734	0.711103	0.237926	0.0104747	0.000129607	6.44908e-07	1.58193e-09	2.17924e-12	1.84521e-15	1.02589e-18	3.94072e-22	1.1504e-25	1.45382e-28	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	8.55897e-77	1.04649e-70	8.9533e-65	4.9552e-59	1.7654e-53	4.04224e-48	6.06298e-43	6.25417e-38	4.00766e-33	5.34743e-31	3.22556e-28	3.01175e-23	1.68948e-18	5.01603e-14	6.88753e-10	3.52507e-06	0.00458552	0.658094	0.330334	0.00696092	2.18776e-05	1.85746e-08	5.90067e-12	8.5754e-16	6.51765e-20	2.84493e-24	7.64944e-29	4.25155e-33	2.7582e-35	
N9	3.29965e-62	9.06598e-59	2.13756e-55	3.85978e-52	4.87996e-49	1.96249e-46	1.25127e-44	1.16885e-41	3.09325e-37	3.87509e-33	5.10861e-28	4.46165e-23	2.2795e-18	6.23085e-14	7.97641e-10	3.86373e-06	0.00483778	0.673212	0.315905	0.00602369	1.72476e-05	1.36344e-08	4.12457e-12	5.82603e-16	4.38348e-20	1.92595e-24	5.71729e-29	7.03189e-31	6.3298e-32	
N10	6.66558e-64	2.09881e-59	6.0332e-55	1.3059e-50	2.16492e-46	2.90889e-42	3.45395e-38	3.96944e-34	4.88971e-30	6.66734e-26	8.07925e-22	6.56889e-18	3.36163e-14	9.98276e-11	1.53142e-07	0.000101411	0.0212093	0.712654	0.25857	0.0074125	5.25602e-05	1.41335e-07	1.80948e-10	1.27051e-13	5.38663e-17	1.47843e-20	2.83638e-24	5.81912e-27	2.65075e-28	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	1.85712e-64	1.50178e-59	1.00164e-54	4.76827e-50	1.55137e-45	3.25374e-41	4.04892e-37	2.62726e-33	6.31928e-30	6.41832e-29	1.31137e-24	2.83742e-20	3.8574e-16	3.03446e-12	1.22853e-08	2.13233e-05	0.0114853	0.923932	0.0640528	0.000507904	1.09093e-06	9.27971e-10	3.85754e-13	8.94667e-17	1.26747e-20	1.17114e-24	7.42183e-29	3.72617e-33	1.5045e-36	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	4.46437e-66	3.98435e-61	2.97094e-56	1.58465e-51	5.88968e-47	1.50139e-42	2.68747e-38	3.64634e-34	3.34804e-30	5.25285e-28	8.08911e-24	1.42626e-19	1.55302e-15	9.59003e-12	2.97198e-08	3.82058e-05	0.0145846	0.793864	0.188061	0.00343827	1.44734e-05	2.19353e-08	1.52304e-11	5.62735e-15	1.2246e-18	1.68826e-22	1.56317e-26	1.92029e-30	8.33688e-33	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
