NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	7.24927e-56	3.19071e-52	1.20406e-48	3.5916e-45	8.40306e-42	1.53601e-38	2.17111e-35	2.26735e-32	1.48294e-29	5.77833e-27	5.36092e-24	3.82524e-21	1.7129e-18	4.35997e-16	5.49023e-14	2.77321e-12	3.95739e-11	1	5.57174e-11	8.47499e-12	5.03383e-13	1.47289e-14	2.4625e-16	2.59993e-18	1.86113e-20	9.52052e-23	3.62319e-25	1.0588e-27	2.51988e-30	
N2	1.26083e-59	2.63661e-55	5.68268e-51	9.55166e-47	1.23167e-42	1.218e-38	9.59527e-35	6.64394e-31	4.3891e-27	2.65674e-23	1.28487e-19	4.23652e-16	8.95702e-13	1.12971e-09	7.69244e-07	0.000244121	0.0284391	0.757087	0.204663	0.00943039	0.000134767	8.09795e-07	2.45248e-09	4.21882e-12	4.54766e-15	1.07228e-17	1.38791e-18	1.10033e-20	1.61015e-21	
N3	4.8828e-64	4.34638e-59	3.20074e-54	1.67041e-49	5.93555e-45	1.36162e-40	1.876e-36	1.39839e-32	4.11515e-29	7.19077e-27	5.91614e-23	7.99954e-19	6.57299e-15	2.98935e-11	6.61807e-08	5.85885e-05	0.0148322	0.544047	0.413966	0.0267439	0.000351071	1.47137e-06	2.56328e-09	2.19907e-12	1.04423e-15	2.98841e-19	5.58673e-23	9.43855e-27	1.5258e-29	
N4	1.11548e-67	1.44873e-62	1.82255e-57	1.80803e-52	1.35411e-47	7.2823e-43	2.65497e-38	6.03026e-34	6.53545e-30	3.8573e-26	5.91404e-22	6.0443e-18	3.65858e-14	1.19676e-10	1.85879e-07	0.000112833	0.0194495	0.521431	0.425295	0.0331505	0.000558135	3.08004e-06	7.13118e-09	8.13882e-12	5.12458e-15	1.94482e-18	1.32763e-21	4.635e-24	2.15692e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	8.59029e-60	1.36e-55	2.78171e-51	5.55532e-47	1.05319e-42	1.78681e-38	2.53976e-34	2.85795e-30	2.43246e-26	1.50524e-22	6.49742e-19	1.86381e-15	3.34533e-12	3.46684e-09	1.85352e-06	0.000432326	0.0334804	0.515662	0.410388	0.0390661	0.000960881	8.91936e-06	3.88655e-08	9.14919e-11	1.28276e-13	1.15334e-16	1.15571e-19	7.50156e-22	7.6351e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	5.33894e-66	5.62058e-61	4.91835e-56	3.08197e-51	1.34998e-46	4.069e-42	8.52903e-38	1.2884e-33	1.27487e-29	1.03163e-27	2.00351e-24	3.89569e-20	4.83925e-16	3.43621e-12	1.23019e-08	1.85303e-05	0.00859735	0.634249	0.34543	0.0116263	7.84696e-05	1.73859e-07	1.65269e-10	7.9575e-14	2.17022e-17	3.63143e-21	4.0166e-25	4.35894e-29	7.88261e-32	
N7	2.24522e-58	3.57364e-54	5.1932e-50	5.46628e-46	4.02914e-42	2.02157e-38	6.99183e-35	1.96506e-31	6.75446e-28	3.96434e-24	2.79336e-20	1.33542e-16	4.04151e-13	7.14259e-10	6.57121e-07	0.000263757	0.0340419	0.73714	0.220254	0.00821444	8.49876e-05	3.51998e-07	7.17311e-10	8.20113e-13	5.75945e-16	2.65481e-19	8.54409e-23	2.56219e-26	8.15127e-29	
