#Nodes with GAIN events with expectation above 0.5
PGA445: 0.593553
Furcep: 1.90045
FGA331: 1.82677
FGA104: 1.03286
FGA174: 1.84811
C3125: 1.16699
C3134: 1.23747
C2208: 0.962956
Total number of gain events: 18.7384
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
PGA445: 0.613062
Rhaspe: 2.09225
Rhamar: 2.01567
Rhatem: 1.14451
FGA379: 1.159
F3016: 1.05705
F1476: 0.985428
N28: 0.734332
FGA465: 0.958708
N36: 0.616993
FGA489: 1.04611
N41: 0.606525
Calboe: 2.64854
CGA429: 1.82768
N46: 0.612464
C985: 2.41079
CGA382: 1.39226
N49: 1.6234
C404: 1.10215
CGA45: 1.01533
C3121: 0.967941
N76: 1.24642
Total number of loss events: 37.9419
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 9.19503e-26
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.998314
N37: 0.759659
N61: 0.970659
N65: 0.975993
N67: 0.705368
N76: 0.996596
Total number of demi-dulications events: 6.79564
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N1:ML=18 to N13:ML=12  ProbOfChange = 0.999921  sum expectations= 0.00210208
	HEURISTIC ESTIMATION:	Gains = 5.42999e-07	Losses = 5.66426	Duplications = 2.38437e-35	Demi-dupl = 3.00738e-08	Base-number = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.0351319	0.0156916	9.03801e-26	5.44465e-05	0
N3	0.0922844	0.0831587	1.99158e-30	2.97225e-05	0
N4	0.0196291	0.0115647	5.03863e-38	2.72881e-07	0
B3088	0.284928	0.321595	0	5.00819e-06	0
N5	0.0246085	0.0190026	4.27627e-37	4.08065e-08	0
BGA709	0.240323	0.282635	0	1.14253e-05	0
BGA309	0.240323	0.282635	0	1.14253e-05	0
N6	0.0337457	0.0509222	1.05694e-37	3.41142e-07	0
N7	0.0682112	0.0660929	1.32547e-40	7.21856e-09	0
B11696	0.0630928	0.0766073	0	2.67262e-08	0
B11609	0.0630928	0.0766073	0	2.67262e-08	0
N8	0.00629145	0.0109227	4.79944e-48	7.36538e-09	0
N9	0.00176607	0.00188438	3.40413e-46	1.11332e-10	0
N10	0.0189672	0.0151329	5.09648e-42	2.22877e-11	0
B985	0.0912028	0.101684	0	1.45407e-09	0
B199	0.0912028	0.101684	0	1.45407e-09	0
N11	0.0326702	0.0297759	8.78037e-40	2.50248e-11	0
BGA89	0.0609232	0.0704647	0	4.07414e-09	0
BGAA2	0.0609232	0.0704647	0	4.07414e-09	0
N12	0.0465391	0.0440461	2.2127e-43	1.30998e-10	0
BGA304	0.0497664	0.0590242	0	6.70635e-09	0
BGAB1	0.0497664	0.0590242	0	6.70635e-09	0
PGA445	0.593553	0.613062	0	4.03368e-05	0
N13	5.42999e-07	5.66426	2.38437e-35	3.00738e-08	0
N14	0.00581927	0.454556	1.57012e-32	2.49687e-09	0
Rhaspe	0.205089	2.09225	0	0.00100647	0
N15	0.00450255	0.0759743	4.45077e-31	2.04088e-07	0
Rhamar	0.200113	2.01567	0	0.000994443	0
Rhatem	0.323605	1.14451	0	0.00226275	0
N16	0.00128227	0.18552	8.36541e-40	6.24454e-09	0
N17	0.0244483	0.144181	2.53954e-39	0.000802089	0
N18	0.0223248	0.0377185	3.63772e-36	8.96239e-06	0
FGA379	0.194233	1.159	0	0.998314	0
N19	0.0526276	0.0320552	4.39562e-33	2.90713e-05	0
N20	0.0447944	0.0368535	5.49246e-34	1.42055e-05	0
N21	0.00188988	0.0478209	9.68713e-37	4.40647e-07	0
F3016	0.0549669	1.05705	0	2.091e-07	0
N22	0.00338985	0.0100634	1.1545e-38	8.82485e-08	0
N23	0.0129661	0.00436218	1.17273e-38	5.51886e-08	0
N24	0.00220094	0.0449578	1.01486e-42	6.46521e-08	0
N25	0.00143161	0.0126347	5.18778e-48	4.33871e-10	0
F1476	0.0353839	0.985428	0	3.19132e-08	0
N26	0.00963237	0.00781593	2.50885e-39	2.66611e-09	0
Furcep	1.90045	0.143259	0	0.0574365	0
N27	0.0011921	0.0371716	5.84951e-38	1.26463e-08	0
Furpol	0.134154	0.0517994	0	0.000412393	0
N28	0.00373074	0.734332	3.76238e-38	8.79451e-09	0
N29	0.00472155	0.157228	1.09147e-38	1.1437e-09	0
F2241	0.0104075	0.0431956	0	1.20671e-09	0
Furang	0.0104075	0.0431956	0	1.20671e-09	0
Fga490	0.0229587	0.208253	0	1.36125e-09	0
N30	0.00405106	0.0404812	3.27202e-45	4.9144e-10	0
N31	0.01985	0.00392156	7.11979e-42	2.1952e-09	0
N32	0.062185	0.000411233	3.02912e-45	7.59696e-08	0
N33	0.00243017	0.00324745	2.61877e-42	2.36657e-08	0
N34	0.00355188	0.00451284	1.29789e-40	7.76232e-09	0
FGA456	0.0081167	0.00887262	0	7.06606e-07	0
FGA516	0.0081167	0.00887262	0	7.06606e-07	0
F12278	0.0189234	0.0206412	0	9.54068e-07	0
N35	0.171016	0.00299883	5.16652e-41	4.27862e-06	0
Furant	0.00998522	0.180632	0	8.58771e-06	0
FGA331	1.82677	0.000381627	0	3.1101e-05	0
FGA465	0.0179547	0.958708	0	1.42746e-08	0
N36	0.00405606	0.616993	2.73569e-40	6.9587e-10	0
FGA99	0.0216494	0.333537	0	5.09601e-09	0
FGA15	0.0216494	0.333537	0	5.09601e-09	0
FGA104	1.03286	0.0587289	0	0.00494882	0
FGA489	0.050705	1.04611	0	7.11425e-08	0
FGA174	1.84811	0.2557	0	0.0720295	0
FurbGB	0.20492	0.245523	0	0.000143627	0
N37	0.00282375	0.0093564	5.77337e-40	0.759659	0
N38	0.0125822	0.0293218	1.0143e-37	0.196379	0
N39	0.0456505	0.302224	3.84495e-37	0.0421668	0
CGA312	0.359418	0.111503	0	0.000518008	0
N40	0.00244612	0.17859	1.92963e-42	0.000493736	0
N41	0.000204411	0.606525	1.42814e-50	8.1181e-06	0
N42	0.00352138	0.0102307	5.92683e-51	4.47977e-07	0
CGA642	0.139367	0.101997	0	1.59131e-07	0
N43	0.00150316	0.0186492	1.23758e-44	3.46916e-08	0
CGA236	0.144569	0.0900527	0	1.85263e-07	0
N44	0.00266463	0.150737	9.14089e-41	6.60016e-09	0
N45	0.0544095	0.118917	3.49155e-37	8.15301e-09	0
Calboe	0.0504179	2.64854	0	3.88837e-07	0
C3125	1.16699	0.0433404	0	0.0163714	0
CGA429	0.0305073	1.82768	0	2.4098e-07	0
N46	0.000300304	0.612464	1.2544e-43	1.03744e-07	0
C985	0.0567136	2.41079	0	1.41049e-07	0
CGA382	0.0381786	1.39226	0	7.74331e-07	0
N47	0.226413	0.0262296	1.5967e-43	1.34185e-05	0
N48	0.00283782	0.060369	5.76061e-45	1.13689e-07	0
C12265	0.310877	0.0294137	0	4.71654e-06	0
N49	0.00181786	1.6234	3.01048e-43	7.27488e-08	0
C404	0.00546189	1.10215	0	2.40075e-09	0
Cl11778	0.0273426	0.12403	0	2.40074e-09	0
C3134	1.23747	0.0135716	0	9.97511e-06	0
N50	0.16387	0.113174	1.96706e-39	0.0425207	0
CGA311	0.0660481	0.125834	0	0.000155528	0
N51	0.00840688	0.0026486	3.80381e-41	0.000131628	0
N52	0.00386272	0.0713284	1.28475e-46	2.27131e-05	0
CGA45	0.0172438	1.01533	0	3.28733e-07	0
N53	0.00731144	0.00402776	2.56904e-48	2.64659e-07	0
C3043	0.0261014	0.0274734	0	6.30807e-08	0
CGA364	0.0261014	0.0274734	0	6.30807e-08	0
C2208	0.962956	0.0285115	0	2.30448e-05	0
N54	0.196337	0.218707	1.87126e-34	0.237268	0
N55	0.0123945	0.0236769	1.39745e-39	0.00230125	0
CGA453	0.0182593	0.0129688	0	2.95238e-05	0
N56	0.00161319	0.0296904	3.58886e-45	2.89106e-05	0
CGA501	0.037645	0.00427728	0	6.1286e-07	0
C3121	0.00130888	0.967941	0	6.12748e-07	0
Calparcri	0.0455222	0.0515141	0	0.00233082	0
N57	0.000919328	0.0270552	1.94235e-42	1.22645e-07	0
N58	0.0266684	0.0956413	5.93526e-37	0.00286665	0
N59	0.0341973	0.0716545	8.45219e-33	0.000118638	0
N60	0.0151071	0.0237534	3.36565e-34	7.88812e-06	0
N61	0.0205349	0.0234809	1.67273e-33	0.970659	0
Triowe	0.0795916	0.0862032	0	0.0263534	0
N62	0.00554488	0.00540604	4.96442e-37	0.0201706	0
Trijoh	0.058768	0.0655237	0	0.00618201	0
Trimel	0.058768	0.0655237	0	0.00618201	0
N63	0.0593271	0.0726331	9.05026e-33	1.45707e-05	0
N64	0.00481556	0.00720554	5.70417e-34	4.43533e-07	0
Trihoe	0.018423	0.0216908	0	1.5463e-06	0
Tribit	0.018423	0.0216908	0	1.5463e-06	0
Trijac	0.0350905	0.040766	0	4.98315e-06	0
N65	0.0741176	0.0840062	1.74305e-33	0.975993	0
Tricri	0.0745299	0.0841351	0	0.0210201	0
N66	0.0106749	0.0129787	9.54506e-36	0.018648	0
Triwie	0.0400057	0.0473045	0	0.00237185	0
Triqua	0.0400057	0.0473045	0	0.00237185	0
N67	0.0293623	0.0339507	2.84836e-33	0.705368	0
N68	0.124121	0.152271	3.10253e-31	0.277414	0
Kinboe	0.0787702	0.10777	0	0.0143299	0
Kinfis	0.0787702	0.10777	0	0.0143299	0
Kinxen	0.2916	0.348514	0	0.291766	0
N69	0.00310419	0.0161139	1.70851e-37	1.83147e-06	0
N70	0.0861096	0.115974	2.44624e-30	6.93383e-05	0
N71	0.0933522	0.161714	6.47412e-28	0.000151111	0
N72	0.0159476	0.027789	8.04455e-35	5.01856e-06	0
N73	0.0032821	0.00363549	7.25444e-36	2.2172e-08	0
Chaafr	0.0204752	0.0223688	0	1.09775e-06	0
Chacha	0.0204752	0.0223688	0	1.09775e-06	0
N74	0.00492595	0.00554609	2.732e-36	2.35979e-08	0
Chacaly	0.0157922	0.0174195	0	1.21148e-06	0
Chazey	0.0157922	0.0174195	0	1.21148e-06	0
N75	0.00721684	0.00861346	1.14996e-30	9.70166e-07	0
Chadil	0.0698048	0.0825552	0	1.90709e-05	0
Chasen	0.0698048	0.0825552	0	1.90709e-05	0
Chanam	0.301948	0.395542	0	0.00273041	0
N76	0.213169	1.24642	6.76607e-33	0.996596	0
N77	0.00273117	0.0155926	2.81598e-45	0.000403364	0
N78	0.000207914	0.000690994	2.26617e-54	1.11049e-06	0
Braset	0.0219746	0.0224844	0	5.95662e-08	0
N79	0.00144305	0.00168569	1.92155e-50	5.82023e-08	0
N80	0.00872348	0.00893884	5.36921e-55	1.34204e-09	0
Bramel	0.000672841	0.000724702	0	1.19017e-12	0
Bratha	0.000672841	0.000724702	0	1.19017e-12	0
N81	0.00536858	0.00546252	3.57273e-52	1.33536e-09	0
Bradra	0.00428	0.00445328	0	7.8567e-12	0
Bratra	0.00428	0.00445328	0	7.8567e-12	0
N82	0.0102343	0.0109146	4.47639e-53	1.16715e-06	0
Bragut	0.00461404	0.00492664	0	4.74476e-09	0
Braven	0.00461404	0.00492664	0	4.74476e-09	0
N83	0.00968575	0.020375	1.04677e-40	0.000398205	0
Brapum	0.0127754	0.0159294	0	6.33278e-06	0
Bradam	0.0127754	0.0159294	0	6.33278e-06	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0.431973	0.43201	9.03821e-26	8.94501e-05	0
BGA709	0.411977	0.412052	9.03821e-26	9.5908e-05	0
BGA309	0.411977	0.412052	9.03821e-26	9.5908e-05	0
B11696	0.292466	0.292473	9.03821e-26	8.45441e-05	0
B11609	0.292466	0.292473	9.03821e-26	8.45441e-05	0
B985	0.279389	0.279397	9.03821e-26	8.45191e-05	0
B199	0.279389	0.279397	9.03821e-26	8.45191e-05	0
BGA89	0.262813	0.26282	9.03821e-26	8.45217e-05	0
BGAA2	0.262813	0.26282	9.03821e-26	8.45217e-05	0
BGA304	0.263759	0.263765	9.03821e-26	8.45244e-05	0
BGAB1	0.263759	0.263765	9.03821e-26	8.45244e-05	0
PGA445	0.628685	0.628754	9.03801e-26	9.47833e-05	0
Rhaspe	0.210909	8.21107	1.5725e-32	0.0010065	0
Rhamar	0.210435	8.21046	4.60802e-31	0.00099468	0
Rhatem	0.333927	7.3393	4.60802e-31	0.00226299	0
FGA379	0.242288	7.19068	2.74848e-35	0.999125	0
F3016	0.202335	7.20545	4.97332e-33	0.000855014	0
F1476	0.20274	7.20585	4.97334e-33	0.000855045	0
Furcep	2.07744	6.3715	4.97334e-33	0.0582915	0
Furpol	0.312334	6.31721	4.9734e-33	0.00126742	0
F2241	0.19704	7.20017	4.97345e-33	0.00085504	0
Furang	0.19704	7.20017	4.97345e-33	0.00085504	0
Fga490	0.20487	7.208	4.97344e-33	0.000855039	0
FGA456	0.266109	6.26924	4.97334e-33	0.00085583	0
FGA516	0.266109	6.26924	4.97334e-33	0.00085583	0
F12278	0.273364	6.27649	4.97334e-33	0.000856069	0
Furant	0.433012	6.43624	4.97334e-33	0.000867958	0
FGA331	2.2498	6.25599	4.97334e-33	0.000890471	0
FGA465	0.20778	7.2109	4.97334e-33	0.00085503	0
FGA99	0.195681	7.1988	4.97334e-33	0.000855019	0
FGA15	0.195681	7.1988	4.97334e-33	0.000855019	0
FGA104	1.19659	6.22156	4.97334e-33	0.00580376	0
FGA489	0.201463	7.20458	4.97333e-33	0.000854964	0
FGA174	1.99358	6.35629	4.97235e-33	0.0728838	0
FurbGB	0.305604	6.30926	4.4231e-33	0.000983786	0
CGA312	0.446206	6.44636	2.43336e-35	0.999525	0
CGA642	0.232326	7.2322	2.43336e-35	0.999509	0
CGA236	0.239032	7.23891	2.43336e-35	0.999509	0
Calboe	0.201955	10.0671	2.46829e-35	0.99951	0
C3125	1.31852	7.46185	2.46829e-35	1.01588	0
CGA429	0.127634	9.12727	2.43337e-35	0.999509	0
C985	0.146452	10.1432	2.43336e-35	0.999509	0
CGA382	0.127917	9.1247	2.43336e-35	0.99951	0
C12265	0.629361	6.62946	2.43336e-35	0.999519	0
C404	0.325764	9.3256	2.43336e-35	0.999514	0
Cl11778	0.347645	8.34748	2.43336e-35	0.999514	0
C3134	1.55311	6.55325	2.43336e-35	0.999524	0
CGA311	0.271055	6.27165	2.39511e-35	0.999516	0
CGA45	0.234521	7.23512	2.39511e-35	0.999515	0
C3043	0.25069	6.25129	2.39511e-35	0.999515	0
CGA364	0.25069	6.25129	2.39511e-35	0.999515	0
C2208	1.17637	6.17697	2.39511e-35	0.999515	0
CGA453	0.255545	6.25867	2.10975e-34	1.00006	0
CGA501	0.276544	6.27967	2.10975e-34	1.00006	0
C3121	0.240208	7.24333	2.10975e-34	1.00006	0
Calparcri	0.270414	6.27354	2.10974e-34	1.00006	0
Triowe	0.178301	6.17757	1.04859e-32	1.00001	0
Trijoh	0.163023	6.16229	1.04864e-32	1.00001	0
Trimel	0.163023	6.16229	1.04864e-32	1.00001	0
Trihoe	0.160741	6.16941	1.84339e-32	0.00300989	0
Tribit	0.160741	6.16941	1.84339e-32	0.00300989	0
Trijac	0.172593	6.18128	1.78634e-32	0.00301289	0
Tricri	0.211715	6.21227	1.02197e-32	0.999998	0
Triwie	0.187866	6.18842	1.02292e-32	0.999998	0
Triqua	0.187866	6.18842	1.02292e-32	0.999998	0
Kinboe	0.261124	6.26647	3.13126e-31	0.999979	0
Kinfis	0.261124	6.26647	3.13126e-31	0.999979	0
Kinxen	0.349833	6.35494	2.8728e-33	1	0
Chaafr	0.224473	6.22443	6.49859e-28	0.000228578	0
Chacha	0.224473	6.22443	6.49859e-28	0.000228578	0
Chacaly	0.221434	6.22139	6.49859e-28	0.000228693	0
Chazey	0.221434	6.22139	6.49859e-28	0.000228693	0
Chadil	0.26179	6.26181	6.51009e-28	0.000242481	0
Chasen	0.26179	6.26181	6.51009e-28	0.000242481	0
Chanam	0.393364	6.40446	2.44627e-30	0.00280174	0
Braset	0.243389	7.17814	6.79008e-33	0.997002	0
Bramel	0.232253	7.167	6.79008e-33	0.997002	0
Bratha	0.232253	7.167	6.79008e-33	0.997002	0
Bradra	0.232506	7.16725	6.79008e-33	0.997002	0
