NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	8.19518e-62	7.41056e-57	3.44329e-52	8.39883e-48	1.1367e-43	8.94206e-40	4.20158e-36	1.13359e-32	1.32724e-29	6.98099e-27	1.16089e-23	1.2157e-20	6.74709e-18	1.79984e-15	2.00207e-13	7.45696e-12	6.43313e-11	1	3.68767e-11	4.22636e-12	2.06512e-13	5.2862e-15	8.104e-17	8.15425e-19	5.75094e-21	2.98578e-23	1.18503e-25	3.70465e-28	9.92118e-31	
N2	4.74602e-67	2.55881e-61	8.47836e-56	1.4645e-50	1.37168e-45	7.15817e-41	2.15978e-36	4.09765e-32	5.738e-28	7.19299e-24	6.67948e-20	3.59468e-16	1.0669e-12	1.6424e-09	1.1994e-06	0.000362879	0.0363618	0.768948	0.185406	0.00877669	0.000142663	1.0594e-06	4.26586e-09	1.04333e-11	1.67924e-14	1.88902e-17	2.50134e-20	3.25815e-21	7.74536e-22	
N3	5.29034e-71	1.25924e-64	1.46892e-58	8.08358e-53	2.14826e-47	2.73342e-42	1.59417e-37	3.78038e-33	1.99713e-29	2.51856e-27	4.36112e-23	9.75378e-19	1.127e-14	6.19089e-11	1.43103e-07	0.00011484	0.0229822	0.592991	0.360904	0.0226767	0.000328845	1.67966e-06	3.87593e-09	4.74478e-12	3.44259e-15	1.60431e-18	5.10203e-22	1.16987e-25	3.01345e-29	
N4	1.37621e-74	3.96428e-68	6.68188e-62	6.06798e-56	3.07109e-50	8.56282e-45	1.25798e-39	8.64493e-35	1.69615e-30	1.33599e-26	4.05105e-22	6.93097e-18	5.96602e-14	2.37607e-10	3.87148e-07	0.000213713	0.0293251	0.566088	0.375104	0.0287285	0.000536725	3.61406e-06	1.10784e-08	1.80195e-11	1.73102e-14	1.06218e-17	4.42399e-21	2.48497e-24	1.46667e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	7.95273e-67	2.57403e-61	5.92603e-56	8.64827e-51	9.01886e-46	6.98626e-41	3.8642e-36	1.42687e-31	3.32982e-27	4.72479e-23	3.92781e-19	1.84047e-15	4.62645e-12	5.81241e-09	3.29033e-06	0.000716448	0.0462927	0.549393	0.367208	0.0353867	0.000988345	1.13752e-05	6.62758e-08	2.23375e-10	4.77876e-13	6.94552e-16	7.22712e-19	7.74353e-22	5.93034e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	4.9178e-73	1.40152e-66	1.96521e-60	1.30752e-54	4.25846e-49	6.86242e-44	5.50969e-39	2.25869e-34	4.50605e-30	4.26576e-28	1.46884e-24	4.82676e-20	8.39699e-16	7.12894e-12	2.64406e-08	3.59436e-05	0.0131862	0.685394	0.291564	0.00974444	7.42657e-05	2.04388e-07	2.61488e-10	1.82039e-13	7.66928e-17	2.1092e-20	4.00584e-24	5.54266e-28	1.18963e-31	
N7	1.87286e-65	8.15489e-60	1.89981e-54	2.13338e-49	1.18425e-44	3.25231e-40	4.38933e-36	2.9939e-32	1.26119e-28	9.83019e-25	1.35689e-20	1.08449e-16	4.7113e-13	1.03626e-09	1.03782e-06	0.000399989	0.0441614	0.744479	0.20273	0.00812738	9.99291e-05	5.32539e-07	1.49785e-09	2.522e-12	2.77305e-15	2.12145e-18	1.18492e-21	5.05643e-25	2.71031e-28	
