NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	8.19841e-62	7.41422e-57	3.44543e-52	8.4054e-48	1.13779e-43	8.95177e-40	4.20616e-36	1.13464e-32	1.32816e-29	6.98597e-27	1.16124e-23	1.21575e-20	6.7471e-18	1.79984e-15	2.00207e-13	7.45696e-12	6.43313e-11	1	3.68767e-11	4.22636e-12	2.06512e-13	5.2862e-15	8.104e-17	8.15425e-19	5.75094e-21	2.98578e-23	1.18503e-25	3.70465e-28	9.92118e-31	
N2	4.74643e-67	2.559e-61	8.47897e-56	1.46461e-50	1.37181e-45	7.15906e-41	2.16015e-36	4.09856e-32	5.73927e-28	7.19391e-24	6.6798e-20	3.59472e-16	1.0669e-12	1.6424e-09	1.1994e-06	0.000362879	0.0363618	0.768948	0.185406	0.00877669	0.000142663	1.0594e-06	4.26586e-09	1.04334e-11	1.68162e-14	2.18114e-17	5.54307e-19	5.53283e-21	8.01942e-22	
N3	5.29043e-71	1.25926e-64	1.46894e-58	8.08377e-53	2.14833e-47	2.73355e-42	1.59428e-37	3.78089e-33	1.9978e-29	2.52674e-27	4.37192e-23	9.75668e-19	1.12701e-14	6.19089e-11	1.43103e-07	0.00011484	0.0229822	0.592991	0.360904	0.0226767	0.000328845	1.67966e-06	3.87593e-09	4.74478e-12	3.4426e-15	1.60437e-18	5.10597e-22	1.17551e-25	3.12856e-29	
N4	1.37641e-74	3.96487e-68	6.68284e-62	6.06873e-56	3.0714e-50	8.56347e-45	1.25805e-39	8.64549e-35	1.69641e-30	1.3367e-26	4.05196e-22	6.93115e-18	5.96602e-14	2.37607e-10	3.87148e-07	0.000213713	0.0293251	0.566088	0.375104	0.0287285	0.000536725	3.61406e-06	1.10784e-08	1.80195e-11	1.73105e-14	1.06293e-17	4.93972e-21	4.52888e-24	1.72042e-25	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	7.9544e-67	2.57469e-61	5.92772e-56	8.65075e-51	9.02111e-46	6.98757e-41	3.86467e-36	1.42698e-31	3.32995e-27	4.72487e-23	3.92783e-19	1.84047e-15	4.62645e-12	5.81241e-09	3.29033e-06	0.000716448	0.0462927	0.549393	0.367208	0.0353867	0.000988345	1.13752e-05	6.62758e-08	2.23375e-10	4.77879e-13	6.94773e-16	7.55037e-19	1.1419e-21	7.14569e-23	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	4.91799e-73	1.40158e-66	1.96531e-60	1.3076e-54	4.25882e-49	6.86322e-44	5.51058e-39	2.25916e-34	4.50702e-30	4.29363e-28	1.5299e-24	4.85794e-20	8.39727e-16	7.12894e-12	2.64406e-08	3.59436e-05	0.0131862	0.685394	0.291564	0.00974444	7.42657e-05	2.04388e-07	2.61488e-10	1.82039e-13	7.66929e-17	2.10925e-20	4.00977e-24	5.59975e-28	1.3268e-31	
N7	1.87291e-65	8.15519e-60	1.89991e-54	2.13354e-49	1.18437e-44	3.25285e-40	4.39053e-36	2.99529e-32	1.26211e-28	9.8356e-25	1.35715e-20	1.08453e-16	4.7113e-13	1.03626e-09	1.03782e-06	0.000399989	0.0441614	0.744479	0.20273	0.00812738	9.99291e-05	5.32539e-07	1.49785e-09	2.522e-12	2.77306e-15	2.1215e-18	1.18574e-21	5.08723e-25	2.88653e-28	
