NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	6.43858e-69	2.59635e-63	4.98352e-58	4.94546e-53	2.75022e-48	8.99329e-44	1.77731e-39	2.14873e-35	1.58808e-31	7.08164e-28	1.85488e-24	2.73192e-21	2.11777e-18	7.83155e-16	1.19242e-13	5.92849e-12	6.39202e-11	1	2.96141e-11	2.39662e-12	7.64153e-14	1.19833e-15	1.0629e-17	5.85821e-20	2.14482e-22	5.48047e-25	1.01492e-27	1.40313e-30	1.56234e-33	
N2	1.3253e-71	2.09904e-65	1.90669e-59	8.80842e-54	2.24768e-48	3.33026e-43	2.95141e-38	1.58899e-33	5.21912e-29	1.03969e-24	1.23605e-20	8.52975e-17	3.2751e-13	6.57378e-10	6.28838e-07	0.000248508	0.0318889	0.810292	0.152444	0.00507101	5.42856e-05	2.51319e-07	5.99197e-10	8.25023e-13	7.10918e-16	4.06732e-19	1.61635e-22	4.63917e-26	1.20266e-29	
N3	1.87549e-71	1.17672e-69	5.87474e-68	5.12247e-62	7.226e-56	5.74159e-50	2.64645e-44	7.17942e-39	1.14898e-33	1.07501e-28	5.75803e-24	1.70461e-19	2.64337e-15	1.98159e-11	6.35558e-08	7.17194e-05	0.0201632	0.682219	0.286662	0.0107968	8.74082e-05	2.36438e-07	2.75507e-10	1.62584e-13	5.42768e-17	1.10997e-20	1.47568e-24	1.33531e-28	9.47422e-33	
N4	5.21969e-71	1.11995e-68	1.88838e-66	1.30853e-60	1.68861e-54	1.1996e-48	4.8353e-43	1.12254e-37	1.50459e-32	1.1535e-27	4.94886e-23	1.1455e-18	1.35292e-14	7.50534e-11	1.72677e-07	0.000135594	0.0261351	0.651477	0.307541	0.0145556	0.000155228	5.60539e-07	8.71041e-10	6.80541e-13	2.9779e-16	7.8927e-20	1.34383e-23	1.53962e-27	1.40716e-31	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	6.43419e-71	1.18114e-64	1.16393e-58	5.68102e-53	1.49541e-47	2.23553e-42	1.95766e-37	1.02074e-32	3.18329e-28	5.90102e-24	6.39088e-20	3.92385e-16	1.3038e-12	2.18745e-09	1.66936e-06	0.000492085	0.0424933	0.626593	0.310415	0.0196624	0.000339884	2.30326e-06	7.53344e-09	1.35889e-11	1.48177e-14	1.04376e-17	4.99174e-21	1.68668e-24	4.97961e-28	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	5.17086e-79	7.88949e-78	3.89988e-71	1.49234e-64	3.02967e-58	3.44084e-52	2.25715e-46	8.69921e-41	1.97962e-35	2.64389e-30	2.03646e-25	8.77266e-21	2.01477e-16	2.29512e-12	1.16134e-08	2.1861e-05	0.0111707	0.778502	0.206276	0.00401259	1.71339e-05	2.54771e-08	1.69425e-11	5.88283e-15	1.18339e-18	1.48474e-22	1.22693e-26	6.96156e-31	3.08754e-35	
N7	4.82343e-74	1.24468e-67	1.64446e-61	1.11019e-55	4.15895e-50	9.08187e-45	1.18987e-39	9.48937e-35	4.62021e-30	1.363e-25	2.39199e-21	2.42106e-17	1.34813e-13	3.84931e-10	5.0648e-07	0.000258708	0.0377729	0.802579	0.155231	0.00412621	3.20988e-05	1.03412e-07	1.67881e-10	1.55623e-13	8.97748e-17	3.43083e-20	9.10616e-24	1.7421e-27	2.81175e-31	
