NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	8.77226e-59	5.74242e-55	3.18123e-51	1.33483e-47	4.08994e-44	8.77121e-41	1.26585e-37	1.20664e-34	7.6709e-32	1.84013e-29	5.58615e-27	7.46711e-24	6.90477e-21	3.88611e-18	4.90686e-11	9.75491e-07	0.00237683	0.246655	0.659756	0.0897704	0.00143624	4.73779e-06	4.57828e-09	1.63403e-12	2.70268e-18	2.35196e-20	1.49631e-22	7.20689e-25	2.78326e-27	
N2	1.39471e-60	3.11275e-56	7.79532e-52	1.53394e-47	2.29639e-43	2.53673e-39	2.00922e-35	1.12641e-31	4.59797e-28	1.63837e-24	8.34132e-21	3.28779e-17	8.31196e-14	1.2514e-10	1.01729e-07	3.87767e-05	0.0055629	0.202547	0.635959	0.14863	0.00714646	0.000115186	8.11251e-07	2.94223e-09	6.1409e-12	8.09843e-15	3.1536e-17	7.88057e-19	1.05711e-19	
N3	2.48466e-65	2.85814e-60	2.78183e-55	1.92195e-50	9.05879e-46	2.76118e-41	5.04803e-37	4.92713e-33	1.82872e-29	1.20439e-27	6.37057e-25	1.14123e-20	1.36633e-16	9.2633e-13	3.15448e-09	4.52119e-06	0.0020396	0.167044	0.676811	0.148904	0.00514806	4.83878e-05	1.69582e-07	2.70724e-10	2.25612e-13	1.08243e-16	3.22491e-20	6.7952e-24	4.83036e-27	
N4	1.57024e-69	2.0497e-64	2.73288e-59	2.95304e-54	2.56819e-49	1.72278e-44	8.25233e-40	2.52751e-35	3.61902e-31	5.58149e-28	6.883e-24	1.04226e-19	9.51314e-16	4.78136e-12	1.17144e-08	1.16713e-05	0.00353184	0.192145	0.654541	0.144348	0.00536479	5.67768e-05	2.30723e-07	4.34987e-10	4.32971e-13	2.49877e-16	1.0324e-19	2.71075e-22	1.33521e-23	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	2.58434e-61	3.43952e-57	5.69801e-53	8.43135e-49	1.21573e-44	1.81869e-40	2.73895e-36	3.73707e-32	4.1396e-28	3.4458e-24	2.03145e-20	8.01909e-17	1.99853e-13	2.91103e-10	2.2263e-07	7.63572e-05	0.00913822	0.244503	0.607779	0.132532	0.00588387	8.70474e-05	5.61799e-07	1.86758e-09	3.57636e-12	4.27606e-15	3.7368e-18	1.76702e-20	1.84576e-21	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	2.66267e-67	3.60724e-62	4.13621e-57	3.3655e-52	1.87206e-47	6.79363e-43	1.52282e-38	2.01082e-34	1.4859e-30	2.31107e-28	4.97505e-26	1.0735e-21	1.88224e-17	1.96491e-13	1.05977e-09	2.49509e-06	0.00192818	0.271887	0.66011	0.0650968	0.000970837	4.05895e-06	6.60732e-09	5.10614e-12	2.13496e-15	5.29369e-19	8.36563e-23	1.08867e-26	1.60166e-29	
N7	3.64692e-59	7.27004e-55	1.37088e-50	1.865e-46	1.75561e-42	1.08609e-38	4.15892e-35	9.41797e-32	1.30297e-28	2.33527e-25	2.08041e-21	1.32179e-17	5.35276e-14	1.27697e-10	1.60694e-07	9.02049e-05	0.016987	0.591539	0.3684	0.022639	0.000343035	1.95182e-06	5.25309e-09	7.7253e-12	6.84866e-15	3.93002e-18	1.55311e-21	5.8345e-25	2.31885e-27	
