NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.62967e-58	1.8882e-54	1.24061e-50	6.8883e-47	3.17704e-43	1.19755e-39	3.62241e-36	8.6031e-33	1.56188e-29	2.09644e-26	1.99409e-23	1.27217e-20	5.0597e-18	4.40399e-11	5.30857e-07	0.000997708	0.143152	0.682559	0.169911	0.00336926	1.05567e-05	8.19011e-09	2.10062e-12	2.5177e-18	1.73878e-20	8.60021e-23	3.16992e-25	8.98373e-28	2.07813e-30	
N2	6.24646e-59	1.92556e-54	6.11255e-50	1.57966e-45	3.27438e-41	5.36213e-37	6.8154e-33	6.58406e-29	4.71467e-25	2.42729e-21	8.65193e-18	2.03549e-14	2.96983e-11	2.46972e-08	1.03759e-05	0.00182582	0.0958629	0.596378	0.284045	0.0214074	0.000466691	4.06595e-06	1.71941e-08	4.01282e-11	5.65855e-14	5.15527e-17	3.19469e-20	1.40489e-23	5.08981e-27	
N3	7.9827e-64	1.40223e-62	4.12029e-60	5.97851e-55	7.0985e-50	6.49515e-45	4.5e-40	2.31092e-35	8.5706e-31	2.22292e-26	3.87222e-22	4.3009e-18	2.84415e-14	1.01966e-10	1.733e-07	0.000113771	0.0204795	0.525209	0.422738	0.0309922	0.000464329	2.20588e-06	4.31755e-09	4.12686e-12	2.16719e-15	6.81232e-19	1.36748e-22	1.84361e-26	1.86014e-30	
N4	2.52892e-69	4.68454e-64	7.87682e-59	1.03915e-53	1.062e-48	8.28486e-44	4.84654e-39	2.08062e-34	6.38431e-30	1.35533e-25	1.91082e-21	1.6979e-17	8.87733e-14	2.48811e-10	3.27621e-07	0.00016624	0.0235187	0.509326	0.430104	0.0362233	0.000657444	3.88591e-06	9.57936e-09	1.1584e-11	7.69754e-15	3.05448e-18	7.7098e-22	1.30112e-25	1.65923e-29	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	4.07565e-60	1.38688e-55	4.75154e-51	1.32732e-46	2.98167e-42	5.30495e-38	7.34413e-34	7.74754e-30	6.07475e-26	3.43503e-22	1.34965e-18	3.51618e-15	5.71719e-12	5.35011e-09	2.57249e-06	0.000536901	0.0369966	0.507169	0.412858	0.0413583	0.00106764	1.0359e-05	4.70265e-08	1.1504e-10	1.67274e-13	1.55329e-16	9.72864e-20	4.29327e-23	1.54096e-26	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.01038e-71	4.05462e-69	1.24478e-63	2.998e-58	5.59291e-53	7.99237e-48	8.62555e-43	6.90636e-38	4.0125e-33	1.64505e-28	4.59405e-24	8.34976e-20	9.29935e-16	5.84459e-12	1.84189e-08	2.42729e-05	0.00980323	0.634112	0.343889	0.0120855	8.54157e-05	1.97775e-07	1.96003e-10	9.81808e-14	2.78074e-17	4.82394e-21	5.43958e-25	4.17334e-29	2.4004e-33	
N7	1.10608e-63	6.28938e-59	3.37832e-54	1.4886e-49	5.31212e-45	1.51281e-40	3.37978e-36	5.80508e-32	7.48308e-28	7.03095e-24	4.64443e-20	2.06069e-16	5.78678e-13	9.48999e-10	8.10362e-07	0.000302097	0.0362784	0.735642	0.219372	0.00831737	8.78975e-05	3.7247e-07	7.77106e-10	9.09898e-13	6.54476e-16	3.08931e-19	1.00627e-22	2.35315e-26	4.40991e-30	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	1.84772e-64	8.77589e-61	3.73674e-57	1.34789e-53	3.99916e-50	4.23199e-47	1.08249e-44	9.13967e-43	1.25284e-39	3.68783e-34	7.17903e-29	8.61953e-24	5.99749e-19	2.21141e-14	3.77804e-10	2.41085e-06	0.00391191	0.692226	0.298726	0.00512077	1.29831e-05	8.89879e-09	2.28815e-12	2.69894e-16	1.66874e-20	5.936e-25	1.29941e-29	1.84026e-34	1.82251e-39	
N9	4.85322e-70	4.34126e-66	3.56122e-62	2.52723e-58	1.46411e-54	3.12436e-51	1.24614e-48	6.39738e-45	2.48944e-39	6.65137e-34	1.15731e-28	1.25438e-23	7.96077e-19	2.70772e-14	4.32372e-10	2.61975e-06	0.00410841	0.707458	0.28406	0.00436164	1.00013e-05	6.35317e-09	1.55118e-12	1.77539e-16	1.08586e-20	3.88778e-25	8.70377e-30	1.27986e-34	6.19818e-39	
N10	1.51938e-69	2.06199e-64	2.57179e-59	2.61374e-54	2.13779e-49	1.38712e-44	7.021e-40	2.71752e-35	7.85331e-31	1.6459e-26	2.41295e-22	2.36364e-18	1.45703e-14	5.20966e-11	9.61261e-08	7.63709e-05	0.0190318	0.742882	0.232399	0.00557793	3.30762e-05	7.44731e-08	7.99495e-11	4.71303e-14	1.67942e-17	3.87731e-21	6.11172e-25	6.85252e-29	6.03032e-33	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	9.88493e-77	3.95859e-71	1.39032e-65	3.93793e-60	8.89362e-55	1.58034e-49	2.17467e-44	2.27383e-39	1.7654e-34	9.89375e-30	3.86324e-25	1.00454e-20	1.63885e-16	1.54616e-12	7.49871e-09	1.5554e-05	0.00995417	0.933795	0.0558593	0.000374928	6.79632e-07	4.87742e-10	1.71113e-13	3.35079e-17	4.00988e-21	3.13107e-25	1.67598e-29	6.3906e-34	1.87713e-38	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
