NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	2.91976e-82	1.09857e-58	5.46342e-53	5.31029e-48	1.79111e-43	2.66631e-39	1.95075e-35	6.89305e-32	8.98673e-29	9.92769e-26	1.74303e-22	1.64344e-19	2.04207e-13	8.65146e-09	5.23917e-05	0.0273469	0.54387	0.412505	0.0161624	6.36845e-05	4.59944e-08	8.92014e-12	4.11954e-18	2.1521e-20	7.64419e-23	1.9334e-25	3.60843e-28	5.11215e-31	6.02467e-34	
N2	5.20286e-84	7.91441e-60	2.01459e-53	1.00036e-47	1.69173e-42	1.22448e-37	4.42008e-33	9.29298e-29	1.34309e-24	1.44835e-20	9.52033e-17	3.32467e-13	5.85717e-10	4.80178e-07	0.000160499	0.0172778	0.355749	0.532618	0.0906033	0.00354191	4.9058e-05	3.08447e-07	1.0292e-09	2.02676e-12	2.54217e-15	2.15079e-18	1.45834e-21	4.35835e-23	7.41829e-24	
N3	6.64627e-90	4.85518e-65	4.60553e-58	7.72957e-52	3.91232e-46	7.15449e-41	4.96254e-36	1.18811e-31	4.81472e-28	1.28363e-25	3.23693e-21	5.37847e-17	4.31616e-13	1.53272e-09	2.10098e-06	0.000890376	0.0790884	0.700762	0.211452	0.0077361	6.92424e-05	2.22181e-07	3.21399e-10	2.4341e-13	1.07084e-16	2.95159e-20	5.39633e-24	6.86737e-28	8.53432e-32	
N4	4.80047e-94	4.65378e-69	7.07098e-62	2.15489e-55	2.24741e-49	9.574e-44	1.75128e-38	1.25132e-33	2.11808e-29	2.85603e-25	7.90601e-21	1.12374e-16	7.63748e-13	2.28024e-09	2.6245e-06	0.000946694	0.0752828	0.673775	0.238727	0.0111348	0.000131045	5.56133e-07	1.05921e-09	1.04697e-12	5.9488e-16	2.09442e-19	4.84065e-23	1.26326e-26	4.10648e-28	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	5.25353e-87	6.07457e-63	1.43968e-56	8.32681e-51	2.12623e-45	2.91587e-40	2.26454e-35	1.00097e-30	2.50985e-26	3.5415e-22	2.76132e-18	1.15827e-14	2.5037e-11	2.60517e-08	1.17421e-05	0.00193902	0.0882388	0.639281	0.253748	0.0164586	0.000320888	2.58608e-06	1.04244e-08	2.38217e-11	3.36942e-14	3.14658e-17	2.03887e-20	1.20377e-23	5.28536e-25	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	5.12324e-93	4.75778e-68	5.78478e-61	1.26357e-54	8.55969e-49	2.21912e-43	2.47375e-38	1.29161e-33	2.88745e-29	2.51834e-27	2.23612e-23	6.10509e-19	8.37124e-15	5.34596e-11	1.41624e-07	0.000128837	0.0287935	0.78732	0.179985	0.00375363	1.87289e-05	3.41273e-08	2.87303e-11	1.29532e-14	3.457e-18	5.86664e-22	6.67629e-26	5.33752e-30	5.50728e-34	
N7	4.07274e-86	5.90504e-62	1.24159e-55	4.76593e-50	5.72735e-45	2.62508e-40	5.09564e-36	4.69871e-32	2.83901e-28	3.12099e-24	4.16401e-20	3.07273e-16	1.19447e-12	2.29334e-09	1.96466e-06	0.000636362	0.0579722	0.783331	0.153372	0.00464306	4.33898e-05	1.73571e-07	3.58644e-10	4.3197e-13	3.29789e-16	1.69661e-19	6.16115e-23	1.64246e-26	4.51129e-30	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	1.1142e-104	1.3588e-78	1.89933e-70	4.40918e-63	2.89959e-56	6.82769e-50	6.09466e-44	2.09443e-38	2.13981e-33	2.3179e-31	6.74667e-28	1.17219e-22	9.68006e-18	3.45949e-13	4.65904e-09	1.87072e-05	0.0145359	0.826654	0.157172	0.00161718	2.91294e-06	1.5728e-09	3.42367e-13	3.60943e-17	2.08177e-21	7.14934e-26	1.55418e-30	2.82862e-35	4.01221e-38	
N9	3.2733e-90	1.0318e-66	4.32862e-61	3.46265e-56	8.22834e-52	2.38261e-48	7.34824e-46	7.02576e-42	3.61924e-37	6.31291e-33	1.74494e-27	2.52594e-22	1.73562e-17	5.21875e-13	6.00919e-09	2.11421e-05	0.0149781	0.829038	0.15437	0.00159044	2.98398e-06	1.73397e-09	4.16487e-13	4.9387e-17	3.25217e-21	1.29062e-25	3.34438e-30	9.11247e-33	6.69875e-34	
