NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	9.18424e-83	1.17609e-59	7.60643e-54	9.25845e-49	3.67486e-44	5.92303e-40	4.33349e-36	1.53728e-32	2.14623e-29	7.77926e-27	1.83871e-23	2.50516e-20	1.68823e-17	9.59783e-10	1.23969e-05	0.0136658	0.508882	0.464326	0.0130842	2.92853e-05	1.04664e-08	9.01831e-13	8.05432e-19	2.54604e-21	5.21446e-24	7.2366e-27	7.03858e-30	4.92369e-33	2.67583e-36	
N2	5.35727e-85	2.34549e-61	7.26094e-55	4.47014e-49	9.4213e-44	8.32567e-39	3.40809e-34	6.86016e-30	7.52052e-26	7.95417e-22	7.37178e-18	3.70383e-14	9.52788e-11	1.15814e-07	5.83721e-05	0.00970046	0.327925	0.581858	0.0782961	0.00214231	1.93927e-05	7.55408e-08	1.48773e-10	1.64986e-13	1.12745e-16	7.69604e-20	2.40955e-22	1.04404e-24	9.42599e-26	
N3	2.34936e-90	5.47201e-66	6.57797e-59	1.41699e-52	9.32091e-47	2.24503e-41	2.07319e-36	6.71003e-32	3.57068e-28	8.51939e-27	1.63123e-22	4.06168e-18	5.01468e-14	2.8045e-10	6.19601e-07	0.000431163	0.062422	0.770881	0.162637	0.00361022	1.84009e-05	3.21451e-08	2.4303e-11	9.23328e-15	1.95247e-18	2.4726e-22	1.98186e-26	1.06401e-30	8.73909e-35	
N4	7.28282e-95	1.92554e-70	3.11595e-63	1.00651e-56	1.16169e-50	5.88899e-45	1.37593e-39	1.33977e-34	2.88145e-30	1.07113e-26	4.12691e-22	8.86648e-18	9.28198e-14	4.35046e-10	8.00029e-07	0.000466129	0.0590506	0.743005	0.191824	0.00561479	3.84568e-05	8.98831e-08	8.97933e-11	4.44057e-14	1.2035e-17	1.93559e-21	3.94717e-25	1.90646e-28	3.24276e-30	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	6.36121e-88	2.08781e-64	5.07096e-58	2.62361e-52	5.63191e-47	6.95661e-42	5.68778e-37	3.05277e-32	1.01731e-27	2.00507e-23	2.22403e-19	1.34062e-15	4.21207e-12	6.44768e-09	4.32207e-06	0.00106713	0.0716887	0.706085	0.21188	0.00916204	0.000112013	5.39941e-07	1.24565e-09	1.55817e-12	1.15143e-15	5.35749e-19	2.28102e-22	2.31648e-25	9.7568e-27	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	2.06651e-93	6.04179e-69	9.1575e-62	2.5051e-55	2.11607e-49	6.68406e-44	8.44602e-39	4.24198e-34	7.34952e-30	3.72265e-28	1.13254e-24	4.25759e-20	8.71263e-16	8.58251e-12	3.59165e-08	5.29253e-05	0.0195649	0.866002	0.113038	0.0013375	3.70745e-06	3.6566e-09	1.61547e-12	3.68938e-16	4.79476e-20	3.79501e-24	1.92977e-28	6.83824e-33	9.57068e-37	
N7	1.92693e-86	8.68623e-63	2.27585e-56	1.09754e-50	1.66422e-45	9.55199e-41	2.21672e-36	2.03979e-32	6.12723e-29	2.05346e-25	3.67451e-21	3.7812e-17	2.07881e-13	5.72121e-10	7.11211e-07	0.000337187	0.0448374	0.838946	0.113642	0.00222318	1.29201e-05	3.09782e-08	3.69057e-11	2.45928e-14	9.94168e-18	2.58513e-21	4.52666e-25	5.63647e-29	1.37814e-32	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	4.25562e-106	1.61726e-80	3.65622e-72	2.48838e-64	3.07723e-57	1.23333e-50	1.59316e-44	6.68497e-39	6.7584e-34	2.22071e-32	3.28209e-29	3.47114e-24	4.28064e-19	2.66622e-14	6.3723e-10	4.77795e-06	0.0074288	0.907051	0.085118	0.000397339	3.24813e-07	7.92901e-11	7.66617e-15	3.44788e-19	7.93448e-24	9.93047e-29	1.04088e-33	3.85617e-37	7.59642e-38	
N9	8.07558e-91	9.22078e-68	5.47178e-62	6.21937e-57	2.31537e-52	3.39444e-48	2.06622e-44	4.89162e-41	7.04018e-38	2.58275e-35	1.15717e-29	3.43479e-24	4.62828e-19	2.6922e-14	6.13941e-10	4.51409e-06	0.00712855	0.911924	0.0805932	0.000349463	2.72924e-07	6.54829e-11	6.38346e-15	2.96197e-19	7.18721e-24	1.29992e-28	4.70492e-31	7.53925e-35	4.25949e-37	
N10	6.48999e-93	7.43485e-69	4.80579e-62	5.69146e-56	2.11713e-50	3.00441e-45	1.78082e-40	4.64129e-36	5.20999e-32	4.61361e-28	1.83643e-23	4.18958e-19	5.0788e-15	3.06308e-11	8.28038e-08	8.4446e-05	0.0236964	0.886832	0.0883784	0.00100545	3.11901e-06	3.82218e-09	2.26657e-12	7.38273e-16	1.43921e-19	1.79341e-23	3.07427e-27	1.30277e-30	1.1947e-32	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	1.22322e-93	3.75675e-69	5.90234e-62	1.68935e-55	1.50023e-49	4.94549e-44	6.3422e-39	2.9984e-34	3.42558e-30	2.60517e-30	2.35054e-26	1.40684e-21	4.55969e-17	7.36315e-13	5.31323e-09	1.43753e-05	0.0105261	0.962438	0.0269251	9.63639e-05	9.87946e-08	4.10824e-11	8.39981e-15	9.52911e-19	6.50996e-23	2.83947e-27	8.28548e-32	1.72933e-36	1.0067e-40	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N12	4.39683e-95	1.45071e-70	2.48661e-63	7.7167e-57	7.40703e-51	2.65184e-45	3.74669e-40	2.0088e-35	2.83696e-31	1.20514e-29	1.64814e-25	8.09147e-21	2.11426e-16	2.69206e-12	1.49042e-08	2.98355e-05	0.0153637	0.922423	0.0617572	0.000425246	7.43296e-07	4.88177e-10	1.49488e-13	2.44155e-17	2.32844e-21	1.38295e-25	5.57895e-30	2.15117e-34	1.5249e-37	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N13	2.88046e-97	9.98389e-73	1.775e-65	5.5983e-59	5.35528e-53	1.86596e-47	2.50119e-42	1.21967e-37	1.33612e-33	9.9395e-31	8.76502e-26	4.85527e-21	1.40187e-16	1.96612e-12	1.19774e-08	2.63007e-05	0.0147307	0.933894	0.0510644	0.000284058	4.07195e-07	2.22472e-10	5.73354e-14	7.95731e-18	6.50165e-22	3.36167e-26	4.54014e-30	1.09854e-33	6.97057e-36	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N14	1.30123e-88	8.77751e-65	3.34957e-58	2.3512e-52	5.18084e-47	4.30331e-42	1.42887e-37	1.81707e-33	6.19634e-30	1.08273e-26	2.78021e-22	4.20479e-18	3.40055e-14	1.37715e-10	2.51745e-07	0.000174964	0.0337448	0.875981	0.0888681	0.00122571	4.93038e-06	8.12055e-09	6.62238e-12	3.01569e-15	8.32466e-19	1.47792e-22	1.78178e-26	1.65802e-30	1.04462e-33	
BGA304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N15	7.09906e-89	2.05251e-63	2.58838e-55	5.41172e-48	3.19387e-41	6.4415e-35	4.55948e-29	9.90873e-24	3.68297e-20	3.14843e-18	6.27646e-14	2.92246e-10	3.32905e-07	0.000108587	0.0103132	0.237026	0.691323	0.061121	0.000108189	3.21902e-08	3.1292e-12	1.33098e-16	2.89918e-21	3.55569e-26	2.61011e-31	1.19635e-36	4.45385e-42	6.05569e-47	8.91256e-47	
N16	2.39543e-70	3.74301e-46	3.57096e-39	5.68766e-33	2.5516e-27	3.80492e-22	1.95129e-17	3.26625e-13	1.55818e-09	1.66313e-06	0.000287156	0.00976933	0.092785	0.303991	0.380469	0.182907	0.0291225	0.000665662	1.27248e-06	8.99549e-10	3.13786e-13	6.18967e-17	7.49348e-21	5.8886e-25	3.4134e-29	1.21423e-32	4.51776e-34	9.45272e-36	6.43985e-36	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	5.01513e-57	8.95872e-36	1.35322e-31	7.91703e-28	3.73242e-23	9.51339e-19	9.07967e-15	3.20297e-11	3.86077e-08	1.35886e-05	0.00111633	0.0226989	0.147107	0.35323	0.335686	0.124412	0.0154272	0.000307865	9.5587e-07	1.24833e-09	8.82128e-13	3.8025e-16	1.07216e-19	2.11824e-23	7.07748e-27	4.10682e-29	1.83965e-31	4.80126e-34	6.06914e-35	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	1.86994e-94	3.34667e-70	1.28616e-63	1.67055e-56	2.50206e-49	1.07042e-42	1.36948e-36	3.28024e-31	6.5516e-28	7.22807e-24	1.68797e-18	1.20061e-13	2.04268e-09	6.70905e-06	0.00338926	0.19291	0.733373	0.070189	0.000131674	3.1809e-08	2.03354e-12	4.87002e-17	5.26858e-22	4.46752e-27	1.28862e-31	4.23913e-35	5.07763e-38	1.22365e-38	1.39182e-39	
N19	2.21372e-91	2.84567e-66	1.69738e-58	1.79549e-51	6.00009e-45	8.02595e-39	4.5493e-33	1.08484e-27	4.80692e-23	3.63943e-21	2.81698e-17	6.98607e-13	5.25744e-09	8.08214e-06	0.00250133	0.132925	0.707579	0.155363	0.00162075	2.66629e-06	1.26334e-09	2.35692e-13	2.08559e-17	9.88126e-22	2.73069e-26	4.97433e-31	1.02507e-35	1.50858e-39	1.54071e-42	
N20	8.19954e-81	9.76455e-57	7.74623e-50	1.29423e-43	7.82294e-38	2.07361e-32	2.61966e-27	1.62572e-22	4.87357e-18	6.74196e-14	3.87488e-10	7.31137e-07	0.000200177	0.00932128	0.119552	0.446056	0.390024	0.0345352	0.000309618	8.36279e-07	9.65951e-10	5.72386e-13	1.94656e-16	4.09812e-20	5.64297e-24	5.45247e-28	1.04176e-31	4.79174e-35	5.40888e-37	
FGA379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N21	7.81635e-74	6.75022e-50	3.57658e-43	3.84267e-37	1.48932e-31	2.53962e-26	2.02651e-21	7.61515e-17	1.23985e-12	8.01493e-09	1.7135e-05	0.00803457	0.177163	0.463572	0.290559	0.0571223	0.00348859	4.33697e-05	1.04129e-07	9.67755e-11	4.4892e-14	1.18955e-17	1.95893e-21	2.12374e-25	1.5803e-29	8.34829e-34	3.55428e-38	2.31362e-42	5.82444e-45	
N22	2.85398e-78	1.31244e-53	3.03539e-46	1.19123e-39	1.32626e-33	4.40027e-28	2.88864e-23	4.81137e-18	3.26162e-13	8.09731e-09	5.76852e-05	0.0576855	0.502194	0.407408	0.0321147	0.000536939	2.24938e-06	2.16367e-09	6.5197e-13	8.40442e-17	5.47654e-21	1.98841e-25	4.82929e-30	6.19982e-31	3.67887e-32	1.08515e-34	6.42326e-37	5.94853e-38	1.42118e-38	
N23	6.03338e-76	1.76399e-52	1.08264e-46	2.71207e-41	1.16491e-34	1.53789e-28	7.18925e-24	4.08867e-18	7.69232e-13	4.19065e-08	0.000434534	0.210015	0.669151	0.118438	0.00195571	5.50909e-06	3.28003e-09	4.40442e-13	1.92905e-17	3.50545e-22	3.44179e-27	6.12369e-31	5.50263e-34	8.27699e-37	3.34382e-39	2.42025e-40	1.86749e-42	1.67201e-42	1.86389e-43	
F3016	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N24	7.94858e-76	1.26682e-52	9.92244e-47	2.87145e-41	1.35016e-34	2.34949e-28	1.04829e-23	6.24247e-18	1.19896e-12	6.40299e-08	0.000621292	0.278601	0.665471	0.0549758	0.000329955	2.84808e-07	5.29048e-11	3.03067e-15	7.35144e-20	8.9773e-25	6.07791e-30	3.13451e-35	3.10045e-39	1.32796e-41	1.02924e-41	3.77062e-41	7.60808e-44	1.2213e-43	2.15317e-45	
N25	7.8394e-79	2.15443e-56	9.47903e-49	1.17825e-41	3.71512e-35	3.37719e-29	4.93444e-24	2.14031e-18	3.43013e-13	1.78455e-08	0.000223549	0.32609	0.645968	0.0276486	6.93825e-05	2.84588e-08	3.52415e-12	1.79616e-16	4.46499e-21	5.99085e-26	7.40652e-31	2.65681e-35	4.71812e-39	4.95134e-39	3.08596e-39	5.00409e-39	8.53093e-42	5.33742e-42	2.84551e-44	
N26	5.4261e-87	3.21894e-63	2.10961e-54	2.08324e-46	4.43262e-39	2.20148e-32	4.19066e-27	1.60853e-20	1.9926e-14	6.83424e-09	0.000404911	0.637026	0.360635	0.00193428	3.58252e-07	1.20158e-11	1.31047e-16	5.98497e-22	1.29798e-27	1.44106e-33	2.1003e-39	3.58523e-43	1.71884e-45	1.00724e-46	1.89536e-49	3.11857e-50	9.76498e-54	4.56613e-55	2.26472e-58	
N27	5.64876e-78	1.4679e-54	1.81569e-48	4.05701e-43	8.0905e-37	4.65384e-30	1.25113e-24	1.92652e-18	8.98113e-13	1.06294e-07	0.00198217	0.65427	0.34207	0.00167792	3.39137e-07	1.5746e-11	2.73862e-16	2.18302e-21	1.2314e-26	2.57837e-30	1.52297e-34	2.20859e-38	2.74879e-42	6.63912e-42	1.59123e-43	5.6452e-43	2.67149e-46	3.31288e-47	2.12622e-50	
F1476	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N28	4.27291e-83	1.49313e-59	2.64197e-51	7.7304e-44	6.66758e-37	1.4818e-30	2.77502e-24	2.89809e-18	1.1034e-12	1.27147e-07	0.00283026	0.652148	0.341801	0.00321839	1.30728e-06	1.24929e-10	4.43419e-15	7.35139e-20	8.473e-25	2.02066e-28	9.33774e-33	2.47281e-35	1.76917e-38	7.3296e-36	2.49136e-38	1.62005e-38	1.22557e-41	4.80836e-43	4.43463e-46	
Furcep	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N29	4.67856e-76	7.87942e-55	2.66451e-47	5.21816e-40	2.99259e-33	6.07596e-27	4.78492e-21	1.42926e-15	1.50265e-10	4.61865e-06	0.0261916	0.76075	0.212011	0.00104293	4.42143e-07	5.76042e-11	3.27122e-15	9.63657e-20	1.64752e-24	4.52718e-29	1.06216e-32	8.98069e-37	3.1166e-40	5.949e-42	1.93773e-46	2.27058e-48	1.32539e-53	1.55817e-56	1.05235e-61	
Furpol	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N30	1.00177e-74	7.34492e-50	2.70401e-42	1.82259e-35	3.81564e-29	2.92896e-23	8.95538e-18	1.02855e-12	3.99299e-08	0.000409862	0.595717	0.388238	0.0156131	2.23009e-05	8.01858e-09	1.14856e-12	8.15824e-17	3.26425e-21	7.99058e-26	1.30763e-30	1.97149e-35	2.05552e-39	4.48259e-43	1.61295e-45	6.11971e-50	9.48682e-53	1.00642e-57	1.20237e-61	1.12109e-66	
N31	7.50401e-75	6.74029e-50	2.97518e-42	2.36826e-35	5.75214e-29	5.04647e-23	1.70361e-17	2.09734e-12	8.29828e-08	0.000791421	0.873775	0.124586	0.000847628	5.18126e-07	9.70444e-11	7.96027e-15	3.42889e-19	8.65955e-24	1.38229e-28	1.73454e-33	4.56596e-38	1.08286e-40	5.8855e-45	1.45484e-47	2.14465e-52	1.27965e-55	9.93643e-61	6.88597e-65	4.55966e-70	
F2241	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Furang	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
