NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	3.38944e-71	4.58897e-65	1.97401e-59	3.58187e-54	3.2292e-49	1.58114e-44	4.42284e-40	7.2582e-36	7.04999e-32	4.02625e-28	1.32195e-24	2.39485e-21	2.24128e-18	3.75032e-11	1.13821e-06	0.00331291	0.365871	0.608957	0.0218114	4.67435e-05	1.31272e-08	7.53075e-13	5.43047e-19	1.19776e-21	1.57642e-24	1.28671e-27	6.67832e-31	2.23635e-34	5.09615e-38	
N2	1.74428e-70	5.97031e-64	8.43353e-58	4.992e-52	1.45969e-46	2.30678e-41	2.0748e-36	1.09266e-31	3.40877e-27	6.28511e-23	6.74178e-19	4.07913e-15	1.32415e-11	2.13401e-08	1.51141e-05	0.00383032	0.230445	0.66678	0.0965094	0.00240237	1.78371e-05	5.23814e-08	7.18794e-11	5.12966e-14	2.04586e-17	4.79017e-21	6.80709e-25	6.0086e-29	4.1342e-33	
N3	2.78926e-73	6.82206e-72	1.68086e-68	6.2097e-62	1.10643e-55	1.03744e-49	5.39485e-44	1.60111e-38	2.74301e-33	2.70389e-28	1.50667e-23	4.58661e-19	7.21751e-15	5.38833e-11	1.66824e-07	0.000171422	0.0387958	0.780587	0.177014	0.00341836	1.34454e-05	1.65588e-08	8.13682e-12	1.85431e-15	2.1636e-19	1.38207e-23	5.05736e-28	1.09193e-32	1.56946e-37	
N4	4.6182e-73	4.62397e-71	9.51873e-68	3.39527e-61	5.81509e-55	5.13999e-49	2.4743e-43	6.68254e-38	1.02505e-32	8.90659e-28	4.30844e-23	1.12159e-18	1.48704e-14	9.22365e-11	2.34681e-07	0.000198056	0.0380684	0.754286	0.202373	0.0050484	2.62358e-05	4.24756e-08	2.70477e-11	7.85179e-15	1.14654e-18	9.00672e-23	3.98416e-27	1.02292e-31	1.77707e-36	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	1.50025e-72	6.91746e-66	1.22245e-59	8.86892e-54	3.12444e-48	5.86458e-43	6.19372e-38	3.79705e-33	1.37096e-28	2.91757e-24	3.6148e-20	2.53866e-16	9.66494e-13	1.86077e-09	1.62665e-06	0.000542826	0.0510302	0.722033	0.218296	0.00802088	7.5803e-05	2.6162e-07	4.01695e-10	3.10256e-13	1.30681e-16	3.16914e-20	4.58753e-24	4.0573e-28	2.6853e-32	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N6	1.00273e-81	5.21494e-79	7.07017e-72	3.87947e-65	1.01628e-58	1.39632e-52	1.06354e-46	4.63553e-41	1.17342e-35	1.7264e-30	1.45763e-25	6.87049e-21	1.72622e-16	2.15056e-12	1.18634e-08	2.4078e-05	0.0128672	0.86118	0.124643	0.00128248	2.76638e-06	1.95297e-09	5.71846e-13	8.01001e-17	5.88412e-21	2.40965e-25	5.72828e-30	8.1088e-35	7.62049e-40	
N7	7.43636e-76	4.86454e-69	1.13805e-62	1.12832e-56	5.59276e-51	1.51724e-45	2.37442e-40	2.2079e-35	1.23619e-30	4.16734e-26	8.35206e-22	9.6914e-18	6.2328e-14	2.07644e-10	3.22588e-07	0.000196832	0.0345184	0.85557	0.107944	0.00176191	7.89747e-06	1.36059e-08	1.08532e-11	4.49794e-15	1.04465e-18	1.43095e-22	1.19629e-26	6.238e-31	2.33384e-35	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N8	1.83965e-70	8.49105e-66	2.16217e-61	3.38972e-57	3.55551e-53	2.6101e-49	1.37526e-45	5.26762e-42	1.47181e-38	3.16963e-35	1.51873e-30	5.53365e-25	9.667e-20	7.46894e-15	2.30552e-10	2.32404e-06	0.00506029	0.894089	0.100416	0.000431941	2.83544e-07	5.02679e-11	3.23645e-15	8.92683e-20	1.15722e-24	7.43004e-30	2.76701e-35	1.99327e-39	8.44442e-43	
N9	5.61151e-82	7.73289e-76	3.46575e-70	6.73608e-65	6.71674e-60	3.77343e-55	1.26353e-50	2.62071e-46	7.76694e-42	6.75574e-36	4.55868e-30	1.42888e-24	2.07325e-19	1.32596e-14	3.3973e-10	2.88621e-06	0.00546005	0.896313	0.0977992	0.000424098	2.95647e-07	5.77769e-11	4.2092e-15	1.33578e-19	2.01049e-24	1.50951e-29	9.91182e-35	1.99098e-38	6.42037e-42	
N10	4.0182e-79	4.23916e-72	1.58534e-65	2.50091e-59	1.96388e-53	8.40648e-48	2.06803e-42	3.01227e-37	2.63326e-32	1.38173e-27	4.29774e-23	7.71768e-19	7.65975e-15	3.92664e-11	9.35718e-08	8.72543e-05	0.0232726	0.869239	0.106071	0.00132509	4.22774e-06	5.0154e-09	2.70405e-12	7.48446e-16	1.15118e-19	1.03753e-23	5.67685e-28	1.92842e-32	4.65554e-37	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	8.91321e-79	8.89441e-72	3.10849e-65	4.604e-59	3.4092e-53	1.38169e-47	3.23037e-42	4.48759e-37	3.75364e-32	1.89032e-27	5.6588e-23	9.8053e-19	9.41221e-15	4.67584e-11	1.08124e-07	9.78095e-05	0.0251738	0.882284	0.0913597	0.00108113	3.37292e-06	3.97213e-09	2.14556e-12	5.98833e-16	9.3346e-20	8.56274e-24	4.78664e-28	1.6671e-32	4.1008e-37	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
