NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	3.35346e-27	1.36654e-24	2.92853e-22	6.02264e-20	5.88321e-19	7.67637e-19	1.22478e-16	1.33911e-14	4.20326e-13	1.40417e-13	4.76358e-15	1.37332e-16	3.83265e-16	3.51252e-14	1.8452e-12	0.117461	0.466089	0.41645	2.47375e-11	1.51154e-12	3.9316e-14	5.32357e-16	4.26992e-18	2.21574e-20	7.92592e-23	2.04953e-25	3.97475e-28	5.95257e-31	7.04897e-34	6.73066e-37	5.26743e-40	3.42578e-43	1.8736e-46	8.70533e-50	3.46687e-53	1.19263e-56	3.56822e-60	9.34107e-64	2.15113e-67	4.3786e-71	7.94126e-75	
N2	4.15138e-29	1.02956e-26	2.06853e-24	2.34366e-22	5.41791e-21	1.58328e-19	3.96398e-17	1.55245e-14	3.93316e-12	7.7153e-11	3.18058e-10	6.89389e-10	6.35911e-09	1.89059e-06	0.00049248	0.0453498	0.347844	0.534866	0.0696402	0.00179056	1.47654e-05	5.10849e-08	9.93257e-11	1.85648e-11	7.2459e-13	4.76734e-13	1.08681e-14	3.57005e-15	5.2457e-17	8.80797e-18	8.46519e-20	6.757e-21	5.13434e-24	2.17732e-25	6.95313e-29	1.75296e-30	2.08502e-34	1.73348e-36	9.97618e-41	1.15148e-42	1.82703e-44	
N3	3.93656e-35	3.98062e-31	1.90086e-27	1.09074e-23	2.28132e-21	1.3608e-20	5.3232e-17	1.56616e-13	1.53693e-10	2.20568e-10	2.40774e-11	1.05303e-12	1.69128e-12	2.64412e-09	2.55324e-06	0.000881351	0.0700556	0.742686	0.181657	0.00469016	2.68584e-05	5.08944e-08	4.19489e-11	1.17097e-13	4.31777e-16	8.52699e-18	1.8212e-20	1.65999e-22	2.00142e-25	8.99681e-28	5.85938e-31	1.33899e-33	3.08507e-37	4.13747e-40	3.67146e-44	3.04153e-47	1.04539e-51	5.29741e-55	8.90312e-60	3.80844e-63	5.41953e-67	
N4	4.90424e-35	2.59944e-31	8.92477e-28	2.56449e-24	7.76404e-22	3.9272e-20	4.14677e-17	2.65534e-14	3.99508e-12	4.24512e-12	3.98566e-13	9.9757e-14	2.44014e-12	2.90698e-09	2.38804e-06	0.00076218	0.0640501	0.714764	0.213092	0.0072719	5.68032e-05	1.47258e-07	1.5883e-10	8.97272e-14	7.72645e-17	1.44143e-17	1.14679e-19	1.71664e-20	7.66191e-23	6.04534e-24	1.41645e-26	6.41574e-28	6.26321e-31	1.79661e-32	5.16187e-36	9.87276e-38	4.24171e-42	3.77556e-44	6.92107e-49	3.12555e-51	3.53538e-55	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	8.13187e-32	6.88267e-29	5.37791e-26	2.68555e-23	3.34333e-21	4.67337e-19	1.12046e-16	1.36011e-14	4.26279e-13	6.84419e-13	1.3631e-12	3.72621e-12	6.75904e-11	2.64128e-08	9.25257e-06	0.00146358	0.0751732	0.680746	0.231326	0.0111352	0.000146048	7.27813e-07	1.6777e-09	2.05472e-12	2.11337e-15	4.88789e-16	1.00272e-17	3.80129e-18	4.95261e-20	1.06267e-20	8.54198e-23	1.09209e-23	4.54591e-26	3.71213e-27	5.14783e-30	2.89576e-31	5.6782e-35	1.68225e-36	1.33712e-40	2.06523e-42	7.77287e-46	
N6	1.16803e-43	1.13918e-42	1.14528e-41	1.08455e-40	9.62227e-40	1.40533e-43	6.09562e-38	9.21611e-22	2.10054e-14	8.29921e-20	1.90087e-36	1.78991e-29	1.0328e-34	5.09161e-33	1.3964e-32	7.39402e-14	6.44318e-07	0.999998	1.52444e-06	3.63259e-13	3.14524e-33	6.15954e-34	9.31904e-35	1.24773e-35	2.45101e-36	6.26675e-36	6.50375e-36	2.59294e-35	2.72822e-35	9.302e-35	9.58738e-35	2.71215e-34	2.55533e-34	5.73852e-34	4.1599e-34	7.0567e-34	2.51308e-34	3.58254e-34	7.50792e-35	1.11399e-34	4.90187e-35	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
