NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.50749e-29	2.73184e-26	8.9234e-24	5.15722e-21	2.25442e-19	2.70574e-20	3.66e-18	3.10106e-11	1.40141e-07	1.12601e-07	4.60513e-10	3.07416e-13	3.44885e-17	1.60672e-10	1.63635e-06	0.00251292	0.232231	0.660866	0.103005	0.00137973	3.08393e-06	1.77083e-09	3.45076e-13	8.96509e-19	5.49544e-21	2.42978e-23	8.05895e-26	2.06841e-28	4.21288e-31	6.95225e-34	9.45868e-37	1.07672e-39	1.03857e-42	8.58196e-46	6.13356e-49	3.82355e-52	2.09451e-55	1.01494e-58	4.37643e-62	1.68826e-65	5.94465e-69	
N2	1.53467e-28	2.81746e-25	3.93984e-22	4.41971e-19	1.01277e-16	1.86561e-15	5.15916e-13	1.2266e-10	7.01273e-09	5.31936e-09	2.62784e-10	2.43776e-10	6.22534e-10	5.9124e-08	2.03282e-05	0.003233	0.146461	0.618476	0.218149	0.0134096	0.000249328	1.89912e-06	7.13928e-09	3.41024e-11	1.19195e-12	9.97482e-13	3.63965e-14	1.59352e-14	3.80109e-16	8.9532e-17	1.4229e-18	1.80809e-19	1.4075e-21	1.0373e-22	1.36221e-25	5.06607e-27	2.67228e-30	3.23846e-32	1.06297e-35	6.62186e-38	2.44379e-40	
N3	1.69001e-33	2.06054e-29	6.03855e-26	3.66695e-22	1.17581e-19	3.21067e-20	3.07479e-17	5.63429e-14	4.85371e-11	1.43585e-10	2.43498e-11	1.46529e-12	1.99607e-13	1.7893e-10	2.84946e-07	0.000173187	0.0277857	0.586682	0.363376	0.0217072	0.000274398	1.12517e-06	1.93648e-09	2.25355e-12	5.30641e-15	1.45299e-16	5.42875e-19	8.14253e-21	1.7824e-23	1.3712e-25	1.83655e-28	7.55116e-31	5.74181e-34	1.27619e-36	4.00173e-40	5.00731e-43	6.57505e-47	4.18931e-50	3.12515e-54	1.26889e-57	2.00255e-61	
N4	1.5174e-35	9.9595e-32	2.92645e-28	1.18308e-24	5.41428e-22	4.55625e-21	5.39035e-18	6.02413e-15	1.48247e-12	3.12704e-12	4.97937e-13	1.46526e-13	5.04789e-13	4.02647e-10	4.79091e-07	0.000228821	0.0298162	0.563919	0.378834	0.0267794	0.000420378	2.18753e-06	4.80412e-09	5.26743e-12	3.59539e-15	1.39718e-16	1.87657e-18	4.15493e-19	3.40082e-21	3.99335e-22	1.94474e-24	1.28946e-25	3.25012e-28	1.3058e-29	1.16896e-32	3.02532e-34	5.24274e-38	6.11053e-40	5.30701e-44	2.43938e-46	5.14329e-50	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.31926e-33	5.50109e-30	7.39994e-27	7.01257e-24	9.46169e-22	5.03359e-20	1.71299e-17	3.70404e-15	2.01014e-13	6.61307e-13	2.15311e-12	6.3648e-12	3.51839e-11	7.58248e-09	3.31017e-06	0.000666163	0.0437037	0.551503	0.371069	0.0323031	0.000744871	6.55321e-06	2.72249e-08	6.14144e-11	8.67474e-14	3.88778e-15	1.21495e-16	6.02236e-17	1.27213e-18	3.61843e-19	5.08942e-21	8.61954e-22	7.19177e-24	7.60767e-25	2.6634e-27	1.86923e-28	1.3282e-31	4.74736e-33	1.61336e-36	2.33731e-38	1.79101e-41	
N6	5.38474e-43	4.82426e-42	4.47602e-41	3.89515e-40	3.16365e-39	2.38636e-38	1.66224e-37	1.25558e-21	4.85494e-14	2.18716e-19	1.51834e-34	6.25743e-34	2.23173e-33	6.73978e-33	1.67463e-32	5.98173e-14	5.85437e-07	0.999997	2.22751e-06	8.10134e-13	4.0816e-33	9.17362e-34	1.63841e-34	2.60478e-35	5.20223e-36	9.23599e-36	9.61037e-36	3.33995e-35	3.58883e-35	1.06936e-34	1.12746e-34	2.7963e-34	2.73669e-34	5.42042e-34	4.36703e-34	6.52386e-34	3.51793e-34	4.00296e-34	1.54034e-34	1.50857e-34	8.40515e-35	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
