NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.06201e-53	3.92758e-50	1.28125e-46	3.42054e-43	7.3383e-40	1.23526e-36	1.59097e-33	1.54068e-30	1.11939e-27	7.7196e-25	5.26885e-22	2.40194e-19	6.65847e-17	1.00569e-14	7.0827e-13	0.0612158	0.401131	0.537654	5.18788e-11	5.14969e-12	2.14753e-13	4.61285e-15	5.82913e-17	4.74717e-19	2.66034e-21	1.07744e-23	3.27499e-26	7.69788e-29	1.48767e-31	
N2	9.60854e-55	1.47517e-50	2.28989e-46	2.82349e-42	2.79793e-38	2.31792e-34	1.69281e-30	1.10124e-26	5.97127e-23	2.46836e-19	7.15549e-16	1.34264e-12	1.51417e-09	9.24483e-07	0.000259201	0.0244235	0.273531	0.587743	0.109806	0.004183	5.29765e-05	2.92136e-07	8.2871e-10	1.35781e-12	1.52861e-15	6.83837e-18	1.45431e-19	3.56642e-21	6.2257e-22	
N3	2.35496e-61	1.51036e-56	7.93404e-52	2.93456e-47	7.34868e-43	1.1868e-38	1.16995e-34	6.70271e-31	1.87516e-27	1.48062e-24	1.61053e-20	1.28382e-16	5.91338e-13	1.4155e-09	1.51199e-06	0.000571024	0.0524717	0.658587	0.275663	0.0125754	0.000129763	4.52611e-07	6.79508e-10	5.14267e-13	2.19053e-16	5.69386e-20	9.69003e-24	1.41993e-27	1.79716e-30	
N4	2.96884e-65	3.2769e-60	3.279e-55	2.49642e-50	1.39844e-45	5.56927e-41	1.52373e-36	2.755e-32	3.10875e-28	3.33512e-24	3.52954e-20	2.34302e-16	9.00587e-13	1.81587e-09	1.66948e-06	0.000566782	0.0503833	0.628483	0.302857	0.0174683	0.000238447	1.11862e-06	2.26575e-09	2.30592e-12	1.31253e-15	4.56177e-19	2.75982e-22	6.856e-25	3.20167e-26	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	5.44653e-58	1.02392e-53	2.27429e-49	4.54596e-45	7.81209e-41	1.10612e-36	1.2434e-32	1.07372e-28	6.90086e-25	3.19182e-21	1.0213e-17	2.1533e-14	2.81049e-11	2.08844e-08	7.85451e-06	0.00125387	0.0637185	0.601497	0.309625	0.0233976	0.000495949	4.13298e-06	1.65589e-08	3.64011e-11	4.81761e-14	4.12326e-17	3.80617e-20	1.71643e-22	1.7199e-23	
N6	4.59041e-43	4.19716e-42	3.9619e-41	3.50458e-40	2.89126e-39	1.11289e-60	1.56383e-37	5.76525e-39	1.89472e-31	8.17099e-37	1.91834e-36	1.97798e-29	1.29898e-34	6.79184e-33	1.69255e-32	8.5795e-14	7.02407e-07	0.999997	2.0943e-06	7.30768e-13	4.23769e-33	9.93103e-34	1.86095e-34	2.8874e-35	3.80822e-36	4.357e-37	4.39425e-38	3.9631e-39	3.48339e-40	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N7	1.43046e-64	1.17514e-59	8.06056e-55	4.06136e-50	1.50276e-45	4.14852e-41	8.68062e-37	1.31704e-32	1.1615e-28	8.1715e-27	4.80537e-23	6.76575e-19	5.8387e-15	2.80901e-11	6.63919e-08	6.37149e-05	0.0179143	0.749945	0.22656	0.00548672	2.94726e-05	5.47957e-08	4.51426e-11	1.92478e-14	4.7204e-18	7.18387e-22	7.259e-26	6.36069e-30	7.42196e-33	
N8	4.19681e-58	6.0896e-54	7.91847e-50	7.51934e-46	5.10734e-42	2.49606e-38	9.62123e-35	3.77795e-31	1.9852e-27	1.347e-23	8.37581e-20	3.50732e-16	9.27689e-13	1.42903e-09	1.14171e-06	0.00039572	0.0436458	0.786087	0.164985	0.00484372	4.1321e-05	1.44435e-07	2.51844e-10	2.48609e-13	1.51712e-16	6.10528e-20	1.71355e-23	3.96186e-27	6.189e-30	
N9	7.45756e-48	1.46346e-46	2.81904e-45	5.07237e-44	8.48683e-43	9.31082e-64	1.86967e-40	1.95024e-41	1.07796e-33	1.09743e-38	5.08629e-38	8.641e-31	1.30428e-35	9.20554e-34	4.25676e-33	5.41017e-14	6.11604e-07	0.999997	1.97583e-06	5.19388e-13	1.23004e-33	1.58122e-34	1.58092e-35	1.28603e-36	8.78693e-38	5.16325e-39	2.6648e-40	1.29556e-41	2.45411e-42	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N10	2.30917e-75	6.00454e-69	9.43748e-63	8.79772e-57	4.88686e-51	1.58536e-45	2.84456e-40	2.55426e-35	8.97556e-31	1.80388e-32	1.58435e-31	8.34395e-27	8.41318e-22	1.00404e-16	5.74768e-12	1.35524e-07	0.000974717	0.995694	0.0033293	1.42725e-06	1.74415e-10	8.39113e-15	1.87486e-19	2.14077e-24	1.31098e-29	4.37147e-35	7.83488e-41	7.62453e-47	2.01605e-52	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	1.32873e-76	1.6254e-70	1.38315e-64	7.63646e-59	2.72763e-53	6.3225e-48	9.75901e-43	1.04976e-37	6.87344e-33	5.95472e-31	9.90292e-28	7.42694e-23	3.84946e-18	1.0806e-13	1.37935e-09	6.38829e-06	0.00716892	0.797266	0.193319	0.00223545	4.24101e-06	2.30612e-09	4.88034e-13	4.85696e-17	2.57873e-21	7.99622e-26	2.39994e-30	3.5622e-34	1.0512e-36	
N12	9.09154e-62	2.33425e-58	5.0993e-55	8.52641e-52	9.79232e-49	2.76638e-46	1.20903e-44	1.48255e-41	4.23484e-37	7.41724e-33	9.8574e-28	8.45833e-23	4.22627e-18	1.12137e-13	1.37667e-09	6.26528e-06	0.00708812	0.80638	0.184562	0.00195929	3.46232e-06	1.795e-09	3.70227e-13	3.66138e-17	1.96726e-21	7.4497e-26	3.94478e-28	2.85631e-31	3.99551e-33	
N13	4.20207e-64	1.3902e-59	4.12965e-55	9.29824e-51	1.62308e-46	2.33418e-42	3.00822e-38	3.79792e-34	5.14976e-30	7.45149e-26	9.20836e-22	7.61517e-18	3.95555e-14	1.18888e-10	1.8383e-07	0.000121884	0.0251891	0.80423	0.167083	0.00335859	1.76308e-05	3.60643e-08	3.57132e-11	1.96161e-14	6.56005e-18	1.44249e-21	7.04048e-25	1.48612e-27	3.19251e-29	
N14	9.05608e-47	1.47183e-45	2.37595e-44	3.59254e-43	5.06525e-42	6.08485e-63	7.99388e-40	9.18723e-41	3.80537e-33	3.77874e-38	1.50652e-37	1.94281e-30	2.90275e-35	1.38387e-33	5.64775e-33	8.29885e-14	7.46842e-07	0.999997	2.28202e-06	7.2169e-13	1.42493e-33	2.00792e-34	2.22453e-35	2.0223e-36	1.55496e-37	1.03429e-38	6.06554e-40	3.27961e-41	3.9762e-42	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N15	8.95833e-65	7.62276e-60	5.28646e-55	2.61585e-50	8.84313e-46	1.92638e-41	2.48876e-37	1.67583e-33	4.17057e-30	5.25679e-29	1.20079e-24	2.67602e-20	3.7512e-16	3.03817e-12	1.26168e-08	2.23186e-05	0.0120921	0.942746	0.0448762	0.00026321	4.32738e-07	2.86879e-10	9.3966e-14	1.72985e-17	1.9555e-21	1.44785e-25	7.45797e-30	3.42684e-34	1.67159e-37	
N16	5.59247e-54	2.72346e-52	1.25901e-50	5.40381e-49	2.14494e-47	3.48934e-68	2.62112e-44	4.01894e-45	6.53756e-37	1.22435e-41	1.31306e-40	6.49114e-33	1.78022e-37	4.5594e-35	4.75903e-34	8.42718e-15	2.56656e-07	0.999999	8.65813e-07	8.52993e-14	1.45168e-34	8.25596e-36	3.61353e-37	1.27865e-38	3.78413e-40	9.68982e-42	5.59872e-43	1.48187e-43	5.86198e-43	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N17	5.52207e-54	2.69159e-52	1.24537e-50	5.34994e-49	2.12541e-47	6.93716e-68	2.60173e-44	8.00376e-45	9.19441e-37	2.44241e-41	2.62154e-40	9.15171e-33	3.55993e-37	4.55171e-35	4.75453e-34	1.68894e-14	3.63181e-07	0.999998	1.22589e-06	1.71115e-13	1.45206e-34	8.25369e-36	3.61038e-37	1.27671e-38	3.77586e-40	9.66206e-42	5.5907e-43	1.48069e-43	5.86143e-43	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N18	2.46099e-66	2.30876e-61	1.78357e-56	9.85728e-52	3.80174e-47	1.0103e-42	1.90423e-38	2.7472e-34	2.65838e-30	4.41842e-28	7.97798e-24	1.44796e-19	1.62493e-15	1.0326e-11	3.28168e-08	4.29976e-05	0.0165044	0.864817	0.117187	0.00144472	4.33035e-06	4.80721e-09	2.48882e-12	6.94185e-16	1.15066e-19	1.21766e-23	9.61671e-28	1.65652e-31	5.66267e-34	
N19	1.89587e-48	3.97424e-47	8.16701e-46	1.57016e-44	2.81196e-43	5.30751e-62	7.14051e-41	1.28732e-39	5.97966e-33	8.4799e-37	4.27319e-36	6.16338e-30	1.31065e-33	6.34809e-34	3.24615e-33	7.34454e-12	7.15781e-06	0.999971	2.20027e-05	6.42544e-11	8.23294e-34	9.25268e-35	8.14541e-36	5.87161e-37	3.57512e-38	1.88162e-39	8.79347e-41	4.34246e-42	1.90597e-42	
BGA89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N20	1.73616e-68	1.71675e-63	1.37686e-58	7.70856e-54	2.90175e-49	7.02618e-45	1.05194e-40	9.98175e-37	7.69032e-33	1.06937e-28	3.37615e-24	7.09618e-20	9.18742e-16	6.7222e-12	2.45301e-08	3.66873e-05	0.0158508	0.892592	0.0906764	0.00084238	1.94131e-06	1.6834e-09	6.8922e-13	1.53557e-16	2.05094e-20	1.78779e-24	6.5766e-28	6.21512e-31	8.55558e-33	
N21	3.92112e-50	1.05533e-48	2.75735e-47	6.73581e-46	1.53171e-44	3.20998e-65	6.25594e-42	1.24995e-42	7.96466e-35	1.31588e-39	8.36435e-39	1.64716e-31	4.05738e-36	2.8123e-34	1.79332e-33	4.39814e-14	5.68326e-07	0.999998	1.81403e-06	4.05763e-13	4.8292e-34	4.36502e-35	3.0714e-36	1.76248e-37	8.51839e-39	3.55295e-40	1.3642e-41	8.77835e-43	1.26247e-42	
BGAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
