NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.59034e-58	1.22955e-54	8.69099e-51	5.19035e-47	2.57183e-43	1.03969e-39	3.36545e-36	8.52972e-33	1.64673e-29	2.33957e-26	2.341e-23	1.55808e-20	6.3918e-18	7.43729e-11	8.86887e-07	0.00155487	0.188551	0.691771	0.116593	0.00152624	3.18974e-06	1.67382e-09	2.93983e-13	7.73467e-19	4.46203e-21	1.85003e-23	5.73302e-26	1.36944e-28	2.67013e-31	
N2	1.2637e-59	4.55076e-55	1.66095e-50	4.92527e-46	1.16944e-41	2.18978e-37	3.17661e-33	3.4954e-29	2.84438e-25	1.65961e-21	6.68157e-18	1.76767e-14	2.88275e-11	2.65623e-08	1.21977e-05	0.00229205	0.122461	0.635015	0.22683	0.013163	0.000225148	1.55803e-06	5.2784e-09	9.93213e-12	1.13473e-14	8.40825e-18	4.25085e-21	1.52845e-24	4.51991e-28	
N3	7.36165e-65	1.24262e-63	7.16388e-61	1.23716e-55	1.70536e-50	1.80943e-45	1.45203e-40	8.62726e-36	3.69753e-31	1.10677e-26	2.22138e-22	2.83669e-18	2.15e-14	8.79106e-11	1.6898e-07	0.000123475	0.0238919	0.601684	0.354964	0.019121	0.00021406	7.71766e-07	1.16081e-09	8.61131e-13	3.5376e-16	8.75473e-20	1.39076e-23	1.49005e-27	1.19466e-31	
N4	2.87311e-70	6.25095e-65	1.22362e-59	1.87846e-54	2.23317e-49	2.02581e-44	1.3775e-39	6.8707e-35	2.44808e-30	6.03021e-26	9.85434e-22	1.01336e-17	6.117e-14	1.97164e-10	2.96536e-07	0.000169656	0.0263148	0.579341	0.370287	0.0235588	0.000326898	1.49289e-06	2.86785e-09	2.72108e-12	1.4266e-15	4.48663e-19	9.00889e-23	1.21307e-26	1.23322e-30	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	5.10762e-61	2.03199e-56	8.03424e-52	2.58834e-47	6.70188e-43	1.37362e-38	2.18939e-34	2.65746e-30	2.3957e-26	1.55613e-22	7.01535e-19	2.09378e-15	3.89127e-12	4.14781e-09	2.25883e-06	0.000528458	0.0399456	0.567132	0.363189	0.0286092	0.000588786	4.6e-06	1.69346e-08	3.37719e-11	4.0194e-14	3.06471e-17	1.58013e-20	5.7515e-24	1.69936e-27	
N6	3.25279e-43	3.027e-42	2.90636e-41	2.6158e-40	2.19668e-39	1.7128e-38	1.23304e-37	8.14192e-37	4.89343e-36	2.65246e-35	1.28235e-34	5.45447e-34	2.00636e-33	6.24219e-33	1.59483e-32	4.69968e-14	5.22257e-07	0.999997	2.05841e-06	6.7908e-13	3.68579e-33	7.87099e-34	1.32992e-34	1.84732e-35	2.17011e-36	2.20305e-37	1.96569e-38	1.5635e-39	1.18502e-40	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
