NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
N1	1.67159e-88	4.47957e-64	6.59348e-58	2.02701e-52	2.28214e-47	1.17182e-42	3.06213e-38	4.31463e-34	3.36682e-30	1.46037e-26	3.46152e-23	4.31027e-20	2.63596e-17	1.86425e-09	1.93045e-05	0.0169804	0.519033	0.449999	0.0139303	3.76532e-05	1.75193e-08	2.10599e-12	1.51802e-18	6.06945e-21	1.62911e-23	3.0745e-26	4.22695e-29	4.35341e-32	3.64455e-35	
N2	6.31586e-89	5.37087e-64	3.38719e-57	4.37798e-51	2.03442e-45	4.23539e-40	4.41288e-35	2.4428e-30	7.40254e-26	1.23881e-21	1.13433e-17	5.52817e-14	1.36421e-10	1.57174e-07	7.40419e-05	0.0112816	0.33595	0.569389	0.0808467	0.00243383	2.50397e-05	1.14322e-07	2.7224e-10	3.76908e-13	3.2775e-16	1.89582e-19	7.62344e-23	2.2165e-26	6.05546e-30	
N3	1.85401e-81	2.30883e-70	8.2552e-68	5.36478e-61	1.52085e-54	1.87906e-48	1.13091e-42	3.51993e-37	5.83486e-32	5.19066e-27	2.4504e-22	5.9534e-18	7.05216e-14	3.73552e-10	7.71532e-07	0.000495468	0.0656184	0.757816	0.171701	0.00434168	2.61994e-05	5.60077e-08	5.35008e-11	2.65303e-14	7.57413e-18	1.34171e-21	1.55991e-25	1.24322e-29	7.95073e-34	
N4	1.76055e-81	8.03561e-70	5.65599e-67	2.70906e-60	7.31258e-54	8.44681e-48	4.6728e-42	1.31583e-36	1.94423e-31	1.52005e-26	6.22198e-22	1.29392e-17	1.29622e-13	5.74798e-10	9.88659e-07	0.000533057	0.0620892	0.729189	0.201451	0.00668235	5.40407e-05	1.54642e-07	1.95883e-10	1.27223e-13	4.69433e-17	1.06037e-20	1.55099e-24	1.5361e-28	1.24849e-32	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N5	8.37072e-89	2.6145e-66	2.08768e-59	3.3543e-53	1.90832e-47	4.80468e-42	5.99819e-37	3.9537e-32	1.4224e-27	2.828e-23	3.09233e-19	1.81947e-15	5.52589e-12	8.09603e-09	5.14319e-06	0.00119251	0.0747755	0.692315	0.220926	0.0106357	0.00014959	8.5536e-07	2.41439e-09	3.81579e-12	3.68462e-15	2.31608e-18	9.93895e-22	3.02632e-25	8.35701e-29	
N6	4.82013e-43	3.93962e-42	3.42201e-41	2.81929e-40	2.19373e-39	1.60435e-38	1.09658e-37	6.95884e-37	4.06827e-36	2.17072e-35	1.04516e-34	4.47742e-34	1.67648e-33	5.36063e-33	1.41896e-32	6.38693e-14	6.5174e-07	0.999998	1.52809e-06	3.86802e-13	4.88996e-33	1.32168e-33	3.00902e-34	5.96277e-35	1.05341e-35	1.68928e-36	2.49358e-37	3.43089e-38	4.96833e-39	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N7	2.80898e-90	2.00836e-79	1.0911e-71	1.36226e-64	5.91472e-58	1.11749e-51	1.03021e-45	4.93722e-40	1.27172e-34	1.78228e-29	1.35167e-24	5.42048e-20	1.1002e-15	1.05219e-11	4.23039e-08	5.9261e-05	0.0206241	0.856737	0.12097	0.00160487	5.14244e-06	6.04127e-09	3.2786e-12	9.49863e-16	1.61995e-19	1.74367e-23	1.24721e-27	6.16688e-32	2.43251e-36	
N8	1.74533e-79	1.50945e-70	1.85994e-63	4.75904e-57	4.43676e-51	1.87968e-45	4.04767e-40	4.71107e-35	3.06064e-30	1.12319e-25	2.31712e-21	2.63087e-17	1.57949e-13	4.69818e-10	6.24496e-07	0.000313083	0.0435211	0.841369	0.112563	0.00222002	1.33338e-05	3.39554e-08	4.42432e-11	3.32673e-14	1.56861e-17	4.92737e-21	1.07947e-24	1.70975e-28	2.33076e-32	
N9	5.72202e-48	1.02558e-46	1.8382e-45	3.11697e-44	4.97854e-43	7.4528e-42	1.03952e-40	1.3416e-39	1.58887e-38	1.70942e-37	1.65005e-36	1.40668e-35	1.03769e-34	6.4438e-34	3.23966e-33	3.75922e-14	5.47891e-07	0.999998	1.35398e-06	2.49609e-13	1.26642e-33	1.86007e-34	2.24788e-35	2.32905e-36	2.12886e-37	1.75266e-38	1.32021e-39	9.21187e-41	6.38121e-42	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N10	1.59218e-48	3.16299e-47	6.24945e-46	1.16752e-44	2.05331e-43	7.49544e-71	1.84686e-62	8.70876e-55	1.31232e-47	7.7167e-41	1.96597e-34	2.26976e-28	1.19777e-22	2.81264e-17	2.72794e-12	9.47648e-08	0.000877126	0.996877	0.00224538	6.67437e-07	5.85045e-11	2.07575e-15	3.49643e-20	3.06184e-25	1.45702e-30	3.81144e-36	5.36996e-42	3.78545e-48	1.20644e-54	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
BGA392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N11	3.1226e-80	2.72039e-66	1.68336e-61	4.45313e-57	6.67189e-53	6.31703e-49	3.99025e-45	1.72911e-41	5.20308e-38	1.26319e-34	1.28867e-29	4.09433e-24	5.82842e-19	3.48772e-14	7.91985e-10	5.57191e-06	0.00802303	0.898681	0.0927872	0.000503194	4.94333e-07	1.4953e-10	1.84856e-14	1.09998e-18	3.47725e-23	6.21741e-28	6.68215e-33	2.24334e-37	1.86658e-40	
N12	4.50288e-101	1.40616e-76	2.47837e-70	9.44508e-65	1.3714e-59	9.50247e-55	3.5316e-50	7.57542e-46	2.67554e-41	2.57099e-35	1.65577e-29	4.82696e-24	6.31327e-19	3.52823e-14	7.64549e-10	5.2747e-06	0.00771197	0.903761	0.0880768	0.000444526	4.17036e-07	1.2375e-10	1.53774e-14	9.40314e-19	3.11321e-23	5.92721e-28	7.35462e-33	8.20205e-37	7.70764e-40	
N13	7.85828e-95	2.5831e-75	6.6464e-68	3.52634e-61	6.77488e-55	5.88054e-49	2.5801e-43	6.08649e-38	7.9741e-33	5.87231e-28	2.4192e-23	5.45777e-19	6.47605e-15	3.78427e-11	9.80928e-08	9.49325e-05	0.0250422	0.878181	0.0954603	0.00121696	4.34614e-06	6.3075e-09	4.5639e-12	1.87194e-15	4.75055e-19	7.94541e-23	9.18341e-27	7.6116e-31	5.28836e-35	
N14	7.37322e-47	1.08596e-45	1.62181e-44	2.29809e-43	3.07652e-42	3.87206e-41	4.55543e-40	4.97623e-39	5.00697e-38	4.59563e-37	3.80209e-36	2.79297e-35	1.78645e-34	9.6911e-34	4.29593e-33	5.7631e-14	6.69157e-07	0.999998	1.55662e-06	3.44926e-13	1.46311e-33	2.36791e-34	3.19199e-35	3.72368e-36	3.86079e-37	3.62772e-38	3.1351e-39	2.52148e-40	2.04033e-41	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N15	1.76054e-80	4.11065e-79	2.1872e-74	3.18273e-67	1.72942e-60	4.21171e-54	5.1483e-48	3.36317e-42	1.21394e-36	2.45259e-31	2.76254e-26	1.6994e-21	5.48605e-17	8.70258e-13	6.10501e-09	1.58903e-05	0.0110834	0.959859	0.0289266	0.000114811	1.34184e-07	6.54553e-11	1.61786e-14	2.29026e-18	2.01892e-22	1.17715e-26	4.74943e-31	1.3731e-35	3.20009e-40	
N16	3.60795e-54	1.62117e-52	7.0158e-51	2.85488e-49	1.08824e-47	3.86838e-46	1.27546e-44	3.87539e-43	1.07652e-41	2.70724e-40	6.08792e-39	1.20491e-37	2.0553e-36	2.93573e-35	3.36786e-34	5.52145e-15	2.21299e-07	0.999999	5.64873e-07	3.85499e-14	1.40231e-34	9.12414e-36	4.84066e-37	2.18928e-38	8.69909e-40	3.10295e-41	1.00959e-42	3.03305e-44	8.71795e-46	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
