NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	5.30616e-18	1.76236e-16	5.70487e-15	6.34132e-14	9.08481e-13	2.10113e-12	1.64401e-11	1	5.05393e-11	5.86688e-11	4.86619e-10	2.13821e-09	1.10626e-09	2.04172e-10	3.15436e-11	8.83446e-12	2.43519e-12	4.1117e-13	3.76298e-14	2.09972e-15	8.01969e-17	2.29013e-18	5.20141e-20	9.74506e-22	1.53067e-23	2.02595e-25	2.26457e-27	2.14507e-29	1.73126e-31	1.1988e-33	7.17606e-36	3.74204e-38	1.7125e-40	6.92604e-43	2.49159e-45	8.02031e-48	2.32272e-50	6.08234e-53	1.44693e-55	3.146e-58	6.85169e-61	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	3.50284e-23	7.4742e-19	1.01025e-14	1.78933e-12	1.28213e-08	1.81017e-08	2.18152e-05	0.004503	2.90656e-05	3.53861e-05	0.00975327	0.978002	0.00763932	1.55404e-05	1.44069e-07	4.24419e-08	2.14082e-08	7.49387e-09	1.00332e-11	1.05151e-14	7.5257e-18	1.15153e-21	3.24735e-25	7.81546e-29	1.43431e-32	3.87002e-36	1.74141e-39	3.91881e-44	2.22468e-48	1.6893e-51	7.47397e-54	3.1926e-55	3.58556e-54	3.21133e-54	1.52253e-53	3.23063e-52	2.92046e-51	3.9181e-51	1.13349e-50	2.24572e-50	4.33135e-50	
N3	3.64969e-23	2.15328e-19	8.82244e-16	3.32302e-13	4.55654e-10	5.7745e-09	3.0118e-06	0.000499242	6.36934e-06	9.45752e-06	0.00469955	0.433488	0.00620692	1.22467e-05	6.65299e-07	0.000101714	0.00587514	0.54072	0.0080901	0.000286327	9.39451e-07	9.96991e-10	8.42396e-12	3.63585e-13	1.56091e-15	1.05868e-17	4.53035e-19	5.79396e-23	7.53987e-26	1.6124e-28	1.68707e-32	1.66817e-35	2.31618e-39	8.42813e-43	9.39318e-46	7.24329e-48	2.00251e-51	1.36248e-54	2.68773e-57	9.71476e-60	6.07833e-63	
N4	1.2784e-30	7.17609e-26	2.58392e-21	7.88957e-19	1.90459e-14	2.39736e-14	7.97182e-11	8.41163e-08	4.1572e-10	2.69371e-09	1.59634e-05	0.00823132	3.97079e-05	1.22841e-08	9.88816e-10	2.50846e-06	0.00327481	0.979669	0.00874774	1.91982e-05	9.56061e-09	1.48198e-12	9.14393e-16	2.42101e-18	1.81675e-21	9.86297e-25	9.81257e-28	2.49951e-32	1.71755e-36	9.13878e-41	1.01271e-45	1.09384e-47	1.58348e-48	6.18494e-51	1.05102e-52	9.97163e-53	3.2034e-53	3.66724e-55	1.06279e-56	2.21548e-58	2.43978e-60	
N5	2.85547e-32	1.04799e-27	2.37856e-23	1.79496e-20	1.51982e-16	2.32588e-15	5.62156e-12	4.01314e-09	5.67555e-11	1.99425e-09	7.40101e-06	0.00264581	1.86102e-05	9.63579e-09	8.67542e-10	3.20318e-06	0.00523649	0.97879	0.0132774	2.09413e-05	8.31471e-09	1.46732e-12	4.21574e-15	3.35523e-16	6.28347e-18	1.56396e-20	2.48877e-22	9.98866e-27	3.81698e-30	1.79612e-34	1.9796e-39	1.13094e-41	5.21007e-43	5.14401e-45	4.68149e-46	4.74203e-45	1.21463e-44	4.54053e-46	5.10609e-47	1.24024e-47	4.29292e-49	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	7.94044e-31	6.91269e-27	4.47396e-23	3.76042e-20	1.05251e-16	3.99163e-15	2.94244e-12	7.53766e-10	1.92153e-10	8.6094e-09	9.64804e-06	0.00144133	1.86769e-05	2.75539e-08	1.27644e-08	1.73591e-05	0.0110861	0.965864	0.0215007	6.23258e-05	5.22683e-08	2.44734e-11	2.77917e-13	7.10038e-14	4.47841e-15	3.96798e-17	2.02084e-18	3.45562e-22	5.00676e-25	8.03091e-29	3.35227e-33	1.57362e-36	1.05327e-40	3.98108e-44	9.82485e-47	3.11772e-48	1.53414e-50	1.20968e-53	3.18654e-56	1.51361e-58	1.03388e-61	
N7	2.77566e-44	4.5447e-43	7.31362e-42	1.08631e-40	1.46794e-39	1.6359e-41	1.8544e-37	1.14888e-20	2.88168e-31	1.49646e-37	1.64163e-17	3.35585e-10	2.93647e-17	2.2221e-34	1.35525e-33	1.04191e-15	8.80899e-08	1	1.40279e-07	2.63382e-15	4.71398e-34	9.0308e-35	1.34182e-34	7.13454e-34	1.7328e-33	3.29158e-33	8.07497e-33	2.32998e-33	1.12267e-33	3.49146e-34	4.55644e-35	1.46201e-35	4.52734e-36	3.21135e-36	6.66325e-36	3.79481e-35	5.77284e-35	8.34893e-35	2.56602e-34	4.40535e-34	7.09418e-34	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
