#Nodes with GAIN events with expectation above 0.5
Leiolep: 0.801653
Furcep: 1.93135
N57: 1.87452
N63: 1.06039
N64: 1.96293
N75: 1.02874
C3125: 1.41158
N93: 1.40748
C2208: 0.985551
Riebrev: 2.57786
Total number of gain events: 23.1358
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Leiolep: 2.54821
N2: 2.00711
Rhaspe: 1.72861
Rhamar: 1.66018
Rhatem: 0.786096
N34: 1.1048
N38: 1.01194
N43: 0.966092
N46: 0.7699
FGA465: 0.961811
N59: 0.72472
N61: 0.710109
FGA489: 1.00456
N70: 0.618691
N74: 0.97667
Calboe: 2.45577
N79: 1.61123
N80: 1.34721
N81: 1.45783
N86: 0.972664
N89: 1.55378
C404: 1.01534
N97: 1.00837
N107: 0.965344
N129: 1.14227
Total number of loss events: 39.5438
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 5.86911e-20
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Leiolep: 0.917355
N3: 0.552802
N34: 0.996516
N65: 0.671416
N113: 0.958778
N117: 0.968599
N119: 0.621722
Riebrev: 1.94027
N129: 0.948528
Total number of demi-dulications events: 11.3232
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	0.801653	2.54821	0	0.917355	0
N2	0.0816946	2.00711	5.86911e-20	4.36729e-08	0
N3	0.0190324	0.0432948	4.20446e-30	0.552802	0
N4	0.0515388	0.0931798	1.98152e-33	0.438715	0
N5	0.0101148	0.00912715	5.57837e-37	0.00569153	0
B3088	0.220699	0.232963	0	0.00270939	0
N6	0.0157772	0.0143075	9.46755e-36	0.00121864	0
N7	0.180702	0.194424	2.69426e-45	0.00149064	0
BGA709	8.79123e-08	1.42282e-07	0	3.40504e-10	0
BGA710	8.79123e-08	1.42282e-07	0	3.40504e-10	0
BGA309	0.181385	0.195107	0	0.00149064	0
N8	0.0251938	0.0340391	7.95773e-39	0.00816655	0
N9	0.0465595	0.0454351	1.94196e-39	0.000218288	0
N10	0.0468487	0.0503879	2.94518e-54	1.62393e-05	0
B11696	5.73306e-08	9.2758e-08	0	9.12411e-12	0
B11697	5.73306e-08	9.2758e-08	0	9.12411e-12	0
N11	0.0384189	0.0419007	4.0798e-44	1.62219e-05	0
B11609	0.00072105	0.000778486	0	1.71938e-08	0
BGA392	0.00072105	0.000778486	0	1.71938e-08	0
N12	0.00393817	0.005526	2.12709e-44	0.00022801	0
N13	0.000783645	0.000869324	2.55794e-47	4.92229e-06	0
N14	0.0104174	0.00926463	5.63509e-41	1.29969e-06	0
N15	0.0683808	0.070275	1.23346e-59	2.96698e-07	0
B985	7.46186e-08	1.15559e-07	0	2.42804e-13	0
B983	7.46186e-08	1.15559e-07	0	2.42804e-13	0
N16	0.033675	0.0348626	2.39299e-46	2.83763e-07	0
N17	0.00804282	0.00874949	4.66148e-60	5.23032e-09	0
B199	2.00007e-08	3.24994e-08	0	5.58654e-15	0
BGAA3	2.00007e-08	3.24994e-08	0	5.58654e-15	0
N18	0.00804115	0.00874782	4.68433e-60	5.23032e-09	0
B11604	2.82965e-08	4.59852e-08	0	7.91648e-15	0
BGA583	2.82965e-08	4.59852e-08	0	7.91648e-15	0
N19	0.0206072	0.0201573	9.2162e-42	1.53488e-06	0
N20	0.0426821	0.0438731	3.74403e-60	5.60039e-08	0
BGA89	6.62125e-07	1.02523e-06	0	6.39979e-13	0
BGA40	6.62125e-07	1.02523e-06	0	6.39979e-13	0
N21	0.00451248	0.00463597	2.42595e-46	4.49334e-08	0
N22	0.0277344	0.0288023	1.6483e-61	8.61292e-09	0
BGAA2	4.91951e-08	7.70892e-08	0	1.31914e-14	0
BGAA1	4.91951e-08	7.70892e-08	0	1.31914e-14	0
N23	0.0239171	0.0249768	3.23661e-54	8.61057e-09	0
BGA584	0.000218625	0.000226693	0	3.61367e-12	0
BGA706	0.000218625	0.000226693	0	3.61367e-12	0
N24	0.0343828	0.0327119	3.37273e-45	6.03064e-06	0
N25	0.0367897	0.039284	1.83581e-50	4.83519e-07	0
BGA304	0.000208963	0.000212741	0	3.92556e-11	0
BGA303	0.000208963	0.000212741	0	3.92556e-11	0
N26	0.0389487	0.0414467	4.65452e-57	4.83557e-07	0
BGAB1	3.83005e-08	6.13378e-08	0	2.31424e-13	0
BGA7	3.83005e-08	6.13378e-08	0	2.31424e-13	0
N27	0.411682	0.47508	5.59158e-39	0.448174	0
PGA445	2.34439e-06	3.97745e-06	0	1.24371e-06	0
PGA363	2.34439e-06	3.97745e-06	0	1.24371e-06	0
N28	0.0117022	0.0979722	1.10216e-34	3.97554e-07	0
N29	0.00523677	0.454154	8.44122e-35	5.48471e-09	0
Rhaspe	0.183622	1.72861	0	0.00152724	0
N30	0.00358233	0.0634735	3.10335e-29	6.93723e-08	0
Rhamar	0.176318	1.66018	0	0.00123342	0
Rhatem	0.300596	0.786096	0	0.00147225	0
N31	0.0139412	0.00196542	4.34198e-40	6.27888e-08	0
N32	0.0237452	0.0263484	5.65596e-43	4.04221e-05	0
N33	0.013921	0.0293136	4.48211e-36	7.77154e-07	0
N34	0.189326	1.1048	1.21266e-44	0.996516	0
FGA379	1.97225e-07	1.78874e-06	0	0	0
F647	1.97225e-07	1.78874e-06	0	0	0
N35	0.0368593	0.0228147	4.63022e-33	1.11076e-06	0
N36	0.032129	0.0318585	7.05013e-34	2.09668e-06	0
N37	0.00145531	0.0359028	2.88159e-36	1.9571e-07	0
N38	0.0495784	1.01194	7.91778e-41	1.22195e-07	0
F3016	3.64097e-08	1.17377e-06	0	1.92711e-12	0
F3015	3.64097e-08	1.17377e-06	0	1.92711e-12	0
N39	0.00276764	0.00630773	4.47932e-38	5.73037e-08	0
N40	0.0138436	0.00246038	6.1464e-37	4.06646e-08	0
N41	0.00303081	0.0268838	6.03208e-41	5.55695e-08	0
N42	0.000742652	0.0138104	4.16341e-45	4.55268e-10	0
N43	0.0328086	0.966092	9.1382e-41	2.14337e-10	0
F1476	4.65437e-08	2.44668e-06	0	1.10926e-12	0
FGA81	4.65437e-08	2.44668e-06	0	1.10926e-12	0
N44	0.00712665	0.00624384	1.98953e-37	7.00327e-10	0
Furcep	1.93135	0.12707	0	0.0523079	0
N45	0.000924247	0.0380543	3.62917e-36	5.67247e-09	0
Furpol	0.139566	0.0370257	0	0.000101889	0
N46	0.00232962	0.7699	1.65394e-36	6.809e-09	0
N47	0.00249619	0.115543	4.4329e-40	5.58074e-10	0
N48	0.00603176	0.0224637	1.89531e-55	5.24528e-10	0
F2241	4.84905e-07	2.61869e-06	0	1.13002e-12	0
F12266	4.84905e-07	2.61869e-06	0	1.13002e-12	0
Furang	0.00643451	0.0228685	0	5.17234e-10	0
Fga490	0.0170041	0.146485	0	6.7787e-10	0
N49	0.00580854	0.0202703	1.83934e-48	5.97588e-10	0
N50	0.0138545	0.00438008	3.25129e-44	1.14902e-09	0
N51	0.0588997	0.000804497	9.23672e-45	1.99779e-08	0
N52	0.00242508	0.00176494	2.07924e-44	9.01415e-09	0
N53	0.00354813	0.00351266	4.05918e-39	4.44328e-09	0
FGA456	0.00785134	0.00801309	0	2.26638e-09	0
N54	0.00782202	0.0079836	1.06523e-56	2.39968e-09	0
FGA516	3.15729e-07	4.88762e-07	0	2.74416e-12	0
FGA513	3.15729e-07	4.88762e-07	0	2.74416e-12	0
N55	0.0192822	0.0194085	3.57237e-46	5.27741e-09	0
F12278	4.27614e-08	6.49753e-08	0	1.62536e-12	0
F12279	4.27614e-08	6.49753e-08	0	1.62536e-12	0
N56	0.128754	0.00371798	4.18876e-44	5.94354e-06	0
Furant	0.00936402	0.133911	0	4.10358e-06	0
N57	1.87452	0.000970999	2.22228e-53	0.000382577	0
FGA331	1.22986e-05	7.54374e-08	0	2.4059e-09	0
FGA332	1.22986e-05	7.54374e-08	0	2.4059e-09	0
FGA465	0.0204405	0.961811	0	3.27221e-09	0
N58	0.00555431	0.227439	7.95812e-45	8.85304e-10	0
N59	0.0147251	0.72472	3.80219e-48	1.45124e-09	0
FGA99	1.75089e-07	1.62656e-05	0	1.24075e-12	0
F12269	1.75089e-07	1.62656e-05	0	1.24075e-12	0
N60	0.0133403	0.0211026	5.98413e-40	3.29076e-09	0
N61	0.00786315	0.710109	6.23774e-55	8.72807e-09	0
FGA15	1.81254e-08	2.94683e-06	0	5.95557e-14	0
FGA440	1.81254e-08	2.94683e-06	0	5.95557e-14	0
N62	0.306649	0.00890737	4.22519e-55	2.26222e-06	0
FGA581	1.12111e-06	4.81745e-08	0	8.18977e-11	0
FGA582	1.12111e-06	4.81745e-08	0	8.18977e-11	0
N63	1.06039	0.0425682	3.58177e-55	0.0027611	0
FGA104	2.49816e-06	1.34358e-07	0	0	0
FGA105	2.49816e-06	1.34358e-07	0	0	0
FGA489	0.0457369	1.00456	0	4.84199e-08	0
N64	1.96293	0.0904279	4.22302e-42	0.0259397	0
FGA174	0.00011083	1.19345e-05	0	4.39316e-07	0
FGA175	0.00011083	1.19345e-05	0	4.39316e-07	0
FurbGB	0.167639	0.166282	0	0.000523588	0
N65	0.00125844	0.00309466	3.95215e-39	0.671416	0
N66	0.00711259	0.0269082	3.98124e-39	0.250027	0
N67	0.0331931	0.369251	7.45849e-38	0.0761363	0
N68	0.442936	0.0821285	1.76765e-52	0.00161483	0
CGA312	0.000224591	0.000207951	0	4.31377e-08	0
CGA963	0.000224591	0.000207951	0	4.31377e-08	0
N69	0.00159108	0.23136	1.90969e-41	0.00133119	0
N70	0.000130748	0.618691	7.40136e-48	8.21453e-05	0
N71	0.0087639	0.00380807	1.32079e-48	3.42703e-06	0
N72	0.199773	0.0258254	2.26151e-47	3.23384e-06	0
CGA642	0.0537129	0.0211933	0	2.92265e-08	0
N73	0.00968262	0.00576807	6.2646e-47	1.32937e-08	0
N74	0.00527692	0.97667	1.25387e-56	1.58088e-08	0
CGA763	6.27763e-09	2.07124e-06	0	7.81473e-15	0
CGA764	6.27763e-09	2.07124e-06	0	7.81473e-15	0
N75	1.02874	0.000141525	4.11629e-57	1.79988e-08	0
C601	1.76899e-06	1.10885e-08	0	3.60874e-12	0
C602	1.76899e-06	1.10885e-08	0	3.60874e-12	0
N76	0.00204452	0.0186588	3.51516e-44	3.08129e-07	0
CGA236	0.278537	0.0554596	0	3.76565e-06	0
N77	0.00164757	0.186777	4.39017e-38	1.0991e-07	0
N78	0.0460077	0.120871	1.01493e-34	5.1014e-08	0
Calboe	0.0029026	2.45577	0	3.80943e-08	0
C3125	1.41158	0.0364381	0	0.0180456	0
N79	0.0196926	1.61123	1.81287e-53	1.05713e-06	0
CGA429	0	0	0	0	0
CGA430	0	0	0	0	0
N80	0.000666626	1.34721	1.30857e-45	6.3389e-07	0
N81	0.0245336	1.45783	5.41753e-56	3.82924e-07	0
C985	0	0	0	0	0
C984	0	0	0	0	0
N82	0.00133559	0.160919	1.71718e-36	2.38217e-07	0
N83	0.0485534	0.322061	1.32268e-40	1.72359e-07	0
CGA310	0.00012415	0.000312039	0	2.99964e-10	0
CGA314	0.00012415	0.000312039	0	2.99964e-10	0
N84	0.0101138	0.319098	4.89645e-37	1.53595e-07	0
N85	0.0800555	0.0447711	2.05827e-50	1.1915e-08	0
CGA382	0.000124782	0.000121118	0	1.42673e-10	0
CGA365	0.000124782	0.000121118	0	1.42673e-10	0
N86	0.00795605	0.972664	6.33562e-57	9.19924e-09	0
CGA494	2.41799e-08	3.52934e-06	0	7.32005e-15	0
CGA495	2.41799e-08	3.52934e-06	0	7.32005e-15	0
N87	0.226904	0.0225126	3.80293e-45	0.000150174	0
N88	0.00283421	0.0529154	6.93983e-43	1.52666e-06	0
C12265	0.454243	0.0173789	0	2.59201e-06	0
N89	0.00114985	1.55378	1.96091e-44	1.96027e-06	0
C404	0.00485676	1.01534	0	1.07139e-08	0
N90	0.00333858	0.0107059	2.87613e-52	1.00178e-08	0
N91	0.00572091	0.00883708	4.33517e-61	6.06805e-10	0
Cl11778	1.19694e-07	2.84048e-07	0	7.29752e-15	0
Cl11779	1.19694e-07	2.84048e-07	0	7.29752e-15	0
N92	0.00315971	0.00621012	1.28451e-52	6.04836e-10	0
CGA594	0.000671181	0.000737106	0	1.84107e-12	0
CGA48	0.000671181	0.000737106	0	1.84107e-12	0
N93	1.40748	0.0208176	4.11779e-56	2.00864e-05	0
C3134	5.33435e-06	7.685e-08	0	8.18406e-10	0
C3126	5.33435e-06	7.685e-08	0	8.18406e-10	0
N94	0.123636	0.0760001	3.0698e-40	0.0772862	0
CGA311	0.0506215	0.0750883	0	0.000434034	0
N95	0.0060868	0.00154218	1.04058e-40	0.000346548	0
N96	0.00338626	0.0397853	1.45671e-44	8.43127e-05	0
N97	0.0157575	1.00837	1.99884e-60	1.62418e-06	0
CGA45	2.26738e-08	2.80092e-06	0	0	0
CGA46	2.26738e-08	2.80092e-06	0	0	0
N98	0.00749855	0.00178157	1.7876e-48	1.39897e-06	0
N99	0.00586868	0.00416905	7.06089e-46	2.19823e-07	0
N100	0.00326195	0.00329077	1.67911e-61	4.44796e-09	0
C3043	0.000217274	0.000222926	0	6.06369e-12	0
CGA87	0.000217274	0.000222926	0	6.06369e-12	0
N101	0.00312719	0.00315416	7.15676e-61	4.44534e-09	0
CGA368	0.000221904	0.000229403	0	8.68926e-12	0
CGA557	0.000221904	0.000229403	0	8.68926e-12	0
CGA364	0.0211656	0.0195005	0	2.24277e-07	0
C2208	0.985551	0.0145705	0	8.59646e-05	0
N102	0.145835	0.143181	3.87752e-37	0.3239	0
N103	0.0092877	0.0154693	7.22439e-40	0.00383758	0
N104	0.0153616	0.00839189	8.40546e-57	6.70596e-05	0
CGA453	0.000206336	0.000205818	0	7.65531e-09	0
CGA383	0.000206336	0.000205818	0	7.65531e-09	0
N105	0.001792	0.0311052	3.16138e-46	6.5136e-05	0
N106	0.0395154	0.00323225	1.19419e-59	1.93041e-06	0
CGA501	2.78048e-07	4.07079e-08	0	6.3004e-12	0
C11776	2.78048e-07	4.07079e-08	0	6.3004e-12	0
N107	0.00163581	0.965344	3.95214e-59	1.93027e-06	0
C3121	1.11106e-08	8.07462e-06	0	0	0
C3123	1.11106e-08	8.07462e-06	0	0	0
