#Nodes with GAIN events with expectation above 0.5
Leiolep: 1.11218
Furcep: 1.96581
N57: 1.87398
N63: 1.06184
N64: 1.93797
N75: 1.03829
C3125: 1.41047
N93: 1.4044
C2208: 0.994586
Riebrev: 2.03621
Total number of gain events: 22.7159
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Leiolep: 1.11628
N2: 1.00214
N27: 0.561842
Rhaspe: 1.70994
Rhamar: 1.64802
Rhatem: 0.799359
N34: 1.09253
N38: 1.01395
N43: 0.960273
N46: 0.768571
FGA465: 0.95222
N59: 0.719871
N61: 0.706531
FGA489: 1.00356
N70: 0.618698
N74: 0.975018
Calboe: 2.45585
N79: 1.61125
N80: 1.34657
N81: 1.45339
N86: 0.971491
N89: 1.54838
C404: 1.01292
N97: 1.00614
N107: 0.963836
N129: 1.12606
Total number of loss events: 37.2637
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 8.84255e-19
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N3: 0.54054
N34: 0.999883
N65: 0.672142
N113: 0.958778
N117: 0.968599
N119: 0.621695
Riebrev: 1.95531
N129: 0.94884
Total number of demi-dulications events: 10.4192
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	1.11218	1.11628	0	0.000685056	0
N2	0.00130647	1.00214	8.84255e-19	4.2858e-08	0
N3	0.0168555	0.0888468	3.72187e-28	0.54054	0
N4	0.0540243	0.163226	4.05577e-34	0.441527	0
N5	0.0113441	0.012844	6.43356e-36	0.00584003	0
B3088	0.222069	0.241235	0	0.0027826	0
N6	0.0168316	0.0169269	3.49872e-35	0.00125098	0
N7	0.188506	0.207582	1.65073e-48	0.00153158	0
BGA709	8.77072e-08	1.45766e-07	0	3.50069e-10	0
BGA710	8.77072e-08	1.45766e-07	0	3.50069e-10	0
BGA309	0.188862	0.207938	0	0.00153158	0
N8	0.025252	0.0424814	3.55397e-39	0.00838153	0
N9	0.0489092	0.0486124	4.88261e-38	0.000224461	0
N10	0.0484406	0.05217	2.67742e-54	1.67005e-05	0
B11696	5.73228e-08	9.30854e-08	0	9.38257e-12	0
B11697	5.73228e-08	9.30854e-08	0	9.38257e-12	0
N11	0.0406869	0.0443583	5.26009e-44	1.66828e-05	0
B11609	0.000300947	0.000359016	0	1.76817e-08	0
BGA392	0.000300947	0.000359016	0	1.76817e-08	0
N12	0.00517767	0.00760888	9.99621e-43	0.000234459	0
N13	0.000678142	0.000830936	2.34783e-47	5.06307e-06	0
N14	0.0116306	0.0105403	1.32326e-39	1.33665e-06	0
N15	0.0710783	0.0730171	3.36233e-58	2.96927e-07	0
B985	7.46169e-08	1.15628e-07	0	2.46956e-13	0
B983	7.46169e-08	1.15628e-07	0	2.46956e-13	0
N16	0.0350185	0.0362484	6.2331e-45	2.91834e-07	0
N17	0.00995055	0.0106596	6.00608e-62	5.37071e-09	0
