#Nodes with GAIN events with expectation above 0.5
Leiolep: 2.04566
N2: 1.63644
Furcep: 1.91226
N57: 1.87579
N63: 1.06257
N64: 1.95724
N75: 1.03039
C3125: 1.38207
N93: 1.39918
C2208: 0.992668
Riebrev: 2.49569
Total number of gain events: 26.058
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Leiolep: 1.379
N2: 0.511798
Rhaspe: 1.71268
Rhamar: 1.64643
Rhatem: 0.77153
N34: 1.10646
N38: 1.00535
N43: 0.958508
N46: 0.769689
FGA465: 0.957912
N59: 0.725346
N61: 0.709825
FGA489: 0.995266
N70: 0.618557
N74: 0.973861
Calboe: 2.45567
N79: 1.60881
N80: 1.34655
N81: 1.46658
N86: 0.971777
N89: 1.54761
C404: 1.0105
N97: 1.00369
N107: 0.966799
N129: 1.14377
Total number of loss events: 36.8934
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 2.04586e-19
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Leiolep: 1.33333
N3: 0.552766
N34: 0.996536
N65: 0.67143
N113: 0.958775
N117: 0.968599
N119: 0.621717
Riebrev: 1.95036
N129: 0.945129
Total number of demi-dulications events: 11.9354
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	2.04566	1.379	0	1.33333	0
N2	1.63644	0.511798	2.04586e-19	0.196694	0
N3	0.049869	0.0136058	3.42142e-26	0.552766	0
N4	0.0907963	0.0637593	1.64004e-29	0.4401	0
N5	0.0114725	0.00831932	1.15016e-33	0.00571224	0
B3088	0.22457	0.231947	0	0.00271876	0
N6	0.0169091	0.0142536	2.3962e-33	0.00122312	0
N7	0.190635	0.20067	1.17907e-43	0.00149569	0
BGA709	8.83584e-08	1.40343e-07	0	3.41545e-10	0
BGA710	8.83584e-08	1.40343e-07	0	3.41545e-10	0
BGA309	0.190621	0.200656	0	0.00149569	0
N8	0.0275693	0.0300538	1.60354e-35	0.00819581	0
N9	0.0495767	0.0478974	5.08212e-37	0.000218941	0
N10	0.0503856	0.0538051	2.48978e-53	1.62876e-05	0
B11696	5.73535e-08	9.25788e-08	0	9.15082e-12	0
B11697	5.73535e-08	9.25788e-08	0	9.15082e-12	0
N11	0.0412658	0.0446283	1.05585e-43	1.62696e-05	0
B11609	0.0010412	0.00109825	0	1.72451e-08	0
BGA392	0.0010412	0.00109825	0	1.72451e-08	0
N12	0.00460779	0.00562522	1.09565e-42	0.000228692	0
N13	0.00109761	0.00114152	4.86267e-46	4.93555e-06	0
N14	0.010787	0.00959705	3.69875e-41	1.3035e-06	0
N15	0.0706451	0.0725136	1.25656e-58	2.89587e-07	0
B985	7.46211e-08	1.15521e-07	0	2.43245e-13	0
B983	7.46211e-08	1.15521e-07	0	2.43245e-13	0
N16	0.0354071	0.0365703	1.39055e-45	2.84595e-07	0
N17	0.0091498	0.00985517	4.44419e-60	5.2435e-09	0
B199	2.00009e-08	3.24953e-08	0	5.60153e-15	0
BGAA3	2.00009e-08	3.24953e-08	0	5.60153e-15	0
N18	0.00914983	0.00985518	4.46075e-60	5.2435e-09	0
B11604	2.82967e-08	4.59794e-08	0	7.93773e-15	0
BGA583	2.82967e-08	4.59794e-08	0	7.93773e-15	0
N19	0.021564	0.0210591	1.34173e-43	1.53938e-06	0
N20	0.0462536	0.0474367	3.47661e-59	5.3708e-08	0
BGA89	6.62134e-07	1.02507e-06	0	6.411e-13	0
BGA40	6.62134e-07	1.02507e-06	0	6.411e-13	0
N21	0.00507519	0.00519375	2.5122e-46	4.50649e-08	0
N22	0.0289933	0.0300582	2.17788e-61	8.63818e-09	0
BGAA2	4.91954e-08	7.70817e-08	0	1.3213e-14	0
BGAA1	4.91954e-08	7.70817e-08	0	1.3213e-14	0
N23	0.0261851	0.0272419	3.25026e-54	8.63582e-09	0
BGA584	0.000116505	0.000124571	0	3.62059e-12	0
BGA706	0.000116505	0.000124571	0	3.62059e-12	0
N24	0.035758	0.0340026	9.8394e-43	6.04834e-06	0
N25	0.0389247	0.0413987	2.0392e-50	4.8494e-07	0
BGA304	6.23007e-06	1.00032e-05	0	3.93649e-11	0
BGA303	6.23007e-06	1.00032e-05	0	3.93649e-11	0
N26	0.0416913	0.044169	8.65102e-56	4.84977e-07	0
BGAB1	3.83024e-08	6.13115e-08	0	2.32063e-13	0
BGA7	3.83024e-08	6.13115e-08	0	2.32063e-13	0
N27	0.478299	0.456568	8.03666e-35	0.449198	0
PGA445	2.51773e-06	3.67011e-06	0	1.24954e-06	0
PGA363	2.51773e-06	3.67011e-06	0	1.24954e-06	0
N28	0.0389833	0.0345921	1.05115e-29	0.00146881	0
N29	0.00587296	0.4377	7.92203e-31	9.8289e-06	0
Rhaspe	0.198481	1.71268	0	0.000507955	0
N30	0.00389492	0.0616501	7.44918e-26	1.70228e-06	0
Rhamar	0.189822	1.64643	0	0.00056131	0
Rhatem	0.309464	0.77153	0	0.00170581	0
N31	0.050636	0.00107406	6.35261e-36	5.32923e-05	0
N32	0.0238469	0.0212426	2.78534e-39	4.34024e-05	0
N33	0.0126912	0.027848	2.4151e-34	1.08289e-06	0
N34	0.182439	1.10646	3.48603e-44	0.996536	0
FGA379	1.97334e-07	1.78789e-06	0	1.30604e-07	0
F647	1.97334e-07	1.78789e-06	0	1.30604e-07	0
N35	0.0366108	0.0222501	1.26674e-32	6.97227e-07	0
N36	0.031113	0.0307578	7.67319e-34	1.79168e-06	0
N37	0.00170033	0.0361238	3.1977e-36	4.76344e-07	0
N38	0.043167	1.00535	7.92114e-41	1.95522e-07	0
