#Nodes with GAIN events with expectation above 0.5
Leiolep: 1.01495
Furcep: 1.84306
N57: 1.87358
N63: 1.05997
N64: 1.9026
N75: 1.03165
C3125: 1.3835
N93: 1.40197
C2208: 0.994212
Riebrev: 2.5008
Total number of gain events: 23.282
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Leiolep: 1.20528
Rhaspe: 1.7366
Rhamar: 1.66667
Rhatem: 0.782704
N34: 1.09172
N38: 1.00793
N43: 0.958241
N46: 0.768525
FGA465: 0.956525
N59: 0.719049
N61: 0.707601
FGA489: 0.999671
N70: 0.618649
N74: 0.974965
Calboe: 2.45944
N79: 1.60944
N80: 1.34657
N81: 1.46832
N86: 0.975677
N89: 1.54727
C404: 1.01185
N97: 1.00541
N107: 0.963853
N129: 1.12195
Total number of loss events: 36.5834
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 1.69808e-19
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Leiolep: 1.00023
N3: 0.555526
N34: 0.999771
N65: 0.670323
N113: 0.958778
N117: 0.968599
N119: 0.621736
Riebrev: 1.95041
N129: 0.948607
Total number of demi-dulications events: 11.4932
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	1.01495	1.20528	0	1.00023	0
N2	0.248845	0.421464	1.69808e-19	0.00261652	0
N3	0.0199908	0.0164233	1.53672e-25	0.555526	0
N4	0.060282	0.0630421	2.51284e-30	0.436197	0
N5	0.010895	0.00850834	1.84853e-35	0.00561217	0
B3088	0.232663	0.241233	0	0.00267056	0
N6	0.0168149	0.0144979	8.40893e-34	0.00120151	0
N7	0.188336	0.199224	1.21695e-49	0.00146896	0
BGA709	8.80781e-08	1.40528e-07	0	3.35453e-10	0
BGA710	8.80781e-08	1.40528e-07	0	3.35453e-10	0
BGA309	0.188756	0.199644	0	0.00146896	0
N8	0.0236484	0.0279512	2.05493e-34	0.00805174	0
N9	0.0480602	0.0465014	3.22907e-35	0.000215026	0
N10	0.0470767	0.0505175	6.8225e-51	1.59954e-05	0
B11696	5.73379e-08	9.25938e-08	0	8.98764e-12	0
B11697	5.73379e-08	9.25938e-08	0	8.98764e-12	0
N11	0.0387876	0.0421714	2.67683e-44	1.59785e-05	0
B11609	0.0004063	0.000463412	0	1.69379e-08	0
BGA392	0.0004063	0.000463412	0	1.69379e-08	0
N12	0.00463603	0.00578011	5.21864e-44	0.000224602	0
N13	0.000678694	0.000729807	1.23837e-47	4.84958e-06	0
N14	0.0108216	0.00963683	5.73673e-41	1.28018e-06	0
N15	0.071747	0.0736186	1.61945e-55	2.84363e-07	0
B985	7.46196e-08	1.15524e-07	0	2.40614e-13	0
B983	7.46196e-08	1.15524e-07	0	2.40614e-13	0
N16	0.0329273	0.0340934	8.37932e-43	2.79502e-07	0
N17	0.00874682	0.00945233	4.31793e-60	5.1562e-09	0
B199	2.00007e-08	3.24956e-08	0	5.51005e-15	0
BGAA3	2.00007e-08	3.24956e-08	0	5.51005e-15	0
N18	0.00850085	0.00920635	4.3388e-60	5.1562e-09	0
B11604	2.82965e-08	4.59799e-08	0	7.80808e-15	0
BGA583	2.82965e-08	4.59799e-08	0	7.80808e-15	0
N19	0.0187099	0.0182124	1.19168e-43	1.51183e-06	0
N20	0.0430955	0.0442795	9.51194e-56	5.27396e-08	0
BGA89	6.62127e-07	1.02508e-06	0	6.34311e-13	0
BGA40	6.62127e-07	1.02508e-06	0	6.34311e-13	0
N21	0.00518833	0.00530747	2.51992e-46	4.42603e-08	0
N22	0.0251962	0.0262614	1.09239e-56	8.48386e-09	0
BGAA2	4.91951e-08	7.70823e-08	0	1.30815e-14	0
BGAA1	4.91951e-08	7.70823e-08	0	1.30815e-14	0
N23	0.0223504	0.0234076	3.76309e-54	8.48155e-09	0
BGA584	1.40493e-05	2.21153e-05	0	3.58199e-12	0
BGA706	1.40493e-05	2.21153e-05	0	3.58199e-12	0
N24	0.0321839	0.0304415	1.48073e-39	5.9401e-06	0
N25	0.0370263	0.0395029	4.67953e-53	4.7628e-07	0
BGA304	6.22986e-06	1.00036e-05	0	3.8699e-11	0
BGA303	6.22986e-06	1.00036e-05	0	3.8699e-11	0
N26	0.0400004	0.0424808	4.33419e-53	4.76316e-07	0
BGAB1	3.83011e-08	6.13136e-08	0	2.28164e-13	0
BGA7	3.83011e-08	6.13136e-08	0	2.28164e-13	0
N27	0.441038	0.451312	1.81338e-30	0.444519	0
PGA445	2.39616e-06	3.72777e-06	0	1.22933e-06	0
PGA363	2.39616e-06	3.72777e-06	0	1.22933e-06	0
N28	0.0135174	0.0374566	3.86946e-30	1.74174e-05	0
N29	0.00453512	0.450361	1.13861e-29	1.28793e-07	0
Rhaspe	0.199844	1.7366	2.42363e-28	0.00047472	0
N30	0.00392119	0.0634611	3.22536e-28	1.31931e-07	0
Rhamar	0.189291	1.66667	0	0.000529108	0
Rhatem	0.299688	0.782704	0	0.00181046	0
N31	0.018586	0.00115281	3.22402e-37	7.99882e-07	0
N32	0.0207047	0.0217579	4.54914e-41	4.06666e-05	0
N33	0.0126603	0.0279872	1.60582e-35	1.09482e-06	0
N34	0.157126	1.09172	1.33191e-44	0.999771	0
FGA379	1.97235e-07	1.78861e-06	0	1.30584e-07	0
F647	1.97235e-07	1.78861e-06	0	1.30584e-07	0
N35	0.0355941	0.0215136	4.68005e-33	4.85563e-06	0
N36	0.0303089	0.0300382	6.79022e-34	5.53064e-06	0
N37	0.00171022	0.036147	2.24125e-36	2.04152e-07	0
N38	0.0455946	1.00793	7.91903e-41	1.21623e-07	0
F3016	3.64104e-08	1.17374e-06	0	0	0
F3015	3.64104e-08	1.17374e-06	0	0	0
