NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.79372e-12	8.27774e-11	3.96883e-09	1.43465e-07	3.76994e-06	7.01827e-05	0.000899342	0.00767381	0.0419632	0.140763	0.275846	0.30004	0.172932	0.0513138	0.00783729	0.000630053	2.75506e-05	6.78984e-07	9.76733e-09	8.48235e-11	4.59276e-13	1.01698e-17	4.88056e-19	1.93104e-20	6.37785e-22	1.77859e-23	4.23181e-25	8.67249e-27	1.54411e-28	2.40737e-30	3.31007e-32	4.04009e-34	4.40337e-36	4.30906e-38	3.80495e-40	3.04561e-42	2.21918e-44	1.47777e-46	9.03011e-49	5.15127e-51	4.17928e-53	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	3.47493e-24	3.32572e-21	2.66753e-18	1.5378e-15	6.12957e-13	1.6253e-10	2.73727e-08	2.76496e-06	0.000155731	0.00444544	0.0566465	0.274385	0.427951	0.201616	0.0327497	0.00200102	4.71023e-05	4.42926e-07	1.8835e-09	4.10455e-12	5.06813e-15	3.83146e-18	1.88346e-21	6.31404e-25	1.50004e-28	2.60642e-32	3.4007e-36	3.40679e-40	2.67086e-44	1.66588e-48	8.38629e-53	3.45078e-57	1.17368e-61	3.33269e-66	7.97141e-71	1.61905e-75	2.81275e-80	4.20742e-85	5.45178e-90	6.15748e-95	7.21509e-100	
N3	1.53728e-25	1.39418e-22	1.09711e-19	6.43487e-17	2.72755e-14	8.06535e-12	1.59317e-09	1.99116e-07	1.46916e-05	0.00058522	0.0112353	0.091523	0.290033	0.365629	0.19381	0.043194	0.00384185	0.00013158	1.95911e-06	1.44284e-08	5.83572e-11	1.40733e-13	2.15932e-16	2.2202e-19	1.59543e-22	8.29415e-26	3.21048e-29	9.47986e-33	2.17996e-36	3.9741e-40	5.83305e-44	6.9872e-48	6.91283e-52	5.70909e-56	3.97335e-60	2.35034e-64	1.19076e-68	5.20326e-73	1.97355e-77	6.5519e-82	2.48063e-86	
N4	2.07375e-37	1.22349e-33	5.97892e-30	2.1797e-26	5.77033e-23	1.07487e-19	1.35644e-16	1.10733e-13	5.52462e-11	1.57036e-08	2.33583e-06	0.000165206	0.0050811	0.0634293	0.295993	0.448913	0.174193	0.0120536	0.000169326	7.28739e-07	1.27616e-09	1.09288e-12	5.18314e-16	1.4874e-19	2.75856e-23	3.47843e-27	3.10445e-31	2.02593e-35	9.93057e-40	3.7395e-44	1.10267e-48	2.58821e-53	4.90508e-58	7.59939e-63	9.73061e-68	1.03974e-72	9.35119e-78	7.13346e-83	4.64748e-88	2.60225e-93	1.40414e-98	
N5	1.59547e-38	9.4583e-35	4.69466e-31	1.7631e-27	4.88938e-24	9.73394e-21	1.34505e-17	1.23841e-14	7.22609e-12	2.51102e-09	4.81001e-07	4.62331e-05	0.00200503	0.0352828	0.225666	0.457892	0.247759	0.0304529	0.000886837	7.86647e-06	2.6902e-08	4.23227e-11	3.48423e-14	1.65154e-17	4.84702e-21	9.32083e-25	1.22861e-28	1.15147e-32	7.90848e-37	4.08232e-41	1.61806e-45	5.01545e-50	1.23516e-54	2.45028e-59	3.96299e-64	5.28165e-69	5.85526e-74	5.44502e-79	4.27945e-84	2.86372e-89	1.92393e-94	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.14775e-36	1.25809e-32	2.73735e-29	4.70466e-26	6.26152e-23	6.30977e-20	4.68732e-17	2.48563e-14	9.04597e-12	2.15138e-09	3.14297e-07	2.60583e-05	0.00110849	0.0213804	0.162502	0.419843	0.322528	0.0684623	0.00406446	8.43781e-05	7.52646e-07	3.36314e-09	8.42112e-12	1.2844e-14	1.27183e-17	8.59498e-21	4.12601e-24	1.45371e-27	3.8625e-31	7.91821e-35	1.27706e-38	1.64782e-42	1.72608e-46	1.48671e-50	1.06492e-54	6.40775e-59	3.26811e-63	1.42431e-67	5.34327e-72	1.73859e-76	6.22712e-81	
N7	1.24908e-43	1.52353e-42	1.82886e-41	2.02785e-40	2.0625e-39	1.91083e-38	1.59962e-37	1.19866e-36	7.9518e-36	4.60968e-35	2.29935e-34	9.69032e-34	3.37777e-33	9.50946e-33	2.1111e-32	1.40278e-11	8.44315e-06	0.999991	9.25363e-07	1.7669e-13	1.57312e-32	7.61552e-33	3.20362e-33	1.18775e-33	3.92759e-34	1.1701e-34	3.16783e-35	7.85154e-36	1.79306e-36	3.79415e-37	7.47576e-38	1.37757e-38	2.38328e-39	3.88462e-40	5.98403e-41	8.73655e-42	1.21199e-42	1.60137e-43	2.01952e-44	2.43694e-45	3.1503e-46	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.16521e-45	1.63478e-41	1.91991e-37	1.74077e-33	1.19343e-29	6.03726e-26	2.18878e-22	5.48989e-19	9.12298e-16	9.51804e-13	5.82542e-10	1.91877e-07	3.04987e-05	0.00204573	0.0492748	0.346747	0.516492	0.0841513	0.00125451	4.79023e-06	6.95261e-09	4.76668e-12	1.77236e-15	3.93229e-19	5.58283e-23	5.34938e-27	3.60707e-31	1.77017e-35	6.4993e-40	1.82678e-44	4.00767e-49	6.97704e-54	9.77714e-59	1.11656e-63	1.05046e-68	8.21916e-74	5.39342e-79	2.99032e-84	1.41012e-89	5.68952e-95	2.19136e-100	
N9	1.58711e-44	9.14747e-41	4.65581e-37	1.91857e-33	6.3023e-30	1.62118e-26	3.19858e-23	4.72289e-20	5.06755e-17	3.81186e-14	1.92238e-11	6.14097e-09	1.15356e-06	0.000115238	0.00531791	0.0925279	0.454176	0.420814	0.0266494	0.000395973	2.18034e-06	5.64789e-09	7.97007e-12	6.76681e-15	3.71336e-18	1.39028e-21	3.70463e-25	7.26801e-29	1.07941e-32	1.242e-36	1.12915e-40	8.24846e-45	4.91271e-49	2.41618e-53	9.92378e-58	3.43792e-62	1.01358e-66	2.56355e-71	5.6051e-76	1.08967e-80	4.41644e-85	
N10	8.68198e-49	2.31262e-47	5.90889e-46	1.39655e-44	3.03499e-43	6.02357e-42	1.08319e-40	1.74839e-39	2.50494e-38	3.1425e-37	3.39453e-36	3.09123e-35	2.30944e-34	1.36567e-33	6.09177e-33	1.04743e-11	8.24452e-06	0.999991	1.04196e-06	1.88619e-13	8.46914e-33	2.694e-33	7.04157e-34	1.55692e-34	2.97655e-35	5.0051e-36	7.50357e-37	1.01411e-37	1.24692e-38	1.40566e-39	1.4624e-40	1.41205e-41	1.27167e-42	1.07279e-43	8.51014e-45	6.36968e-46	4.51215e-47	3.0334e-48	1.94016e-49	1.18337e-50	7.29457e-52	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.84696e-78	2.00107e-72	1.59391e-66	9.11616e-61	3.75381e-55	1.11025e-49	2.34148e-44	3.47773e-39	3.57231e-34	2.47488e-29	1.11789e-24	3.14518e-20	5.17861e-16	4.57329e-12	1.90878e-08	3.10389e-05	0.0142987	0.984052	0.00161767	4.55888e-07	4.24859e-11	1.74867e-15	3.74419e-20	4.62933e-25	3.54941e-30	1.77566e-35	6.01582e-41	1.41874e-46	2.37656e-52	2.86847e-58	2.51803e-64	1.61535e-70	7.57528e-77	2.58537e-83	6.35756e-90	1.1074e-96	1.33043e-103	1.05807e-110	5.22025e-118	1.43191e-125	1.86252e-133	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	4.62169e-56	4.07469e-51	2.87492e-46	1.53313e-41	6.04867e-37	1.72119e-32	3.42605e-28	4.59596e-24	3.9682e-20	2.08145e-16	6.16067e-13	9.34481e-10	6.39244e-07	0.000166143	0.0130715	0.23171	0.620101	0.133787	0.00116168	1.67363e-06	7.13428e-10	1.22024e-13	1.00869e-17	4.5636e-22	1.23436e-26	2.13095e-31	2.46861e-36	1.99587e-41	1.16213e-46	4.9991e-52	1.62236e-57	4.07603e-63	3.36814e-66	2.27036e-67	1.04142e-68	3.16575e-70	6.17016e-72	7.37065e-74	5.07119e-76	1.84266e-78	3.3301e-81	
N13	5.38349e-57	4.78959e-52	3.44472e-47	1.89906e-42	7.864e-38	2.38779e-33	5.16414e-29	7.67892e-25	7.51466e-21	4.58033e-17	1.61973e-13	3.02558e-10	2.6275e-07	8.87431e-05	0.0090733	0.200842	0.630231	0.158135	0.00162687	2.72105e-06	1.33324e-09	2.61186e-13	2.47157e-17	1.2811e-21	3.97567e-26	7.88873e-31	1.05246e-35	9.82053e-41	6.61446e-46	3.29935e-51	1.24483e-56	3.61537e-62	8.2072e-68	2.90789e-72	9.42478e-74	1.94872e-75	2.30503e-77	1.44479e-79	4.34817e-82	5.61934e-85	3.04393e-88	
N14	1.95288e-48	2.25732e-44	2.27053e-40	1.84295e-36	1.18821e-32	5.97524e-29	2.29417e-25	6.55651e-22	1.35264e-18	1.93987e-15	1.84427e-12	1.09304e-09	3.71816e-07	6.46166e-05	0.00481613	0.115739	0.551854	0.3141	0.0133017	0.000124099	4.0833e-07	6.10584e-10	4.85238e-13	2.27776e-16	6.81269e-20	1.37438e-23	1.95472e-27	2.03048e-31	1.58551e-35	9.53246e-40	4.50285e-44	1.70026e-48	5.20911e-53	1.31183e-57	2.74677e-62	4.83044e-67	7.19917e-72	9.16675e-77	1.00449e-81	9.53818e-87	9.04932e-92	
N15	2.86085e-48	6.76057e-47	1.54317e-45	3.27064e-44	6.39986e-43	1.1488e-41	1.87765e-40	2.76974e-39	3.6486e-38	4.23725e-37	4.26957e-36	3.65806e-35	2.59597e-34	1.47352e-33	6.37769e-33	1.39173e-11	9.46897e-06	0.999989	1.23877e-06	2.77195e-13	1.06868e-32	3.84446e-33	1.14957e-33	2.93247e-34	6.5103e-35	1.2778e-35	2.2455e-36	3.56988e-37	5.17894e-38	6.90634e-39	8.51902e-40	9.77266e-41	1.04753e-41	1.05354e-42	9.97847e-44	8.92959e-45	7.57237e-46	6.10125e-47	4.68207e-48	3.42997e-49	2.5711e-50	
B985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	9.47587e-58	3.40083e-53	1.04882e-48	2.62309e-44	5.24357e-40	8.23901e-36	9.97817e-32	9.10078e-28	6.07927e-24	2.8746e-20	9.22168e-17	1.9009e-13	2.34374e-10	1.56653e-07	4.92414e-05	0.00584723	0.182526	0.795273	0.0162443	6.0332e-05	7.54956e-08	4.22719e-11	1.25002e-14	2.17713e-18	2.41267e-22	1.80199e-26	9.48346e-31	3.64343e-35	1.05168e-39	2.33585e-44	4.07292e-49	5.67133e-54	6.39989e-59	5.92821e-64	4.55913e-69	2.99242e-74	6.07604e-79	8.1111e-81	4.18784e-82	2.10097e-83	1.05464e-84	
N17	4.82597e-55	3.16271e-53	1.9544e-51	1.11789e-49	5.88505e-48	2.83271e-46	1.23708e-44	4.85673e-43	1.69524e-41	5.18987e-40	1.37007e-38	3.05157e-37	5.57142e-36	8.01337e-35	8.57142e-34	2.13503e-12	4.38307e-06	0.999995	5.64e-07	4.44007e-14	1.59208e-33	2.42536e-34	2.95479e-35	2.99253e-36	2.58931e-37	1.95333e-38	1.30501e-39	7.81784e-41	4.24206e-42	2.10236e-43	9.5834e-45	4.04207e-46	1.58557e-47	5.8103e-49	1.99679e-50	6.45774e-52	1.97134e-53	5.69583e-55	1.56142e-56	4.07008e-58	1.0351e-59	
B199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	4.79437e-55	3.14435e-53	1.94448e-51	1.11301e-49	5.8635e-48	2.82429e-46	1.23423e-44	4.84871e-43	1.6935e-41	5.18768e-40	1.37027e-38	3.05362e-37	5.5778e-36	8.02577e-35	8.58728e-34	4.28854e-12	6.20845e-06	0.999993	7.9803e-07	8.90217e-14	1.59119e-33	2.4222e-34	2.94867e-35	2.98399e-36	2.57986e-37	1.94463e-38	1.29812e-39	7.77011e-41	4.21262e-42	2.086e-43	9.50069e-45	4.00373e-46	1.56917e-47	5.74519e-49	1.97269e-50	6.37418e-52	1.94412e-53	5.61218e-55	1.53712e-56	4.00316e-58	1.01714e-59	
