NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.15604e-27	1.09121e-23	8.85031e-22	2.63407e-19	2.91803e-18	5.05246e-18	2.47491e-13	3.16781e-10	2.21018e-08	4.44592e-08	1.27462e-08	1.88054e-09	5.0494e-09	4.24999e-07	6.17439e-05	0.00409592	0.0773411	0.348787	0.404891	0.144927	0.0188533	0.00101635	2.51602e-05	3.10067e-07	2.02828e-09	7.41527e-12	2.68191e-17	9.61483e-19	2.71542e-20	6.11298e-22	1.10778e-23	1.62925e-25	1.95794e-27	1.93337e-29	1.57578e-31	1.06391e-33	5.9666e-36	2.78486e-38	1.08313e-40	3.52558e-43	1.27724e-45	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	1.55357e-32	4.21365e-26	8.07852e-24	6.42032e-19	6.2949e-17	1.26856e-17	1.2251e-14	4.05258e-11	5.61593e-09	1.27598e-08	2.75979e-09	4.00998e-10	2.63555e-09	1.5057e-06	0.00049175	0.0385732	0.388941	0.489621	0.0796228	0.00271948	2.86637e-05	1.19199e-07	2.31085e-10	2.3566e-13	1.38134e-16	5.51027e-20	1.68969e-23	1.96831e-26	9.41188e-30	1.50191e-32	4.61161e-36	3.91206e-39	7.43351e-43	3.31688e-46	3.88944e-50	9.06159e-54	6.4458e-58	7.71924e-62	3.41115e-66	2.42069e-70	1.56875e-74	
N3	7.68913e-34	4.04663e-28	4.12756e-25	7.76215e-21	3.26608e-18	1.12701e-17	2.48476e-15	2.6404e-12	4.47143e-10	1.2689e-09	1.67357e-09	2.05263e-09	3.45224e-09	4.92762e-07	0.000153549	0.0153967	0.264218	0.581324	0.132512	0.00629827	9.70347e-05	6.27036e-07	2.018e-09	1.85412e-11	2.92043e-13	9.52934e-14	9.03817e-16	1.42225e-16	6.36503e-19	5.13161e-20	9.16741e-23	3.86486e-24	2.30613e-27	3.85875e-29	1.13234e-32	5.4622e-35	1.00088e-38	1.75137e-41	2.0707e-45	1.6367e-48	1.02383e-51	
N4	4.70097e-39	4.58307e-32	1.83182e-29	5.66322e-24	4.02816e-21	4.04157e-22	6.61724e-19	1.90421e-14	1.05015e-10	1.01414e-10	1.01568e-11	4.31207e-13	7.51644e-14	1.70493e-10	4.10075e-07	0.000307109	0.0480998	0.759322	0.187478	0.00476599	2.74953e-05	5.40571e-08	4.60249e-11	2.52402e-14	1.60208e-17	1.5507e-19	1.44177e-22	8.57784e-25	4.18201e-28	1.15237e-30	2.97861e-34	3.87163e-37	4.75028e-41	2.80297e-44	1.61772e-48	3.52633e-52	1.1266e-56	9.46989e-61	1.7387e-65	7.07096e-70	2.05473e-74	
N5	5.46392e-41	3.9595e-34	7.49226e-31	1.52732e-25	1.99578e-22	3.12182e-22	3.57303e-19	2.98031e-15	2.23523e-12	2.08415e-12	1.95687e-13	4.4141e-14	1.38913e-13	1.99486e-10	4.23486e-07	0.00029838	0.0459608	0.734532	0.212539	0.00662176	4.73527e-05	1.14972e-07	1.1962e-10	6.24129e-14	1.92834e-17	3.03856e-19	1.04251e-21	1.15237e-22	2.06088e-25	1.11306e-26	9.9154e-30	2.77387e-31	1.0281e-34	1.56079e-36	1.7965e-40	1.3083e-42	4.87109e-47	5.16828e-50	1.18757e-54	3.46913e-58	1.38217e-62	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.66088e-38	1.58601e-32	2.80079e-29	7.874e-25	3.57198e-22	2.32483e-21	8.57504e-19	1.19637e-15	2.07741e-13	3.89654e-13	8.67029e-13	2.46633e-12	1.03726e-11	3.15028e-09	2.40019e-06	0.000717794	0.0585149	0.703138	0.227524	0.00998099	0.000121575	5.82298e-07	1.34102e-09	1.69222e-12	1.31185e-15	2.24633e-17	2.0878e-19	6.24321e-20	3.41627e-22	5.39084e-23	1.68564e-25	1.44008e-26	2.23399e-29	1.06437e-30	5.76763e-34	1.43466e-35	2.33374e-39	9.54143e-42	9.75892e-46	1.04253e-48	1.79684e-52	
N7	5.06231e-43	3.9544e-42	3.31665e-41	2.6515e-40	2.01152e-39	1.44111e-38	9.69573e-38	9.7222e-23	2.03698e-14	8.65408e-20	9.12205e-35	3.94641e-34	1.50013e-33	4.89448e-33	1.32783e-32	4.03432e-14	5.21056e-07	0.999998	1.38065e-06	3.02983e-13	4.17885e-33	1.04249e-33	2.17906e-34	4.04493e-35	7.18742e-36	5.42783e-36	3.82956e-36	1.76744e-35	1.45485e-35	5.97831e-35	4.95202e-35	1.69058e-34	1.3959e-34	3.74586e-34	2.9019e-34	5.58596e-34	3.4868e-34	3.8177e-34	1.9281e-34	1.57893e-34	1.35928e-34	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	7.65916e-41	9.11568e-34	5.08755e-31	1.81625e-25	5.99879e-23	8.39872e-24	2.23529e-20	3.12546e-16	8.46724e-13	2.65207e-13	3.95964e-14	3.2619e-15	7.79498e-16	3.15881e-12	1.65787e-08	3.10401e-05	0.0147922	0.865105	0.118667	0.0014006	3.82311e-06	3.71406e-09	1.62761e-12	3.75031e-16	5.25873e-20	7.39919e-23	5.66123e-26	5.99606e-28	2.67848e-31	1.42249e-33	3.71316e-37	9.95759e-40	1.45371e-43	1.94979e-46	1.25236e-50	7.75854e-54	2.01569e-58	3.06449e-62	4.56265e-67	2.19046e-71	4.03752e-76	
N9	5.37537e-39	1.0862e-32	5.09794e-30	3.60971e-25	8.62919e-23	7.02378e-23	1.20835e-19	1.22943e-15	2.78415e-12	5.03316e-12	2.63162e-12	6.76657e-13	2.80198e-13	1.876e-10	3.11844e-07	0.000199205	0.0353553	0.858749	0.103926	0.00176169	8.84096e-06	1.84019e-08	1.92142e-11	1.14481e-14	4.47826e-18	1.69132e-20	3.28964e-23	7.69511e-25	9.25508e-28	1.15996e-29	8.6993e-33	5.84206e-35	2.82898e-38	9.82181e-41	2.88542e-44	4.695e-47	4.804e-51	1.37446e-54	7.75508e-59	9.34124e-63	1.00955e-66	
