NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	2.42415e-28	1.0161e-24	2.92899e-22	4.77387e-20	6.70975e-19	5.90131e-18	1.67567e-13	7.78729e-11	2.8031e-09	7.4439e-09	1.71604e-08	5.01348e-08	1.87275e-07	4.6907e-06	0.000287334	0.0100949	0.117385	0.377931	0.360089	0.11797	0.0153247	0.000888042	2.52364e-05	3.79523e-07	3.21273e-09	1.61029e-11	4.86824e-17	2.1658e-18	7.82068e-20	2.32144e-21	5.72657e-23	1.1851e-24	2.07452e-26	3.09393e-28	3.95629e-30	4.36201e-32	4.16733e-34	3.46512e-36	2.51794e-38	1.61488e-40	1.24173e-42	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	5.1839e-34	1.23978e-27	3.71608e-23	4.5448e-20	2.82089e-17	5.53731e-15	3.38733e-14	2.81448e-11	4.51126e-09	6.60089e-08	1.10918e-06	1.69605e-05	1.56536e-05	1.99052e-05	0.00142434	0.0681375	0.438018	0.426776	0.0633572	0.00220763	2.56315e-05	1.24741e-07	3.00805e-10	4.35775e-13	4.7891e-16	6.24728e-19	1.02288e-21	9.52486e-25	7.22369e-28	4.90497e-31	1.68445e-34	7.39061e-38	2.00981e-41	8.39697e-45	1.65527e-48	5.50073e-52	7.38092e-56	1.49465e-59	1.39743e-63	2.00686e-67	2.8003e-71	
N3	9.84035e-35	4.96243e-29	5.89978e-25	2.37521e-21	1.08797e-18	1.61076e-16	1.22364e-14	1.30178e-11	4.2469e-09	2.84837e-08	9.39036e-08	8.56573e-07	1.73057e-06	7.21639e-06	0.000468731	0.0286656	0.315824	0.534301	0.114859	0.00575653	0.000111147	3.85117e-06	2.94189e-07	4.77346e-08	8.04846e-10	1.6764e-11	1.8644e-13	8.45702e-16	4.81218e-18	2.32291e-19	5.86214e-22	2.81854e-23	2.67451e-26	5.18549e-28	2.74396e-31	1.8407e-33	6.57669e-37	1.86941e-39	4.8842e-43	7.35088e-46	1.59376e-48	
N4	3.82115e-39	3.16075e-32	1.46693e-27	1.10616e-23	6.31841e-21	1.71638e-18	7.66551e-18	5.62186e-14	1.18882e-10	7.22756e-11	1.06371e-10	1.63478e-08	2.5855e-08	6.75635e-09	1.45681e-06	0.000693619	0.0692243	0.744096	0.180796	0.00515211	3.64006e-05	1.11755e-07	4.16207e-10	3.77319e-12	1.06701e-14	2.29905e-17	3.54646e-20	1.8816e-23	9.83283e-27	1.03929e-29	3.58571e-33	5.26838e-36	1.05879e-39	8.01644e-43	8.41948e-47	2.71349e-50	1.70316e-54	2.51967e-58	1.00351e-62	8.61052e-67	7.01837e-71	
N5	1.07836e-41	5.43258e-35	2.03415e-30	4.25105e-26	4.34845e-23	1.19365e-20	6.92196e-19	2.61612e-15	1.30706e-12	1.82743e-12	6.51895e-12	2.43973e-10	5.46332e-10	2.77915e-09	1.43806e-06	0.000644097	0.0654113	0.718958	0.207582	0.00733926	6.38319e-05	2.0276e-07	4.57311e-10	3.11866e-11	1.06605e-12	1.12932e-14	2.3824e-16	2.4149e-19	6.31453e-22	5.64065e-25	2.00612e-28	3.51335e-30	2.16495e-33	4.1281e-35	8.82442e-39	8.54566e-41	6.64569e-45	1.20347e-47	6.24679e-52	3.71303e-55	4.17562e-59	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.28701e-39	9.91049e-34	1.6297e-29	1.07153e-25	5.50844e-23	9.235e-21	9.16047e-19	6.62962e-16	1.0648e-13	4.65807e-13	2.98813e-12	1.03411e-10	1.39698e-09	2.79005e-08	6.48151e-06	0.00132667	0.0777932	0.684562	0.224912	0.0112341	0.000164371	9.86839e-07	3.73204e-09	3.46866e-10	3.1156e-11	8.97363e-13	5.69707e-14	1.91264e-16	1.46381e-18	3.97478e-21	3.77954e-24	1.28289e-25	3.22992e-28	1.85775e-29	1.78755e-32	5.68227e-34	1.86315e-37	1.24179e-39	2.75314e-43	5.80799e-46	2.6705e-49	
N7	3.64298e-43	3.06286e-42	2.72845e-41	2.30445e-40	1.83685e-39	1.59577e-27	9.60349e-38	3.5698e-23	5.65916e-15	2.26679e-20	3.47358e-20	6.52008e-13	3.60397e-18	5.22031e-33	1.39249e-32	6.82247e-14	6.724e-07	0.999998	1.53991e-06	3.95805e-13	5.14056e-33	1.43788e-33	3.82768e-34	2.0114e-34	1.90987e-34	2.44018e-34	3.30244e-34	2.31426e-34	1.63277e-34	1.32075e-34	7.10257e-35	1.09656e-34	9.09414e-35	1.97275e-34	1.62569e-34	2.74747e-34	1.82494e-34	1.94805e-34	1.05784e-34	9.11768e-35	8.6977e-35	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	7.77847e-42	7.28898e-35	5.63218e-30	3.55728e-26	1.32385e-23	1.13683e-20	4.52514e-20	3.28522e-16	8.18417e-13	2.66108e-13	7.99413e-13	3.00259e-10	3.81569e-10	1.47002e-10	5.30812e-08	6.76739e-05	0.0218233	0.853412	0.122996	0.00169547	5.6793e-06	7.08262e-09	5.13388e-12	2.29552e-14	1.07895e-16	2.79406e-19	8.49824e-22	3.70469e-25	2.03692e-28	6.79758e-32	9.85694e-36	1.37187e-38	3.29333e-42	5.45585e-45	6.31984e-49	5.2191e-52	2.73262e-56	6.83456e-60	2.20639e-64	2.16392e-68	1.04157e-72	
