NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	8.72759e-41	1.44708e-18	5.77678e-12	2.6767e-08	1.58631e-05	0.00181785	0.0482996	0.314911	0.481863	0.146621	0.00642962	4.24347e-05	6.46869e-08	2.89254e-11	1.30667e-17	9.47867e-20	4.1313e-22	1.08258e-24	1.72018e-27	1.72247e-30	1.13742e-33	5.15694e-37	1.65877e-40	3.88467e-44	6.75947e-48	8.8787e-52	8.91242e-56	6.90098e-60	4.15031e-64	1.94784e-68	7.15375e-73	2.05793e-77	4.6331e-82	8.14115e-87	1.11134e-91	1.17051e-96	9.42273e-102	5.72562e-107	2.58344e-112	8.5557e-118	1.78818e-122	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	7.44951e-51	1.24751e-25	3.16427e-20	1.21321e-15	1.14265e-11	2.96726e-08	2.06529e-05	0.0034813	0.123101	0.620968	0.241179	0.011115	0.000134671	4.93507e-07	5.14917e-10	1.25617e-13	8.2299e-18	2.20264e-22	2.97851e-27	2.30849e-32	1.11343e-37	3.53882e-43	7.72654e-49	1.19561e-54	1.34289e-60	1.1152e-66	6.94608e-73	3.28082e-79	1.18485e-85	3.29116e-92	7.05801e-99	1.17074e-105	1.50193e-112	1.48723e-119	1.13211e-126	6.58317e-134	2.89827e-141	9.54453e-149	2.31382e-156	4.04322e-164	8.41571e-172	
N3	4.03006e-53	6.73965e-28	1.85486e-22	8.66792e-18	1.1371e-13	4.77333e-10	6.2288e-07	0.000216688	0.0160289	0.18724	0.408525	0.296507	0.0824813	0.00869616	0.000301551	2.47535e-06	4.13571e-09	2.11595e-12	3.51763e-16	2.49915e-20	9.08516e-25	1.89546e-29	2.45198e-34	2.07729e-39	1.19977e-44	4.86903e-50	1.42084e-55	3.03457e-61	4.808e-67	5.70856e-73	5.11573e-79	3.47654e-85	1.82162e-91	2.96246e-97	1.6781e-101	1.07634e-105	5.95809e-110	2.82764e-114	1.14204e-118	3.88614e-123	1.42388e-127	
N4	2.36644e-65	2.739e-39	5.22019e-33	1.73575e-27	1.69902e-22	5.77625e-18	7.02396e-14	2.84499e-10	3.14646e-07	6.90149e-05	0.00354155	0.0560515	0.289588	0.456638	0.18171	0.0123426	5.89943e-05	1.77271e-08	9.57748e-13	1.81141e-17	1.58849e-22	7.5284e-28	2.12224e-33	3.79774e-39	4.51991e-45	3.70332e-51	2.1441e-57	8.94835e-64	2.73329e-70	6.18051e-77	1.04311e-83	1.32121e-90	1.25957e-97	9.04273e-105	4.87934e-112	1.9699e-119	5.9066e-127	1.30128e-134	2.07531e-142	2.34815e-150	2.64744e-158	
N5	5.39595e-68	7.80881e-42	1.89013e-35	8.16667e-30	1.07095e-24	5.0876e-20	9.18576e-16	6.06352e-12	1.27203e-08	6.31183e-06	0.00069848	0.0209705	0.182815	0.454233	0.295889	0.0441313	0.00125164	4.57359e-06	1.00334e-09	5.19415e-14	9.97222e-19	8.91804e-24	4.26018e-29	1.19033e-34	2.07355e-40	2.35981e-46	1.81724e-52	9.72644e-59	3.69326e-65	1.01055e-71	2.01576e-78	2.9554e-85	3.20138e-92	2.56823e-99	1.52525e-106	6.68441e-114	2.14818e-121	5.01299e-129	8.37591e-137	9.82948e-145	1.45585e-152	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.93145e-66	1.40862e-40	1.2174e-34	2.0259e-29	1.11745e-24	2.47998e-20	2.38184e-16	9.91564e-13	1.67578e-09	9.84414e-07	0.000162098	0.00741173	0.096662	0.363371	0.395577	0.125614	0.0110018	0.000198716	2.39868e-07	7.09531e-11	7.9766e-15	4.24934e-19	1.22467e-23	2.08477e-28	2.23019e-33	1.56893e-38	7.51098e-44	2.5117e-49	5.98574e-55	1.03222e-60	1.30278e-66	1.21598e-72	1.44702e-78	1.08904e-82	1.64129e-86	2.10953e-90	2.29792e-94	2.11254e-98	1.62862e-102	1.04348e-106	9.01078e-111	
N7	8.15779e-49	3.76377e-47	1.63222e-45	6.45554e-44	2.29949e-42	7.26264e-41	1.994e-39	4.63857e-38	8.83697e-37	1.31669e-35	1.44113e-34	1.06892e-33	4.98242e-33	1.45638e-32	8.6748e-17	7.50137e-11	2.01968e-05	0.99998	1.29618e-08	3.48148e-17	3.54035e-26	1.41511e-32	8.35429e-33	4.63413e-33	2.43367e-33	1.2176e-33	5.83403e-34	2.68885e-34	1.19655e-34	5.15771e-35	2.15955e-35	8.8045e-36	3.50276e-36	1.36238e-36	5.18913e-37	1.93842e-37	7.11108e-38	2.56496e-38	9.1065e-39	3.18597e-39	1.66038e-39	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
