#Nodes with GAIN events
N14: 1
Rhamar: 2
N54: 1
Calboe: 1
N90: 1
N92: 1
N93: 1
N101: 1
N107: 1
N109: 1
Trihoe: 1
Kinboe: 1
N121: 1
Chaafr: 1
Chacha: 1
Chasen: 1
Chanam: 1
N127: 1
Total number of gain events: 19
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
N7: 2
N8: 2
N9: 1
N10: 1
N15: 2
N17: 1
N22: 2
N26: 3
Rhamar: 1
Rhatem: 1
N32: 1
N33: 1
N37: 1
Furcep: 1
Furang: 1
FGA456: 1
N58: 1
N62: 1
FurbGB: 1
N66: 1
N68: 1
CGA642: 1
CGA236: 1
C3125: 2
N83: 1
C12265: 1
CGA364: 1
C2208: 1
N101: 1
N112: 1
Triowe: 1
Trijoh: 2
Tricri: 1
N121: 1
Chanam: 2
N130: 1
N132: 1
Total number of loss events: 47
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	0	0	0	0	0
BGA710	0	0	0	0	0
BGA309	0	0	0	0	0
B11696	0	5	0	0	0
B11697	0	5	0	0	0
B11609	0	5	0	0	0
BGA392	0	5	0	0	0
B985	1	2	0	0	0
B983	1	2	0	0	0
B199	0	4	0	0	0
BGAA3	0	4	0	0	0
B11604	0	5	0	0	0
BGA583	0	5	0	0	0
BGA89	0	2	0	0	0
BGA40	0	2	0	0	0
BGAA2	0	2	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	4	0	0	0
BGA706	0	4	0	0	0
BGA304	0	2	0	0	0
BGA303	0	2	0	0	0
BGAB1	0	2	0	0	0
BGA7	0	2	0	0	0
PGA445	0	3	0	0	0
PGA363	0	3	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	2	1	0	0	0
Rhatem	0	1	0	0	0
FGA379	0	2	0	0	0
F647	0	2	0	0	0
F3016	0	2	0	0	0
F3015	0	2	0	0	0
F1476	0	1	0	0	0
FGA81	0	1	0	0	0
Furcep	0	2	0	0	0
Furpol	0	1	0	0	0
F2241	0	1	0	0	0
F12266	0	1	0	0	0
Furang	0	2	0	0	0
FGA490	0	1	0	0	0
FGA456	0	2	0	0	0
FGA516	0	1	0	0	0
FGA513	0	1	0	0	0
F12278	1	1	0	0	0
F12279	1	1	0	0	0
Furant	0	1	0	0	0
FGA331	0	1	0	0	0
FGA332	0	1	0	0	0
FGA465	0	1	0	0	0
FGA99	0	2	0	0	0
F12269	0	2	0	0	0
FGA15	0	1	0	0	0
FGA440	0	1	0	0	0
FGA581	0	1	0	0	0
FGA582	0	1	0	0	0
FGA104	0	2	0	0	0
FGA105	0	2	0	0	0
FGA489	0	1	0	0	0
FGA174	0	1	0	0	0
FGA175	0	1	0	0	0
FurbGB	0	2	0	0	0
CGA312	0	1	0	0	0
CGA963	0	1	0	0	0
CGA642	0	3	0	0	0
CGA763	0	2	0	0	0
CGA764	0	2	0	0	0
C601	0	2	0	0	0
C602	0	2	0	0	0
CGA236	0	3	0	0	0
Calboe	1	2	0	0	0
C3125	0	4	0	0	0
CGA429	0	2	0	0	0
CGA430	0	2	0	0	0
C985	0	2	0	0	0
C984	0	2	0	0	0
CGA310	0	2	0	0	0
CGA314	0	2	0	0	0
CGA382	0	3	0	0	0
CGA365	0	3	0	0	0
CGA494	0	3	0	0	0
CGA495	0	3	0	0	0
C12265	0	3	0	0	0
C404	0	2	0	0	0
Cl11778	1	2	0	0	0
Cl11779	1	2	0	0	0
CGA594	0	2	0	0	0
CGA48	0	2	0	0	0
C3134	1	2	0	0	0
C3126	1	2	0	0	0
CGA311	1	0	0	0	0
CGA45	1	0	0	0	0
CGA46	1	0	0	0	0
C3043	1	0	0	0	0
CGA87	1	0	0	0	0
CGA368	1	0	0	0	0
CGA557	1	0	0	0	0
CGA364	1	1	0	0	0
C2208	1	1	0	0	0
CGA453	1	1	0	0	0
CGA383	1	1	0	0	0
CGA501	1	1	0	0	0
C11776	1	1	0	0	0
C3121	1	1	0	0	0
C3123	1	1	0	0	0
Calparcri	2	1	0	0	0
C3118	2	1	0	0	0
Triowe	1	2	0	0	0
Trijoh	1	3	0	0	0
Trimel	1	1	0	0	0
Trihoe	2	0	0	0	0
Tribit	1	0	0	0	0
Trijac	1	0	0	0	0
Tricri	1	1	0	0	0
Triwie	1	0	0	0	0
Triqua	1	0	0	0	0
Kinboe	2	0	0	0	0
Kinfis	1	0	0	0	0
Kinxen	1	0	0	0	0
Chaafr	2	1	0	0	0
Chacha	2	1	0	0	0
Chacaly	1	1	0	0	0
Chazey	1	1	0	0	0
Chadil	1	1	0	0	0
Chasen	2	1	0	0	0
Chanam	2	3	0	0	0
Braset	1	0	0	0	0
Bramel	1	1	0	0	0
Bratha	1	1	0	0	0
Bradra	1	2	0	0	0
Bratra	1	2	0	0	0
Bragut	1	0	0	0	0
Braven	1	0	0	0	0
Brapum	1	0	0	0	0
Bradam	1	0	0	0	0
