#Nodes with GAIN events
BGA309: 1
N11: 1
N15: 1
N25: 1
N28: 1
N32: 1
N37: 1
Furcep: 1
Furpol: 1
FGA456: 1
FGA489: 1
N67: 1
CGA642: 1
CGA236: 1
CGA311: 1
Tricri: 1
N119: 1
Kinxen: 1
Total number of gain events: 18
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
N6: 2
N7: 1
N11: 1
N13: 1
N14: 1
N24: 1
BGA7: 1
N26: 4
Rhaspe: 2
Rhatem: 1
N47: 1
N54: 1
Furant: 1
N63: 1
N67: 1
CGA236: 1
C3125: 1
N78: 2
N80: 1
N86: 1
N92: 1
N93: 1
CGA311: 1
CGA557: 1
N101: 2
N112: 1
Trijoh: 1
Trimel: 2
N116: 1
Kinboe: 1
Chadil: 1
Chanam: 2
N127: 3
Total number of loss events: 45
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	0	2	0	0	0
BGA710	0	2	0	0	0
BGA309	1	0	0	0	0
B11696	0	1	0	0	0
B11697	0	1	0	0	0
B11609	0	1	0	0	0
BGA392	0	1	0	0	0
B985	1	4	0	0	0
B983	1	4	0	0	0
B199	2	3	0	0	0
BGAA3	2	3	0	0	0
B11604	2	3	0	0	0
BGA583	2	3	0	0	0
BGA89	1	2	0	0	0
BGA40	1	2	0	0	0
BGAA2	1	2	0	0	0
BGAA1	1	2	0	0	0
BGA584	1	2	0	0	0
BGA706	1	2	0	0	0
BGA304	1	3	0	0	0
BGA303	1	3	0	0	0
BGAB1	2	2	0	0	0
BGA7	2	3	0	0	0
PGA445	0	4	0	0	0
PGA363	0	4	0	0	0
Rhaspe	1	2	0	0	0
Rhamar	1	0	0	0	0
Rhatem	1	1	0	0	0
FGA379	1	0	0	0	0
F647	1	0	0	0	0
F3016	2	0	0	0	0
F3015	2	0	0	0	0
F1476	1	0	0	0	0
FGA81	1	0	0	0	0
Furcep	2	0	0	0	0
Furpol	2	0	0	0	0
F2241	1	1	0	0	0
F12266	1	1	0	0	0
Furang	1	0	0	0	0
FGA490	1	0	0	0	0
FGA456	2	0	0	0	0
FGA516	1	0	0	0	0
FGA513	1	0	0	0	0
F12278	1	1	0	0	0
F12279	1	1	0	0	0
Furant	1	1	0	0	0
FGA331	1	0	0	0	0
FGA332	1	0	0	0	0
FGA465	1	0	0	0	0
FGA99	1	0	0	0	0
F12269	1	0	0	0	0
FGA15	1	0	0	0	0
FGA440	1	0	0	0	0
FGA581	1	0	0	0	0
FGA582	1	0	0	0	0
FGA104	1	0	0	0	0
FGA105	1	0	0	0	0
FGA489	2	0	0	0	0
FGA174	1	1	0	0	0
FGA175	1	1	0	0	0
FurbGB	1	0	0	0	0
CGA312	1	1	0	0	0
CGA963	1	1	0	0	0
CGA642	1	0	0	0	0
CGA763	0	0	0	0	0
CGA764	0	0	0	0	0
C601	0	0	0	0	0
C602	0	0	0	0	0
CGA236	1	1	0	0	0
Calboe	0	0	0	0	0
C3125	0	1	0	0	0
CGA429	0	2	0	0	0
CGA430	0	2	0	0	0
C985	0	1	0	0	0
C984	0	1	0	0	0
CGA310	0	0	0	0	0
CGA314	0	0	0	0	0
CGA382	0	0	0	0	0
CGA365	0	0	0	0	0
CGA494	0	0	0	0	0
CGA495	0	0	0	0	0
C12265	0	1	0	0	0
C404	0	1	0	0	0
Cl11778	0	1	0	0	0
Cl11779	0	1	0	0	0
CGA594	0	1	0	0	0
CGA48	0	1	0	0	0
C3134	0	2	0	0	0
C3126	0	2	0	0	0
CGA311	1	2	0	0	0
CGA45	0	1	0	0	0
CGA46	0	1	0	0	0
C3043	0	1	0	0	0
CGA87	0	1	0	0	0
CGA368	0	1	0	0	0
CGA557	0	2	0	0	0
CGA364	0	1	0	0	0
C2208	0	1	0	0	0
CGA453	0	2	0	0	0
CGA383	0	2	0	0	0
CGA501	0	2	0	0	0
C11776	0	2	0	0	0
C3121	0	2	0	0	0
C3123	0	2	0	0	0
Calparcri	0	2	0	0	0
C3118	0	2	0	0	0
Triowe	0	1	0	0	0
Trijoh	0	2	0	0	0
Trimel	0	3	0	0	0
Trihoe	0	0	0	0	0
Tribit	0	0	0	0	0
Trijac	0	0	0	0	0
Tricri	1	1	0	0	0
Triwie	0	1	0	0	0
Triqua	0	1	0	0	0
Kinboe	1	1	0	0	0
Kinfis	1	0	0	0	0
Kinxen	1	0	0	0	0
Chaafr	0	0	0	0	0
Chacha	0	0	0	0	0
Chacaly	0	0	0	0	0
Chazey	0	0	0	0	0
Chadil	0	1	0	0	0
Chasen	0	0	0	0	0
Chanam	0	2	0	0	0
Braset	0	3	0	0	0
Bramel	0	3	0	0	0
Bratha	0	3	0	0	0
Bradra	0	3	0	0	0
Bratra	0	3	0	0	0
Bragut	0	3	0	0	0
Braven	0	3	0	0	0
Brapum	0	3	0	0	0
Bradam	0	3	0	0	0
