#Nodes with GAIN events
FGA456: 1
Total number of gain events: 1
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
Total number of loss events: 0
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	0	0	0	0	0
B3088	0	0	0	0	0
BGA709	0	0	0	0	0
BGA710	0	0	0	0	0
BGA309	0	0	0	0	0
B11696	0	0	0	0	0
B11697	0	0	0	0	0
B11609	0	0	0	0	0
BGA392	0	0	0	0	0
B985	0	0	0	0	0
B983	0	0	0	0	0
B199	0	0	0	0	0
BGAA3	0	0	0	0	0
B11604	0	0	0	0	0
BGA583	0	0	0	0	0
BGA89	0	0	0	0	0
BGA40	0	0	0	0	0
BGAA2	0	0	0	0	0
BGAA1	0	0	0	0	0
BGA584	0	0	0	0	0
BGA706	0	0	0	0	0
BGA304	0	0	0	0	0
BGA303	0	0	0	0	0
BGAB1	0	0	0	0	0
BGA7	0	0	0	0	0
PGA445	0	0	0	0	0
PGA363	0	0	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	0	0	0	0	0
Rhatem	0	0	0	0	0
FGA379	0	0	0	0	0
F647	0	0	0	0	0
F3016	0	0	0	0	0
F3015	0	0	0	0	0
F1476	0	0	0	0	0
FGA81	0	0	0	0	0
Furcep	0	0	0	0	0
Furpol	0	0	0	0	0
F2241	0	0	0	0	0
F12266	0	0	0	0	0
Furang	0	0	0	0	0
Fga490	0	0	0	0	0
FGA456	1	0	0	0	0
FGA516	0	0	0	0	0
FGA513	0	0	0	0	0
F12278	0	0	0	0	0
F12279	0	0	0	0	0
Furant	0	0	0	0	0
FGA331	0	0	0	0	0
FGA332	0	0	0	0	0
FGA465	0	0	0	0	0
FGA99	0	0	0	0	0
F12269	0	0	0	0	0
FGA15	0	0	0	0	0
FGA440	0	0	0	0	0
FGA581	0	0	0	0	0
FGA582	0	0	0	0	0
FGA104	0	0	0	0	0
FGA105	0	0	0	0	0
FGA489	0	0	0	0	0
FGA174	0	0	0	0	0
FGA175	0	0	0	0	0
FurbGB	0	0	0	0	0
CGA312	0	0	0	0	0
CGA963	0	0	0	0	0
CGA642	0	0	0	0	0
CGA763	0	0	0	0	0
CGA764	0	0	0	0	0
C601	0	0	0	0	0
C602	0	0	0	0	0
CGA236	0	0	0	0	0
Calboe	0	0	0	0	0
C3125	0	0	0	0	0
CGA429	0	0	0	0	0
CGA430	0	0	0	0	0
C985	0	0	0	0	0
C984	0	0	0	0	0
CGA310	0	0	0	0	0
CGA314	0	0	0	0	0
CGA382	0	0	0	0	0
CGA365	0	0	0	0	0
CGA494	0	0	0	0	0
CGA495	0	0	0	0	0
C12265	0	0	0	0	0
C404	0	0	0	0	0
Cl11778	0	0	0	0	0
Cl11779	0	0	0	0	0
CGA594	0	0	0	0	0
CGA48	0	0	0	0	0
C3134	0	0	0	0	0
C3126	0	0	0	0	0
CGA311	0	0	0	0	0
CGA45	0	0	0	0	0
CGA46	0	0	0	0	0
C3043	0	0	0	0	0
CGA87	0	0	0	0	0
CGA368	0	0	0	0	0
CGA557	0	0	0	0	0
CGA364	0	0	0	0	0
C2208	0	0	0	0	0
CGA453	0	0	0	0	0
CGA383	0	0	0	0	0
CGA501	0	0	0	0	0
C11776	0	0	0	0	0
C3121	0	0	0	0	0
C3123	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	0	0	0	0
Triowe	0	0	0	0	0
Trijoh	0	0	0	0	0
Trimel	0	0	0	0	0
Trihoe	0	0	0	0	0
Tribit	0	0	0	0	0
Trijac	0	0	0	0	0
Tricri	0	0	0	0	0
Triwie	0	0	0	0	0
Triqua	0	0	0	0	0
Kinboe	0	0	0	0	0
Kinfis	0	0	0	0	0
Kinxen	0	0	0	0	0
Chaafr	0	0	0	0	0
Chacha	0	0	0	0	0
Chacaly	0	0	0	0	0
Chazey	0	0	0	0	0
Chadil	0	0	0	0	0
Chasen	0	0	0	0	0
Chanam	0	0	0	0	0
Riebrev	0	0	0	0	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
