#Nodes with GAIN events
B3088: 1
BGA309: 1
N24: 1
N33: 1
N34: 1
FGA489: 1
N67: 1
N77: 1
C12265: 1
N101: 1
N116: 1
N122: 1
Chadil: 1
N131: 1
Braven: 1
Bradam: 1
Total number of gain events: 16
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 2
N6: 1
BGA309: 1
N7: 1
N26: 1
N27: 2
Rhamar: 3
Rhatem: 1
N31: 1
N42: 1
FGA490: 3
FGA465: 1
FGA489: 1
N63: 1
N67: 1
N71: 1
N73: 1
CGA236: 2
N77: 1
N94: 1
Trihoe: 2
Trijac: 1
N116: 1
Triwie: 2
N119: 1
N122: 1
Chazey: 1
N127: 4
Braset: 1
N130: 1
Bradra: 1
Bratra: 1
Total number of loss events: 44
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	2	0	0	0
BGA709	0	1	0	0	0
BGA710	0	1	0	0	0
BGA309	1	1	0	0	0
B11696	0	1	0	0	0
B11697	0	1	0	0	0
B11609	0	1	0	0	0
BGA392	0	1	0	0	0
B985	0	1	0	0	0
B983	0	1	0	0	0
B199	0	1	0	0	0
BGAA3	0	1	0	0	0
B11604	0	1	0	0	0
BGA583	0	1	0	0	0
BGA89	0	1	0	0	0
BGA40	0	1	0	0	0
BGAA2	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA706	0	1	0	0	0
BGA304	1	1	0	0	0
BGA303	1	1	0	0	0
BGAB1	0	1	0	0	0
BGA7	0	1	0	0	0
PGA445	0	1	0	0	0
PGA363	0	1	0	0	0
Rhaspe	0	2	0	0	0
Rhamar	0	5	0	0	0
Rhatem	0	3	0	0	0
FGA379	1	3	0	0	0
F647	1	3	0	0	0
F3016	1	3	0	0	0
F3015	1	3	0	0	0
F1476	1	4	0	0	0
FGA81	1	4	0	0	0
Furcep	1	3	0	0	0
Furpol	1	3	0	0	0
F2241	1	3	0	0	0
F12266	1	3	0	0	0
Furang	1	3	0	0	0
FGA490	1	6	0	0	0
FGA456	1	3	0	0	0
FGA516	1	3	0	0	0
FGA513	1	3	0	0	0
F12278	1	3	0	0	0
F12279	1	3	0	0	0
Furant	1	3	0	0	0
FGA331	1	3	0	0	0
FGA332	1	3	0	0	0
FGA465	1	4	0	0	0
FGA99	1	3	0	0	0
F12269	1	3	0	0	0
FGA15	1	3	0	0	0
FGA440	1	3	0	0	0
FGA581	1	3	0	0	0
FGA582	1	3	0	0	0
FGA104	1	3	0	0	0
FGA105	1	3	0	0	0
FGA489	2	4	0	0	0
FGA174	1	4	0	0	0
FGA175	1	4	0	0	0
FurbGB	1	3	0	0	0
CGA312	1	4	0	0	0
CGA963	1	4	0	0	0
CGA642	0	4	0	0	0
CGA763	0	5	0	0	0
CGA764	0	5	0	0	0
C601	0	4	0	0	0
C602	0	4	0	0	0
CGA236	0	5	0	0	0
Calboe	1	4	0	0	0
C3125	1	4	0	0	0
CGA429	0	3	0	0	0
CGA430	0	3	0	0	0
C985	0	3	0	0	0
C984	0	3	0	0	0
CGA310	0	3	0	0	0
CGA314	0	3	0	0	0
CGA382	0	3	0	0	0
CGA365	0	3	0	0	0
CGA494	0	3	0	0	0
CGA495	0	3	0	0	0
C12265	1	3	0	0	0
C404	0	3	0	0	0
Cl11778	0	3	0	0	0
Cl11779	0	3	0	0	0
CGA594	0	3	0	0	0
CGA48	0	3	0	0	0
C3134	0	3	0	0	0
C3126	0	3	0	0	0
CGA311	0	3	0	0	0
CGA45	0	4	0	0	0
CGA46	0	4	0	0	0
C3043	0	4	0	0	0
CGA87	0	4	0	0	0
CGA368	0	4	0	0	0
CGA557	0	4	0	0	0
CGA364	0	4	0	0	0
C2208	0	4	0	0	0
CGA453	1	3	0	0	0
CGA383	1	3	0	0	0
CGA501	1	3	0	0	0
C11776	1	3	0	0	0
C3121	1	3	0	0	0
C3123	1	3	0	0	0
Calparcri	1	3	0	0	0
C3118	1	3	0	0	0
Triowe	0	2	0	0	0
Trijoh	0	2	0	0	0
Trimel	0	2	0	0	0
Trihoe	0	4	0	0	0
Tribit	0	2	0	0	0
Trijac	0	3	0	0	0
Tricri	1	3	0	0	0
Triwie	1	5	0	0	0
Triqua	1	3	0	0	0
Kinboe	0	3	0	0	0
Kinfis	0	3	0	0	0
Kinxen	0	2	0	0	0
Chaafr	1	3	0	0	0
Chacha	1	3	0	0	0
Chacaly	1	3	0	0	0
Chazey	1	4	0	0	0
Chadil	2	3	0	0	0
Chasen	1	3	0	0	0
Chanam	0	2	0	0	0
Braset	0	7	0	0	0
Bramel	1	7	0	0	0
Bratha	1	7	0	0	0
Bradra	0	8	0	0	0
Bratra	0	8	0	0	0
Bragut	0	6	0	0	0
Braven	1	6	0	0	0
Brapum	0	6	0	0	0
Bradam	1	6	0	0	0
