#Nodes with GAIN events
N24: 1
N25: 1
Rhamar: 1
Rhatem: 2
N32: 1
N33: 1
N37: 1
N58: 1
N71: 1
N85: 1
N92: 1
N93: 2
N110: 1
Trijoh: 1
Kinxen: 1
Chacha: 1
Chazey: 1
Chadil: 1
Chanam: 1
Total number of gain events: 21
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
B3088: 2
N5: 1
N6: 1
BGA309: 3
N14: 1
N15: 1
N18: 1
N26: 3
Rhaspe: 1
Rhamar: 1
Rhatem: 2
N31: 1
N33: 1
N34: 1
N37: 1
Furcep: 1
Furpol: 1
FGA490: 1
N56: 1
N61: 1
FurbGB: 1
N82: 2
C12265: 1
N90: 1
N93: 1
N100: 1
N102: 1
N103: 1
N110: 1
Triowe: 1
Trijac: 2
Triqua: 1
N119: 2
Chanam: 2
N127: 4
N130: 1
Total number of loss events: 50
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	3	0	0	0
BGA709	0	3	0	0	0
BGA710	0	3	0	0	0
BGA309	0	5	0	0	0
B11696	0	1	0	0	0
B11697	0	1	0	0	0
B11609	0	1	0	0	0
BGA392	0	1	0	0	0
B985	0	2	0	0	0
B983	0	2	0	0	0
B199	0	2	0	0	0
BGAA3	0	2	0	0	0
B11604	0	2	0	0	0
BGA583	0	2	0	0	0
BGA89	0	2	0	0	0
BGA40	0	2	0	0	0
BGAA2	0	2	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	2	0	0	0
BGA706	0	2	0	0	0
BGA304	1	1	0	0	0
BGA303	1	1	0	0	0
BGAB1	1	1	0	0	0
BGA7	1	1	0	0	0
PGA445	0	3	0	0	0
PGA363	0	3	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	1	1	0	0	0
Rhatem	2	2	0	0	0
FGA379	2	2	0	0	0
F647	2	2	0	0	0
F3016	2	3	0	0	0
F3015	2	3	0	0	0
F1476	1	2	0	0	0
FGA81	1	2	0	0	0
Furcep	1	3	0	0	0
Furpol	1	3	0	0	0
F2241	1	2	0	0	0
F12266	1	2	0	0	0
Furang	1	2	0	0	0
FGA490	1	3	0	0	0
FGA456	1	2	0	0	0
FGA516	1	2	0	0	0
FGA513	1	2	0	0	0
F12278	1	2	0	0	0
F12279	1	2	0	0	0
Furant	1	2	0	0	0
FGA331	1	3	0	0	0
FGA332	1	3	0	0	0
FGA465	1	2	0	0	0
FGA99	2	2	0	0	0
F12269	2	2	0	0	0
FGA15	1	2	0	0	0
FGA440	1	2	0	0	0
FGA581	1	3	0	0	0
FGA582	1	3	0	0	0
FGA104	1	2	0	0	0
FGA105	1	2	0	0	0
FGA489	1	2	0	0	0
FGA174	1	2	0	0	0
FGA175	1	2	0	0	0
FurbGB	1	3	0	0	0
CGA312	0	1	0	0	0
CGA963	0	1	0	0	0
CGA642	1	1	0	0	0
CGA763	1	1	0	0	0
CGA764	1	1	0	0	0
C601	1	1	0	0	0
C602	1	1	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	1	0	0	0
CGA430	0	1	0	0	0
C985	0	1	0	0	0
C984	0	1	0	0	0
CGA310	0	3	0	0	0
CGA314	0	3	0	0	0
CGA382	0	1	0	0	0
CGA365	0	1	0	0	0
CGA494	1	1	0	0	0
CGA495	1	1	0	0	0
C12265	0	2	0	0	0
C404	0	1	0	0	0
Cl11778	0	2	0	0	0
Cl11779	0	2	0	0	0
CGA594	0	1	0	0	0
CGA48	0	1	0	0	0
C3134	1	1	0	0	0
C3126	1	1	0	0	0
CGA311	2	2	0	0	0
CGA45	2	2	0	0	0
CGA46	2	2	0	0	0
C3043	2	2	0	0	0
CGA87	2	2	0	0	0
CGA368	2	3	0	0	0
CGA557	2	3	0	0	0
CGA364	2	2	0	0	0
C2208	2	2	0	0	0
CGA453	0	3	0	0	0
CGA383	0	3	0	0	0
CGA501	0	2	0	0	0
C11776	0	2	0	0	0
C3121	0	2	0	0	0
C3123	0	2	0	0	0
Calparcri	0	1	0	0	0
C3118	0	1	0	0	0
Triowe	1	2	0	0	0
Trijoh	2	1	0	0	0
Trimel	1	1	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	1	3	0	0	0
Tricri	1	1	0	0	0
Triwie	1	1	0	0	0
Triqua	1	2	0	0	0
Kinboe	0	2	0	0	0
Kinfis	0	2	0	0	0
Kinxen	1	0	0	0	0
Chaafr	0	0	0	0	0
Chacha	1	0	0	0	0
Chacaly	0	0	0	0	0
Chazey	1	0	0	0	0
Chadil	1	0	0	0	0
Chasen	0	0	0	0	0
Chanam	1	2	0	0	0
Braset	0	4	0	0	0
Bramel	0	5	0	0	0
Bratha	0	5	0	0	0
Bradra	0	5	0	0	0
Bratra	0	5	0	0	0
Bragut	0	4	0	0	0
Braven	0	4	0	0	0
Brapum	0	4	0	0	0
Bradam	0	4	0	0	0
