#Nodes with GAIN events
B3088: 1
BGA309: 1
BGA706: 1
N23: 1
N26: 2
N33: 1
N43: 1
Furang: 1
N74: 1
Triowe: 1
N127: 2
Total number of gain events: 13
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
N9: 1
B11609: 1
N14: 1
N15: 1
N21: 1
N24: 2
N26: 2
Rhaspe: 3
Rhamar: 3
N31: 1
N33: 3
N37: 1
N40: 2
Furcep: 1
FGA490: 1
FGA456: 1
FGA465: 1
N58: 1
FGA489: 2
N66: 1
N67: 2
N72: 1
N78: 1
N80: 2
N85: 1
C12265: 1
N90: 1
CGA311: 1
CGA364: 1
N103: 1
N106: 1
Trimel: 1
N114: 1
N116: 1
Triwie: 1
Triqua: 2
Kinboe: 1
Kinxen: 3
N121: 1
N123: 1
Chadil: 1
Chanam: 2
Braset: 1
Total number of loss events: 60
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	1	1	0	0	0
BGA709	0	1	0	0	0
BGA710	0	1	0	0	0
BGA309	1	1	0	0	0
B11696	0	2	0	0	0
B11697	0	2	0	0	0
B11609	0	2	0	0	0
BGA392	0	1	0	0	0
B985	0	2	0	0	0
B983	0	2	0	0	0
B199	0	2	0	0	0
BGAA3	0	2	0	0	0
B11604	0	2	0	0	0
BGA583	0	2	0	0	0
BGA89	0	1	0	0	0
BGA40	0	1	0	0	0
BGAA2	0	2	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	1	0	0	0
BGA706	1	1	0	0	0
BGA304	1	3	0	0	0
BGA303	1	3	0	0	0
BGAB1	1	1	0	0	0
BGA7	1	1	0	0	0
PGA445	2	2	0	0	0
PGA363	2	2	0	0	0
Rhaspe	0	3	0	0	0
Rhamar	0	3	0	0	0
Rhatem	0	0	0	0	0
FGA379	1	4	0	0	0
F647	1	4	0	0	0
F3016	0	2	0	0	0
F3015	0	2	0	0	0
F1476	0	3	0	0	0
FGA81	0	3	0	0	0
Furcep	1	4	0	0	0
Furpol	1	3	0	0	0
F2241	1	3	0	0	0
F12266	1	3	0	0	0
Furang	2	3	0	0	0
FGA490	1	4	0	0	0
FGA456	0	4	0	0	0
FGA516	0	3	0	0	0
FGA513	0	3	0	0	0
F12278	0	3	0	0	0
F12279	0	3	0	0	0
Furant	0	3	0	0	0
FGA331	0	3	0	0	0
FGA332	0	3	0	0	0
FGA465	0	4	0	0	0
FGA99	0	4	0	0	0
F12269	0	4	0	0	0
FGA15	0	3	0	0	0
FGA440	0	3	0	0	0
FGA581	0	3	0	0	0
FGA582	0	3	0	0	0
FGA104	0	1	0	0	0
FGA105	0	1	0	0	0
FGA489	0	3	0	0	0
FGA174	0	1	0	0	0
FGA175	0	1	0	0	0
FurbGB	0	1	0	0	0
CGA312	0	4	0	0	0
CGA963	0	4	0	0	0
CGA642	0	2	0	0	0
CGA763	0	3	0	0	0
CGA764	0	3	0	0	0
C601	1	3	0	0	0
C602	1	3	0	0	0
CGA236	0	2	0	0	0
Calboe	0	2	0	0	0
C3125	0	2	0	0	0
CGA429	0	3	0	0	0
CGA430	0	3	0	0	0
C985	0	4	0	0	0
C984	0	4	0	0	0
CGA310	0	2	0	0	0
CGA314	0	2	0	0	0
CGA382	0	2	0	0	0
CGA365	0	2	0	0	0
CGA494	0	3	0	0	0
CGA495	0	3	0	0	0
C12265	0	3	0	0	0
C404	0	2	0	0	0
Cl11778	0	3	0	0	0
Cl11779	0	3	0	0	0
CGA594	0	2	0	0	0
CGA48	0	2	0	0	0
C3134	0	2	0	0	0
C3126	0	2	0	0	0
CGA311	0	2	0	0	0
CGA45	0	1	0	0	0
CGA46	0	1	0	0	0
C3043	0	1	0	0	0
CGA87	0	1	0	0	0
CGA368	0	1	0	0	0
CGA557	0	1	0	0	0
CGA364	0	2	0	0	0
C2208	0	1	0	0	0
CGA453	0	2	0	0	0
CGA383	0	2	0	0	0
CGA501	0	1	0	0	0
C11776	0	1	0	0	0
C3121	0	2	0	0	0
C3123	0	2	0	0	0
Calparcri	0	1	0	0	0
C3118	0	1	0	0	0
Triowe	1	0	0	0	0
Trijoh	0	0	0	0	0
Trimel	0	1	0	0	0
Trihoe	0	1	0	0	0
Tribit	0	1	0	0	0
Trijac	0	1	0	0	0
Tricri	0	1	0	0	0
Triwie	0	2	0	0	0
Triqua	0	3	0	0	0
Kinboe	0	1	0	0	0
Kinfis	0	0	0	0	0
Kinxen	0	3	0	0	0
Chaafr	0	2	0	0	0
Chacha	0	2	0	0	0
Chacaly	0	2	0	0	0
Chazey	0	2	0	0	0
Chadil	0	2	0	0	0
Chasen	0	1	0	0	0
Chanam	0	3	0	0	0
Braset	2	1	0	0	0
Bramel	2	0	0	0	0
Bratha	2	0	0	0	0
Bradra	2	0	0	0	0
Bratra	2	0	0	0	0
Bragut	2	0	0	0	0
Braven	2	0	0	0	0
Brapum	2	0	0	0	0
Bradam	2	0	0	0	0
