#Nodes with GAIN events
N10: 1
N15: 1
N26: 2
Rhaspe: 1
Rhamar: 1
Rhatem: 2
N32: 1
Furpol: 1
N56: 1
N57: 1
N74: 1
Calboe: 1
N81: 1
N85: 1
C404: 1
N98: 1
CGA364: 1
C2208: 1
N105: 1
N112: 1
N113: 1
N121: 1
N122: 1
Chanam: 1
Total number of gain events: 26
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 2
BGA309: 1
N8: 2
N11: 1
N24: 1
N26: 2
Rhaspe: 1
Rhamar: 2
Rhatem: 3
N31: 1
Furant: 2
N58: 1
FurbGB: 1
N66: 1
N67: 1
Calboe: 1
C3125: 1
N93: 1
CGA311: 1
N95: 1
N96: 1
N101: 1
N107: 1
N109: 1
Triqua: 1
Kinboe: 1
N123: 1
Chadil: 1
Chanam: 1
Bradra: 1
Total number of loss events: 37
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	0	0
BGA709	0	0	0	0	0
BGA710	0	0	0	0	0
BGA309	0	1	0	0	0
B11696	0	2	0	0	0
B11697	0	2	0	0	0
B11609	1	2	0	0	0
BGA392	1	2	0	0	0
B985	0	1	0	0	0
B983	0	1	0	0	0
B199	1	1	0	0	0
BGAA3	1	1	0	0	0
B11604	1	1	0	0	0
BGA583	1	1	0	0	0
BGA89	0	1	0	0	0
BGA40	0	1	0	0	0
BGAA2	0	1	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA706	0	1	0	0	0
BGA304	0	2	0	0	0
BGA303	0	2	0	0	0
BGAB1	0	1	0	0	0
BGA7	0	1	0	0	0
PGA445	2	2	0	0	0
PGA363	2	2	0	0	0
Rhaspe	1	1	0	0	0
Rhamar	1	2	0	0	0
Rhatem	2	3	0	0	0
FGA379	1	1	0	0	0
F647	1	1	0	0	0
F3016	1	1	0	0	0
F3015	1	1	0	0	0
F1476	1	1	0	0	0
FGA81	1	1	0	0	0
Furcep	1	1	0	0	0
Furpol	2	1	0	0	0
F2241	1	1	0	0	0
F12266	1	1	0	0	0
Furang	1	1	0	0	0
FGA490	1	1	0	0	0
FGA456	1	1	0	0	0
FGA516	1	1	0	0	0
FGA513	1	1	0	0	0
F12278	1	1	0	0	0
F12279	1	1	0	0	0
Furant	1	3	0	0	0
FGA331	2	1	0	0	0
FGA332	2	1	0	0	0
FGA465	1	1	0	0	0
FGA99	2	2	0	0	0
F12269	2	2	0	0	0
FGA15	2	1	0	0	0
FGA440	2	1	0	0	0
FGA581	2	1	0	0	0
FGA582	2	1	0	0	0
FGA104	1	1	0	0	0
FGA105	1	1	0	0	0
FGA489	1	1	0	0	0
FGA174	1	1	0	0	0
FGA175	1	1	0	0	0
FurbGB	1	2	0	0	0
CGA312	0	3	0	0	0
CGA963	0	3	0	0	0
CGA642	0	2	0	0	0
CGA763	0	2	0	0	0
CGA764	0	2	0	0	0
C601	1	2	0	0	0
C602	1	2	0	0	0
CGA236	0	2	0	0	0
Calboe	1	3	0	0	0
C3125	0	3	0	0	0
CGA429	0	2	0	0	0
CGA430	0	2	0	0	0
C985	0	2	0	0	0
C984	0	2	0	0	0
CGA310	1	2	0	0	0
CGA314	1	2	0	0	0
CGA382	1	2	0	0	0
CGA365	1	2	0	0	0
CGA494	2	2	0	0	0
CGA495	2	2	0	0	0
C12265	0	2	0	0	0
C404	1	2	0	0	0
Cl11778	0	2	0	0	0
Cl11779	0	2	0	0	0
CGA594	0	2	0	0	0
CGA48	0	2	0	0	0
C3134	0	2	0	0	0
C3126	0	2	0	0	0
CGA311	0	3	0	0	0
CGA45	0	4	0	0	0
CGA46	0	4	0	0	0
C3043	1	3	0	0	0
CGA87	1	3	0	0	0
CGA368	1	3	0	0	0
CGA557	1	3	0	0	0
CGA364	1	3	0	0	0
C2208	1	2	0	0	0
CGA453	0	2	0	0	0
CGA383	0	2	0	0	0
CGA501	1	2	0	0	0
C11776	1	2	0	0	0
C3121	0	2	0	0	0
C3123	0	2	0	0	0
Calparcri	0	3	0	0	0
C3118	0	3	0	0	0
Triowe	1	1	0	0	0
Trijoh	2	1	0	0	0
Trimel	2	1	0	0	0
Trihoe	0	1	0	0	0
Tribit	0	1	0	0	0
Trijac	0	1	0	0	0
Tricri	0	1	0	0	0
Triwie	0	1	0	0	0
Triqua	0	2	0	0	0
Kinboe	0	2	0	0	0
Kinfis	0	1	0	0	0
Kinxen	0	1	0	0	0
Chaafr	2	1	0	0	0
Chacha	2	1	0	0	0
Chacaly	2	1	0	0	0
Chazey	2	1	0	0	0
Chadil	2	1	0	0	0
Chasen	2	0	0	0	0
Chanam	2	1	0	0	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	1	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
