#Nodes with GAIN events
BGA709: 1
N6: 1
B985: 1
Rhamar: 2
Rhatem: 3
FGA379: 1
Furcep: 1
FGA174: 1
FurbGB: 1
CGA236: 1
CGA310: 1
C404: 1
CGA311: 1
N67: 1
Triqua: 1
Total number of gain events: 18
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
B3088: 4
BGA709: 1
B11609: 1
BGA584: 1
N14: 1
Rhaspe: 1
Rhatem: 2
N22: 1
N27: 1
F1476: 1
FGA456: 1
FurbGB: 3
CGA236: 1
N49: 1
N50: 1
Calboe: 1
C985: 1
CGA310: 1
CGA494: 1
C404: 1
N62: 1
N63: 2
Calparcri: 1
N70: 2
Triowe: 1
Trijoh: 1
N72: 1
Kinboe: 2
Kinxen: 2
Chazey: 1
Chasen: 1
Chanam: 2
N85: 3
N91: 2
Total number of loss events: 49
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	5	0	0	0
BGA709	1	2	0	0	0
BGA309	0	1	0	0	0
B11696	1	1	0	0	0
B11609	1	2	0	0	0
B985	2	1	0	0	0
B199	1	1	0	0	0
B11604	1	1	0	0	0
BGA89	1	1	0	0	0
BGAA2	1	1	0	0	0
BGA584	1	2	0	0	0
BGA304	1	2	0	0	0
BGAB1	1	2	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	2	0	0	0	0
Rhatem	3	2	0	0	0
FGA379	1	0	0	0	0
F3016	0	1	0	0	0
F1476	0	3	0	0	0
Furcep	1	2	0	0	0
Furpol	0	2	0	0	0
F2241	0	2	0	0	0
Furang	0	2	0	0	0
FGA490	0	2	0	0	0
FGA456	0	2	0	0	0
FGA516	0	1	0	0	0
F12278	0	1	0	0	0
Furant	0	1	0	0	0
FGA331	0	1	0	0	0
FGA465	0	1	0	0	0
FGA99	0	1	0	0	0
FGA15	0	1	0	0	0
FGA581	0	1	0	0	0
FGA104	0	1	0	0	0
FGA489	0	1	0	0	0
FGA174	1	1	0	0	0
FurbGB	1	3	0	0	0
CGA312	0	0	0	0	0
CGA642	0	0	0	0	0
CGA763	0	0	0	0	0
C601	0	0	0	0	0
CGA236	1	1	0	0	0
Calboe	0	3	0	0	0
C3125	0	2	0	0	0
CGA429	0	1	0	0	0
C985	0	1	0	0	0
CGA310	1	1	0	0	0
CGA382	0	0	0	0	0
CGA494	0	1	0	0	0
C12265	0	0	0	0	0
C404	1	1	0	0	0
Cl11778	0	0	0	0	0
CGA594	0	0	0	0	0
C3134	0	0	0	0	0
CGA311	1	0	0	0	0
CGA45	0	0	0	0	0
C3043	0	1	0	0	0
CGA368	0	1	0	0	0
CGA364	0	0	0	0	0
C2208	0	0	0	0	0
CGA453	0	2	0	0	0
CGA501	0	2	0	0	0
C3121	0	2	0	0	0
Calparcri	0	3	0	0	0
Triowe	1	3	0	0	0
Trijoh	1	3	0	0	0
Trimel	1	2	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	1	1	0	0	0
Tricri	1	0	0	0	0
Triwie	1	0	0	0	0
Triqua	2	0	0	0	0
Kinboe	1	2	0	0	0
Kinfis	1	0	0	0	0
Kinxen	1	2	0	0	0
Chaafr	0	0	0	0	0
Chacha	0	0	0	0	0
Chacaly	0	0	0	0	0
Chazey	0	1	0	0	0
Chadil	0	0	0	0	0
Chasen	0	1	0	0	0
Chanam	0	2	0	0	0
Braset	0	3	0	0	0
Bramel	0	3	0	0	0
Bratha	0	3	0	0	0
Bradra	0	3	0	0	0
Bratra	0	3	0	0	0
Bragut	0	5	0	0	0
Braven	0	5	0	0	0
Brapum	0	3	0	0	0
Bradam	0	3	0	0	0
