#Nodes with GAIN events
N12: 1
Rhatem: 3
FGA174: 1
N42: 1
C12265: 1
CGA311: 1
N68: 1
Trijoh: 1
N74: 1
Chacha: 1
Total number of gain events: 12
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N5: 1
BGA709: 2
N7: 1
B11696: 3
B11609: 1
B985: 1
BGA89: 2
PGA445: 1
Rhaspe: 2
Rhamar: 2
Rhatem: 1
FGA379: 2
Furcep: 1
F12278: 1
Furant: 1
FGA104: 1
FGA489: 1
FurbGB: 2
CGA312: 2
CGA236: 1
CGA429: 2
CGA311: 1
CGA45: 1
N62: 1
CGA364: 1
N63: 1
C3121: 1
Triowe: 2
Trijoh: 1
Trimel: 2
N72: 1
Tricri: 1
N77: 2
Kinxen: 3
N79: 1
N80: 2
N83: 1
Chanam: 1
N85: 2
Bramel: 1
Bradra: 1
Total number of loss events: 58
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	0	0	0	0
BGA709	0	3	0	0	0
BGA309	0	1	0	0	0
B11696	0	4	0	0	0
B11609	0	2	0	0	0
B985	0	1	0	0	0
B199	0	0	0	0	0
B11604	0	0	0	0	0
BGA89	1	2	0	0	0
BGAA2	1	0	0	0	0
BGA584	1	0	0	0	0
BGA304	0	0	0	0	0
BGAB1	0	0	0	0	0
PGA445	0	1	0	0	0
Rhaspe	0	2	0	0	0
Rhamar	0	2	0	0	0
Rhatem	3	1	0	0	0
FGA379	0	2	0	0	0
F3016	0	0	0	0	0
F1476	0	0	0	0	0
Furcep	0	1	0	0	0
Furpol	0	0	0	0	0
F2241	0	0	0	0	0
Furang	0	0	0	0	0
FGA490	0	0	0	0	0
FGA456	0	0	0	0	0
FGA516	0	0	0	0	0
F12278	0	1	0	0	0
Furant	0	1	0	0	0
FGA331	0	0	0	0	0
FGA465	0	0	0	0	0
FGA99	0	0	0	0	0
FGA15	0	0	0	0	0
FGA581	0	0	0	0	0
FGA104	0	1	0	0	0
FGA489	0	1	0	0	0
FGA174	1	0	0	0	0
FurbGB	0	2	0	0	0
CGA312	1	2	0	0	0
CGA642	1	0	0	0	0
CGA763	1	0	0	0	0
C601	1	0	0	0	0
CGA236	1	1	0	0	0
Calboe	1	0	0	0	0
C3125	1	0	0	0	0
CGA429	1	2	0	0	0
C985	1	0	0	0	0
CGA310	1	0	0	0	0
CGA382	1	0	0	0	0
CGA494	1	0	0	0	0
C12265	2	0	0	0	0
C404	1	0	0	0	0
Cl11778	1	0	0	0	0
CGA594	1	0	0	0	0
C3134	1	0	0	0	0
CGA311	1	1	0	0	0
CGA45	0	1	0	0	0
C3043	0	1	0	0	0
CGA368	0	1	0	0	0
CGA364	0	1	0	0	0
C2208	0	0	0	0	0
CGA453	0	1	0	0	0
CGA501	0	1	0	0	0
C3121	0	2	0	0	0
Calparcri	0	1	0	0	0
Triowe	1	2	0	0	0
Trijoh	2	1	0	0	0
Trimel	1	2	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	1	1	0	0	0
Tricri	2	1	0	0	0
Triwie	2	0	0	0	0
Triqua	2	0	0	0	0
Kinboe	0	2	0	0	0
Kinfis	0	2	0	0	0
Kinxen	0	3	0	0	0
Chaafr	0	3	0	0	0
Chacha	1	3	0	0	0
Chacaly	0	4	0	0	0
Chazey	0	4	0	0	0
Chadil	0	3	0	0	0
Chasen	0	3	0	0	0
Chanam	0	2	0	0	0
Braset	0	2	0	0	0
Bramel	0	3	0	0	0
Bratha	0	2	0	0	0
Bradra	0	3	0	0	0
Bratra	0	2	0	0	0
Bragut	0	2	0	0	0
Braven	0	2	0	0	0
Brapum	0	2	0	0	0
Bradam	0	2	0	0	0
