#Nodes with GAIN events
BGA309: 1
B11609: 1
B985: 1
BGAA2: 1
Rhatem: 1
F3016: 1
FGA104: 1
FGA174: 1
Calboe: 1
N54: 1
N61: 1
N70: 1
Trijoh: 1
Tricri: 1
Kinboe: 1
N83: 1
Chanam: 2
Total number of gain events: 18
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 2
BGA709: 1
N7: 2
B11696: 2
B985: 1
BGAA2: 1
BGA304: 1
BGAB1: 1
PGA445: 1
Rhaspe: 1
Rhamar: 2
Rhatem: 3
N21: 1
FGA516: 1
FGA489: 4
CGA236: 1
CGA429: 2
CGA310: 1
CGA382: 1
C404: 1
Cl11778: 1
N63: 3
Calparcri: 1
N68: 1
Trimel: 1
Kinfis: 2
N80: 1
Chacha: 1
N83: 1
Chazey: 1
N84: 1
Chadil: 2
Chasen: 1
Chanam: 1
N91: 1
Total number of loss events: 49
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	2	0	0	0
BGA709	0	1	0	0	0
BGA309	1	0	0	0	0
B11696	0	4	0	0	0
B11609	1	2	0	0	0
B985	1	1	0	0	0
B199	0	0	0	0	0
B11604	0	0	0	0	0
BGA89	0	0	0	0	0
BGAA2	1	1	0	0	0
BGA584	0	0	0	0	0
BGA304	0	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	1	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	0	2	0	0	0
Rhatem	1	3	0	0	0
FGA379	0	0	0	0	0
F3016	1	1	0	0	0
F1476	0	1	0	0	0
Furcep	0	1	0	0	0
Furpol	0	1	0	0	0
F2241	0	1	0	0	0
Furang	0	1	0	0	0
FGA490	0	1	0	0	0
FGA456	0	1	0	0	0
FGA516	0	2	0	0	0
F12278	0	1	0	0	0
Furant	0	1	0	0	0
FGA331	0	1	0	0	0
FGA465	0	1	0	0	0
FGA99	0	1	0	0	0
FGA15	0	1	0	0	0
FGA581	0	1	0	0	0
FGA104	1	1	0	0	0
FGA489	0	5	0	0	0
FGA174	1	1	0	0	0
FurbGB	0	1	0	0	0
CGA312	0	0	0	0	0
CGA642	0	0	0	0	0
CGA763	0	0	0	0	0
C601	0	0	0	0	0
CGA236	0	1	0	0	0
Calboe	1	0	0	0	0
C3125	0	0	0	0	0
CGA429	0	2	0	0	0
C985	0	0	0	0	0
CGA310	0	1	0	0	0
CGA382	0	1	0	0	0
CGA494	0	0	0	0	0
C12265	1	0	0	0	0
C404	1	1	0	0	0
Cl11778	1	1	0	0	0
CGA594	1	0	0	0	0
C3134	1	0	0	0	0
CGA311	0	0	0	0	0
CGA45	0	0	0	0	0
C3043	1	0	0	0	0
CGA368	1	0	0	0	0
CGA364	1	0	0	0	0
C2208	0	0	0	0	0
CGA453	0	3	0	0	0
CGA501	0	3	0	0	0
C3121	0	3	0	0	0
Calparcri	0	4	0	0	0
Triowe	1	1	0	0	0
Trijoh	2	1	0	0	0
Trimel	1	2	0	0	0
Trihoe	0	1	0	0	0
Tribit	0	1	0	0	0
Trijac	0	1	0	0	0
Tricri	1	1	0	0	0
Triwie	0	1	0	0	0
Triqua	0	1	0	0	0
Kinboe	1	0	0	0	0
Kinfis	0	2	0	0	0
Kinxen	0	0	0	0	0
Chaafr	0	1	0	0	0
Chacha	0	2	0	0	0
Chacaly	1	2	0	0	0
Chazey	1	3	0	0	0
Chadil	0	4	0	0	0
Chasen	0	3	0	0	0
Chanam	2	1	0	0	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	0	0	0	0
Bragut	0	1	0	0	0
Braven	0	1	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
