#Nodes with GAIN events
N2: 1
N3: 1
B3088: 1
BGA309: 1
B11609: 1
B11604: 1
FGA379: 1
FGA104: 1
N42: 1
CGA763: 1
N55: 1
N67: 1
Trijoh: 1
N77: 1
Kinboe: 1
Kinxen: 1
Bramel: 1
N90: 1
Total number of gain events: 18
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 2
BGA309: 1
N7: 1
B11696: 1
B985: 1
BGA89: 1
BGA584: 1
N14: 1
PGA445: 4
Rhamar: 2
Rhatem: 1
FGA379: 1
F1476: 2
FGA456: 1
Furant: 1
FGA465: 1
FGA581: 1
FGA174: 1
FurbGB: 1
N41: 1
N42: 1
CGA236: 2
C985: 1
CGA382: 1
Cl11778: 2
CGA364: 1
C2208: 1
N67: 1
N68: 1
Triowe: 1
Kinboe: 1
Kinfis: 1
N80: 1
Chacha: 1
Chasen: 1
N85: 1
N91: 1
Total number of loss events: 45
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	3	2	0	0	0
BGA709	2	0	0	0	0
BGA309	3	1	0	0	0
B11696	2	2	0	0	0
B11609	3	1	0	0	0
B985	2	1	0	0	0
B199	2	0	0	0	0
B11604	3	0	0	0	0
BGA89	2	1	0	0	0
BGAA2	2	0	0	0	0
BGA584	2	1	0	0	0
BGA304	2	1	0	0	0
BGAB1	2	1	0	0	0
PGA445	1	4	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	0	2	0	0	0
Rhatem	0	1	0	0	0
FGA379	1	1	0	0	0
F3016	0	0	0	0	0
F1476	0	2	0	0	0
Furcep	0	0	0	0	0
Furpol	0	0	0	0	0
F2241	0	0	0	0	0
Furang	0	0	0	0	0
FGA490	0	0	0	0	0
FGA456	0	1	0	0	0
FGA516	0	0	0	0	0
F12278	0	0	0	0	0
Furant	0	1	0	0	0
FGA331	0	0	0	0	0
FGA465	0	1	0	0	0
FGA99	0	0	0	0	0
FGA15	0	0	0	0	0
FGA581	0	1	0	0	0
FGA104	1	0	0	0	0
FGA489	0	0	0	0	0
FGA174	0	1	0	0	0
FurbGB	0	1	0	0	0
CGA312	1	2	0	0	0
CGA642	1	2	0	0	0
CGA763	2	2	0	0	0
C601	1	2	0	0	0
CGA236	1	4	0	0	0
Calboe	1	2	0	0	0
C3125	1	2	0	0	0
CGA429	1	2	0	0	0
C985	1	3	0	0	0
CGA310	1	2	0	0	0
CGA382	1	3	0	0	0
CGA494	1	2	0	0	0
C12265	2	2	0	0	0
C404	2	2	0	0	0
Cl11778	2	4	0	0	0
CGA594	2	2	0	0	0
C3134	1	2	0	0	0
CGA311	0	1	0	0	0
CGA45	0	1	0	0	0
C3043	0	1	0	0	0
CGA368	0	1	0	0	0
CGA364	0	2	0	0	0
C2208	0	2	0	0	0
CGA453	0	0	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
Triowe	1	3	0	0	0
Trijoh	2	2	0	0	0
Trimel	1	2	0	0	0
Trihoe	1	2	0	0	0
Tribit	1	2	0	0	0
Trijac	1	2	0	0	0
Tricri	1	2	0	0	0
Triwie	1	2	0	0	0
Triqua	1	2	0	0	0
Kinboe	3	2	0	0	0
Kinfis	2	2	0	0	0
Kinxen	2	1	0	0	0
Chaafr	0	1	0	0	0
Chacha	0	2	0	0	0
Chacaly	0	1	0	0	0
Chazey	0	1	0	0	0
Chadil	0	1	0	0	0
Chasen	0	2	0	0	0
Chanam	0	0	0	0	0
Braset	0	1	0	0	0
Bramel	1	1	0	0	0
Bratha	0	1	0	0	0
Bradra	1	1	0	0	0
Bratra	1	1	0	0	0
Bragut	0	2	0	0	0
Braven	0	2	0	0	0
Brapum	0	1	0	0	0
Bradam	0	1	0	0	0
