NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	1.45772e-20	1.41978e-19	1.85141e-18	1.90599e-17	1.18687e-16	9.04919e-16	6.78288e-15	3.31917e-14	7.26986e-14	6.68529e-14	4.7018e-14	9.18378e-14	4.63275e-13	2.746e-12	1.33659e-11	0.15276	0.345023	0.502217	1.42389e-10	9.10933e-11	4.09167e-11	1.33774e-11	3.28642e-12	6.2363e-13	9.36001e-14	1.13403e-14	1.12876e-15	9.37202e-17	6.57777e-18	3.94812e-19	2.04748e-20	9.2578e-22	3.67933e-23	1.29463e-24	4.05947e-26	1.14101e-27	2.89021e-29	6.62984e-31	1.38356e-32	2.64578e-34	5.40016e-36	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	1.72955e-27	6.07935e-24	1.10905e-20	1.63708e-17	6.85506e-16	1.55306e-14	1.3618e-11	5.16951e-09	3.23719e-07	4.63435e-07	8.36754e-08	6.318e-08	2.2492e-06	0.000308961	0.0159985	0.215313	0.497936	0.243914	0.0257799	0.00073937	7.59755e-06	3.45043e-08	8.1134e-11	1.58884e-13	4.03109e-16	3.64224e-18	1.14937e-20	6.54158e-23	1.27411e-25	3.94905e-28	4.73729e-31	8.2635e-34	5.95567e-37	6.23334e-40	2.7607e-43	1.75546e-46	4.32169e-50	1.65283e-53	2.50652e-57	8.22525e-61	2.06675e-64	
N3	2.3208e-26	1.85805e-23	1.34885e-20	6.68912e-18	7.0935e-16	4.15626e-14	8.19022e-12	8.11223e-10	2.05865e-08	3.82213e-08	4.36628e-08	6.31192e-08	8.34848e-07	9.05853e-05	0.00536448	0.101633	0.416682	0.392097	0.0794805	0.00455145	9.87115e-05	1.04795e-06	1.04889e-08	4.54639e-09	2.2048e-10	9.06467e-11	2.19464e-12	4.79925e-13	5.34264e-15	6.77727e-16	2.9934e-18	2.22589e-19	3.76647e-22	1.35429e-23	1.2654e-26	2.17643e-28	1.31648e-31	1.23243e-33	5.16195e-37	3.74613e-39	4.34061e-41	
N4	5.70645e-32	3.48372e-28	9.29007e-25	2.6923e-21	2.26884e-19	9.49625e-19	1.84709e-15	2.69064e-12	1.11831e-09	1.55514e-09	1.69037e-10	8.10812e-12	1.05947e-10	8.36595e-08	3.16603e-05	0.0041013	0.129405	0.643417	0.212681	0.0102372	0.000126669	5.68158e-07	1.18216e-09	4.16564e-12	2.06921e-14	4.24626e-16	1.40892e-18	1.40499e-20	2.50862e-23	1.27135e-25	1.17681e-28	3.21456e-31	1.40387e-34	2.11888e-37	4.77601e-41	4.03373e-44	5.2975e-48	2.70618e-51	2.26853e-55	8.72501e-59	2.09587e-62	
N5	1.09888e-33	5.0553e-30	1.54157e-26	4.03071e-23	9.06427e-21	5.77298e-19	5.72337e-16	2.92859e-13	2.57831e-11	2.78631e-11	2.88247e-12	1.05719e-12	1.06351e-10	7.33718e-08	2.65995e-05	0.00349231	0.118292	0.621976	0.241366	0.0146124	0.000233401	1.35206e-06	3.49012e-09	4.80939e-12	5.31202e-15	4.09334e-16	4.82e-18	7.95144e-19	5.15634e-21	4.6324e-22	1.52009e-24	8.09418e-26	1.14005e-28	3.82192e-30	1.97182e-33	3.9866e-35	7.17483e-39	5.77718e-41	6.20665e-45	2.15982e-47	5.5646e-51	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	7.08147e-31	6.48944e-28	5.3925e-25	2.71532e-22	3.36175e-20	4.88383e-18	1.0579e-15	1.07663e-13	2.49561e-12	4.08166e-12	7.83979e-12	2.82571e-11	1.34111e-09	3.78896e-07	6.83025e-05	0.00521732	0.125982	0.590269	0.257015	0.0209176	0.000524179	5.39929e-06	2.74049e-08	7.77331e-11	1.45011e-13	8.64508e-15	2.51101e-16	9.97343e-17	1.8652e-18	4.27624e-19	4.79411e-21	6.72292e-22	3.80329e-24	3.45515e-25	7.42053e-28	4.31025e-29	3.08544e-32	7.87176e-34	3.32726e-37	3.73819e-39	3.54528e-42	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
