NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
N1	5.57001e-21	5.68108e-20	7.61509e-19	8.26995e-18	6.81323e-17	5.17703e-16	3.24756e-15	1.32666e-14	2.82015e-14	4.48459e-14	9.41838e-14	2.99411e-13	1.344e-12	6.26947e-12	2.36051e-11	0.209456	0.368648	0.421896	9.51952e-11	4.90232e-11	1.78928e-11	4.78907e-12	9.68889e-13	1.52125e-13	1.89641e-14	1.91438e-15	1.59183e-16	1.10657e-17	6.51472e-19	3.28542e-20	1.43358e-21	5.46079e-23	1.83039e-24	5.43722e-26	1.44058e-27	3.42409e-29	7.33977e-31	1.42574e-32	2.52102e-34	4.08807e-36	7.17413e-38	
Leiolep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N2	1.9448e-28	7.08817e-25	1.66007e-21	2.13092e-18	2.82139e-16	3.18423e-14	8.5147e-12	2.50632e-09	1.20733e-07	8.7372e-07	7.09872e-06	3.09333e-05	9.05205e-05	0.00134073	0.0393367	0.317345	0.469424	0.160035	0.0121245	0.000262879	2.162e-06	8.78447e-09	2.8868e-11	1.44109e-13	5.10644e-16	1.54698e-18	3.39761e-21	4.21778e-24	4.35754e-27	6.24579e-30	5.06911e-33	6.78004e-36	3.94922e-39	3.4047e-42	1.24747e-45	6.70027e-49	1.40607e-52	4.57664e-56	6.11023e-60	1.72753e-63	4.12615e-67	
N3	2.89472e-27	2.42089e-24	1.92696e-21	9.58802e-19	1.67625e-16	2.73154e-14	4.14097e-12	5.30662e-10	2.48113e-08	1.21532e-07	5.03397e-07	3.83131e-06	2.58419e-05	0.000403475	0.013463	0.165293	0.459729	0.312365	0.0464348	0.0021321	0.000128115	1.91473e-05	1.91583e-06	2.26352e-07	3.19602e-09	9.93763e-11	1.273e-12	5.71062e-14	4.48135e-16	4.53799e-17	1.36635e-19	8.03354e-21	1.05267e-23	2.7848e-25	2.17986e-28	2.8381e-30	1.4813e-33	1.08575e-35	4.78119e-39	2.96315e-41	5.40503e-43	
N4	6.68029e-33	4.50871e-29	1.83739e-25	4.37322e-22	5.5761e-20	1.10488e-17	2.02426e-15	2.11782e-12	5.49882e-10	4.58969e-10	1.76754e-09	8.37619e-08	1.23715e-07	4.65709e-07	9.22119e-05	0.00857236	0.189232	0.652645	0.144371	0.00503316	5.39703e-05	3.87833e-07	3.73929e-09	4.29041e-11	1.37853e-13	4.2706e-16	8.79709e-19	1.27116e-21	1.4553e-24	4.47851e-27	2.97619e-30	6.41149e-33	2.10546e-36	2.47869e-39	4.4136e-43	2.92753e-46	3.13061e-50	1.27931e-53	9.30224e-58	3.08878e-61	9.20929e-65	
N5	9.70429e-35	4.97817e-31	1.93033e-27	4.69942e-24	1.4884e-21	5.09551e-19	1.93152e-16	8.78081e-14	6.85999e-12	1.22714e-11	7.08003e-11	1.42033e-09	6.29225e-09	3.06e-07	6.96007e-05	0.00687736	0.170747	0.6389	0.17531	0.0079933	0.0001025	5.48319e-07	3.16434e-09	3.24719e-10	1.01309e-11	1.58934e-13	3.53188e-15	6.19298e-18	2.98021e-20	7.83487e-23	9.59897e-26	3.6552e-27	3.63719e-30	1.03427e-31	3.89273e-35	6.41165e-37	9.33532e-41	5.48492e-43	5.06126e-47	1.31401e-49	3.71507e-53	
B3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.02232e-32	4.84728e-29	4.41445e-26	2.41528e-23	5.90047e-21	1.27483e-18	2.12463e-16	2.12436e-14	6.36637e-13	3.19589e-12	3.08603e-11	7.45974e-10	1.57709e-08	1.13531e-06	0.00014144	0.00882389	0.170723	0.60742	0.199589	0.0130272	0.000272304	2.44489e-06	1.71979e-08	2.6542e-09	2.24868e-10	8.73728e-12	5.53358e-13	2.98193e-15	3.89513e-17	2.34377e-19	6.43447e-22	5.40335e-23	2.28006e-25	1.82205e-26	2.89977e-29	1.43201e-30	8.42516e-34	1.64096e-35	6.0859e-39	5.28738e-41	5.24623e-44	
BGA709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.38871e-35	1.15344e-31	5.81772e-28	1.50059e-24	2.2688e-22	1.05556e-19	1.26199e-17	1.22991e-14	3.69484e-12	1.70185e-12	1.24709e-11	1.30399e-09	2.21503e-09	6.91553e-09	3.29622e-06	0.000968518	0.0751108	0.777724	0.143176	0.00300068	1.60358e-05	3.29378e-08	4.97728e-11	4.59488e-13	2.51771e-15	9.14393e-18	3.24977e-20	2.21633e-23	2.11624e-26	1.7616e-29	7.87915e-33	2.601e-35	1.19265e-38	2.89166e-41	5.97605e-45	8.26347e-48	7.94834e-52	5.22033e-55	2.99766e-59	1.08526e-62	1.23039e-66	
N8	3.27616e-33	4.89113e-30	5.70798e-27	3.81078e-24	4.65374e-22	1.11047e-19	2.8746e-17	1.23569e-14	2.02519e-12	4.46524e-12	4.587e-11	2.34278e-09	5.36403e-09	5.65626e-08	1.34533e-05	0.00196504	0.0925723	0.752847	0.147716	0.00483665	4.95231e-05	2.17756e-07	5.88303e-10	6.4286e-12	1.04453e-13	1.22216e-15	1.37276e-17	2.88531e-20	7.04053e-23	1.26118e-25	1.20239e-28	7.95133e-31	1.57202e-33	1.08272e-35	1.297e-38	5.17074e-41	2.14346e-44	3.58222e-47	8.64311e-51	8.83631e-54	3.81741e-57	
B11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	5.43314e-43	3.31666e-38	9.34827e-34	1.3244e-29	4.98727e-27	8.36475e-24	1.18548e-21	6.27195e-18	6.50543e-15	1.81024e-15	2.53469e-14	5.9431e-12	1.50241e-11	8.21998e-11	1.93569e-07	0.000208047	0.0461628	0.822678	0.1295	0.00144822	3.04618e-06	1.9698e-09	6.65289e-13	4.00881e-15	1.82141e-17	3.0753e-20	8.95973e-23	1.89107e-26	9.20607e-30	1.08152e-31	5.71348e-33	2.79444e-33	5.56544e-35	2.67046e-35	2.14568e-37	7.26137e-38	2.26319e-40	3.47573e-41	7.29159e-44	5.18865e-45	2.92604e-47	
N10	2.92814e-36	1.01885e-33	2.4432e-31	3.65833e-29	4.40872e-28	9.90775e-26	1.0317e-22	2.60425e-19	1.04899e-16	6.93658e-17	1.16782e-15	1.93553e-13	1.47732e-12	1.08643e-10	2.29068e-07	0.000216974	0.0456301	0.822866	0.129763	0.00151952	3.54458e-06	2.65383e-09	1.06331e-12	5.57321e-14	2.13219e-15	1.26573e-17	2.89558e-19	1.67718e-22	3.73552e-25	1.46854e-28	1.2506e-32	2.55049e-34	9.94167e-38	3.99407e-39	3.93669e-43	1.03952e-44	2.01093e-49	1.59929e-51	1.86882e-56	4.15694e-59	1.7201e-63	
N11	3.88431e-39	9.61816e-36	2.10787e-32	3.01895e-29	1.2895e-26	9.36832e-24	7.47764e-21	6.56291e-18	1.9583e-15	1.81203e-14	4.55704e-13	3.69069e-11	3.33524e-10	1.4478e-08	5.34912e-06	0.00112047	0.0733056	0.773772	0.147841	0.00392501	3.02251e-05	9.56407e-08	1.91925e-10	8.10346e-12	4.01785e-13	8.04667e-15	2.84997e-16	5.67135e-19	2.38069e-21	3.64068e-24	2.30853e-27	4.1958e-29	1.24226e-31	3.20987e-33	4.55901e-36	7.22101e-38	1.95611e-41	9.30228e-44	1.51167e-47	2.9174e-50	1.14188e-53	
B983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B11604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	3.03601e-37	1.59039e-33	6.05182e-30	1.32345e-26	3.4576e-24	2.11591e-21	1.0032e-18	1.03819e-15	3.66145e-13	5.63161e-13	6.95354e-12	6.82785e-10	1.05522e-09	6.16982e-09	2.56845e-06	0.000705316	0.0609141	0.830315	0.10604	0.00201165	1.14783e-05	2.75822e-08	3.98092e-11	2.74021e-13	3.07304e-15	2.34221e-17	1.7898e-19	2.14733e-22	3.13418e-25	3.01664e-28	1.45984e-31	5.92907e-34	7.26641e-37	3.45213e-39	2.65232e-42	7.14788e-45	1.63886e-48	1.71748e-51	2.26389e-55	1.37244e-58	3.2749e-62	
BGAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGA584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	1.21577e-36	3.79704e-33	9.86725e-30	1.59978e-26	4.27832e-24	2.34767e-21	1.17432e-18	9.56464e-16	2.62789e-13	6.25892e-13	8.20616e-12	6.22541e-10	1.45713e-09	1.48088e-08	5.04257e-06	0.0010757	0.0726809	0.79618	0.126961	0.00307463	2.24976e-05	6.94198e-08	1.30284e-10	1.37523e-12	2.25883e-14	2.41145e-16	2.69329e-18	4.24982e-21	8.56389e-24	1.08422e-26	6.83964e-30	4.09922e-32	6.95814e-35	4.91252e-37	5.12698e-40	2.05954e-42	6.06981e-46	9.12412e-49	1.54995e-52	1.31157e-55	4.17967e-59	
BGA303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PGA445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	6.80641e-32	3.126e-27	5.86963e-23	8.0659e-19	6.73041e-17	8.56794e-15	1.87099e-11	2.61757e-08	1.59136e-07	9.00342e-07	4.05548e-05	3.96361e-05	0.000227169	0.0105263	0.177554	0.618424	0.188761	0.00441148	1.53524e-05	1.3367e-08	4.16223e-12	5.8785e-16	4.82106e-20	1.25058e-23	6.36757e-27	2.41056e-30	1.25075e-33	1.07977e-37	1.39952e-41	1.26659e-45	3.60708e-50	9.51341e-52	1.17486e-51	1.23128e-52	8.69791e-55	7.51785e-55	6.1613e-56	1.97117e-55	1.83232e-55	1.99731e-54	7.05691e-55	
N15	3.28326e-26	3.66526e-23	4.68034e-20	3.85007e-17	1.43983e-14	2.07627e-12	2.71037e-10	2.19498e-08	1.47995e-06	0.000113152	0.00365996	0.0438017	0.201825	0.376412	0.286451	0.0814771	0.00619072	6.68057e-05	2.04073e-07	2.70538e-10	1.92433e-13	1.94028e-16	1.86112e-18	6.75426e-20	4.04598e-22	1.55903e-24	3.71031e-27	1.45604e-30	4.73763e-33	5.15567e-33	2.64609e-33	1.59942e-32	3.04972e-33	9.31946e-33	2.82289e-34	1.52829e-34	1.44082e-36	1.87406e-37	1.08481e-39	8.68398e-41	7.75204e-42	
Rhaspe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N16	2.30253e-24	1.1338e-21	6.04094e-19	2.11128e-16	4.46263e-14	6.11767e-12	7.67396e-10	9.06635e-08	8.29785e-06	0.000417629	0.00888533	0.0750767	0.258704	0.374718	0.226522	0.0522134	0.00341319	4.15362e-05	1.83757e-07	4.12133e-10	3.93824e-12	2.0109e-13	6.51971e-15	5.21562e-16	4.11681e-18	8.0676e-20	3.96754e-22	1.0017e-23	2.21662e-26	5.66765e-27	5.8513e-30	1.16198e-30	5.4989e-34	6.07138e-35	1.5104e-38	4.84255e-40	8.98395e-44	1.20259e-45	2.62712e-49	1.71415e-51	6.49375e-53	
Rhamar	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rhatem	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	9.84813e-38	1.3235e-32	5.8036e-28	2.26491e-23	2.10953e-21	3.41199e-18	2.92213e-14	8.95797e-11	2.88595e-10	2.2171e-09	1.20525e-07	1.15257e-06	2.51163e-05	0.00255633	0.124001	0.649644	0.219121	0.004639	1.20756e-05	2.05743e-08	2.20332e-10	3.47413e-13	4.89391e-16	7.70182e-19	7.65785e-23	2.62859e-25	1.03563e-29	2.70162e-30	3.32754e-32	3.50555e-32	6.31312e-35	2.46949e-35	2.79451e-38	6.05011e-39	5.13408e-42	5.55392e-43	3.74095e-46	2.02034e-47	7.54916e-50	1.50991e-51	3.752e-52	
